META; spain/la-liga-segunda/reus-deportiu-v-sd-huesca; 2018-03-04 22:26:03 GMT+2; 2018-03-11 19:00; Nothing; Xlenovo
Draw; 1/50
Reus Deportiu; 1/50
SD Huesca; 1/50
META; spain/la-liga-segunda/reus-deportiu-v-sd-huesca; 2018-03-05 02:26:08 GMT+2; 2018-03-11 19:00; Nothing; Xlenovo
Draw; 1/50
Reus Deportiu; 1/50
SD Huesca; 1/50
META; spain/la-liga-segunda/reus-deportiu-v-sd-huesca; 2018-03-05 10:26:04 GMT+2; 2018-03-11 19:00; Nothing; Xlenovo
Draw; 1/50
Reus Deportiu; 1/50
SD Huesca; 1/50
META; spain/la-liga-segunda/reus-deportiu-v-sd-huesca; 2018-03-05 14:26:33 GMT+2; 2018-03-11 19:00; Nothing; Xlenovo
Draw; 1/50
Reus Deportiu; 1/50
SD Huesca; 1/50
META; spain/la-liga-segunda/reus-deportiu-v-sd-huesca; 2018-03-05 18:26:36 GMT+2; 2018-03-11 19:00; Nothing; Xlenovo
Draw; 1/100
Reus Deportiu; 1/50
SD Huesca; 1/50
META; spain/la-liga-segunda/reus-deportiu-v-sd-huesca; 2018-03-05 22:26:39 GMT+2; 2018-03-11 19:00; Nothing; Xlenovo
SD Huesca; 17/10; 17/10; 17/10; 33/20; 1/50
Reus Deportiu; 8/5; 8/5; 8/5; 7/4; 3/10
Draw; 39/19; 21/10; 39/19; 2; 3/10
META; spain/la-liga-segunda/reus-deportiu-v-sd-huesca; 2018-03-06 02:26:31 GMT+2; 2018-03-11 19:00; Nothing; Xlenovo
SD Huesca; 17/10; 17/10; 17/10; 33/20; 3/10
Reus Deportiu; 8/5; 8/5; 8/5; 7/4; 3/10
Draw; 39/19; 21/10; 39/19; 2; 10/11
META; spain/la-liga-segunda/reus-deportiu-v-sd-huesca; 2018-03-06 10:26:19 GMT+2; 2018-03-11 17:00; Nothing; Xlenovo
Gijon; 3/5; 8/13; 3/5; 3/5; 2/15
Draw; 37/13; 11/4; 14/5; 29/10; 19/10
Leonesa; 39/10; 4; 19/5; 17/4; 5/6
META; spain/la-liga-segunda/reus-deportiu-v-sd-huesca; 2018-03-06 14:26:29 GMT+2; 2018-03-11 17:00; Nothing; Xlenovo
Gijon; 4/7; 6/10; 63/00; 3/5; 6/10; 3/5; 13/20; 8/13; 3/5; 3/5; 8/13; 8/13; 4/9
Draw; 13/5; 27/10; 61/20; 37/13; 27/10; 11/4; 11/4; 27/10; 37/13; 14/5; 14/5; 11/4; 19/10
Leonesa; 9/2; 21/5; 51/10; 39/10; 21/5; 9/2; 4; 77/19; 62/17; 19/5; 17/4; 77/19; 7/2
META; spain/la-liga-segunda/reus-deportiu-v-sd-huesca; 2018-03-06 18:26:37 GMT+2; 2018-03-12 04:00; Nothing; Xlenovo
Gijon; 1/2; 1/2; 8/15; 14/25; 6/11; 8/15; 8/15; 8/15; 8/15; 17/35; 1/2; 11/21; 6/11; 8/15; 1/2; 1/2; 4/11; 1/2
Draw; 3; 11/4; 29/10; 31/10; 56/19; 29/10; 11/4; 3; 29/10; 31/10; 58/19; 29/10; 3; 56/19; 19/10; 11/4; ; 
Leonesa; 6; 11/2; 24/5; 31/5; 21/5; 24/5; 5; 5; 53/10; 21/4; 41/10; 21/5; 6; 21/4; 53/10; 7/2; 22/5; 
META; spain/la-liga-segunda/reus-deportiu-v-sd-huesca; 2018-03-07 10:57:54 GMT+2; 2018-03-11 19:00; Nothing; Xlenovo
Reus Deportiu; 13/8; 13/8; 13/8; 173/100; 6/4; 28/17; 13/8; 13/8; 31/20; 13/8; 13/8; 8/5; 17/11; 17/10; 23/15; 13/8; 7/4; 13/8; 8/5; 6/4; 6/4
SD Huesca; 2; 9/5; 7/4; 199/100; 7/4; 9/5; 7/4; 9/5; 9/5; 7/4; 19/10; 9/5; 9/5; 17/10; 18/11; 7/4; 9/5; 37/20; 24/13; 1/2; 13/8
Draw; 15/8; 15/8; 19/10; 52/25; 9/5; 39/19; 19/10; 19/10; 2; 19/10; 19/10; 19/10; 2; 39/19; 2; 39/20; 19/10; 9/5; 19/10; ; 
META; spain/la-liga-segunda/reus-deportiu-v-sd-huesca; 2018-03-07 14:25:29 GMT+2; 2018-03-11 19:00; Nothing; Xlenovo
Reus Deportiu; 13/8; 13/8; 13/8; 173/00; 6/4; 28/17; 13/8; 13/8; 13/8; 13/8; 13/8; 8/5; 17/11; 17/10; 23/15; 13/8; 7/4; 13/8; 8/5; 6/4; 6/4; 13/8
SD Huesca; 2; 7/4; 7/4; 199/00; 7/4; 9/5; 7/4; 9/5; 7/4; 7/4; 19/10; 9/5; 9/5; 17/10; 18/11; 7/4; 9/5; 37/20; 24/13; 13/8; 13/8; 19/10
Draw; 15/8; 19/10; 19/10; 52/25; 9/5; 39/19; 19/10; 19/10; 19/10; 2; 19/10; 19/10; 19/10; 2; 39/19; 2; 39/20; 19/10; 19/10; 19/10; 2; 
META; spain/la-liga-segunda/reus-deportiu-v-sd-huesca; 2018-03-07 18:25:57 GMT+2; 2018-03-11 19:00; Nothing; Xlenovo
