META; spain/la-liga-segunda/alcorcon-v-fc-barcelona-b; 2017-09-13 22:25:17 GMT+3; 2017-09-17 15:00; Nothing; Xlenovo
Alcorcon; 19/20; 19/20; 1; ; 21/20; ; 21/20; 10/11; ; ; ; ; ; ; ; 1; ; 24/23; 21/20; ; ; ; ; ; 1; ; 20/21; 1; 
Draw; 23/10; 11/5; 11/5; ; 23/10; ; 23/10; 21/10; ; ; ; ; ; ; ; 9/4; ; 11/5; 23/10; ; ; ; ; ; 9/4; ; 21/10; 21/10; 
FC Barcelona B; 3; 11/4; 27/10; ; 11/4; ; 29/10; 13/5; ; ; ; ; ; ; ; 27/10; ; 45/17; 13/5; ; ; ; ; ; 5/2; ; 5/2; 13/5; 
META; spain/la-liga-segunda/alcorcon-v-fc-barcelona-b; 2017-09-14 02:24:50 GMT+3; 2017-09-17 15:00; Nothing; Xlenovo
Alcorcon; 19/20; 19/20; 1; 21/20; 21/20; 41/40; 21/20; 10/11; 21/20; 1; 1; 1; 1; ; 21/20; 1; ; 24/23; 21/20; 113/100; ; 24/23; ; ; 1; ; 20/21; 1; 
Draw; 23/10; 11/5; 11/5; 9/4; 23/10; 21/10; 23/10; 21/10; 11/5; 11/5; 11/5; 23/10; 47/20; ; 9/4; 9/4; ; 11/5; 23/10; 58/25; ; 11/5; ; ; 9/4; ; 21/10; 21/10; 
FC Barcelona B; 3; 11/4; 27/10; 12/5; 11/4; 12/5; 29/10; 11/4; 27/10; 13/5; 13/5; 13/5; 11/4; ; 13/5; 27/10; ; 45/17; 13/5; 73/25; ; 45/17; ; ; 5/2; ; 5/2; 13/5; 
META; spain/la-liga-segunda/alcorcon-v-fc-barcelona-b; 2017-09-14 10:25:09 GMT+3; 2017-09-17 15:00; Nothing; Xlenovo
Alcorcon; 19/20; 1; 1; 21/20; 21/20; 41/40; 21/20; 10/11; 21/20; 1; 1; 1; 1; ; 21/20; 1; ; 24/23; 21/20; 113/100; ; 24/23; ; ; 1; ; 20/21; 1; 
Draw; 23/10; 85/40; 11/5; 9/4; 23/10; 21/10; 9/4; 21/10; 11/5; 11/5; 11/5; 23/10; 23/10; ; 9/4; 9/4; ; 11/5; 9/4; 58/25; ; 11/5; ; ; 9/4; ; 21/10; 21/10; 
FC Barcelona B; 3; 11/4; 27/10; 12/5; 11/4; 12/5; 29/10; 11/4; 27/10; 13/5; 13/5; 13/5; 57/20; ; 13/5; 27/10; ; 45/17; 11/4; 73/25; ; 45/17; ; ; 5/2; ; 5/2; 13/5; 
META; spain/la-liga-segunda/alcorcon-v-fc-barcelona-b; 2017-09-14 14:25:22 GMT+3; 2017-09-17 15:00; Nothing; Xlenovo
Alcorcon; 1; 1; 1; 1; 21/20; 41/40; 21/20; 10/11; 21/20; 1; 1; 1; 1; 20/21; 21/20; 1; ; 24/23; 21/20; 23/20; 42/41; 24/23; ; ; 1; ; 20/21; 20/21; 21/20
Draw; 23/10; 11/5; 11/5; 11/5; 23/10; 21/10; 23/10; 21/10; 11/5; 11/5; 11/5; 9/4; 23/10; 11/5; 9/4; 11/5; ; 11/5; 9/4; 113/50; 23/10; 11/5; ; ; 9/4; ; 21/10; 2; 11/5
FC Barcelona B; 14/5; 13/5; 27/10; 11/4; 11/4; 12/5; 29/10; 11/4; 27/10; 13/5; 13/5; 13/5; 57/20; 14/5; 13/5; 27/10; ; 45/17; 11/4; 147/50; 23/10; 45/17; ; ; 5/2; ; 5/2; 13/5; 13/5
META; spain/la-liga-segunda/alcorcon-v-fc-barcelona-b; 2017-09-14 18:25:09 GMT+3; 2017-09-17 15:00; Nothing; Xlenovo
Alcorcon; 1; 19/20; 1; 1; 21/20; 41/40; 1; 10/11; 21/20; 1; 1; 1; 21/20; 20/21; 21/20; 1; ; 24/23; 21/20; 11/10; 42/41; 24/23; ; ; 1; ; 5/6; 20/21; 1
