META; english/league-1/scunthorpe-v-oldham; 2018-02-25 14:20:34 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Scunthorpe; 1; 1; ; ; 27/25; ; 1; 5/6; ; ; 1; ; ; ; ; 1; ; ; ; ; 21/20; 1; 19/20; ; ; 4/7; ; 
Draw; 12/5; 12/5; ; ; 63/25; ; 12/5; 12/5; ; ; 12/5; ; ; ; ; 12/5; ; ; ; ; 12/5; 12/5; 12/5; ; ; 19/10; ; 
Oldham; 11/4; 11/4; ; ; 71/25; ; 13/5; 13/5; ; ; 11/4; ; ; ; ; 11/4; ; ; ; ; 14/5; 29/10; 11/4; ; ; 6/4; ; 
META; english/league-1/scunthorpe-v-oldham; 2018-02-25 18:20:34 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Scunthorpe; 5/6; 1; 10/11; ; 22/25; ; 20/23; 4/5; ; 10/11; 9/10; ; 19/20; ; 10/11; 10/11; 13/15; ; ; ; 9/10; 10/11; 17/20; 13/15; ; 4/5; ; 
Draw; 5/2; 12/5; 5/2; ; 131/50; ; 12/5; 5/2; ; 5/2; 5/2; ; 12/5; ; 5/2; 5/2; 40/17; ; ; ; 13/5; 5/2; 5/2; 40/17; ; 19/10; ; 
Oldham; 10/3; 11/4; 3; ; 18/5; ; 3; 11/4; ; 29/10; 16/5; ; 3; ; 3; 3; 3; ; ; ; 3; 16/5; 3; 58/19; ; 5/2; ; 
META; english/league-1/scunthorpe-v-oldham; 2018-02-25 22:20:33 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Scunthorpe; 10/11; 1; 19/20; ; 99/100; ; 20/21; 5/6; ; 19/20; 10/11; ; 19/20; ; 19/20; 19/20; 19/20; ; 11/12; ; 10/11; 20/21; 10/11; 19/20; ; 5/6; ; 
Draw; 12/5; 12/5; 12/5; ; 127/50; ; 12/5; 23/10; ; 12/5; 5/2; ; 12/5; ; 5/2; 12/5; 23/10; ; 27/11; ; 13/5; 5/2; 5/2; 23/10; ; 19/10; ; 
Oldham; 3; 11/4; 11/4; ; 63/20; ; 14/5; 11/4; ; 11/4; 3; ; 3; ; 14/5; 14/5; 27/10; ; 12/5; ; 3; 29/10; 59/20; 11/4; ; 19/10; ; 
META; english/league-1/scunthorpe-v-oldham; 2018-02-26 02:20:09 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Scunthorpe; 10/11; 1; 19/20; ; 99/100; ; 20/21; 5/6; ; 19/20; 10/11; 20/21; 19/20; ; 19/20; 19/20; 19/20; ; 11/12; ; 10/11; 20/21; 10/11; 19/20; ; 5/6; ; 
Draw; 12/5; 12/5; 12/5; ; 127/50; ; 12/5; 23/10; ; 12/5; 5/2; 13/5; 12/5; ; 5/2; 12/5; 9/4; ; 27/11; ; 13/5; 5/2; 5/2; 23/10; ; 19/10; ; 
Oldham; 3; 11/4; 11/4; ; 63/20; ; 14/5; 11/4; ; 11/4; 3; 13/5; 3; ; 14/5; 14/5; 11/4; ; 12/5; ; 3; 29/10; 59/20; 11/4; ; 19/10; ; 
META; english/league-1/scunthorpe-v-oldham; 2018-02-26 10:20:11 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Scunthorpe; 10/11; 1; 19/20; 19/20; 99/100; ; 20/21; 5/6; 15/16; 19/20; 19/20; 20/21; 19/20; ; 1; 19/20; 19/20; 9/10; 11/12; 15/16; 10/11; 20/21; 10/11; 19/20; ; 5/6; ; 
Draw; 12/5; 12/5; 12/5; 13/5; 127/50; ; 12/5; 23/10; 27/11; 12/5; 5/2; 13/5; 12/5; ; 12/5; 5/2; 23/10; 12/5; 27/11; 27/11; 13/5; 13/5; 5/2; 23/10; ; 19/10; ; 
Oldham; 3; 11/4; 11/4; 11/4; 63/20; ; 14/5; 11/4; 29/10; 11/4; 3; 13/5; 3; ; 11/4; 14/5; 11/4; 3; 12/5; 29/10; 3; 14/5; 59/20; 11/4; ; 2; ; 
META; english/league-1/scunthorpe-v-oldham; 2018-02-26 14:20:48 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Scunthorpe; 10/11; 19/20; 19/20; 19/20; 1; ; 20/21; 5/6; 15/16; 19/20; 19/20; 20/21; 19/20; ; 1; 19/20; 19/20; 9/10; 11/12; 15/16; 20/21; 10/11; 19/20; ; 5/6; ; 
Draw; 12/5; 5/2; 12/5; 13/5; 63/25; ; 12/5; 23/10; 27/11; 12/5; 5/2; 13/5; 12/5; ; 12/5; 5/2; 23/10; 12/5; 27/11; 27/11; 13/5; 5/2; 23/10; ; 19/10; ; 
Oldham; 3; 14/5; 11/4; 11/4; 63/20; ; 14/5; 11/4; 29/10; 11/4; 3; 13/5; 3; ; 11/4; 14/5; 11/4; 3; 12/5; 29/10; 14/5; 14/5; 14/5; ; 2; ; 
META; english/league-1/scunthorpe-v-oldham; 2018-02-26 18:20:44 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Scunthorpe; 10/11; 19/20; 19/20; 19/20; 51/50; 19/20; 20/21; 5/6; 15/16; 19/20; 19/20; 20/21; 17/20; 1; 1; 19/20; 10/11; 9/10; 11/12; 15/16; 20/21; 10/11; 19/20; ; 5/6; 10/11; 
Draw; 12/5; 5/2; 12/5; 13/5; 13/5; 5/2; 12/5; 23/10; 5/2; 12/5; 5/2; 13/5; 12/5; 49/20; 12/5; 5/2; 40/17; 12/5; 27/11; 5/2; 13/5; 5/2; 40/17; ; 9/4; 11/5; 
Oldham; 3; 14/5; 14/5; 11/4; 74/25; 3; 11/4; 11/4; 14/5; 11/4; 3; 13/5; 16/5; 14/5; 11/4; 14/5; 11/4; 3; 12/5; 14/5; 14/5; 14/5; 11/4; ; 11/4; 5/2; 
META; english/league-1/scunthorpe-v-oldham; 2018-02-26 22:20:41 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Scunthorpe; 10/11; 19/20; 19/20; 19/20; 51/50; 19/20; 20/21; 5/6; 15/16; 19/20; 19/20; 20/21; 17/20; 1; 1; 19/20; 10/11; 9/10; 11/12; 15/16; 20/21; 10/11; 19/20; ; 5/6; 10/11; 
Draw; 12/5; 5/2; 12/5; 13/5; 13/5; 5/2; 12/5; 23/10; 5/2; 12/5; 5/2; 13/5; 12/5; 49/20; 12/5; 5/2; 40/17; 12/5; 27/11; 5/2; 13/5; 5/2; 40/17; ; 9/4; 11/5; 
Oldham; 3; 14/5; 14/5; 11/4; 74/25; 3; 11/4; 11/4; 14/5; 11/4; 3; 13/5; 16/5; 14/5; 11/4; 14/5; 11/4; 3; 12/5; 14/5; 14/5; 14/5; 11/4; ; 11/4; 5/2; 
META; english/league-1/scunthorpe-v-oldham; 2018-02-27 02:20:37 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Scunthorpe; 10/11; 19/20; 19/20; 19/20; 101/100; 19/20; 20/21; 5/6; 15/16; 19/20; 19/20; 20/21; 17/20; 1; 1; 19/20; 10/11; 9/10; 11/12; 15/16; 20/21; 10/11; 19/20; ; 9/10; 10/11; 
Draw; 12/5; 5/2; 12/5; 13/5; 63/25; 5/2; 12/5; 23/10; 5/2; 12/5; 5/2; 13/5; 12/5; 49/20; 12/5; 5/2; 40/17; 12/5; 27/11; 5/2; 13/5; 5/2; 40/17; ; 9/4; 11/5; 
Oldham; 3; 14/5; 14/5; 11/4; 31/10; 3; 14/5; 11/4; 14/5; 11/4; 3; 13/5; 16/5; 14/5; 11/4; 14/5; 11/4; 3; 12/5; 14/5; 14/5; 14/5; 11/4; ; 11/4; 5/2; 
META; english/league-1/scunthorpe-v-oldham; 2018-02-27 10:20:38 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Scunthorpe; 10/11; 19/20; 19/20; 19/20; 51/50; 19/20; 20/21; 5/6; 15/16; 19/20; 19/20; 20/21; 17/20; 1; 1; 19/20; 19/20; 9/10; 11/12; 15/16; 20/21; 10/11; 19/20; ; 9/10; 10/11; 
Draw; 12/5; 5/2; 12/5; 13/5; 13/5; 5/2; 12/5; 23/10; 5/2; 12/5; 5/2; 13/5; 12/5; 49/20; 12/5; 5/2; 40/17; 12/5; 27/11; 5/2; 13/5; 5/2; 40/17; ; 9/4; 11/5; 
Oldham; 3; 14/5; 14/5; 11/4; 74/25; 3; 11/4; 11/4; 14/5; 11/4; 3; 13/5; 16/5; 14/5; 11/4; 14/5; 27/10; 3; 12/5; 14/5; 14/5; 14/5; 11/4; ; 11/4; 5/2; 
META; english/league-1/scunthorpe-v-oldham; 2018-02-27 14:21:39 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
