META; english/league-1/blackburn-v-wigan; 2018-02-25 14:20:42 GMT+2; 2018-03-04 12:00; Nothing; Xlenovo
Blackburn; 6/4; 3/2; ; ; 163/100; ; 6/4; 7/5; ; ; 6/4; ; ; ; 6/4; ; ; ; ; ; ; 6/4; 6/4; ; ; 4/5; ; 
Wigan; 9/5; 17/10; ; ; 93/50; ; 7/4; 17/10; ; ; 9/5; ; ; ; 9/5; ; ; ; ; ; ; 9/5; 9/5; ; ; 10/11; ; 
Draw; 9/4; 12/5; ; ; 119/50; ; 9/4; 11/5; ; ; 12/5; ; ; ; 23/10; ; ; ; ; ; ; 12/5; 11/5; ; ; 15/8; ; 
META; english/league-1/blackburn-v-wigan; 2018-02-25 18:20:41 GMT+2; 2018-03-04 12:00; Nothing; Xlenovo
Blackburn; 6/4; 3/2; ; ; 157/100; ; 6/4; 7/5; ; ; 29/20; ; 6/4; ; 6/4; ; 7/5; ; ; ; ; 29/20; 29/20; 16/11; ; 7/5; ; 
Wigan; 9/5; 17/10; ; ; 97/50; ; 9/5; 17/10; ; ; 15/8; ; 15/8; ; 9/5; ; 9/5; ; ; ; ; 19/10; 37/20; 9/5; ; 6/4; ; 
Draw; 9/4; 12/5; ; ; 119/50; ; 11/5; 21/10; ; ; 23/10; ; 11/5; ; 23/10; ; 28/13; ; ; ; ; 12/5; 11/5; 28/13; ; 9/5; ; 
META; english/league-1/blackburn-v-wigan; 2018-02-25 22:20:41 GMT+2; 2018-03-04 12:00; Nothing; Xlenovo
Blackburn; 29/20; 3/2; ; ; 159/100; ; 6/4; 11/8; ; ; 29/20; ; 6/4; ; 6/4; ; 7/5; ; 4/3; ; ; 29/20; 29/20; 16/11; ; 23/20; ; 
Wigan; 15/8; 17/10; ; ; 49/25; ; 9/5; 15/8; ; ; 19/10; ; 15/8; ; 9/5; ; 9/5; ; 7/4; ; ; 19/10; 19/10; 9/5; ; 17/10; ; 
Draw; 9/4; 12/5; ; ; 58/25; ; 11/5; 21/10; ; ; 23/10; ; 11/5; ; 23/10; ; 28/13; ; 9/4; ; ; 12/5; 11/5; 28/13; ; 19/10; ; 
META; english/league-1/blackburn-v-wigan; 2018-02-26 02:20:16 GMT+2; 2018-03-04 12:00; Nothing; Xlenovo
Blackburn; 29/20; 3/2; ; ; 159/100; ; 6/4; 6/4; ; ; 29/20; 31/20; 6/4; ; 6/4; 6/4; 16/11; ; 4/3; ; ; 29/20; 29/20; 16/11; ; 6/5; ; 
Wigan; 15/8; 17/10; ; ; 49/25; ; 9/5; 9/5; ; ; 19/10; 19/10; 15/8; ; 9/5; 15/8; 9/5; ; 7/4; ; ; 19/10; 19/10; 9/5; ; 9/5; ; 
Draw; 9/4; 12/5; ; ; 58/25; ; 11/5; 21/10; ; ; 23/10; 21/10; 11/5; ; 23/10; 9/4; 28/13; ; 9/4; ; ; 12/5; 11/5; 28/13; ; 19/10; ; 
META; english/league-1/blackburn-v-wigan; 2018-02-26 10:20:18 GMT+2; 2018-03-04 12:00; Nothing; Xlenovo
Blackburn; 29/20; 3/2; ; 6/4; 159/100; ; 6/4; 13/10; 31/21; ; 29/20; 31/20; 6/4; ; 6/4; 6/4; 16/11; 16/11; 4/3; 31/21; ; 29/20; 29/20; 16/11; ; 6/5; ; 
Wigan; 15/8; 17/10; ; 15/8; 49/25; ; 9/5; 15/8; 7/4; ; 19/10; 19/10; 15/8; ; 9/5; 15/8; 7/4; 24/13; 7/4; 7/4; ; 19/10; 19/10; 9/5; ; 9/5; ; 
Draw; 9/4; 12/5; ; 11/5; 58/25; ; 11/5; 21/10; 40/17; ; 23/10; 21/10; 11/5; ; 23/10; 9/4; 28/13; 11/5; 9/4; 40/17; ; 12/5; 11/5; 11/5; ; 19/10; ; 
META; english/league-1/blackburn-v-wigan; 2018-02-26 14:20:56 GMT+2; 2018-03-04 12:00; Nothing; Xlenovo
Blackburn; 29/20; 7/5; ; 6/4; 159/100; ; 6/4; 13/10; 31/21; ; 6/4; 31/20; 6/4; ; 6/4; 6/4; 16/11; 16/11; 4/3; 31/21; 6/4; 29/20; ; ; 13/10; ; 
Wigan; 15/8; 19/10; ; 15/8; 49/25; ; 9/5; 15/8; 7/4; ; 19/10; 19/10; 15/8; ; 9/5; 19/10; 7/4; 24/13; 7/4; 7/4; 19/10; 19/10; ; ; 9/5; ; 
Draw; 9/4; 9/4; ; 11/5; 58/25; ; 11/5; 21/10; 40/17; ; 9/4; 21/10; 11/5; ; 23/10; 11/5; 28/13; 11/5; 9/4; 40/17; 23/10; 11/5; 11/5; ; 19/10; ; 
META; english/league-1/blackburn-v-wigan; 2018-02-26 18:20:52 GMT+2; 2018-03-04 12:00; Nothing; Xlenovo
Blackburn; 29/20; ; 6/4; 6/4; 159/100; 29/20; 6/4; 13/10; 31/21; 6/4; ; 31/20; 13/10; ; 6/4; 6/4; 16/11; 16/11; 4/3; 31/21; 6/4; 29/20; ; ; 11/8; 7/5; 
Wigan; 15/8; ; 19/10; 15/8; 49/25; 2; 9/5; 15/8; 7/4; 19/10; ; 19/10; 2; ; 9/5; 19/10; 7/4; 24/13; 7/4; 7/4; 19/10; 19/10; ; ; 9/5; 13/8; 
Draw; 9/4; 11/5; 21/10; 11/5; 58/25; 23/10; 11/5; 21/10; 40/17; 21/10; ; 21/10; 23/10; ; 23/10; 11/5; 28/13; 11/5; 9/4; 40/17; 9/4; 11/5; 11/5; ; 2; 2; 
META; english/league-1/blackburn-v-wigan; 2018-02-26 22:20:48 GMT+2; 2018-03-04 12:00; Nothing; Xlenovo
Blackburn; 29/20; ; 6/4; 6/4; 159/100; 29/20; 6/4; 13/10; 31/21; 6/4; ; 6/4; 13/10; ; 6/4; 6/4; 16/11; 16/11; 4/3; 31/21; 6/4; 29/20; ; ; 27/20; 7/5; 
Wigan; 15/8; ; 19/10; 15/8; 49/25; 2; 9/5; 15/8; 7/4; 19/10; ; 15/8; 2; ; 9/5; 19/10; 7/4; 24/13; 7/4; 7/4; 19/10; 19/10; ; ; 9/5; 13/8; 
Draw; 9/4; 11/5; 21/10; 11/5; 58/25; 23/10; 11/5; 21/10; 40/17; 21/10; ; 11/5; 23/10; ; 23/10; 11/5; 28/13; 11/5; 9/4; 40/17; 9/4; 11/5; 11/5; ; 21/10; 2; 
META; english/league-1/blackburn-v-wigan; 2018-02-27 02:20:44 GMT+2; 2018-03-04 12:00; Nothing; Xlenovo
Blackburn; 29/20; ; 6/4; 6/4; 159/100; 29/20; 6/4; 13/10; 31/21; 6/4; ; 6/4; 13/10; ; 6/4; 6/4; 16/11; 16/11; 4/3; 31/21; 6/4; 29/20; ; ; 27/20; 7/5; 
Wigan; 15/8; ; 19/10; 15/8; 49/25; 2; 9/5; 15/8; 7/4; 19/10; ; 15/8; 2; ; 9/5; 19/10; 7/4; 24/13; 7/4; 7/4; 19/10; 19/10; ; ; 9/5; 13/8; 
Draw; 9/4; 11/5; 21/10; 11/5; 58/25; 23/10; 11/5; 21/10; 40/17; 21/10; ; 11/5; 23/10; ; 23/10; 11/5; 28/13; 11/5; 9/4; 40/17; 9/4; 11/5; 28/13; ; 21/10; 2; 
META; english/league-1/blackburn-v-wigan; 2018-02-27 10:20:45 GMT+2; 2018-03-04 12:00; Nothing; Xlenovo
Blackburn; 29/20; ; 6/4; 6/4; 161/100; 29/20; 6/4; 13/10; 31/21; 6/4; ; 6/4; 13/10; ; 6/4; 6/4; 16/11; 16/11; 4/3; 31/21; 6/4; 29/20; ; ; 27/20; 7/5; 
Wigan; 15/8; ; 19/10; 15/8; 193/100; 2; 9/5; 15/8; 7/4; 19/10; ; 19/10; 2; ; 9/5; 19/10; 7/4; 24/13; 7/4; 7/4; 19/10; 19/10; ; ; 9/5; 13/8; 
Draw; 9/4; 11/5; 21/10; 11/5; 58/25; 23/10; 11/5; 21/10; 40/17; 21/10; ; 21/10; 23/10; ; 23/10; 11/5; 28/13; 11/5; 9/4; 40/17; 9/4; 11/5; 28/13; ; 21/10; 2; 
META; english/league-1/blackburn-v-wigan; 2018-02-27 14:21:47 GMT+2; 2018-03-04 12:00; Nothing; Xlenovo
Blackburn; 29/20; 6/4; 6/4; 6/4; 31/20; 29/20; 6/4; 13/10; 31/21; 6/4; ; 6/4; 13/10; ; 6/4; 6/4; 7/5; 16/11; 4/3; 31/21; 6/4; 29/20; 7/5; ; 27/20; 7/5; 
Wigan; 15/8; ; 19/10; 15/8; 101/50; 2; 15/8; 15/8; 7/4; 15/8; ; 19/10; 2; ; 9/5; 19/10; 9/5; 24/13; 7/4; 7/4; 19/10; 19/10; 24/13; ; 9/5; 13/8; 
Draw; 9/4; 11/5; 21/10; 11/5; 23/10; 23/10; 11/5; 21/10; 40/17; 21/10; ; 21/10; 23/10; ; 23/10; 11/5; 28/13; 11/5; 9/4; 40/17; 9/4; 11/5; 28/13; ; 21/10; 2; 
META; english/league-1/blackburn-v-wigan; 2018-02-27 18:20:51 GMT+2; 2018-03-04 12:00; Nothing; Xlenovo
Blackburn; 29/20; 6/4; 6/4; 6/4; 31/20; 29/20; 6/4; 13/10; 31/21; 6/4; ; 29/20; 13/10; ; 6/4; 6/4; 7/5; 16/11; 4/3; 31/21; 6/4; 29/20; 7/5; ; 27/20; 7/5; 
Wigan; 15/8; ; 19/10; 15/8; 101/50; 2; 15/8; 15/8; 7/4; 15/8; ; 19/10; 2; ; 9/5; 19/10; 9/5; 24/13; 7/4; 7/4; 19/10; 19/10; 24/13; ; 9/5; 13/8; 
Draw; 9/4; 11/5; 21/10; 11/5; 23/10; 23/10; 11/5; 21/10; 40/17; 21/10; ; 11/5; 23/10; ; 23/10; 11/5; 28/13; 11/5; 9/4; 40/17; 9/4; 11/5; 28/13; ; 21/10; 2; 
META; english/league-1/blackburn-v-wigan; 2018-03-02 17:44:55 GMT+2; 2018-03-04 12:00; Nothing; Xlenovo
Blackburn; 33/20; 6/4; 31/20; 6/4; 153/100; 13/8; 6/4; 6/4; 31/21; 31/20; 8/5; 31/20; 7/5; 8/5; 6/4; 6/4; 6/4; 8/5; 14/9; 31/21; 31/20; 6/4; 6/4; 6/4; 7/5
Wigan; 15/8; 9/5; 15/8; 9/5; 51/25; 15/8; 9/5; 17/10; 15/8; 15/8; 9/5; 15/8; 9/5; 9/5; 15/8; 9/5; 24/13; 17/10; 19/10; 15/8; 9/5; 24/13; 9/5; 19/10; 
Draw; 23/10; 23/10; 21/10; 9/4; 58/25; 12/5; 11/5; 9/4; 11/5; 21/10; 9/4; 21/10; 23/10; 43/20; 11/5; 11/5; 11/5; 11/5; 2; 11/5; 23/10; 21/10; 9/4; ; 
META; english/league-1/blackburn-v-wigan; 2018-03-02 22:22:31 GMT+2; 2018-03-04 12:00; Nothing; Xlenovo
Blackburn; 33/20; 6/4; 31/20; 6/4; 153/00; 13/8; 6/4; 6/4; 31/21; 31/20; 8/5; 31/20; 7/5; 8/5; 6/4; 6/4; 6/4; 8/5; 14/9; 31/21; 31/20; 6/4; 6/4; 6/4; 6/4; 7/5
