META; english/league-1/peterborough-v-fleetwood; 2018-04-22 14:21:34 GMT+3; 2018-04-28 15:00; Nothing; Xlenovo
Peterborough; 10/11; 5/6; 20/23; 20/23; 4/5; 10/11; 13/15; 9/10; 13/15; 4/5; 1/6
Draw; 13/5; 5/2; 14/5; 13/5; 13/5; 13/5; 5/2; 13/5; 28/11; 5/2; 1/14
Fleetwood; 14/5; 3; 14/5; 11/4; 14/5; 27/10; 31/10; 11/4; 11/4; 1/14; 
META; english/league-1/peterborough-v-fleetwood; 2018-04-22 18:21:05 GMT+3; 2018-04-28 15:00; Nothing; Xlenovo
Peterborough; 10/11; 5/6; 49/50; 20/23; 9/10; 4/5; 17/20; 10/11; 13/15; 20/23; 13/15; 4/5; 20/21
Draw; 13/5; 5/2; 137/0; 14/5; 13/5; 11/4; 13/5; 5/2; 11/4; 28/11; 5/2; 13/5; 
Fleetwood; 14/5; 3; 74/25; 3; 14/5; 11/4; 3; 14/5; 27/10; 3; 11/4; 11/4; 14/5
META; english/league-1/peterborough-v-fleetwood; 2018-04-22 22:20:32 GMT+3; 2018-04-28 15:00; Nothing; Xlenovo
Peterborough; 10/11; 5/6; 49/50; 20/23; 9/10; 4/5; 17/20; 20/23; 17/20; 10/11; 13/15; 17/20; 13/15; 4/5; 20/21
Draw; 13/5; 5/2; 137/0; 14/5; 13/5; 11/4; 13/5; 11/4; 13/5; 28/11; 11/4; 28/11; 5/2; 13/5; 
Fleetwood; 14/5; 3; 74/25; 3; 14/5; 11/4; 3; 3; 14/5; 27/10; 31/10; 11/4; 11/4; 14/5; 
META; english/league-1/peterborough-v-fleetwood; 2018-04-23 02:20:53 GMT+3; 2018-04-28 15:00; Nothing; Xlenovo
Peterborough; 10/11; 5/6; 49/50; 20/23; 9/10; 4/5; 17/20; 20/23; 17/20; 10/11; 13/15; 20/23; 13/15; 4/5; 20/21
Draw; 13/5; 5/2; 137/0; 14/5; 13/5; 11/4; 13/5; 3; 13/5; 28/11; 11/4; 28/11; 5/2; 13/5; 
Fleetwood; 14/5; 3; 74/25; 3; 14/5; 11/4; 3; 3; 14/5; 27/10; 3; 11/4; 11/4; 14/5; 
META; english/league-1/peterborough-v-fleetwood; 2018-04-23 10:20:51 GMT+3; 2018-04-28 15:00; Nothing; Xlenovo
