META; english/league-1/bury-v-peterborough; 2018-03-10 22:20:36 GMT+2; 2018-03-13 19:45; Nothing; Xlenovo
Peterborough; 7/5; 7/5; 6/5; 11/8; 7/5; 7/5; 11/8; 11/8; 20/21; 11/8
Bury; 15/8; 19/10; 19/10; 15/8; 15/8; 19/10; 19/10; 2; 10/9; 15/8
Draw; 23/10; 23/10; 12/5; 23/10; 9/4; 12/5; 23/10; 12/5; 19/10; 9/4
META; english/league-1/bury-v-peterborough; 2018-03-11 02:20:42 GMT+2; 2018-03-13 19:45; Nothing; Xlenovo
Peterborough; 7/5; 7/5; 6/5; 11/8; 7/5; 7/5; 11/8; 11/8; 7/5; 11/10; 11/8
Bury; 15/8; 19/10; 19/10; 19/10; 15/8; 19/10; 19/10; 2; 15/8; 13/8; 15/8
Draw; 23/10; 23/10; 12/5; 23/10; 9/4; 12/5; 23/10; 12/5; 23/10; 19/10; 9/4
META; english/league-1/bury-v-peterborough; 2018-03-11 10:20:47 GMT+2; 2018-03-13 19:45; Nothing; Xlenovo
Peterborough; 7/5; 7/5; 6/5; 7/5; 29/20; 11/8; 7/5; 7/5; 29/20; 13/10; 13/10; 7/5; 7/5; 7/5; 27/20; 11/8
Bury; 15/8; 19/10; 19/10; 109/0; 19/10; 19/10; 15/8; 19/10; 19/10; 19/10; 19/10; 19/10; 19/10; 15/8; 7/4; 21/10
Draw; 23/10; 23/10; 12/5; 12/5; 23/10; 23/10; 9/4; 23/10; 23/10; 5/2; 12/5; 23/10; 12/5; 23/10; 2; 23/10
META; english/league-1/bury-v-peterborough; 2018-03-11 14:21:28 GMT+2; 2018-03-13 19:45; Nothing; Xlenovo
Peterborough; 7/5; 7/5; 11/8; 6/5; 38/25; 6/4; 7/5; 7/5; 7/5; 7/5; 29/20; 11/8; 7/5; 7/5; 7/5; 11/8; 7/5; 7/5; 7/5; 11/8; 11/8; 7/5
Bury; 15/8; 19/10; 15/8; 19/10; 101/0; 2; 15/8; 15/8; 19/10; 19/10; 19/10; 19/10; 15/8; 15/8; 19/10; 15/8; 24/13; 19/10; 19/10; 37/20; 19/10; 
Draw; 23/10; 23/10; 23/10; 12/5; 59/25; 5/2; 23/10; 23/10; 23/10; 12/5; 23/10; 12/5; 23/10; 12/5; 23/10; 23/10; 23/10; 23/10; 12/5; 47/20; 23/10; 
META; english/league-1/bury-v-peterborough; 2018-03-11 18:20:58 GMT+2; 2018-03-13 19:45; Nothing; Xlenovo
Peterborough; 7/5; 7/5; 11/8; 149/00; 6/4; 7/5; 7/5; 7/5; 7/5; 29/20; 7/5; 13/8; 7/5; 7/5; 7/5; 16/11; 7/5; 14/11; 7/5; 29/20; 7/5; 16/11; 11/8; 11/8; 7/5
Bury; 15/8; 19/10; 15/8; 7/4; 49/25; 2; 15/8; 15/8; 19/10; 19/10; 15/8; 2; 13/8; 15/8; 19/10; 15/8; 24/13; 24/13; 17/10; 19/10; 15/8; 37/20; 19/10; 17/10; 19/10
Draw; 23/10; 12/5; 23/10; 5/2; 5/2; 9/4; 23/10; 23/10; 23/10; 23/10; 11/5; 9/4; 47/20; 23/10; 23/10; 23/10; 23/10; 27/11; 23/10; 12/5; 47/20; 23/10; 2; 12/5; 
META; english/league-1/bury-v-peterborough; 2018-03-11 22:20:47 GMT+2; 2018-03-13 19:45; Nothing; Xlenovo
Peterborough; 7/5; 7/5; 6/4; 11/8; 159/00; 6/4; 6/4; 7/5; 7/5; 31/20; 6/4; 6/4; 13/8; 6/4; 6/4; 7/5; 6/4; 7/5; 14/11; 7/5; 6/4; 29/20; 6/4; 7/5; 7/5; 6/4; 6/4
Bury; 15/8; 19/10; 7/4; 7/4; 183/00; 19/10; 7/4; 9/5; 19/10; 7/4; 9/5; 9/5; 13/8; 7/4; 9/5; 9/5; 9/5; 24/13; 17/10; 19/10; 9/5; 7/4; 9/5; 7/4; 17/10; 9/5; 9/5
Draw; 23/10; 12/5; 23/10; 5/2; 5/2; 23/10; 23/10; 23/10; 23/10; 12/5; 9/4; 9/4; 47/20; 23/10; 23/10; 23/10; 23/10; 27/11; 23/10; 12/5; 47/20; 40/17; 23/10; 21/10; 12/5; 12/5; 
META; english/league-1/bury-v-peterborough; 2018-03-12 02:21:09 GMT+2; 2018-03-13 19:45; Nothing; Xlenovo
Peterborough; 7/5; 7/5; 6/4; 11/8; 159/00; 6/4; 6/4; 7/5; 17/11; 31/20; 6/4; 6/4; 13/8; 6/4; 6/4; 7/5; 6/4; 6/4; 14/11; 17/11; 6/4; 29/20; 6/4; 6/4; 7/5; 6/4; 6/4
Bury; 15/8; 19/10; 7/4; 7/4; 183/00; 19/10; 7/4; 9/5; 17/10; 7/4; 9/5; 9/5; 13/8; 7/4; 9/5; 9/5; 7/4; 17/10; 17/10; 17/10; 9/5; 7/4; 7/4; 9/5; 17/10; 9/5; 9/5
Draw; 23/10; 12/5; 23/10; 5/2; 5/2; 23/10; 23/10; 40/17; 23/10; 12/5; 9/4; 9/4; 47/20; 23/10; 23/10; 40/17; 23/10; 27/11; 40/17; 12/5; 47/20; 40/17; 23/10; 21/10; 12/5; 12/5; 
META; english/league-1/bury-v-peterborough; 2018-03-12 10:21:05 GMT+2; 2018-03-13 19:45; Nothing; Xlenovo
Peterborough; 8/5; 7/5; 6/4; 11/8; 159/00; 6/4; 6/4; 7/5; 17/11; 31/20; 6/4; 6/4; 13/8; 6/4; 6/4; 6/4; 6/4; 6/4; 14/11; 17/11; 6/4; 29/20; 6/4; 6/4; 7/5; 6/4; 6/4
Bury; 9/5; 7/4; 7/4; 7/4; 183/00; 19/10; 7/4; 9/5; 17/10; 7/4; 7/4; 9/5; 13/8; 7/4; 9/5; 7/4; 17/10; 17/10; 17/10; 17/10; 7/4; 7/4; 7/4; 9/5; 17/10; 9/5; 9/5
Draw; 5/2; 12/5; 23/10; 5/2; 5/2; 23/10; 23/10; 40/17; 23/10; 12/5; 9/4; 9/4; 47/20; 23/10; 23/10; 40/17; 23/10; 27/11; 40/17; 5/2; 47/20; 40/17; 23/10; 21/10; 12/5; 12/5; 
META; english/league-1/bury-v-peterborough; 2018-03-12 14:21:40 GMT+2; 2018-03-13 19:45; Nothing; Xlenovo
Peterborough; 13/8; 7/5; 13/8; 7/5; 33/20; 13/8; 8/5; 6/4; 17/11; 13/8; 8/5; 31/20; 13/8; 31/20; 8/5; 8/5; 6/4; 14/11; 17/11; 8/5; 13/8; 8/5; 6/4; 6/4; 13/8; 13/8; 
Bury; 9/5; 7/4; 13/8; 17/10; 44/25; 15/8; 13/8; 7/4; 17/10; 33/20; 17/10; 7/4; 13/8; 17/10; 13/8; 17/10; 8/5; 17/10; 17/10; 17/10; 13/8; 33/20; 28/17; 7/4; 13/8; 13/8; 13/8
Draw; 5/2; 12/5; 23/10; 12/5; 23/10; 40/17; 23/10; 9/4; 9/4; 12/5; 40/17; 23/10; 27/11; 40/17; 5/2; 12/5; 40/17; 23/10; 21/10; 12/5; ; ; ; ; ; ; 
META; english/league-1/bury-v-peterborough; 2018-03-12 18:21:44 GMT+2; 2018-03-13 19:45; Nothing; Xlenovo
