META; english/league-1/fleetwood-v-walsall; 2018-05-02 14:20:21 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Fleetwood; 13/10; 5/4; 11/10; 34/25; 13/10; 13/10; 13/10; 5/4; 13/10; 27/20; 13/10; 13/10; 5/4; 14/11; 13/10; 13/10; 6/5; 6/5; 13/10
Walsall; 21/10; 11/5; 11/5; 41/20; 21/10; 2; 2; 21/10; 41/20; 21/10; 2; 21/10; 24/13; 85/40; 2; 19/10; 19/10; 2; 
Draw; 23/10; 23/10; 23/10; 49/20; 23/10; 23/10; 9/4; 21/10; 9/4; 23/10; 23/10; 9/4; 23/10; 27/11; 12/5; 9/4; 2; 12/5; 
META; english/league-1/fleetwood-v-walsall; 2018-05-02 18:20:45 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Fleetwood; 13/10; 13/10; 11/10; 13/10; 13/10; 5/4; 13/10; 6/5; 13/10; 11/10; 13/10; 13/10; 5/4; 5/4; 5/4; 16/13; 13/10; 5/4; 6/5; 6/5; 13/10
Walsall; 21/10; 21/10; 11/5; 54/25; 21/10; 21/10; 2; 2; 9/4; 21/10; 21/10; 21/10; 39/19; 21/10; 27/14; 85/40; 39/19; 19/10; 19/10; 11/5; 
Draw; 23/10; 23/10; 23/10; 61/25; 23/10; 23/10; 9/4; 11/5; 12/5; 12/5; 23/10; 23/10; 12/5; 23/10; 23/10; 27/11; 12/5; 23/10; 2; 12/5; 
META; english/league-1/fleetwood-v-walsall; 2018-05-02 22:20:33 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Fleetwood; 13/10; 13/10; 11/10; 13/10; 13/10; 5/4; 13/10; 23/18; 6/5; 13/10; 11/10; 13/10; 13/10; 5/4; 5/4; 5/4; 16/13; 23/18; 13/10; 13/10; 6/5; 6/5; 13/10
Walsall; 21/10; 21/10; 11/5; 54/25; 21/10; 21/10; 2; 39/19; 2; 9/4; 21/10; 21/10; 21/10; 21/10; 21/10; 27/14; 39/19; 85/40; 21/10; 19/10; 19/10; 11/5; 
Draw; 23/10; 23/10; 23/10; 61/25; 23/10; 23/10; 9/4; 40/17; 11/5; 12/5; 12/5; 9/4; 23/10; 12/5; 40/17; 23/10; 27/11; 40/17; 12/5; 40/17; 2; 19/10; 12/5
META; english/league-1/fleetwood-v-walsall; 2018-05-03 02:20:27 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Fleetwood; 13/10; 13/10; 11/10; 13/10; 13/10; 5/4; 13/10; 23/18; 6/5; 13/10; 11/10; 13/10; 13/10; 13/10; 5/4; 5/4; 16/13; 23/18; 13/10; 13/10; 6/5; 23/20; 13/10
Walsall; 21/10; 21/10; 11/5; 54/25; 21/10; 21/10; 2; 39/19; 2; 9/4; 43/20; 21/10; 21/10; 21/10; 21/10; 27/14; 39/19; 85/40; 21/10; 19/10; 19/10; 11/5; 
Draw; 23/10; 23/10; 23/10; 61/25; 23/10; 23/10; 9/4; 40/17; 11/5; 12/5; 12/5; 9/4; 23/10; 23/10; 40/17; 23/10; 27/11; 40/17; 12/5; 40/17; 2; 12/5; 
META; english/league-1/fleetwood-v-walsall; 2018-05-03 10:20:29 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Fleetwood; 13/10; 13/10; 11/10; 129/00; 13/10; 5/4; 13/10; 16/13; 6/5; 13/10; 11/10; 13/10; 11/8; 5/4; 5/4; 5/4; 16/13; 16/13; 13/10; 13/10; 6/5; 23/20
Walsall; 21/10; 21/10; 11/5; 109/0; 21/10; 21/10; 2; 28/13; 2; 9/4; 21/10; 2; 21/10; 21/10; 21/10; 27/14; 28/13; 85/40; 21/10; 19/10; 19/10; 
Draw; 23/10; 23/10; 23/10; 61/25; 23/10; 23/10; 9/4; 40/17; 11/5; 12/5; 12/5; 9/4; 5/2; 12/5; 40/17; 23/10; 27/11; 40/17; 12/5; 40/17; 21/10; 2
META; english/league-1/fleetwood-v-walsall; 2018-05-03 14:20:41 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Fleetwood; 13/10; 13/10; 13/10; 11/10; 13/10; 11/8; 5/4; 13/10; 16/13; 13/10; 6/5; 13/10; 11/10; 13/10; 11/8; 5/4; 5/4; 5/4; 16/13; 16/13; 13/10; 13/10; 5/4; 13/10; 13/10
Walsall; 21/10; 21/10; 21/10; 11/5; 54/25; 11/5; 21/10; 2; 28/13; 21/10; 2; 9/4; 21/10; 2; 21/10; 21/10; 21/10; 27/14; 28/13; 85/40; 21/10; 19/10; 19/10; 11/5; 
Draw; 23/10; 23/10; 9/4; 23/10; 61/25; 12/5; 23/10; 9/4; 40/17; 23/10; 11/5; 12/5; 12/5; 9/4; 5/2; 12/5; 40/17; 23/10; 27/11; 40/17; 12/5; 40/17; 21/10; 2; 12/5
META; english/league-1/fleetwood-v-walsall; 2018-05-03 18:20:40 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Fleetwood; 13/10; 13/10; 13/10; 11/10; 13/10; 11/8; 5/4; 13/10; 16/13; 13/10; 13/10; 13/10; 11/10; 13/10; 11/8; 5/4; 5/4; 5/4; 16/13; 16/13; 5/4; 13/10; 5/4; 13/10; 13/10; 13/10
Walsall; 21/10; 21/10; 21/10; 11/5; 54/25; 11/5; 21/10; 2; 28/13; 21/10; 21/10; 2; 9/4; 21/10; 2; 21/10; 21/10; 21/10; 57/29; 28/13; 21/10; 21/10; 19/10; 2; 21/10; 11/5
Draw; 23/10; 23/10; 9/4; 23/10; 61/25; 12/5; 23/10; 9/4; 40/17; 23/10; 23/10; 12/5; 12/5; 9/4; 5/2; 12/5; 40/17; 23/10; 5/2; 40/17; 5/2; 40/17; 21/10; 2; 12/5; 12/5
META; english/league-1/fleetwood-v-walsall; 2018-05-03 22:20:34 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Fleetwood; 6/5; 5/4; 5/4; 11/10; 32/25; 11/8; 5/4; 13/10; 16/13; 13/10; 13/10; 5/4; 11/10; 13/10; 11/8; 5/4; 5/4; 5/4; 16/13; 16/13; 5/4; 5/4; 5/4; 13/10; 5/4; 5/4
Walsall; 9/4; 11/5; 21/10; 11/5; 11/5; 11/5; 21/10; 2; 28/13; 21/10; 21/10; 11/5; 9/4; 43/20; 2; 11/5; 28/13; 21/10; 57/29; 28/13; 85/40; 28/13; 19/10; 19/10; 11/5; 11/5
Draw; 23/10; 23/10; 9/4; 23/10; 49/20; 12/5; 23/10; 9/4; 40/17; 23/10; 23/10; 9/4; 12/5; 9/4; 5/2; 23/10; 40/17; 23/10; 5/2; 40/17; 5/2; 40/17; 21/10; 2; 12/5; 12/5
META; english/league-1/fleetwood-v-walsall; 2018-05-04 02:20:21 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Fleetwood; 6/5; 5/4; 5/4; 11/10; 32/25; 11/8; 5/4; 13/10; 16/13; 13/10; 13/10; 5/4; 11/10; 13/10; 11/8; 5/4; 5/4; 5/4; 16/13; 16/13; 5/4; 5/4; 5/4; 10/9; 5/4; 5/4
Walsall; 9/4; 11/5; 21/10; 11/5; 11/5; 11/5; 21/10; 2; 28/13; 21/10; 21/10; 11/5; 9/4; 43/20; 2; 11/5; 28/13; 21/10; 57/29; 28/13; 85/40; 28/13; 19/10; 7/4; 11/5; 11/5
Draw; 23/10; 23/10; 9/4; 23/10; 49/20; 12/5; 23/10; 9/4; 40/17; 23/10; 23/10; 9/4; 12/5; 9/4; 5/2; 23/10; 40/17; 23/10; 5/2; 40/17; 5/2; 40/17; 21/10; 19/10; 12/5; 12/5
META; english/league-1/fleetwood-v-walsall; 2018-05-04 10:20:22 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Fleetwood; 13/10; 5/4; 5/4; 11/8; 127/00; 11/8; 5/4; 13/10; 16/13; 13/10; 13/10; 5/4; 11/10; 13/10; 11/8; 13/10; 5/4; 5/4; 16/13; 16/13; 5/4; 5/4; 5/4; 10/9; 5/4; 5/4
Walsall; 23/10; 11/5; 21/10; 21/10; 111/0; 11/5; 21/10; 21/10; 28/13; 21/10; 21/10; 11/5; 9/4; 43/20; 2; 21/10; 28/13; 21/10; 57/29; 28/13; 85/40; 28/13; 19/10; 7/4; 11/5; 11/5
Draw; 5/2; 23/10; 9/4; 21/10; 61/25; 12/5; 9/4; 23/10; 40/17; 23/10; 23/10; 9/4; 12/5; 9/4; 5/2; 23/10; 40/17; 23/10; 5/2; 40/17; 5/2; 40/17; 21/10; 19/10; 12/5; 12/5
META; english/league-1/fleetwood-v-walsall; 2018-05-04 14:20:40 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Fleetwood; 13/10; 5/4; 5/4; 11/8; 127/00; 13/10; 5/4; 5/4; 16/13; 13/10; 13/10; 5/4; 11/10; 13/10; 11/8; 13/10; 5/4; 5/4; 16/13; 16/13; 5/4; 5/4; 6/5; 5/4; 6/5; 5/4; 5/4
Walsall; 23/10; 9/4; 21/10; 21/10; 111/0; 23/10; 21/10; 11/5; 28/13; 21/10; 11/5; 11/5; 9/4; 43/20; 2; 21/10; 28/13; 21/10; 57/29; 28/13; 11/5; 28/13; 21/10; 21/10; 21/10; 11/5; 11/5
Draw; 5/2; 23/10; 9/4; 21/10; 61/25; 12/5; 9/4; 23/10; 40/17; 23/10; 9/4; 9/4; 12/5; 9/4; 5/2; 23/10; 40/17; 23/10; 5/2; 40/17; 5/2; 40/17; 9/4; 21/10; 2; 12/5; 12/5
META; english/league-1/fleetwood-v-walsall; 2018-05-04 18:20:46 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Fleetwood; 13/10; 5/4; 5/4; 11/8; 127/00; 13/10; 5/4; 5/4; 16/13; 13/10; 5/4; 5/4; 11/10; 13/10; 13/10; 5/4; 5/4; 5/4; 16/13; 16/13; 5/4; 5/4; 6/5; 5/4; 5/4; 5/4; 5/4
Walsall; 23/10; 9/4; 21/10; 21/10; 111/0; 23/10; 21/10; 11/5; 28/13; 11/5; 11/5; 11/5; 9/4; 43/20; 11/5; 11/5; 28/13; 21/10; 57/29; 28/13; 9/4; 28/13; 21/10; 21/10; 9/4; 11/5; 11/5
Draw; 5/2; 23/10; 9/4; 21/10; 61/25; 12/5; 9/4; 23/10; 40/17; 23/10; 9/4; 9/4; 12/5; 9/4; 12/5; 9/4; 40/17; 23/10; 5/2; 40/17; 5/2; 40/17; 9/4; 11/5; 21/10; 12/5; 23/10
META; english/league-1/fleetwood-v-walsall; 2018-05-04 22:20:39 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Fleetwood; 23/20; 11/10; 23/20; 23/20; 117/00; 23/20; 13/10; 11/10; 13/11; 23/20; 23/20; 23/20; 11/10; 23/20; 6/5; 11/10; 15/13; 11/10; 11/10; 13/11; 23/20; 15/13; 11/10; 11/10; 10/9; 23/20; 23/20
Draw; 5/2; 12/5; 23/10; 23/10; 123/0; 12/5; 23/10; 23/10; 40/17; 23/10; 23/10; 12/5; 12/5; 23/10; 12/5; 23/10; 40/17; 23/10; 5/2; 40/17; 5/2; 12/5; 9/4; 23/10; 12/5; 12/5; 12/5
Walsall; 13/5; 12/5; 23/10; 12/5; 121/0; 5/2; 21/10; 23/10; 9/4; 12/5; 12/5; 12/5; 9/4; 49/20; 12/5; 12/5; 40/17; 12/5; 9/4; 9/4; 5/2; 40/17; 9/4; 12/5; 12/5; 12/5; 12/5
META; english/league-1/fleetwood-v-walsall; 2018-05-05 02:20:24 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Fleetwood; 23/20; 11/10; 23/20; 23/20; 29/25; 23/20; 6/5; 11/10; 13/11; 23/20; 11/10; 23/20; 11/10; 23/20; 6/5; 11/10; 15/13; 11/10; 11/10; 13/11; 23/20; 15/13; 11/10; 11/10; 10/9; 23/20; 23/20
Draw; 5/2; 12/5; 9/4; 23/10; 62/25; 12/5; 23/10; 12/5; 40/17; 23/10; 23/10; 12/5; 12/5; 23/10; 12/5; 12/5; 12/5; 23/10; 5/2; 40/17; 5/2; 12/5; 9/4; 23/10; 12/5; 12/5; 23/10
Walsall; 13/5; 12/5; 12/5; 12/5; 61/25; 5/2; 23/10; 12/5; 9/4; 12/5; 5/2; 12/5; 9/4; 12/5; 12/5; 12/5; 40/17; 12/5; 9/4; 9/4; 5/2; 40/17; 9/4; 12/5; 12/5; 12/5; 23/10
META; english/league-1/fleetwood-v-walsall; 2018-05-05 10:20:32 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Fleetwood; 23/20; 11/10; 21/20; 11/10; 21/20; 11/10; 11/10; 1; 11/10; 21/20; 11/10; 11/10; 11/10; 21/20; 11/10; 21/20; 11/10; 21/20; 1; 11/10; 21/20; 1; 21/20; 21/20; 21/20; 10/9; 
Draw; 5/2; 12/5; 23/10; 23/10; 5/2; 12/5; 12/5; 12/5; 27/11; 23/10; 12/5; 23/10; 12/5; 47/20; 5/2; 23/10; 12/5; 23/10; 5/2; 27/11; 5/2; 12/5; 12/5; 12/5; 12/5; 5/2; 5/2
Walsall; 13/5; 5/2; 13/5; 5/2; 68/25; 13/5; 5/2; 5/2; 27/10; 13/5; 13/5; 13/5; 12/5; 13/5; 11/4; 13/5; 28/11; 12/5; 40/17; 27/10; 13/5; 13/5; 13/5; 5/2; 13/5; 11/4; 13/5
META; english/league-1/fleetwood-v-walsall; 2018-05-05 14:21:19 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Fleetwood; 23/20; 21/20; 21/20; 11/10; 21/20; 11/10; 1; 21/20; 21/20; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 11/10; 21/20; 1; 11/10; 21/20; 1; 21/20; 11/10; 21/20; ; ; 
Draw; 5/2; 12/5; 12/5; 23/10; 64/25; 12/5; 12/5; 27/11; 12/5; 12/5; 23/10; 5/2; 47/20; 5/2; 12/5; 27/11; 23/10; 5/2; 27/11; 5/2; 27/11; 12/5; 12/5; 5/2; 5/2; 5/2; 
Walsall; 13/5; 13/5; 13/5; 5/2; 133/0; 13/5; 5/2; 5/2; 27/10; 13/5; 13/5; 13/5; 5/2; 13/5; 11/4; 13/5; 28/11; 12/5; 40/17; 27/10; 13/5; 28/11; 13/5; 5/2; 13/5; 13/5; 13/5
META; english/league-1/fleetwood-v-walsall; 2018-05-05 18:20:39 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Fleetwood; 11/10; 21/20; 21/20; 11/10; 26/25; 21/20; 11/10; 1; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 1; 11/10; 30/29; 1; 21/20; 21/20; 21/20; 21/20; 11/10; 11/10; 11/10; 
Draw; 5/2; 12/5; 12/5; 23/10; 13/5; 5/2; 5/2; 12/5; 27/11; 12/5; 12/5; 5/2; 5/2; 12/5; 5/2; 12/5; 27/11; 23/10; 28/11; 27/11; 5/2; 27/11; 5/2; 12/5; 5/2; 5/2; 5/2
Walsall; 11/4; 13/5; 13/5; 5/2; 133/0; 11/4; 13/5; 13/5; 27/10; 13/5; 13/5; 13/5; 5/2; 13/5; 11/4; 13/5; 28/11; 12/5; 40/17; 27/10; 11/4; 13/5; 13/5; 5/2; 13/5; 13/5; 
