META; english/league-1/rochdale-v-plymouth; 2018-02-25 14:20:32 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Rochdale; 13/10; 13/10; ; ; 7/5; ; 13/10; 6/5; ; ; 13/10; ; ; ; 13/10; 13/10; ; ; ; ; 13/10; 13/10; 5/4; ; ; 8/11; ; 
Plymouth; 2; 2; ; ; 52/25; ; 2; 15/8; ; ; 21/10; ; ; ; 21/10; 2; ; ; ; ; 2; 85/40; 2; ; ; 10/9; ; 
Draw; 12/5; 12/5; ; ; 63/25; ; 23/10; 9/4; ; ; 12/5; ; ; ; 23/10; 12/5; ; ; ; ; 5/2; 12/5; 12/5; ; ; 19/10; ; 
META; english/league-1/rochdale-v-plymouth; 2018-02-25 18:20:31 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Rochdale; 7/5; 13/10; 26/19; ; 73/50; ; 11/8; 13/10; ; 27/20; 7/5; ; 13/10; ; 11/8; 11/8; 13/10; ; ; ; 7/5; 11/8; 27/20; 13/10; ; 10/9; ; 
Plymouth; 9/5; 2; 21/10; ; 49/25; ; 19/10; 15/8; ; 21/10; 19/10; ; 2; ; 19/10; 19/10; 24/13; ; ; ; 2; 2; 39/20; 19/10; ; 7/4; ; 
Draw; 12/5; 12/5; 21/10; ; 51/20; ; 23/10; 11/5; ; 21/10; 12/5; ; 23/10; ; 12/5; 12/5; 9/4; ; ; ; 23/10; 12/5; 23/10; 23/10; ; 19/10; ; 
META; english/league-1/rochdale-v-plymouth; 2018-02-25 22:20:31 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Rochdale; 11/10; 13/10; 6/5; ; 31/25; ; 6/5; 11/10; ; 6/5; 23/20; ; 13/10; ; 6/5; 6/5; 15/13; ; 22/19; ; 6/5; 23/20; 23/20; 15/13; ; 11/10; ; 
Plymouth; 23/10; 2; 12/5; ; 12/5; ; 11/5; 21/10; ; 12/5; 23/10; ; 2; ; 11/5; 9/4; 28/13; ; 39/19; ; 12/5; 12/5; 23/10; 11/5; ; 7/5; ; 
Draw; 5/2; 12/5; 21/10; ; 5/2; ; 23/10; 9/4; ; 21/10; 5/2; ; 23/10; ; 12/5; 12/5; 23/10; ; 11/5; ; 12/5; 12/5; 23/10; 23/10; ; 19/10; ; 
META; english/league-1/rochdale-v-plymouth; 2018-02-26 02:20:06 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Rochdale; 11/10; 13/10; 6/5; ; 31/25; ; 6/5; 11/10; ; 6/5; 23/20; 6/5; 13/10; ; 6/5; 6/5; 15/13; ; 22/19; ; 6/5; 6/5; 23/20; 15/13; ; 21/20; ; 
Plymouth; 23/10; 2; 12/5; ; 12/5; ; 11/5; 21/10; ; 12/5; 23/10; 12/5; 2; ; 11/5; 23/10; 28/13; ; 39/19; ; 12/5; 23/10; 23/10; 11/5; ; 7/5; ; 
Draw; 5/2; 12/5; 21/10; ; 5/2; ; 23/10; 9/4; ; 21/10; 5/2; 11/5; 23/10; ; 12/5; 23/10; 23/10; ; 11/5; ; 12/5; 5/2; 23/10; 23/10; ; 19/10; ; 
META; english/league-1/rochdale-v-plymouth; 2018-02-26 10:20:09 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Rochdale; 11/10; 13/10; 6/5; 6/5; 31/25; ; 6/5; 11/10; 8/7; 6/5; 23/20; 6/5; 13/10; ; 6/5; 6/5; 15/13; 11/10; 22/19; 8/7; 6/5; 6/5; 23/20; 15/13; ; 21/20; ; 
Plymouth; 23/10; 2; 12/5; 12/5; 12/5; ; 11/5; 11/5; 40/17; 12/5; 23/10; 12/5; 2; ; 11/5; 23/10; 11/5; 23/10; 39/19; 40/17; 12/5; 23/10; 23/10; 11/5; ; 7/5; ; 
Draw; 5/2; 12/5; 21/10; 11/5; 5/2; ; 23/10; 23/10; 40/17; 21/10; 5/2; 11/5; 23/10; ; 12/5; 23/10; 23/10; 12/5; 11/5; 40/17; 12/5; 5/2; 23/10; 23/10; ; 11/5; ; 
META; english/league-1/rochdale-v-plymouth; 2018-02-26 14:20:46 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Rochdale; 11/10; 13/10; 6/5; 6/5; 63/50; ; 6/5; 1; 8/7; 6/5; 23/20; 23/20; 13/10; ; 6/5; 6/5; 15/13; 11/10; 22/19; 8/7; 23/20; 23/20; 15/13; ; 23/20; ; 
Plymouth; 23/10; 21/10; 12/5; 12/5; 59/25; ; 11/5; 23/10; 40/17; 12/5; 23/10; 12/5; 2; ; 23/10; 23/10; 11/5; 23/10; 39/19; 40/17; 23/10; 12/5; 11/5; ; 11/5; ; 
Draw; 5/2; 23/10; 11/5; 11/5; 5/2; ; 23/10; 9/4; 40/17; 21/10; 5/2; 23/10; 23/10; ; 23/10; 23/10; 23/10; 12/5; 11/5; 40/17; 5/2; 11/5; 23/10; ; 11/5; ; 
META; english/league-1/rochdale-v-plymouth; 2018-02-26 18:20:42 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
