META; english/league-1/rotherham-v-afc-wimbledon; 2018-01-28 14:22:03 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Rotherham; 1; 10/11; ; ; 27/25; 1; 20/21; ; ; ; ; ; ; ; ; 19/20; ; ; ; ; ; ; 20/21; 19/20; 1; ; 4/6; ; 
Draw; 5/2; 5/2; ; ; 13/5; 13/5; 12/5; ; ; ; ; ; ; ; ; 5/2; ; 12/5; ; ; ; ; 5/2; 5/2; 12/5; ; 2; ; 
AFC Wimbledon; 13/5; 3; ; ; 11/4; 31/10; 13/5; ; ; ; ; ; ; ; ; 11/4; ; 5/2; ; ; ; ; 29/10; 53/20; 28/11; ; 17/10; ; 
META; english/league-1/rotherham-v-afc-wimbledon; 2018-01-28 18:21:24 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Rotherham; 1; 10/11; 21/20; 21/20; 107/ 100; 1; 1; ; 1; 21/20; 1; 21/20; ; ; ; 1; ; 1; ; ; 1; 21/20; 21/20; 1; 1; ; 4/5; ; 
Draw; 5/2; 5/2; 23/10; 12/5; 131/ 50; 27/10; 12/5; ; 5/2; 9/4; 5/2; 23/10; ; ; ; 12/5; ; 12/5; ; ; 5/2; 13/5; 5/2; 12/5; 12/5; ; 2; ; 
AFC Wimbledon; 13/5; 3; 13/5; 13/5; 69/25; 29/10; 13/5; ; 45/17; 13/5; 13/5; 13/5; ; ; ; 13/5; ; 5/2; ; ; 45/17; 13/5; 13/5; 27/10; 28/11; ; 9/4; ; 
META; english/league-1/rotherham-v-afc-wimbledon; 2018-01-28 22:23:51 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Rotherham; 1; 10/11; 21/20; 21/20; 27/25; 21/20; 1; ; 1; 21/20; 1; 21/20; ; ; ; 1; ; 1; ; ; 1; 21/20; 21/20; 1; 21/20; ; 5/6; ; 
Draw; 5/2; 5/2; 11/5; 12/5; 127/ 50; 13/5; 12/5; ; 5/2; 11/5; 5/2; 23/10; ; ; ; 12/5; ; 40/17; ; ; 5/2; 12/5; 5/2; 23/10; 12/5; ; 2; ; 
AFC Wimbledon; 13/5; 3; 27/10; 13/5; 141/ 50; 29/10; 13/5; ; 45/17; 27/10; 13/5; 13/5; ; ; ; 13/5; ; 5/2; ; ; 45/17; 14/5; 13/5; 27/10; 28/11; ; 23/10; ; 
META; english/league-1/rotherham-v-afc-wimbledon; 2018-01-29 02:20:45 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Rotherham; 1; 10/11; 21/20; 21/20; 27/25; 21/20; 1; ; 1; 21/20; 1; 21/20; ; ; ; 1; ; 1; ; ; 1; 21/20; 21/20; 1; 21/20; ; 10/11; ; 
Draw; 5/2; 5/2; 11/5; 12/5; 127/ 50; 13/5; 12/5; ; 5/2; 11/5; 5/2; 23/10; ; ; ; 12/5; ; 40/17; ; ; 5/2; 12/5; 5/2; 23/10; 12/5; ; 2; ; 
AFC Wimbledon; 13/5; 3; 27/10; 13/5; 141/ 50; 29/10; 13/5; ; 45/17; 27/10; 13/5; 13/5; ; ; ; 13/5; ; 5/2; ; ; 45/17; 14/5; 13/5; 27/10; 28/11; ; 23/10; ; 
META; english/league-1/rotherham-v-afc-wimbledon; 2018-01-29 10:20:42 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Rotherham; 21/20; 10/11; 21/20; 21/20; 11/10; 21/20; 21/20; ; 1; 21/20; 21/20; 21/20; ; ; 21/20; 21/20; 1; 21/20; 1; 68/67; 1; 21/20; 21/20; 1; 21/20; ; 10/11; ; 
Draw; 5/2; 5/2; 11/5; 12/5; 63/25; 13/5; 12/5; ; 5/2; 11/5; 5/2; 23/10; ; ; 12/5; 12/5; 12/5; 40/17; 12/5; 9/4; 5/2; 12/5; 5/2; 23/10; 12/5; ; 2; ; 
