META; english/league-1/charlton-v-blackburn; 2018-04-22 14:21:20 GMT+3; 2018-04-28 15:00; Nothing; Xlenovo
Blackburn; 13/10; 11/8; 29/20; 13/10; 13/10; 11/8; 5/4; 11/8; 5/4; 27/20; 2/9
Charlton; 2; 9/5; 19/10; 19/10; 9/5; 19/10; 37/19; 2; 37/19; 7/4; 1/4
Draw; 12/5; 23/10; 23/10; 23/10; 11/5; 12/5; 23/10; 12/5; 40/17; 21/10; 1/4
META; english/league-1/charlton-v-blackburn; 2018-04-22 18:20:50 GMT+3; 2018-04-28 15:00; Nothing; Xlenovo
Blackburn; 13/10; 11/8; 139/00; 29/20; 13/10; 13/10; 11/8; 11/8; 5/4; 11/8; 5/4; 27/20; 27/20
Charlton; 2; 9/5; 21/10; 19/10; 9/5; 19/10; 19/10; 37/19; 2; 37/19; 7/4; 2; 
Draw; 12/5; 23/10; 63/25; 23/10; 11/5; 12/5; 12/5; 23/10; 12/5; 40/17; 21/10; 12/5; 
META; english/league-1/charlton-v-blackburn; 2018-04-22 22:20:18 GMT+3; 2018-04-28 15:00; Nothing; Xlenovo
Blackburn; 13/10; 11/8; 139/00; 29/20; 13/10; 13/10; 11/8; 11/8; 11/8; 11/8; 5/4; 11/8; 5/4; 27/20; 27/20
Charlton; 2; 9/5; 21/10; 19/10; 9/5; 19/10; 19/10; 19/10; 19/10; 19/10; 2; 37/19; 9/5; 2; 
Draw; 12/5; 23/10; 63/25; 23/10; 11/5; 12/5; 12/5; 12/5; 12/5; 23/10; 12/5; 23/10; 11/5; 12/5; 
META; english/league-1/charlton-v-blackburn; 2018-04-23 02:20:39 GMT+3; 2018-04-28 15:00; Nothing; Xlenovo
Blackburn; 13/10; 11/8; 139/00; 29/20; 13/10; 13/10; 11/8; 11/8; 11/8; 11/8; 5/4; 11/8; 5/4; 27/20; 27/20
Charlton; 2; 9/5; 21/10; 19/10; 9/5; 19/10; 19/10; 2; 19/10; 19/10; 2; 37/19; 9/5; 2; 
Draw; 12/5; 23/10; 63/25; 23/10; 11/5; 12/5; 12/5; 5/2; 12/5; 23/10; 12/5; 23/10; 21/10; 12/5; 
META; english/league-1/charlton-v-blackburn; 2018-04-23 10:20:37 GMT+3; 2018-04-28 15:00; Nothing; Xlenovo
Blackburn; 13/10; 11/8; 139/00; 29/20; 13/10; 13/10; 23/18; 11/8; 11/8; 11/8; 11/8; 5/4; 23/18; 11/8; 5/4; 27/20; 27/20
Charlton; 2; 9/5; 21/10; 19/10; 9/5; 39/19; 19/10; 19/10; 2; 19/10; 37/19; 39/19; 2; 37/19; 7/4; 2; 
Draw; 12/5; 23/10; 63/25; 23/10; 11/5; 40/17; 12/5; 12/5; 5/2; 12/5; 23/10; 40/17; 12/5; 23/10; 21/10; 12/5; 
META; english/league-1/charlton-v-blackburn; 2018-04-23 14:20:57 GMT+3; 2018-04-28 15:00; Nothing; Xlenovo
Blackburn; 13/10; 11/8; 139/00; 29/20; 13/10; 13/10; 23/18; 11/8; 11/8; 11/8; 11/8; 5/4; 23/18; 11/8; 5/4; 27/20; 27/20
Charlton; 2; 9/5; 21/10; 19/10; 9/5; 39/19; 19/10; 19/10; 2; 19/10; 37/19; 39/19; 2; 37/19; 9/5; 2; 
Draw; 12/5; 23/10; 63/25; 23/10; 11/5; 40/17; 12/5; 12/5; 5/2; 12/5; 23/10; 40/17; 12/5; 23/10; 21/10; 12/5; 
META; english/league-1/charlton-v-blackburn; 2018-04-23 18:20:59 GMT+3; 2018-04-28 15:00; Nothing; Xlenovo
Blackburn; 13/10; 11/8; 139/00; 29/20; 11/8; 13/10; 23/18; 11/8; 11/8; 11/8; 11/8; 5/4; 23/18; 11/8; 5/4; 27/20; 27/20
Charlton; 2; 9/5; 21/10; 19/10; 9/5; 39/19; 19/10; 19/10; 2; 19/10; 37/19; 39/19; 2; 37/19; 9/5; 2; 
Draw; 12/5; 23/10; 63/25; 23/10; 11/5; 40/17; 12/5; 12/5; 5/2; 12/5; 23/10; 40/17; 12/5; 23/10; 21/10; 12/5; 
META; english/league-1/charlton-v-blackburn; 2018-04-23 22:20:56 GMT+3; 2018-04-28 15:00; Nothing; Xlenovo
Blackburn; 13/10; 11/8; 27/20; 36/25; 13/10; 11/8; 13/10; 23/18; 27/20; 11/8; 11/8; 27/20; 11/8; 11/8; 5/4; 13/10; 23/18; 11/8; 13/10; 21/20; 7/5
Charlton; 2; 9/5; 2; 21/10; 2; 39/19; 2; 21/10; 41/20; 2; 19/10; 2; 39/19; 2; 37/19; 6/4; 2; ; ; ; 
Draw; 12/5; 23/10; 9/4; 61/25; 12/5; 9/4; 23/10; 40/17; 11/5; 12/5; 21/10; 9/4; 5/2; 9/4; 9/4; 23/10; 40/17; 12/5; 23/10; 19/10; 23/10
META; english/league-1/charlton-v-blackburn; 2018-04-24 02:20:37 GMT+3; 2018-04-28 15:00; Nothing; Xlenovo
Blackburn; 13/10; 11/8; 27/20; 36/25; 13/10; 11/8; 13/10; 23/18; 27/20; 11/8; 11/8; 27/20; 11/8; 13/10; 5/4; 13/10; 23/18; 11/8; 13/10; 21/20; 7/5
Charlton; 2; 9/5; 2; 21/10; 2; 39/19; 2; 21/10; 21/10; 2; 37/19; 2; 39/19; 2; 6/4; 2; ; ; ; ; 
Draw; 12/5; 23/10; 9/4; 61/25; 12/5; 9/4; 23/10; 40/17; 11/5; 12/5; 21/10; 23/10; 5/2; 23/10; 9/4; 23/10; 40/17; 12/5; 9/4; 19/10; 23/10
META; english/league-1/charlton-v-blackburn; 2018-04-24 10:20:32 GMT+3; 2018-04-28 15:00; Nothing; Xlenovo
Blackburn; 13/10; 11/8; 27/20; 36/25; 13/10; 11/8; 13/10; 23/18; 13/10; 13/10; 11/8; 27/20; 11/8; 13/10; 5/4; 13/10; 19/16; 23/18; 13/10; 13/10; 20/21; 7/5
Charlton; 2; 9/5; 2; 21/10; 2; 39/19; 2; 21/10; 21/10; 41/20; 2; 37/19; 2; 13/7; 39/19; 21/10; 37/19; 5/4; 2; ; ; 
Draw; 12/5; 23/10; 9/4; 61/25; 12/5; 23/10; 23/10; 40/17; 11/5; 12/5; 21/10; 9/4; 5/2; 23/10; 9/4; 23/10; 12/5; 40/17; 12/5; 9/4; 19/10; 23/10
META; english/league-1/charlton-v-blackburn; 2018-04-24 14:20:52 GMT+3; 2018-04-28 15:00; Nothing; Xlenovo
Blackburn; 13/10; 11/8; 27/20; 36/25; 13/10; 11/8; 13/10; 23/18; 13/10; 13/10; 11/8; 11/8; 27/20; 11/8; 13/10; 5/4; 13/10; 19/16; 23/18; 13/10; 13/10; 20/21; 7/5
Charlton; 2; 9/5; 2; 21/10; 2; 39/19; 2; 21/10; 21/10; 2; 41/20; 2; 37/19; 2; 13/7; 39/19; 21/10; 37/19; 5/4; 2; ; ; 
Draw; 12/5; 23/10; 9/4; 61/25; 12/5; 23/10; 23/10; 40/17; 11/5; 12/5; 21/10; 23/10; 9/4; 5/2; 23/10; 9/4; 23/10; 12/5; 40/17; 12/5; 9/4; 19/10; 23/10
META; english/league-1/charlton-v-blackburn; 2018-04-24 18:20:42 GMT+3; 2018-04-28 15:00; Nothing; Xlenovo
Blackburn; 13/10; 27/20; 37/25; 13/10; 11/8; 13/10; 23/18; 27/20; 13/10; 11/8; 11/8; 27/20; 11/8; 13/10; 13/10; 13/10; 19/16; 23/18; 13/10; 13/10; 6/5; 7/5
Charlton; 2; 2; 52/25; 21/10; 2; 39/19; 21/10; 21/10; 21/10; 2; 41/20; 2; 2; 13/7; 39/19; 21/10; 2; 21/10; 2; ; ; 
