META; english/league-1/oxford-v-scunthorpe; 2018-03-25 14:33:54 GMT+2; 2018-03-30 12:45; Nothing; Xlenovo
Scunthorpe; 31/20; 3/2; 8/5; 6/4; 7/5; 6/4; 6/4; 16/11; 31/20; 6/4; 6/4; 6/5; 6/4
Oxford; 13/8; 17/10; 9/5; 17/10; 13/8; 7/4; 17/10; 28/17; 7/4; 17/10; 17/10; 7/5; 7/4
Draw; 12/5; 12/5; 63/25; 23/10; 9/4; 12/5; 12/5; 23/10; 12/5; 12/5; 9/4; 19/10; 12/5
META; english/league-1/oxford-v-scunthorpe; 2018-03-25 18:33:48 GMT+2; 2018-03-30 12:45; Nothing; Xlenovo
Scunthorpe; 31/20; 3/2; 31/20; 169/00; 8/5; 6/4; 13/8; 31/20; 8/5; 31/20; 8/5; 6/4; 17/11; 13/8; 31/20; 31/20; 7/5; 13/8; 
Oxford; 13/8; 17/10; 17/10; 89/50; 17/10; 17/10; 28/17; 33/20; 13/8; 17/10; 17/10; 17/10; 28/17; 28/17; 17/10; 33/20; 28/17; 13/8; 17/10
Draw; 12/5; 12/5; 23/10; 12/5; 9/4; 23/10; 9/4; 9/4; 5/2; 12/5; 23/10; 12/5; 11/5; 9/4; 5/2; 47/20; 11/5; 19/10; 23/10
META; english/league-1/oxford-v-scunthorpe; 2018-03-25 22:33:40 GMT+2; 2018-03-30 12:45; Nothing; Xlenovo
Scunthorpe; 31/20; 6/4; 31/20; 169/00; 8/5; 8/5; 13/8; 31/20; 8/5; 31/20; 8/5; 6/4; 17/11; 13/8; 31/20; 31/20; 6/5; 6/4; 13/8; 
Oxford; 13/8; 17/10; 17/10; 89/50; 17/10; 13/8; 28/17; 33/20; 13/8; 17/10; 17/10; 17/10; 28/17; 28/17; 17/10; 33/20; 28/17; 5/4; 13/8; 17/10
Draw; 12/5; 12/5; 23/10; 12/5; 9/4; 23/10; 9/4; 9/4; 5/2; 23/10; 23/10; 12/5; 11/5; 9/4; 5/2; 47/20; 11/5; 19/10; 2; 23/10
META; english/league-1/oxford-v-scunthorpe; 2018-03-26 02:33:35 GMT+2; 2018-03-30 12:45; Nothing; Xlenovo
Scunthorpe; 31/20; 6/4; 31/20; 29/20; 169/00; 8/5; 8/5; 13/8; 31/20; 8/5; 31/20; 8/5; 8/5; 6/4; 17/11; 17/11; 13/8; 31/20; 31/20; 6/5; 6/4; 13/8; 
Oxford; 13/8; 17/10; 17/10; 6/4; 89/50; 13/8; 13/8; 28/17; 33/20; 13/8; 17/10; 17/10; 17/10; 17/10; 8/5; 8/5; 28/17; 17/10; 33/20; 28/17; 5/4; 13/8; 17/10
Draw; 12/5; 12/5; 23/10; 11/5; 12/5; 9/4; 23/10; 9/4; 9/4; 5/2; 23/10; 23/10; 47/20; 12/5; 11/5; 12/5; 9/4; 5/2; 47/20; 11/5; 19/10; 2; 23/10
META; english/league-1/oxford-v-scunthorpe; 2018-03-26 10:33:40 GMT+2; 2018-03-30 12:45; Nothing; Xlenovo
Scunthorpe; 31/20; 6/4; 31/20; 6/4; 33/20; 8/5; 8/5; 13/8; 31/20; 8/5; 31/20; 6/4; 8/5; 8/5; 6/4; 6/4; 17/11; 13/8; 31/20; 31/20; 6/4; 13/8; 
Oxford; 13/8; 17/10; 17/10; 13/8; 89/50; 17/10; 13/8; 28/17; 33/20; 17/10; 17/10; 17/10; 17/10; 13/8; 17/10; 8/5; 8/5; 28/17; 17/10; 33/20; 28/17; 13/8; 7/4
Draw; 12/5; 12/5; 23/10; 9/4; 123/0; 23/10; 23/10; 9/4; 9/4; 12/5; 23/10; 12/5; 47/20; 12/5; 12/5; 9/4; 12/5; 9/4; 5/2; 47/20; 9/4; 2; 12/5
META; english/league-1/oxford-v-scunthorpe; 2018-03-26 14:33:44 GMT+2; 2018-03-30 12:45; Nothing; Xlenovo
Scunthorpe; 31/20; 6/4; 31/20; 6/4; 167/00; 8/5; 8/5; 17/11; 31/20; 8/5; 31/20; 8/5; 8/5; 8/5; 6/4; 6/4; 17/11; 31/21; 17/11; 31/20; 31/20; 4/9; 13/8; 13/8; 
Oxford; 13/8; 17/10; 17/10; 13/8; 44/25; 13/8; 13/8; 28/17; 33/20; 17/10; 17/10; 17/10; 17/10; 13/8; 17/10; 8/5; 8/5; 18/11; 28/17; 17/10; 33/20; 28/17; 6/4; 17/10; 17/10
Draw; 12/5; 12/5; 23/10; 9/4; 123/0; 23/10; 23/10; 40/17; 9/4; 12/5; 12/5; 23/10; 47/20; 12/5; 12/5; 9/4; 12/5; 40/17; 5/2; 47/20; 9/4; 19/10; 12/5; 12/5; 
META; english/league-1/oxford-v-scunthorpe; 2018-03-26 18:33:43 GMT+2; 2018-03-30 12:45; Nothing; Xlenovo
Oxford; 13/8; 17/10; 8/5; 13/8; 41/25; 8/5; 13/8; 28/17; 8/5; 8/5; 8/5; 6/4; 13/8; 8/5; 8/5; 17/11; 8/5; 20/13; 28/17; 8/5; 8/5; 8/5; 6/4; 6/4; 8/5; 13/8
Scunthorpe; 31/20; 6/4; 33/20; 6/4; 179/00; 13/8; 8/5; 17/11; 13/8; 13/8; 13/8; 7/4; 13/8; 13/8; 8/5; 8/5; 17/11; 11/7; 17/11; 13/8; 8/5; 28/17; 1/14; 8/5; 7/4; 7/4
Draw; 12/5; 12/5; 23/10; 9/4; 123/0; 23/10; 23/10; 40/17; 9/4; 5/2; 12/5; 9/4; 47/20; 12/5; 12/5; 23/10; 12/5; 27/11; 40/17; 5/2; 47/20; 23/10; 19/10; 2; 12/5; 12/5
META; english/league-1/oxford-v-scunthorpe; 2018-03-26 22:33:41 GMT+2; 2018-03-30 12:45; Nothing; Xlenovo
Oxford; 13/8; 17/10; 8/5; 13/8; 41/25; 17/10; 8/5; 13/8; 28/17; 8/5; 13/8; 8/5; 6/4; 13/8; 8/5; 8/5; 17/11; 8/5; 20/13; 28/17; 8/5; 8/5; 8/5; 6/4; 6/4; 8/5; 13/8
Scunthorpe; 31/20; 6/4; 33/20; 6/4; 179/00; 13/8; 13/8; 8/5; 17/11; 13/8; 13/8; 13/8; 7/4; 13/8; 13/8; 8/5; 8/5; 17/11; 11/7; 17/11; 17/10; 8/5; 28/17; 13/8; 8/5; 7/4; 7/4
Draw; 12/5; 12/5; 23/10; 9/4; 123/0; 12/5; 23/10; 23/10; 40/17; 9/4; 12/5; 12/5; 9/4; 47/20; 12/5; 12/5; 23/10; 12/5; 27/11; 40/17; 12/5; 47/20; 23/10; 21/10; 2; 12/5; 12/5
META; english/league-1/oxford-v-scunthorpe; 2018-03-27 02:33:43 GMT+2; 2018-03-30 12:45; Nothing; Xlenovo
Oxford; 13/8; 8/5; 8/5; 13/8; 41/25; 17/10; 8/5; 13/8; 28/17; 8/5; 13/8; 8/5; 6/4; 13/8; 8/5; 8/5; 17/11; 8/5; 20/13; 28/17; 8/5; 8/5; 8/5; 6/4; 6/4; 8/5; 13/8
Scunthorpe; 31/20; 13/8; 33/20; 6/4; 179/00; 13/8; 13/8; 8/5; 17/11; 13/8; 13/8; 13/8; 7/4; 13/8; 13/8; 8/5; 8/5; 17/11; 11/7; 17/11; 17/10; 8/5; 28/17; 6/4; 8/5; 7/4; 7/4
Draw; 12/5; 12/5; 23/10; 9/4; 123/0; 12/5; 23/10; 23/10; 40/17; 9/4; 12/5; 12/5; 9/4; 47/20; 12/5; 12/5; 23/10; 12/5; 27/11; 40/17; 12/5; 47/20; 23/10; 11/5; 2; 12/5; 12/5
META; english/league-1/oxford-v-scunthorpe; 2018-03-27 10:33:50 GMT+2; 2018-03-30 12:45; Nothing; Xlenovo
Oxford; 13/8; 8/5; 8/5; 13/8; 41/25; 17/10; 8/5; 13/8; 28/17; 8/5; 13/8; 8/5; 6/4; 13/8; 8/5; 8/5; 17/11; 8/5; 20/13; 28/17; 8/5; 8/5; 8/5; 6/4; 6/4; 8/5; 13/8
Scunthorpe; 31/20; 13/8; 33/20; 6/4; 179/00; 13/8; 13/8; 8/5; 17/11; 13/8; 13/8; 13/8; 7/4; 13/8; 13/8; 8/5; 8/5; 17/11; 11/7; 17/11; 17/10; 8/5; 28/17; 6/4; 8/5; 7/4; 7/4
Draw; 12/5; 12/5; 23/10; 9/4; 123/0; 12/5; 23/10; 23/10; 40/17; 9/4; 12/5; 12/5; 9/4; 47/20; 12/5; 12/5; 23/10; 12/5; 27/11; 40/17; 12/5; 47/20; 23/10; 11/5; 2; 12/5; 12/5
META; english/league-1/oxford-v-scunthorpe; 2018-03-27 14:33:56 GMT+2; 2018-03-30 12:45; Nothing; Xlenovo
Oxford; 13/8; 8/5; 8/5; 13/8; 41/25; 17/10; 8/5; 13/8; 28/17; 13/8; 13/8; 8/5; 6/4; 13/8; 8/5; 8/5; 17/11; 8/5; 20/13; 28/17; 8/5; 8/5; 8/5; 6/4; 8/5; 13/8
Scunthorpe; 31/20; 13/8; 33/20; 6/4; 179/00; 13/8; 13/8; 8/5; 17/11; 33/20; 13/8; 13/8; 7/4; 13/8; 13/8; 8/5; 8/5; 17/11; 11/7; 17/11; 17/10; 8/5; 28/17; 13/8; 7/4; 7/4
Draw; 12/5; 12/5; 23/10; 9/4; 123/0; 12/5; 23/10; 23/10; 40/17; 23/10; 12/5; 12/5; 9/4; 47/20; 12/5; 12/5; 23/10; 12/5; 27/11; 40/17; 12/5; 47/20; 23/10; 21/10; 12/5; 12/5
META; english/league-1/oxford-v-scunthorpe; 2018-03-27 18:34:02 GMT+2; 2018-03-30 12:45; Nothing; Xlenovo
Oxford; 13/8; 8/5; 8/5; 13/8; 41/25; 17/10; 8/5; 13/8; 28/17; 13/8; 13/8; 8/5; 6/4; 13/8; 8/5; 8/5; 8/5; 8/5; 20/13; 28/17; 8/5; 8/5; 8/5; 6/4; 8/5; 13/8
Scunthorpe; 31/20; 13/8; 33/20; 6/4; 179/00; 13/8; 13/8; 8/5; 17/11; 33/20; 13/8; 13/8; 7/4; 13/8; 13/8; 8/5; 28/17; 17/11; 11/7; 17/11; 17/10; 8/5; 28/17; 13/8; 7/4; 7/4
Draw; 12/5; 12/5; 23/10; 9/4; 123/0; 12/5; 23/10; 23/10; 40/17; 23/10; 12/5; 12/5; 9/4; 47/20; 12/5; 12/5; 23/10; 12/5; 27/11; 40/17; 12/5; 47/20; 40/17; 21/10; 12/5; 12/5
META; english/league-1/oxford-v-scunthorpe; 2018-03-27 22:33:55 GMT+2; 2018-03-30 12:45; Nothing; Xlenovo
Oxford; 13/8; 8/5; 8/5; 13/8; 41/25; 13/8; 8/5; 6/4; 28/17; 13/8; 13/8; 8/5; 6/4; 13/8; 8/5; 8/5; 8/5; 8/5; 20/13; 28/17; 8/5; 8/5; 8/5; 6/4; 17/10; 8/5; 6/4
Scunthorpe; 31/20; 13/8; 33/20; 6/4; 179/00; 7/4; 13/8; 13/8; 17/11; 33/20; 13/8; 13/8; 7/4; 33/20; 13/8; 8/5; 28/17; 17/11; 11/7; 17/11; 17/10; 8/5; 17/10; 13/8; 7/4; 7/4; 6/4
Draw; 12/5; 12/5; 23/10; 9/4; 123/0; 12/5; 23/10; 23/10; 40/17; 23/10; 12/5; 12/5; 9/4; 47/20; 12/5; 12/5; 23/10; 12/5; 27/11; 40/17; 12/5; 47/20; 23/10; 11/5; 12/5; 12/5; 2
META; english/league-1/oxford-v-scunthorpe; 2018-03-28 02:33:47 GMT+2; 2018-03-30 12:45; Nothing; Xlenovo
Oxford; 13/8; 8/5; 8/5; 13/8; 41/25; 13/8; 8/5; 6/4; 28/17; 13/8; 8/5; 8/5; 6/4; 13/8; 8/5; 8/5; 8/5; 8/5; 20/13; 28/17; 8/5; 8/5; 8/5; 6/4; 17/10; 8/5; 17/10
