META; english/league-1/walsall-v-afc-wimbledon; 2018-04-08 14:23:08 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Walsall; 11/8; 3/2; 36/25; 7/5; 13/10; 7/5; 7/5; 23/17; 29/20; 23/17; 5/6; 7/5
AFC Wimbledon; 15/8; 17/10; 101/50; 9/5; 9/5; 19/10; 9/5; 9/5; 19/10; 9/5; 23/20; 19/10
Draw; 12/5; 9/4; 63/25; 23/10; 11/5; 12/5; 12/5; 23/10; 12/5; 40/17; 15/8; 12/5
META; english/league-1/walsall-v-afc-wimbledon; 2018-04-08 18:22:39 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Walsall; 11/8; 3/2; 36/25; 7/5; 13/10; 7/5; 7/5; 7/5; 13/10; 7/5; 23/17; 20/21; 7/5
AFC Wimbledon; 15/8; 17/10; 101/50; 15/8; 15/8; 19/10; 19/10; 15/8; 9/5; 19/10; 24/13; 7/4; 19/10
Draw; 12/5; 9/4; 63/25; 23/10; 11/5; 12/5; 23/10; 23/10; 23/10; 12/5; 40/17; 9/5; 12/5
META; english/league-1/walsall-v-afc-wimbledon; 2018-04-08 22:22:50 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Walsall; 11/8; 3/2; 36/25; 7/5; 13/10; 7/5; 7/5; 7/5; 13/10; 7/5; 23/17; 20/21; 7/5
AFC Wimbledon; 15/8; 17/10; 101/50; 15/8; 15/8; 19/10; 19/10; 9/5; 9/5; 19/10; 24/13; 7/4; 19/10
Draw; 12/5; 9/4; 63/25; 23/10; 11/5; 12/5; 23/10; 12/5; 23/10; 12/5; 40/17; 9/5; 12/5
META; english/league-1/walsall-v-afc-wimbledon; 2018-04-09 02:22:43 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Walsall; 11/8; 3/2; 36/25; 7/5; 13/10; 7/5; 7/5; 7/5; 13/10; 7/5; 23/17; 20/21; 7/5
AFC Wimbledon; 15/8; 17/10; 101/50; 15/8; 15/8; 19/10; 19/10; 15/8; 9/5; 19/10; 24/13; 7/4; 19/10
Draw; 12/5; 9/4; 63/25; 23/10; 11/5; 12/5; 23/10; 23/10; 23/10; 12/5; 40/17; 9/5; 12/5
META; english/league-1/walsall-v-afc-wimbledon; 2018-04-09 10:22:47 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Walsall; 11/8; 3/2; 36/25; 11/8; 13/10; 4/3; 7/5; 7/5; 7/5; 7/5; 13/10; 23/17; 4/3; 29/20; 13/10; 21/20; 7/5
AFC Wimbledon; 15/8; 17/10; 101/50; 15/8; 9/5; 37/19; 19/10; 19/10; 19/10; 15/8; 24/13; 24/13; 37/19; 19/10; 24/13; 7/4; 19/10
Draw; 12/5; 9/4; 63/25; 23/10; 23/10; 40/17; 12/5; 23/10; 23/10; 23/10; 23/10; 12/5; 40/17; 12/5; 23/10; 11/5; 12/5
META; english/league-1/walsall-v-afc-wimbledon; 2018-04-09 14:23:01 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Walsall; 11/8; 3/2; 13/10; 36/25; 11/8; 13/10; 4/3; 7/5; 7/5; 7/5; 7/5; 13/10; 23/17; 4/3; 29/20; 13/10; 21/20; 11/8
AFC Wimbledon; 15/8; 17/10; 9/5; 101/50; 15/8; 9/5; 37/19; 19/10; 19/10; 19/10; 15/8; 24/13; 24/13; 37/19; 19/10; 24/13; 7/4; 19/10
Draw; 12/5; 9/4; 23/10; 63/25; 23/10; 23/10; 40/17; 12/5; 23/10; 23/10; 23/10; 23/10; 12/5; 40/17; 12/5; 23/10; 11/5; 12/5
META; english/league-1/walsall-v-afc-wimbledon; 2018-04-09 18:22:52 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Walsall; 7/5; 13/10; 29/20; 23/20; 6/4; 7/5; 7/5; 13/10; 4/3; 29/20; 7/5; 6/4; 29/20; 7/5; 11/8; 23/17; 6/5; 23/17; 4/3; 7/5; 7/5; 21/20; 7/5
AFC Wimbledon; 9/5; 19/10; 19/10; 11/5; 103/50; 2; 19/10; 2; 37/19; 19/10; 2; 19/10; 39/20; 19/10; 2; 24/13; 11/5; 29/16; 37/19; 2; 24/13; 7/4; 2
Draw; 12/5; 9/4; 21/10; 11/5; 47/20; 23/10; 11/5; 11/5; 40/17; 21/10; 23/10; 21/10; 43/20; 23/10; 9/4; 28/13; 23/10; 40/17; 40/17; 23/10; 11/5; 9/5; 23/10
META; english/league-1/walsall-v-afc-wimbledon; 2018-04-09 22:22:55 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Walsall; 7/5; 13/10; 29/20; 23/20; 6/4; 7/5; 7/5; 13/10; 4/3; 29/20; 7/5; 6/4; 6/4; 29/20; 7/5; 11/8; 23/17; 6/5; 23/17; 4/3; 7/5; 7/5; 1/100; 7/5
AFC Wimbledon; 9/5; 11/5; 19/10; 11/5; 103/50; 2; 19/10; 2; 37/19; 19/10; 19/10; 19/10; 15/8; 39/20; 19/10; 2; 24/13; 11/5; 29/16; 37/19; 19/10; 24/13; 7/5; 2
Draw; 12/5; 11/5; 21/10; 11/5; 47/20; 23/10; 11/5; 11/5; 40/17; 21/10; 12/5; 21/10; 23/10; 43/20; 23/10; 9/4; 28/13; 23/10; 40/17; 40/17; 12/5; 11/5; 9/5; 23/10
META; english/league-1/walsall-v-afc-wimbledon; 2018-04-10 02:22:36 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Walsall; 7/5; 7/5; 29/20; 23/20; 6/4; 7/5; 7/5; 13/10; 4/3; 29/20; 7/5; 6/4; 6/4; 29/20; 7/5; 11/8; 23/17; 13/10; 23/17; 4/3; 7/5; 7/5; 2/7; 7/5
AFC Wimbledon; 9/5; 2; 19/10; 11/5; 103/50; 2; 19/10; 2; 37/19; 19/10; 19/10; 19/10; 15/8; 39/20; 19/10; 2; 24/13; 2; 29/16; 37/19; 19/10; 24/13; 7/5; 2
Draw; 12/5; 9/4; 21/10; 11/5; 47/20; 23/10; 11/5; 11/5; 40/17; 21/10; 12/5; 21/10; 23/10; 43/20; 23/10; 23/10; 28/13; 23/10; 40/17; 40/17; 12/5; 11/5; 9/5; 23/10
META; english/league-1/walsall-v-afc-wimbledon; 2018-04-10 10:22:45 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Walsall; 7/5; 7/5; 29/20; 23/20; 37/25; 7/5; 7/5; 13/10; 4/3; 29/20; 7/5; 6/4; 6/4; 29/20; 13/10; 11/8; 23/17; 13/10; 23/17; 4/3; 7/5; 7/5; 20/21; 7/5
AFC Wimbledon; 9/5; 2; 19/10; 11/5; 97/50; 2; 19/10; 2; 37/19; 19/10; 19/10; 19/10; 15/8; 39/20; 7/4; 2; 24/13; 2; 29/16; 37/19; 19/10; 24/13; 2/7; 2
Draw; 12/5; 9/4; 21/10; 11/5; 127/50; 23/10; 9/4; 11/5; 40/17; 21/10; 12/5; 21/10; 23/10; 43/20; 21/10; 23/10; 28/13; 23/10; 40/17; 40/17; 12/5; 11/5; 9/5; 23/10
META; english/league-1/walsall-v-afc-wimbledon; 2018-04-10 14:23:11 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
