META; english/league-1/plymouth-v-rotherham; 2018-04-22 14:21:38 GMT+3; 2018-04-28 15:00; Nothing; Xlenovo
Plymouth; 5/4; 5/4; 7/5; 5/4; 13/10; 5/4; 6/5; 13/10; 6/5; 5/4; 1/5
Rotherham; 2; 2; 15/8; 2; 37/19; 2; 37/19; 9/5; 1/4; ; 
Draw; 5/2; 12/5; 12/5; 12/5; 23/10; 5/2; 12/5; 5/2; 12/5; 21/10; 1/5
META; english/league-1/plymouth-v-rotherham; 2018-04-22 18:21:08 GMT+3; 2018-04-28 15:00; Nothing; Xlenovo
Plymouth; 5/4; 5/4; 133/00; 7/5; 5/4; 13/10; 13/10; 5/4; 6/5; 13/10; 6/5; 5/4; 5/4
Rotherham; 2; 85/40; 2; 15/8; 2; 37/19; 2; 37/19; 9/5; 2; ; ; 
Draw; 5/2; 12/5; 131/0; 12/5; 12/5; 23/10; 5/2; 5/2; 12/5; 5/2; 12/5; 21/10; 5/2
META; english/league-1/plymouth-v-rotherham; 2018-04-22 22:20:35 GMT+3; 2018-04-28 15:00; Nothing; Xlenovo
Plymouth; 5/4; 5/4; 133/00; 7/5; 5/4; 13/10; 13/10; 13/10; 13/10; 13/10; 6/5; 13/10; 5/4; 5/4; 5/4
Rotherham; 2; 85/40; 2; 15/8; 2; 2; 19/10; 2; 37/19; 9/5; 2; ; ; ; 
Draw; 5/2; 12/5; 131/0; 12/5; 12/5; 23/10; 5/2; 12/5; 12/5; 12/5; 12/5; 5/2; 12/5; 21/10; 5/2
META; english/league-1/plymouth-v-rotherham; 2018-04-23 02:20:56 GMT+3; 2018-04-28 15:00; Nothing; Xlenovo
Plymouth; 5/4; 5/4; 133/00; 7/5; 5/4; 13/10; 13/10; 13/10; 11/8; 5/4; 6/5; 13/10; 5/4; 5/4; 5/4
Rotherham; 2; 85/40; 2; 15/8; 2; 2; 19/10; 2; 37/19; 9/5; 2; ; ; ; 
Draw; 5/2; 12/5; 131/0; 12/5; 12/5; 23/10; 5/2; 12/5; 5/2; 5/2; 12/5; 5/2; 12/5; 21/10; 5/2
META; english/league-1/plymouth-v-rotherham; 2018-04-23 10:20:54 GMT+3; 2018-04-28 15:00; Nothing; Xlenovo
Plymouth; 5/4; 5/4; 133/00; 7/5; 5/4; 13/10; 5/4; 13/10; 13/10; 11/8; 5/4; 6/5; 5/4; 13/10; 6/5; 5/4; 5/4
Rotherham; 2; 85/40; 2; 15/8; 39/19; 2; 2; 37/19; 39/19; 2; 37/19; 9/5; 2; ; ; ; 
Draw; 5/2; 12/5; 131/0; 12/5; 12/5; 23/10; 27/11; 5/2; 12/5; 5/2; 5/2; 12/5; 27/11; 5/2; 12/5; 21/10; 5/2
META; english/league-1/plymouth-v-rotherham; 2018-04-23 14:21:15 GMT+3; 2018-04-28 15:00; Nothing; Xlenovo
Plymouth; 5/4; 5/4; 133/00; 7/5; 5/4; 13/10; 5/4; 13/10; 13/10; 11/8; 13/10; 6/5; 5/4; 13/10; 6/5; 5/4; 5/4
Rotherham; 2; 85/40; 2; 15/8; 39/19; 2; 2; 37/19; 39/19; 2; 37/19; 9/5; 2; ; ; ; 
Draw; 5/2; 12/5; 131/0; 12/5; 12/5; 23/10; 27/11; 5/2; 12/5; 5/2; 12/5; 12/5; 27/11; 5/2; 12/5; 21/10; 5/2
META; english/league-1/plymouth-v-rotherham; 2018-04-23 18:21:17 GMT+3; 2018-04-28 15:00; Nothing; Xlenovo
