META; english/league-1/bradford-v-portsmouth; 2018-02-25 14:20:19 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Bradford; 11/10; 10/11; ; ; 6/5; ; 21/20; 10/11; ; ; 21/20; ; ; ; 1; 21/20; ; ; ; ; 11/10; 1; 21/20; ; ; 4/7; ; 
Draw; 12/5; 5/2; ; ; 63/25; ; 12/5; 9/4; ; ; 12/5; ; ; ; 12/5; 12/5; ; ; ; ; 5/2; 12/5; 12/5; ; ; 19/10; ; 
Portsmouth; 12/5; 14/5; ; ; 62/25; ; 12/5; 13/5; ; ; 13/5; ; ; ; 11/4; 13/5; ; ; ; ; 5/2; 29/10; 49/20; ; ; 7/5; ; 
META; english/league-1/bradford-v-portsmouth; 2018-02-25 18:20:18 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Bradford; 21/20; 10/11; 11/10; ; 29/25; ; 21/20; 10/11; ; 11/10; 21/20; ; 23/20; ; 11/10; 21/20; 21/20; ; ; ; 11/10; 11/10; 21/20; 21/20; ; 5/6; ; 
Draw; 12/5; 5/2; 23/10; ; 5/2; ; 12/5; 23/10; ; 23/10; 5/2; ; 23/10; ; 12/5; ; 23/10; ; ; ; 5/2; 5/2; 12/5; 23/10; ; 9/5; ; 
Portsmouth; 5/2; 14/5; 12/5; ; 13/5; ; 5/2; 5/2; ; 12/5; 5/2; ; 5/2; ; 12/5; 13/5; 12/5; ; ; ; 5/2; 5/2; 49/20; 12/5; ; 9/5; ; 
META; english/league-1/bradford-v-portsmouth; 2018-02-25 22:20:18 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Bradford; 11/8; 11/8; 26/19; ; 149/100; ; 7/5; 6/5; ; 11/8; 11/8; ; 23/20; ; 11/8; 7/5; 23/17; ; 14/11; ; 7/5; 11/8; 27/20; 23/17; ; 5/6; ; 
Draw; 23/10; 12/5; 9/4; ; 59/25; ; 9/4; 11/5; ; 11/5; 23/10; ; 23/10; ; 12/5; 23/10; 28/13; ; 12/5; ; 12/5; 12/5; 23/10; 11/5; ; 9/5; ; 
Portsmouth; 2; 19/10; 2; ; 103/50; ; 19/10; 2; ; 19/10; 2; ; 5/2; ; 19/10; 19/10; 24/13; ; 33/19; ; 2; 2; 39/20; 19/10; ; 4/11; ; 
META; english/league-1/bradford-v-portsmouth; 2018-02-26 02:19:54 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Bradford; 11/8; 11/8; 26/19; ; 149/100; ; 7/5; 6/5; ; 11/8; 11/8; 11/8; 23/20; ; 11/8; 11/8; 23/17; ; 14/11; ; 7/5; 11/8; 27/20; 23/17; ; 5/6; ; 
Draw; 23/10; 12/5; 9/4; ; 59/25; ; 11/5; 11/5; ; 11/5; 23/10; 23/10; 23/10; ; 12/5; 23/10; 28/13; ; 12/5; ; 12/5; 12/5; 23/10; 11/5; ; 9/5; ; 
Portsmouth; 2; 19/10; 2; ; 103/50; ; 19/10; 2; ; 19/10; 2; 2; 5/2; ; 19/10; 2; 19/10; ; 33/19; ; 2; 2; 39/20; 19/10; ; 4/11; ; 
META; english/league-1/bradford-v-portsmouth; 2018-02-26 10:19:56 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Bradford; 11/8; 11/8; 26/19; 11/8; 139/100; ; 11/8; 6/5; 23/18; 11/8; 11/8; 11/8; 23/20; ; 11/8; 11/8; 23/17; 23/17; 14/11; 23/18; 7/5; 11/8; 27/20; 23/17; ; 21/20; ; 
Draw; 23/10; 12/5; 9/4; 9/4; 62/25; ; 9/4; 11/5; 40/17; 11/5; 12/5; 23/10; 23/10; ; 12/5; 23/10; 11/5; 9/4; 12/5; 40/17; 12/5; 12/5; 23/10; 11/5; ; 9/5; ; 
Portsmouth; 19/10; 19/10; 2; 2; 85/40; ; 19/10; 2; 39/19; 19/10; 19/10; 2; 5/2; ; 19/10; 2; 19/10; 37/19; 33/19; 39/19; 2; 2; 39/20; 19/10; ; 13/8; ; 
META; english/league-1/bradford-v-portsmouth; 2018-02-26 14:20:34 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
