META; english/league-1/walsall-v-blackpool; 2017-10-08 02:22:30 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Walsall; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Blackpool; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-1/walsall-v-blackpool; 2017-10-08 10:23:12 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Walsall; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Blackpool; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-1/walsall-v-blackpool; 2017-10-08 14:23:29 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Walsall; 11/8; 7/5; ; ; 7/5; ; 7/5; 13/10; ; ; ; ; ; ; ; 7/5; ; 23/17; 143/100; ; ; ; 29/20; 11/8; ; 5/6; ; 
Blackpool; 15/8; 9/5; ; ; 15/8; ; 19/10; 15/8; ; ; ; ; ; ; ; 15/8; ; 9/5; 101/50; ; ; ; 19/10; 37/20; ; 23/20; ; 
Draw; 12/5; 23/10; ; ; 12/5; ; 12/5; 5/2; ; ; ; ; ; ; ; 12/5; ; 23/10; 127/50; ; ; ; 12/5; 47/20; ; 21/10; ; 
META; english/league-1/walsall-v-blackpool; 2017-10-08 18:23:06 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Walsall; 11/8; 7/5; 7/5; ; 7/5; ; 6/4; 13/10; 23/17; 11/8; ; ; 7/5; 7/5; 7/5; 7/5; ; 7/5; 149/100; 5/4; 23/17; 7/5; 7/5; 27/20; ; 13/10; ; 
Blackpool; 15/8; 9/5; 28/15; ; 15/8; ; 15/8; 15/8; 19/10; 15/8; ; ; 15/8; 2; 9/5; 15/8; ; 9/5; 193/100; 29/16; 19/10; 15/8; 9/5; 19/10; ; 7/4; ; 
Draw; 12/5; 23/10; 23/10; ; 12/5; ; 23/10; 12/5; 40/17; 23/10; ; ; 12/5; 13/5; 5/2; 12/5; ; 23/10; 127/50; 13/5; 40/17; 12/5; 13/5; 47/20; ; 21/10; ; 
META; english/league-1/walsall-v-blackpool; 2017-10-08 22:22:58 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Walsall; 11/8; 7/5; 7/5; ; 7/5; ; 6/4; 13/10; 23/17; 11/8; 7/5; ; 7/5; 7/5; 7/5; 7/5; ; 7/5; 73/50; 5/4; 23/17; 7/5; 7/5; 27/20; ; 1; ; 
Blackpool; 15/8; 9/5; 28/15; ; 15/8; ; 15/8; 15/8; 19/10; 15/8; 15/8; ; 15/8; 2; 9/5; 15/8; ; 9/5; 49/25; 29/16; 19/10; 15/8; 9/5; 19/10; ; 7/4; ; 
Draw; 12/5; 23/10; 23/10; ; 12/5; ; 23/10; 12/5; 40/17; 23/10; 12/5; ; 12/5; 13/5; 5/2; 12/5; ; 23/10; 51/20; 13/5; 40/17; 12/5; 13/5; 47/20; ; 21/10; ; 
META; english/league-1/walsall-v-blackpool; 2017-10-09 02:22:12 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Walsall; 11/8; 7/5; 16/11; 6/4; 7/5; ; 6/4; 13/10; 23/17; 7/5; 7/5; ; 6/4; 7/5; 7/5; 7/5; ; 7/5; 6/4; 5/4; 23/17; 7/5; 7/5; 27/20; ; 7/5; ; 
Blackpool; 15/8; 9/5; 9/5; 9/5; 15/8; ; 15/8; 15/8; 19/10; 9/5; 15/8; ; 15/8; 2; 9/5; 9/5; ; 9/5; 97/50; 29/16; 19/10; 15/8; 9/5; 19/10; ; 9/5; ; 
