META; english/league-1/wigan-v-afc-wimbledon; 2018-04-22 14:21:45 GMT+3; 2018-04-28 15:00; Nothing; Xlenovo
Wigan; 1/2; 1/2; 40/85; 1/2; 2/5; 1/2; 10/21; 1/2; 10/21; 4/9; 1/14
Draw; 10/3; 3; 16/5; 16/5; 3; 16/5; 16/5; 10/3; 16/5; 14/5; 1/20
AFC Wimbledon; 5; 13/2; 5; 11/2; 5; 47/10; 6; 19/4; 28/5; 1/16; 
META; english/league-1/wigan-v-afc-wimbledon; 2018-04-22 18:21:15 GMT+3; 2018-04-28 15:00; Nothing; Xlenovo
Wigan; 1/2; 1/2; 14/25; 40/85; 1/2; 2/5; 1/2; 1/2; 10/21; 1/2; 10/21; 4/9; 8/15
Draw; 10/3; 3; 7/2; 16/5; 16/5; 3; 10/3; 16/5; 16/5; 10/3; 16/5; 14/5; 10/3
AFC Wimbledon; 5; 26/5; 13/2; 5; 11/2; 11/2; 5; 47/10; 6; 19/4; 28/5; 5; 
META; english/league-1/wigan-v-afc-wimbledon; 2018-04-22 22:20:42 GMT+3; 2018-04-28 15:00; Nothing; Xlenovo
Wigan; 1/2; 1/2; 14/25; 40/85; 1/2; 2/5; 1/2; 1/2; 1/2; 1/2; 10/21; 1/2; 10/21; 4/9; 1/2
Draw; 10/3; 3; 7/2; 16/5; 16/5; 3; 10/3; 10/3; 100/0; 16/5; 16/5; 10/3; 13/4; 14/5; 3
AFC Wimbledon; 5; 26/5; 13/2; 5; 11/2; 11/2; 11/2; 5; 19/4; 11/2; 24/5; 28/5; 5; ; 
META; english/league-1/wigan-v-afc-wimbledon; 2018-04-23 02:21:03 GMT+3; 2018-04-28 15:00; Nothing; Xlenovo
Wigan; 1/2; 1/2; 14/25; 40/85; 1/2; 2/5; 1/2; 1/2; 9/20; 1/2; 10/21; 1/2; 10/21; 4/9; 1/2
Draw; 10/3; 3; 7/2; 16/5; 16/5; 3; 10/3; 10/3; 3; 16/5; 16/5; 10/3; 13/4; 14/5; 3
AFC Wimbledon; 5; 26/5; 13/2; 5; 11/2; 11/2; 11/2; 9/2; 11/2; 19/4; 6; 24/5; 28/5; 5; 
META; english/league-1/wigan-v-afc-wimbledon; 2018-04-23 10:21:01 GMT+3; 2018-04-28 15:00; Nothing; Xlenovo
