META; english/league-1/portsmouth-v-peterborough; 2018-04-29 18:20:17 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Portsmouth; 11/10; 11/10; 117/00; 11/10; 1; 21/20; 11/10; 21/20; 23/20; 21/20; 5/6; 10/9
Draw; 12/5; 12/5; 123/0; 23/10; 12/5; 23/10; 12/5; 23/10; 12/5; 40/17; 19/10; 12/5
Peterborough; 12/5; 12/5; 121/0; 23/10; 23/10; 11/5; 12/5; 23/10; 5/2; 40/17; 7/4; 23/10
META; english/league-1/portsmouth-v-peterborough; 2018-04-29 22:20:04 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Portsmouth; 11/10; 11/10; 117/00; 11/10; 1; 11/10; 21/20; 11/10; 21/20; 5/6; 10/9; 
Draw; 12/5; 12/5; 123/0; 23/10; 12/5; 23/10; 5/2; 23/10; 12/5; 40/17; 19/10; 12/5
Peterborough; 12/5; 12/5; 121/0; 12/5; 23/10; 23/10; 12/5; 23/10; 13/5; 40/17; 19/10; 23/10
META; english/league-1/portsmouth-v-peterborough; 2018-04-30 02:19:48 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Portsmouth; 11/10; 11/10; 117/00; 11/10; 1; 21/20; 11/10; 21/20; 11/10; 21/20; 10/11; 10/9; 
Draw; 12/5; 12/5; 123/0; 23/10; 23/10; 23/10; 13/5; 5/2; 23/10; 12/5; 40/17; 19/10; 12/5
Peterborough; 12/5; 12/5; 121/0; 12/5; 12/5; 23/10; 5/2; 12/5; 23/10; 13/5; 40/17; 21/10; 23/10
META; english/league-1/portsmouth-v-peterborough; 2018-04-30 10:19:54 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Portsmouth; 11/10; 11/10; 117/00; 21/20; 11/10; 1; 13/12; 1; 21/20; 11/10; 11/10; 21/20; 11/10; 13/12; 11/10; 21/20; 1; 10/9
Peterborough; 12/5; 12/5; 121/0; 5/2; 23/10; 23/10; 27/11; 9/4; 12/5; 12/5; 12/5; 23/10; 12/5; 27/11; 5/2; 40/17; 9/4; 23/10
Draw; 12/5; 12/5; 123/0; 27/10; 12/5; 5/2; 27/11; 12/5; 13/5; 12/5; 5/2; 40/17; 23/10; 27/11; 5/2; 40/17; 12/5; 12/5
META; english/league-1/portsmouth-v-peterborough; 2018-04-30 14:20:32 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Portsmouth; 11/10; 11/10; 117/00; 11/10; 11/10; 1; 13/12; 21/20; 21/20; 11/10; 11/10; 21/20; 11/10; 13/12; 11/10; 21/20; 1; 10/9
Peterborough; 12/5; 12/5; 121/0; 12/5; 23/10; 11/5; 27/11; 11/5; 12/5; 12/5; 12/5; 40/17; 12/5; 27/11; 5/2; 40/17; 21/10; 23/10
Draw; 12/5; 12/5; 123/0; 13/5; 12/5; 12/5; 27/11; 12/5; 13/5; 12/5; 5/2; 40/17; 23/10; 27/11; 12/5; 40/17; 23/10; 12/5
META; english/league-1/portsmouth-v-peterborough; 2018-04-30 18:20:32 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Portsmouth; 11/10; 11/10; 117/00; 11/10; 11/10; 1; 13/12; 21/20; 21/20; 11/10; 11/10; 21/20; 11/10; 13/12; 11/10; 21/20; 1; 10/9
Peterborough; 12/5; 12/5; 121/0; 12/5; 23/10; 11/5; 27/11; 11/5; 12/5; 12/5; 12/5; 40/17; 12/5; 27/11; 5/2; 40/17; 21/10; 23/10
Draw; 12/5; 12/5; 123/0; 13/5; 23/10; 12/5; 27/11; 23/10; 13/5; 12/5; 5/2; 40/17; 23/10; 27/11; 12/5; 40/17; 23/10; 12/5
META; english/league-1/portsmouth-v-peterborough; 2018-04-30 22:20:31 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Portsmouth; 11/10; 11/10; 117/00; 11/10; 11/10; 1; 13/12; 21/20; 21/20; 11/10; 11/10; 21/20; 11/10; 13/12; 11/10; 21/20; 1; 10/9
Peterborough; 12/5; 12/5; 121/0; 12/5; 23/10; 11/5; 27/11; 11/5; 12/5; 12/5; 12/5; 40/17; 12/5; 27/11; 5/2; 40/17; 21/10; 23/10
Draw; 12/5; 12/5; 123/0; 13/5; 23/10; 12/5; 27/11; 23/10; 13/5; 12/5; 5/2; 40/17; 23/10; 27/11; 12/5; 40/17; 23/10; 12/5
META; english/league-1/portsmouth-v-peterborough; 2018-05-01 02:20:20 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Portsmouth; 11/10; 11/10; 117/00; 11/10; 11/10; 1; 13/12; 21/20; 21/20; 11/10; 11/10; 21/20; 11/10; 13/12; 11/10; 21/20; 1; 10/9
