META; english/league-1/northampton-v-rochdale; 2018-01-28 14:21:49 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Northampton; 8/5; 13/8; ; ; 17/10; 13/8; 8/5; ; ; ; ; ; ; ; ; 8/5; ; ; ; ; ; ; 13/8; 8/5; 17/11; ; 1; ; 
Rochdale; 8/5; 13/8; ; ; 169/ 100; 9/5; 13/8; ; ; ; ; ; ; ; ; 8/5; ; 17/11; ; ; ; ; 17/10; 8/5; 17/11; ; 21/20; ; 
Draw; 12/5; 23/10; ; ; 63/25; 5/2; 23/10; ; ; ; ; ; ; ; ; 12/5; ; 23/10; ; ; ; ; 12/5; 47/20; 23/10; ; 19/10; ; 
META; english/league-1/northampton-v-rochdale; 2018-01-28 18:21:11 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Northampton; 6/4; 13/8; 17/11; 8/5; 161/ 100; 13/8; 6/4; ; 8/5; 31/20; 6/4; 8/5; ; ; ; 8/5; ; 17/11; ; ; 8/5; 8/5; 31/20; 6/4; 17/11; ; 7/5; ; 
Rochdale; 17/10; 13/8; 7/4; 17/10; 179/ 100; 9/5; 17/10; ; 8/5; 17/10; 17/10; 9/5; ; ; ; 17/10; ; 28/17; ; ; 8/5; 7/4; 7/4; 17/10; 17/10; ; 7/5; ; 
Draw; 12/5; 23/10; 11/5; 23/10; 63/25; 5/2; ; ; 40/17; 11/5; 12/5; 11/5; ; ; ; 23/10; ; 9/4; ; ; 40/17; 12/5; 12/5; 23/10; 23/10; ; 9/5; ; 
META; english/league-1/northampton-v-rochdale; 2018-01-28 22:23:37 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Northampton; 6/4; 13/8; 8/5; 8/5; 33/20; 31/20; 8/5; ; 17/11; 31/20; 6/4; 8/5; ; ; ; 6/4; ; 17/11; ; ; 17/11; 13/8; 31/20; 31/20; 17/11; ; 11/8; ; 
Rochdale; 17/10; 13/8; 7/4; 17/10; 93/50; 9/5; 7/4; ; 17/10; 7/4; 7/4; 9/5; ; ; ; 7/4; ; 17/10; ; ; 17/10; 9/5; 7/4; 7/4; 7/4; ; 13/8; ; 
Draw; 12/5; 23/10; 11/5; 23/10; 47/20; 23/10; 11/5; ; 40/17; 21/10; 23/10; 11/5; ; ; ; 9/4; ; 11/5; ; ; 40/17; 9/4; 12/5; 11/5; 11/5; ; 9/5; ; 
