META; english/league-1/bury-v-blackpool; 2018-01-28 14:21:41 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Bury; 6/4; 17/10; ; ; 161/ 100; 13/8; 6/4; ; ; ; ; ; ; ; ; 8/5; ; 16/11; ; ; ; ; 8/5; 6/4; 16/11; ; 20/21; ; 
Blackpool; 17/10; 3/2; ; ; 179/ 100; 9/5; 13/8; ; ; ; ; ; ; ; ; 8/5; ; 28/17; ; ; ; ; 17/10; 17/10; 28/17; ; 10/9; ; 
Draw; 12/5; 12/5; ; ; 63/25; 12/5; 23/10; ; ; ; ; ; ; ; ; 12/5; ; 23/10; ; ; ; ; 12/5; 47/20; 23/10; ; 19/10; ; 
META; english/league-1/bury-v-blackpool; 2018-01-28 18:21:03 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Bury; 29/20; 17/10; 6/4; 6/4; 153/ 100; 13/8; 6/4; ; 17/11; 29/20; 29/20; 6/4; ; ; ; 6/4; ; 16/11; ; ; 17/11; 6/4; 29/20; 6/4; 6/4; ; 7/5; ; 
Blackpool; 9/5; 3/2; 28/15; 9/5; 189/ 100; 9/5; 17/10; ; 17/10; 9/5; 7/4; 7/4; ; ; ; 9/5; ; 7/4; ; ; 17/10; 9/5; 15/8; 7/4; 7/4; ; 6/4; ; 
Draw; 12/5; 12/5; 11/5; 23/10; 63/25; 13/5; 23/10; ; 40/17; 11/5; 12/5; 23/10; ; ; ; 23/10; ; 9/4; ; ; 40/17; 12/5; 12/5; 23/10; 23/10; ; 19/10; ; 
META; english/league-1/bury-v-blackpool; 2018-01-28 22:23:29 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Bury; 29/20; 17/10; 6/4; 6/4; 159/ 100; 6/4; 6/4; ; 17/11; 6/4; 7/5; 6/4; ; ; ; 6/4; ; 16/11; ; ; 17/11; 6/4; 29/20; 7/5; 6/4; ; 4/11; ; 
Blackpool; 9/5; 3/2; 19/10; 9/5; 193/ 100; 19/10; 9/5; ; 17/10; 15/8; 9/5; 19/10; ; ; ; 9/5; ; 9/5; ; ; 17/10; 15/8; 15/8; 15/8; 9/5; ; 8/5; ; 
Draw; 12/5; 12/5; 21/10; 23/10; 47/20; 5/2; 11/5; ; 40/17; 21/10; 12/5; 21/10; ; ; ; 23/10; ; 11/5; ; ; 40/17; 23/10; 12/5; 9/4; 11/5; ; 19/10; ; 
META; english/league-1/bury-v-blackpool; 2018-01-29 02:20:24 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Bury; 29/20; 17/10; 6/4; 6/4; 159/ 100; 6/4; 6/4; ; 17/11; 6/4; 7/5; 6/4; ; ; ; 6/4; ; 16/11; ; ; 17/11; 6/4; 29/20; 7/5; 6/4; ; 4/11; ; 
Blackpool; 9/5; 3/2; 19/10; 9/5; 193/ 100; 19/10; 9/5; ; 17/10; 15/8; 9/5; 19/10; ; ; ; 9/5; ; 9/5; ; ; 17/10; 15/8; 15/8; 15/8; 9/5; ; 8/5; ; 
Draw; 12/5; 12/5; 21/10; 23/10; 47/20; 5/2; 9/4; ; 40/17; 21/10; 12/5; 21/10; ; ; ; 23/10; ; 11/5; ; ; 40/17; 23/10; 12/5; 9/4; 11/5; ; 19/10; ; 
META; english/league-1/bury-v-blackpool; 2018-01-29 10:20:22 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Bury; 29/20; 17/10; 16/11; 6/4; 79/50; 6/4; 6/4; ; 17/11; 29/20; 7/5; 6/4; ; ; 7/5; 6/4; 16/11; 16/11; 16/11; 13/10; 17/11; 6/4; 29/20; 7/5; 6/4; ; 4/11; ; 
Blackpool; 9/5; 3/2; 19/10; 9/5; 48/25; 19/10; 7/4; ; 17/10; 19/10; 9/5; 19/10; ; ; 19/10; 9/5; 9/5; 7/4; 9/5; 16/9; 17/10; 15/8; 15/8; 15/8; 9/5; ; 8/5; ; 
Draw; 12/5; 12/5; 21/10; 23/10; 119/ 50; 5/2; 9/4; ; 40/17; 21/10; 12/5; 21/10; ; ; 23/10; 23/10; 9/4; 11/5; 9/4; 9/4; 40/17; 23/10; 12/5; 9/4; 9/4; ; 19/10; ; 
META; english/league-1/bury-v-blackpool; 2018-01-29 14:21:00 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Bury; 29/20; 13/8; 16/11; 6/4; 38/25; 6/4; 6/4; ; 17/11; 29/20; 29/20; 6/4; ; ; 7/5; 6/4; 16/11; 16/11; 16/11; 11/8; 17/11; 6/4; 29/20; 7/5; 16/11; ; 4/11; ; 
Blackpool; 9/5; 3/2; 19/10; 9/5; 51/25; 19/10; 9/5; ; 17/10; 19/10; 9/5; 19/10; ; ; 19/10; 15/8; 9/5; 24/13; 9/5; 19/10; 17/10; 15/8; 15/8; 15/8; 24/13; ; 8/5; ; 
Draw; 12/5; 12/5; 21/10; 23/10; 117/50; 5/2; 11/5; ; 40/17; 21/10; 23/10; 21/10; ; ; 23/10; 9/4; 9/4; 11/5; 9/4; 9/4; 40/17; 23/10; 12/5; 9/4; 11/5; ; 19/10; ; 
