META; english/league-1/rotherham-v-blackpool; 2018-04-29 18:20:24 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Rotherham; 6/5; 21/20; 31/25; 6/5; 1; 21/20; 11/10; 15/13; 23/20; 5/6; 23/20; 
Draw; 5/2; 12/5; 129/0; 5/2; 23/10; 23/10; 12/5; 12/5; 5/2; 27/11; 19/10; 12/5
Blackpool; 21/10; 13/5; 54/25; 21/10; 23/10; 11/5; 23/10; 39/19; 12/5; 39/19; 6/4; 12/5
META; english/league-1/rotherham-v-blackpool; 2018-04-29 22:20:11 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Rotherham; 6/5; 21/20; 31/25; 6/5; 1; 11/10; 11/10; 15/13; 23/20; 20/21; 23/20; 
Draw; 5/2; 12/5; 129/0; 12/5; 23/10; 9/4; 5/2; 12/5; 5/2; 27/11; 19/10; 23/10
Blackpool; 21/10; 13/5; 54/25; 21/10; 23/10; 11/5; 9/4; 39/19; 12/5; 39/19; 6/5; 12/5
META; english/league-1/rotherham-v-blackpool; 2018-04-30 02:19:55 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Rotherham; 6/5; 21/20; 31/25; 6/5; 1; 11/10; 23/20; 11/10; 15/13; 23/20; 5/6; 23/20; 
Draw; 5/2; 12/5; 129/0; 12/5; 23/10; 9/4; 23/10; 12/5; 12/5; 5/2; 27/11; 19/10; 23/10
Blackpool; 21/10; 13/5; 54/25; 21/10; 23/10; 11/5; 5/2; 23/10; 39/19; 12/5; 39/19; 6/5; 12/5
META; english/league-1/rotherham-v-blackpool; 2018-04-30 10:20:01 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Rotherham; 6/5; 21/20; 31/25; 23/20; 6/5; 1; 13/11; 11/10; 23/20; 6/5; 11/10; 15/13; 6/5; 13/11; 23/20; 21/20; 23/20; 
Draw; 5/2; 12/5; 129/0; 5/2; 5/2; 23/10; 27/11; 23/10; 12/5; 12/5; 5/2; 12/5; 5/2; 27/11; 5/2; 12/5; 9/4; 23/10
