META; english/league-1/doncaster-v-bury; 2018-02-25 14:20:22 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Doncaster; 10/11; 5/6; ; ; 49/50; ; 20/23; 4/5; ; ; 9/10; ; ; ; 5/6; 10/11; ; ; ; ; 9/10; 20/23; 17/20; ; ; 8/15; ; 
Draw; 5/2; 5/2; ; ; 129/50; ; 12/5; 12/5; ; ; 5/2; ; ; ; 13/5; 5/2; ; ; ; ; 13/5; 5/2; 5/2; ; ; 2; ; 
Bury; 3; 10/3; ; ; 63/20; ; 3; 3; ; ; 16/5; ; ; ; 16/5; 3; ; ; ; ; 3; 17/5; 3; ; ; 7/4; ; 
META; english/league-1/doncaster-v-bury; 2018-02-25 18:20:21 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Doncaster; 5/6; 5/6; 10/11; ; 89/100; ; 17/20; 4/5; ; 10/11; 17/20; ; 19/20; ; 5/6; 17/20; 13/15; ; ; ; 9/10; 20/23; 17/20; 13/15; ; 5/6; ; 
Draw; 13/5; 5/2; 9/4; ; 11/4; ; 5/2; 12/5; ; 9/4; 13/5; ; 12/5; ; 13/5; 5/2; 40/17; ; ; ; 5/2; 5/2; 49/20; 12/5; ; 19/10; ; 
Bury; 16/5; 10/3; 13/4; ; 67/20; ; 16/5; 3; ; 16/5; 16/5; ; 3; ; 16/5; 16/5; 56/19; ; ; ; 100/30; 33/10; 16/5; 3; ; 27/10; ; 
META; english/league-1/doncaster-v-bury; 2018-02-25 22:20:21 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Doncaster; 21/20; 5/6; 11/10; ; 28/25; ; 11/10; 10/11; ; 11/10; 21/20; ; 19/20; ; 11/10; 1; 11/10; ; 13/12; ; 11/10; 11/10; 11/10; 11/10; ; 1/4; ; 
Draw; 12/5; 5/2; 11/5; ; 62/25; ; 23/10; 11/5; ; 21/10; 12/5; ; 12/5; ; 23/10; 12/5; 11/5; ; 9/4; ; 23/10; 12/5; 9/4; 9/4; ; 19/10; ; 
Bury; 13/5; 10/3; 13/5; ; 11/4; ; 5/2; 13/5; ; 5/2; 13/5; ; 3; ; 5/2; 11/4; 40/17; ; 11/5; ; 13/5; 13/5; 5/2; 40/17; ; 2/5; ; 
META; english/league-1/doncaster-v-bury; 2018-02-26 02:19:57 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Doncaster; 21/20; 1; 11/10; ; 28/25; ; 11/10; 10/11; ; 11/10; 21/20; 23/20; 19/20; ; 11/10; 11/10; 11/10; ; 13/12; ; 11/10; 11/10; 11/10; 11/10; ; 10/11; ; 
Draw; 12/5; 12/5; 11/5; ; 62/25; ; 23/10; 11/5; ; 21/10; 12/5; 11/5; 12/5; ; 23/10; 23/10; 11/5; ; 9/4; ; 23/10; 12/5; 9/4; 9/4; ; 19/10; ; 
Bury; 13/5; 11/4; 13/5; ; 11/4; ; 5/2; 13/5; ; 5/2; 13/5; 13/5; 3; ; 5/2; 13/5; 40/17; ; 11/5; ; 13/5; 13/5; 5/2; 40/17; ; 9/5; ; 
META; english/league-1/doncaster-v-bury; 2018-02-26 10:19:58 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Doncaster; 21/20; 1; 11/10; 23/20; 28/25; ; 11/10; 1; 13/12; 11/10; 21/20; 23/20; 19/20; ; 11/10; 11/10; 21/20; 1; 13/12; 13/12; 11/10; 11/10; 11/10; 11/10; ; 10/11; ; 
Draw; 12/5; 12/5; 11/5; 9/4; 62/25; ; 23/10; 11/5; 27/11; 21/10; 12/5; 11/5; 12/5; ; 23/10; 23/10; 9/4; 12/5; 9/4; 27/11; 23/10; 12/5; 9/4; 9/4; ; 19/10; ; 
Bury; 13/5; 11/4; 13/5; 5/2; 11/4; ; 5/2; 5/2; 27/11; 5/2; 13/5; 13/5; 3; ; 5/2; 13/5; 40/17; 13/5; 11/5; 27/11; 13/5; 13/5; 5/2; 12/5; ; 19/10; ; 
META; english/league-1/doncaster-v-bury; 2018-02-26 14:20:36 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Doncaster; 6/5; 21/20; 6/5; 23/20; 61/50; ; 6/5; 1; 13/11; 6/5; 6/5; 6/5; 19/20; ; 6/5; 11/10; 6/5; 1; 22/19; 13/11; 6/5; 23/20; 6/5; ; 10/11; ; 
Draw; 23/10; 23/10; 11/5; 9/4; 61/25; ; 9/4; 11/5; 12/5; 21/10; 12/5; 9/4; 12/5; ; 23/10; 23/10; 11/5; 12/5; 9/4; 12/5; 12/5; 9/4; 11/5; ; 19/10; ; 
Bury; 23/10; 11/4; 12/5; 5/2; 63/25; ; 23/10; 23/10; 9/4; 23/10; 23/10; 23/10; 3; ; 23/10; 12/5; 28/13; 13/5; 39/19; 9/4; 23/10; 47/20; 28/13; ; 1/50; ; 
META; english/league-1/doncaster-v-bury; 2018-02-26 18:20:32 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Doncaster; 6/5; 23/20; 6/5; 23/20; 61/50; 23/20; 6/5; 1; 8/7; 6/5; 6/5; 6/5; 1; 5/4; 6/5; 6/5; 11/10; 1; 22/19; 8/7; 6/5; 23/20; 15/13; ; 21/20; 23/20; 
Draw; 23/10; ; 11/5; 9/4; 12/5; 12/5; 9/4; 11/5; 23/10; 21/10; 23/10; 9/4; 23/10; 43/20; 23/10; 9/4; 11/5; 12/5; 9/4; 23/10; 23/10; 9/4; 11/5; ; 21/10; 11/5; 
Bury; 23/10; 12/5; 12/5; 5/2; 64/25; 5/2; 23/10; 23/10; 27/11; 12/5; 12/5; 23/10; 13/5; 47/20; 23/10; 12/5; 23/10; 13/5; 39/19; 27/11; 12/5; 47/20; 23/10; ; 9/4; 11/5; 
META; english/league-1/doncaster-v-bury; 2018-02-26 22:20:29 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Doncaster; 6/5; 23/20; 6/5; 23/20; 61/50; 23/20; 6/5; 1; 8/7; 6/5; 6/5; 6/5; 1; 5/4; 6/5; 6/5; 11/10; 1; 22/19; 8/7; 6/5; 23/20; 15/13; ; 21/20; 23/20; 
Draw; 23/10; ; 11/5; 9/4; 12/5; 12/5; 9/4; 11/5; 23/10; 21/10; 23/10; 9/4; 23/10; 43/20; 23/10; 9/4; 11/5; 12/5; 9/4; 23/10; 23/10; 9/4; 11/5; ; 21/10; 21/10; 
Bury; 23/10; 12/5; 23/10; 5/2; 64/25; 5/2; 23/10; 23/10; 27/11; 23/10; 12/5; 23/10; 13/5; 47/20; 23/10; 12/5; 23/10; 13/5; 39/19; 27/11; 12/5; 47/20; 23/10; ; 9/4; 2; 
META; english/league-1/doncaster-v-bury; 2018-02-27 02:20:25 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Doncaster; 6/5; 6/5; 6/5; 23/20; 13/10; 23/20; 6/5; 1; 8/7; 6/5; 6/5; 6/5; 1; 5/4; 6/5; 6/5; 15/13; 1; 22/19; 8/7; 6/5; 23/20; 15/13; ; 21/20; 23/20; 
Draw; 23/10; 9/4; 11/5; 9/4; 119/50; 12/5; 9/4; 11/5; 23/10; 21/10; 23/10; 9/4; 23/10; 43/20; 23/10; 9/4; 11/5; 12/5; 9/4; 23/10; 23/10; 9/4; 11/5; ; 21/10; 21/10; 
Bury; 23/10; 23/10; 23/10; 5/2; 119/50; 5/2; 23/10; 23/10; 27/11; 23/10; 12/5; 23/10; 13/5; 47/20; 23/10; 12/5; 23/10; 13/5; 39/19; 27/11; 12/5; 47/20; 23/10; ; 9/4; 2; 
META; english/league-1/doncaster-v-bury; 2018-02-27 10:20:25 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Doncaster; 6/5; 6/5; 6/5; 23/20; 61/50; 6/5; 6/5; 11/10; 8/7; 6/5; 6/5; 6/5; 1; 5/4; 6/5; 6/5; 15/13; 1; 22/19; 8/7; 6/5; 23/20; 15/13; ; 11/10; 23/20; 
Draw; 23/10; 9/4; 11/5; 9/4; 12/5; 23/10; 9/4; 11/5; 23/10; 21/10; 23/10; 9/4; 23/10; 43/20; 23/10; 9/4; 11/5; 12/5; 9/4; 23/10; 23/10; 9/4; 11/5; ; 2; 21/10; 
Bury; 23/10; 23/10; 23/10; 5/2; 64/25; 5/2; 23/10; 12/5; 27/11; 23/10; 12/5; 23/10; 13/5; 47/20; 23/10; 12/5; 23/10; 13/5; 39/19; 27/11; 12/5; 47/20; 23/10; ; 23/10; 2; 
META; english/league-1/doncaster-v-bury; 2018-02-27 14:21:23 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Doncaster; 6/5; 6/5; 6/5; 5/4; 61/50; 6/5; 6/5; 11/10; 8/7; 6/5; 6/5; 6/5; 1; 5/4; 6/5; 6/5; 15/13; 1; 22/19; 8/7; 6/5; 23/20; 15/13; ; 11/10; 23/20; 
Draw; 23/10; 9/4; 11/5; 11/5; 12/5; 23/10; 11/5; 11/5; 23/10; 21/10; 23/10; 9/4; 23/10; 43/20; 23/10; 9/4; 11/5; 12/5; 9/4; 23/10; 23/10; 9/4; 11/5; ; 2; 21/10; 
