META; english/league-1/wigan-v-rotherham; 2018-04-08 14:23:11 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Wigan; 8/13; 8/11; 69/100; 5/8; 4/7; 8/13; 4/6; 10/17; 8/13; 11/18; 8/15; 8/13
Draw; 14/5; 5/2; 73/25; 11/4; 11/4; 3; 14/5; 27/10; 3; 11/4; 11/5; 14/5
Rotherham; 9/2; 18/5; 23/5; 17/4; 4; 9/2; 4; 43/10; 9/2; 74/17; 11/4; 23/5
META; english/league-1/wigan-v-rotherham; 2018-04-08 18:22:42 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Wigan; 8/13; 8/11; 69/100; 5/8; 8/15; 8/13; 8/13; 4/6; 10/17; 8/13; 11/18; 4/9; 4/6
Draw; 14/5; 5/2; 73/25; 11/4; 3; 3; 11/4; 27/10; 3; 11/4; 23/10; 14/5; 
Rotherham; 9/2; 18/5; 23/5; 17/4; 4; 9/2; 17/4; 4; 17/4; 9/2; 43/10; 3; 9/2
META; english/league-1/wigan-v-rotherham; 2018-04-08 22:22:53 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Wigan; 8/13; 8/11; 69/100; 5/8; 4/7; 8/13; 8/13; 4/6; 10/17; 8/13; 11/18; 4/9; 4/6
Draw; 14/5; 5/2; 73/25; 11/4; 11/4; 3; 13/5; 27/10; 3; 11/4; 19/10; 14/5; 
Rotherham; 9/2; 18/5; 23/5; 17/4; 4; 9/2; 17/4; 9/2; 17/4; 9/2; 43/10; 10/3; 9/2
META; english/league-1/wigan-v-rotherham; 2018-04-09 02:22:46 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Wigan; 8/13; 8/11; 69/100; 5/8; 4/7; 8/13; 8/13; 4/6; 10/17; 8/13; 11/18; 4/9; 4/6
Draw; 14/5; 5/2; 73/25; 11/4; 11/4; 3; 11/4; 27/10; 14/5; 11/4; 19/10; 14/5; 
Rotherham; 9/2; 18/5; 23/5; 17/4; 4; 9/2; 17/4; 4; 17/4; 19/4; 43/10; 10/3; 9/2
META; english/league-1/wigan-v-rotherham; 2018-04-09 10:22:50 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Wigan; 8/13; 4/6; 69/100; 8/13; 4/7; 3/5; 8/13; 8/13; 8/13; 8/13; 10/17; 3/5; 3/5; 3/5; 10/17; 4/7; 4/6
Draw; 14/5; 13/5; 73/25; 11/4; 11/4; 29/10; 3; 14/5; 3; 14/5; 11/4; 14/5; 29/10; 3; 14/5; 13/5; 14/5
Rotherham; 9/2; 4; 23/5; 9/2; 4; 9/2; 9/2; 9/2; 17/4; 9/2; 43/10; 9/2; 9/2; 19/4; 74/17; 7/2; 9/2
META; english/league-1/wigan-v-rotherham; 2018-04-09 14:23:04 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Wigan; 8/13; 4/6; 8/13; 69/100; 8/13; 8/15; 3/5; 8/13; 8/13; 8/13; 8/13; 10/17; 3/5; 3/5; 8/13; 10/17; 4/7; 4/6
Draw; 14/5; 13/5; 13/5; 73/25; 11/4; 11/4; 29/10; 11/4; 14/5; 3; 11/4; 11/4; 14/5; 29/10; 14/5; 14/5; 2; 14/5
Rotherham; 9/2; 4; 23/5; 9/2; 4; 9/2; 5; 9/2; 17/4; 9/2; 43/10; 9/2; 9/2; 5; 74/17; 10/3; 9/2; 
META; english/league-1/wigan-v-rotherham; 2018-04-09 18:22:56 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Wigan; 4/6; 4/6; 7/10; 13/20; 73/100; 7/10; 4/6; 8/13; 11/17; 4/6; 7/10; 7/10; 8/11; 3/4; 7/10; 11/17; 3/5; 19/29; 11/17; 7/10; 4/6; 8/13; 4/6
Draw; 11/4; 13/5; 11/4; 13/5; 149/50; 29/10; 11/4; 13/5; 27/10; 27/10; 11/4; 14/5; 27/10; 13/5; 11/4; 45/17; 14/5; 56/19; 27/10; 29/10; 45/17; 11/5; 14/5
Rotherham; 4; 4; 19/5; 41/10; 4; 7/2; 43/10; 19/5; 4; 15/4; 19/5; 15/4; 4; 19/5; 9/2; 38/11; 43/10; 19/5; 50/13; 7/2; 4; ; 
META; english/league-1/wigan-v-rotherham; 2018-04-09 22:22:58 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Wigan; 4/6; 4/6; 7/10; 13/20; 73/100; 7/10; 4/6; 8/13; 11/17; 4/6; 7/10; 7/10; 7/10; 8/11; 3/4; 4/6; 11/17; 3/5; 19/29; 11/17; 7/10; 4/6; 4/6; 4/6
Draw; 11/4; 29/10; 11/4; 13/5; 149/50; 29/10; 11/4; 13/5; 27/10; 27/10; 11/4; 14/5; 11/4; 27/10; 13/5; 14/5; 45/17; 14/5; 56/19; 27/10; 29/10; 45/17; 9/4; 14/5
Rotherham; 4; 4; 19/5; 41/10; 4; 7/2; 43/10; 19/5; 4; 15/4; 15/4; 19/5; 15/4; 4; 19/5; 9/2; 38/11; 43/10; 19/5; 50/13; 7/2; 4; ; 
META; english/league-1/wigan-v-rotherham; 2018-04-10 02:22:40 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Wigan; 4/6; 7/10; 7/10; 13/20; 73/100; 7/10; 4/6; 8/13; 11/17; 7/10; 7/10; 7/10; 7/10; 8/11; 3/4; 7/10; 11/17; 3/5; 8/11; 11/17; 8/11; 4/6; 4/6; 4/6
Draw; 11/4; 14/5; 11/4; 13/5; 149/50; 29/10; 11/4; 13/5; 27/10; 27/10; 11/4; 14/5; 11/4; 27/10; 13/5; 14/5; 45/17; 14/5; 14/5; 27/10; 14/5; 45/17; 9/4; 14/5
Rotherham; 4; 19/5; 19/5; 19/5; 41/10; 4; 7/2; 43/10; 19/5; 4; 15/4; 15/4; 19/5; 15/4; 15/4; 19/5; 9/2; 41/13; 43/10; 19/5; 50/13; 7/2; 4; 
META; english/league-1/wigan-v-rotherham; 2018-04-10 10:22:49 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
