Plymouth; 2; 21/10; ; ; ; 21/10; 2; 2; 21/10; ; 21/10; 2; ; ; 21/10; 2; 37/19; 2; ; 21/10; 2; 85/40; 2; 2; ; 19/10; ; 
Draw; 12/5; 5/2; ; ; ; 5/2; 12/5; 12/5; 40/17; ; 5/2; 13/5; ; ; 23/10; 12/5; 23/10; 12/5; ; 40/17; 5/2; 5/2; 12/5; 23/10; ; 9/4; ; 
META; english/league-1/oxford-v-plymouth; 2018-02-13 14:21:06 GMT+2; 2018-02-17 15:00; Nothing; Xlenovo
Oxford; 13/10; 11/8; 26/19; 11/8; ; 13/10; 11/8; 13/10; 5/4; 27/20; 13/10; 7/5; ; 11/8; 11/8; 11/8; 13/10; 5/4; ; 5/4; 7/5; 11/8; 5/4; 13/10; ; 6/5; ; 
Plymouth; 2; 2; 2; 19/10; ; 2; 19/10; 2; 21/10; 19/10; 2; 2; ; 2; 19/10; 2; 19/10; 2; ; 21/10; 2; 19/10; 2; 37/19; ; 9/5; ; 
Draw; 12/5; 23/10; 9/4; 12/5; ; 5/2; 9/4; 12/5; 40/17; 9/4; 5/2; 11/5; ; 23/10; 12/5; 23/10; 11/5; 12/5; ; 40/17; 12/5; 5/2; 12/5; 11/5; ; 9/4; ; 
META; english/league-1/oxford-v-plymouth; 2018-02-13 18:21:01 GMT+2; 2018-02-17 15:00; Nothing; Xlenovo
Oxford; 6/5; 5/4; 5/4; 11/8; ; 13/10; 13/10; 13/10; 5/4; 5/4; 5/4; 13/10; ; 13/10; 11/8; 13/10; 5/4; 5/4; 19/16; 5/4; 13/10; 5/4; ; 5/4; ; 6/5; ; 
Plymouth; 11/5; 21/10; 21/10; 19/10; ; 2; 2; 2; 21/10; 21/10; 21/10; 11/5; ; 21/10; 19/10; 21/10; 2; 2; 79/40; 21/10; 11/5; 85/40; 21/10; 39/19; ; 9/5; ; 
Draw; 12/5; 12/5; 23/10; 12/5; ; 5/2; 23/10; 12/5; 40/17; 23/10; 5/2; 9/4; ; 23/10; 12/5; 23/10; 9/4; 12/5; 5/2; 40/17; 12/5; ; 47/20; 9/4; ; 9/4; ; 
META; english/league-1/oxford-v-plymouth; 2018-02-13 22:20:55 GMT+2; 2018-02-17 15:00; Nothing; Xlenovo
Oxford; 6/5; 5/4; 5/4; 11/8; ; 13/10; 5/4; 13/10; 5/4; 5/4; 5/4; 13/10; ; 13/10; 11/8; 5/4; 6/5; 5/4; 19/16; 5/4; 13/10; 5/4; ; 5/4; ; 6/5; ; 
Plymouth; 11/5; 21/10; 21/10; 19/10; ; 2; 21/10; 2; 21/10; 21/10; 21/10; 11/5; ; 21/10; 19/10; 21/10; 39/19; 2; 79/40; 21/10; 11/5; 85/40; 21/10; 39/19; ; 9/5; ; 
Draw; 12/5; 12/5; 23/10; 12/5; ; 5/2; 23/10; 12/5; 40/17; 23/10; 5/2; 9/4; ; 23/10; 12/5; 12/5; ; 12/5; 5/2; 40/17; 12/5; ; 47/20; 9/4; ; 9/4; ; 
META; english/league-1/oxford-v-plymouth; 2018-02-14 02:20:16 GMT+2; 2018-02-17 15:00; Nothing; Xlenovo
Oxford; 5/4; 5/4; 5/4; 11/8; ; 13/10; 13/10; 13/10; 5/4; 5/4; 13/10; 13/10; ; 13/10; 11/8; 13/10; 6/5; 5/4; 19/16; 5/4; 13/10; 5/4; ; 5/4; ; 6/5; ; 
Plymouth; 2; 21/10; 21/10; 19/10; ; 2; 2; 2; 21/10; 21/10; 21/10; 11/5; ; 21/10; 19/10; 2; 39/19; 2; 79/40; 21/10; 11/5; 85/40; 21/10; 39/19; ; 19/10; ; 
Draw; 5/2; 12/5; 23/10; 12/5; ; 5/2; 23/10; 12/5; 40/17; 23/10; 12/5; 9/4; ; 23/10; 12/5; 12/5; ; 12/5; 5/2; 40/17; 12/5; ; 47/20; 9/4; ; 9/4; ; 
META; english/league-1/oxford-v-plymouth; 2018-02-14 10:20:17 GMT+2; 2018-02-17 15:00; Nothing; Xlenovo
Oxford; 5/4; 13/10; 13/10; 11/8; ; 13/10; 13/10; 5/4; 5/4; 13/10; 13/10; 13/10; ; 13/10; 11/8; 13/10; 6/5; 5/4; 11/9; 5/4; 13/10; 13/10; ; 5/4; ; 5/4; ; 
Plymouth; 2; 2; 2; 19/10; ; 21/10; 2; 21/10; 21/10; 21/10; 21/10; 11/5; ; 41/20; 19/10; 2; 39/19; 2; 17/9; 21/10; 11/5; 2; 21/10; 39/19; ; 19/10; ; 
Draw; 5/2; 12/5; 23/10; 12/5; ; 12/5; 23/10; 23/10; 40/17; 23/10; 12/5; 9/4; ; 23/10; 12/5; 12/5; ; 12/5; 5/2; 40/17; 12/5; ; 47/20; 9/4; ; 11/5; ; 
META; english/league-1/oxford-v-plymouth; 2018-02-14 14:20:22 GMT+2; 2018-02-17 15:00; Nothing; Xlenovo
Oxford; 5/4; 13/10; 7/5; 11/8; 143/100; 11/8; 13/10; 13/10; 5/4; 27/20; 7/5; 13/10; ; 29/20; 7/5; 11/8; 6/5; 5/4; 11/8; 5/4; 6/4; 29/20; ; 5/4; ; 5/4; ; 
Plymouth; 2; 19/10; 28/15; 19/10; 52/25; 2; 19/10; 2; 21/10; 2; 19/10; 2; ; 37/20; 19/10; 19/10; 39/19; 2; 32/19; 21/10; 15/8; 9/5; 21/10; 39/19; ; 19/10; ; 
Draw; 5/2; 23/10; 9/4; 12/5; 123/50; 12/5; 23/10; 23/10; 40/17; 23/10; 12/5; 23/10; ; 23/10; 23/10; 12/5; ; 12/5; 5/2; 40/17; 12/5; ; 47/20; 9/4; ; 11/5; ; 
META; english/league-1/oxford-v-plymouth; 2018-02-14 18:20:22 GMT+2; 2018-02-17 15:00; Nothing; Xlenovo
Oxford; 7/5; 13/10; 16/11; 11/8; 151/100; 7/5; 7/5; 7/5; 16/11; 29/20; 29/20; 29/20; 7/5; 6/4; 7/5; 7/5; 6/5; 16/11; 7/5; 16/11; 6/4; 6/4; 7/5; 5/4; ; 7/5; ; 
Plymouth; 7/4; 19/10; 28/15; 19/10; 49/25; 19/10; 9/5; 15/8; 15/8; 9/5; 9/5; 15/8; 7/4; 9/5; 19/10; 9/5; 39/19; 7/4; 7/4; 15/8; 15/8; 9/5; 9/5; 39/19; ; 9/5; ; 
Draw; 5/2; 23/10; 9/4; 12/5; 123/50; 12/5; 23/10; 23/10; 9/4; 9/4; 12/5; 23/10; 12/5; 23/10; 23/10; 12/5; ; 12/5; 27/11; 9/4; 12/5; 12/5; 47/20; 9/4; ; 11/5; ; 
META; english/league-1/oxford-v-plymouth; 2018-02-14 22:20:22 GMT+2; 2018-02-17 15:00; Nothing; Xlenovo
Oxford; 7/5; 13/10; 16/11; 11/8; 6/4; 7/5; 7/5; 13/10; 16/11; 29/20; 29/20; 29/20; 7/5; 6/4; 6/4; 7/5; 6/5; 16/11; 7/5; 16/11; 6/4; 29/20; 7/5; 5/4; ; 7/5; 7/5; 
Plymouth; 7/4; 19/10; 9/5; 19/10; 97/50; 15/8; 9/5; 9/5; 15/8; 9/5; 9/5; 9/5; 7/4; 9/5; 9/5; 9/5; 39/19; 7/4; 7/4; 15/8; 15/8; 9/5; 9/5; 39/19; ; 7/4; 13/8; 
Draw; 5/2; 23/10; 23/10; 12/5; 5/2; 23/10; 23/10; 11/5; 9/4; 9/4; 12/5; 12/5; 12/5; 47/20; 23/10; 12/5; ; 12/5; 27/11; 9/4; 12/5; 5/2; 47/20; 9/4; ; 9/4; 21/10; 
META; english/league-1/oxford-v-plymouth; 2018-02-15 02:20:32 GMT+2; 2018-02-17 15:00; Nothing; Xlenovo
Oxford; 7/5; 13/10; 16/11; 11/8; 6/4; 7/5; 7/5; 13/10; 16/11; 29/20; 29/20; 29/20; 7/5; 6/4; 6/4; 7/5; 16/11; 16/11; 7/5; 16/11; 6/4; 29/20; 7/5; 16/11; ; 7/5; 7/5; 
Plymouth; 7/4; 19/10; 9/5; 19/10; 97/50; 15/8; 9/5; 9/5; 15/8; 9/5; 9/5; 9/5; 7/4; 9/5; 9/5; 9/5; 9/5; 7/4; 7/4; 15/8; 15/8; 9/5; 9/5; 9/5; ; 7/4; 13/8; 
Draw; 5/2; 23/10; 23/10; 12/5; 5/2; 23/10; 23/10; 11/5; 9/4; 9/4; 12/5; 12/5; 12/5; 47/20; 23/10; 12/5; 40/17; 12/5; 27/11; 9/4; 12/5; 5/2; 47/20; 40/17; ; 23/10; 21/10; 
META; english/league-1/oxford-v-plymouth; 2018-02-15 10:20:19 GMT+2; 2018-02-17 15:00; Nothing; Xlenovo
Oxford; 7/5; 7/5; 16/11; 11/8; 6/4; 7/5; 7/5; 13/10; 16/11; ; 29/20; 29/20; 7/5; 6/4; 6/4; 7/5; 16/11; 16/11; 7/5; 16/11; 6/4; 29/20; 7/5; 16/11; ; 7/5; 7/5; 
