Draw; 14/5; 29/10; ; 13/5; ; 14/5; 29/10; 12/5; 14/5; 5/2; 5/2; 13/5; 11/4; 12/5; 11/4; ; 27/10; 11/4; 11/4; 27/10; 149/50; ; 11/4; ; 11/4; ; 21/10; ; 
Blackpool; 9/2; 4; ; 7/2; ; 9/2; 22/5; 4; 9/2; 7/2; 7/2; 9/2; 17/4; 4; 9/2; ; 21/5; 17/4; 21/5; 21/5; 47/10; ; 43/10; ; 43/10; ; 1/50; ; 
META; english/league-1/bradford-v-blackpool; 2017-06-26 18:20:29 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Bradford; 8/13; 4/6; ; ; ; 3/5; 13/20; 8/13; 8/13; 4/6; 4/6; 4/6; 8/13; 8/13; 8/13; ; 11/18; 8/13; 4/7; 11/18; 67/100; ; 3/5; ; 3/5; ; 1/50; ; 
Draw; 14/5; 29/10; ; ; ; 14/5; 29/10; 12/5; 14/5; 5/2; 5/2; 13/5; 11/4; 12/5; 11/4; ; 27/10; 11/4; 11/4; 27/10; 149/50; ; 11/4; ; 11/4; ; 21/10; ; 
Blackpool; 9/2; 4; ; ; ; 9/2; 22/5; 4; 9/2; 7/2; 7/2; 9/2; 17/4; 4; 9/2; ; 21/5; 17/4; 21/5; 21/5; 47/10; ; 43/10; ; 43/10; ; 1/50; ; 
META; english/league-1/bradford-v-blackpool; 2017-06-26 22:20:08 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Bradford; 8/13; 4/6; ; 4/6; ; 3/5; 13/20; 8/13; 8/13; 4/6; 4/6; 4/6; 8/13; 8/13; 8/13; ; 11/18; 8/13; 4/7; 11/18; 67/100; ; 3/5; ; 3/5; ; 1/50; ; 
Draw; 14/5; 29/10; ; 13/5; ; 14/5; 29/10; 12/5; 14/5; 5/2; 5/2; 13/5; 11/4; 12/5; 11/4; ; 27/10; 11/4; 11/4; 27/10; 149/50; ; 11/4; ; 11/4; ; 21/10; ; 
Blackpool; 9/2; 4; ; 7/2; ; 9/2; 22/5; 4; 9/2; 7/2; 7/2; 9/2; 17/4; 4; 9/2; ; 21/5; 17/4; 21/5; 21/5; 47/10; ; 43/10; ; 43/10; ; 1/50; ; 
META; english/league-1/bradford-v-blackpool; 2017-06-27 02:20:59 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Bradford; 8/13; 4/6; ; 4/6; ; 3/5; 13/20; 8/13; 8/13; 4/6; 4/6; 4/6; 8/13; 8/13; 8/13; ; 11/18; 8/13; 4/7; 11/18; 67/100; ; 3/5; ; 3/5; ; 1/50; ; 
Draw; 14/5; 29/10; ; 13/5; ; 14/5; 29/10; 12/5; 14/5; 5/2; 5/2; 13/5; 11/4; 12/5; 11/4; ; 27/10; 11/4; 11/4; 27/10; 149/50; ; 11/4; ; 11/4; ; 21/10; ; 
Blackpool; 9/2; 4; ; 7/2; ; 9/2; 9/2; 4; 9/2; 7/2; 7/2; 9/2; 17/4; 4; 9/2; ; 21/5; 17/4; 21/5; 21/5; 47/10; ; 43/10; ; 43/10; ; 1/50; ; 
META; english/league-1/bradford-v-blackpool; 2017-06-27 10:21:21 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Bradford; 8/13; 4/6; ; 4/6; ; 3/5; 13/20; 8/13; 8/13; 4/6; 4/6; 4/6; 8/13; 8/13; 8/13; ; 11/18; 8/13; 4/7; 11/18; 67/100; ; 3/5; ; 3/5; ; 1/50; ; 
Draw; 14/5; 29/10; ; 13/5; ; 14/5; 29/10; 12/5; 14/5; 5/2; 5/2; 13/5; 11/4; 12/5; 11/4; ; 27/10; 11/4; 11/4; 27/10; 149/50; ; 11/4; ; 11/4; ; 21/10; ; 
Blackpool; 9/2; 4; ; 7/2; ; 9/2; 9/2; 4; 9/2; 7/2; 7/2; 9/2; 17/4; 4; 9/2; ; 21/5; 17/4; 21/5; 21/5; 47/10; ; 43/10; ; 43/10; ; 1/50; ; 
META; english/league-1/bradford-v-blackpool; 2017-06-27 14:22:22 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Bradford; 8/13; 4/6; ; 4/6; ; 3/5; 13/20; 8/13; 8/13; 4/6; 4/6; 4/6; 8/13; 8/13; 8/13; ; 11/18; 8/13; 4/7; 11/18; 67/100; ; 3/5; ; 3/5; ; 1/50; ; 
Draw; 14/5; 29/10; ; 13/5; ; 14/5; 29/10; 12/5; 14/5; 5/2; 5/2; 13/5; 11/4; 12/5; 11/4; ; 27/10; 11/4; 11/4; 27/10; 149/50; ; 11/4; ; 11/4; ; 21/10; ; 
Blackpool; 9/2; 4; ; 7/2; ; 9/2; 9/2; 4; 9/2; 7/2; 7/2; 9/2; 17/4; 4; 9/2; ; 21/5; 17/4; 21/5; 21/5; 47/10; ; 43/10; ; 43/10; ; 1/50; ; 
META; english/league-1/bradford-v-blackpool; 2017-06-27 18:23:10 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Bradford; 8/13; 4/6; 13/20; 4/6; ; 3/5; 13/20; 8/13; 8/13; 4/6; 4/6; 4/6; 8/13; 8/13; 8/13; ; 11/18; 8/13; 4/7; 11/18; 67/100; ; 3/5; ; 3/5; ; 1/50; ; 
Draw; 14/5; 29/10; 14/5; 13/5; ; 14/5; 29/10; 12/5; 14/5; 5/2; 5/2; 13/5; 11/4; 12/5; 11/4; ; 27/10; 11/4; 11/4; 27/10; 149/50; ; 11/4; ; 11/4; ; 21/10; ; 
Blackpool; 9/2; 4; 17/4; 7/2; ; 9/2; 9/2; 4; 9/2; 7/2; 7/2; 9/2; 17/4; 4; 9/2; ; 21/5; 17/4; 21/5; 21/5; 47/10; ; 43/10; ; 43/10; ; 1/50; ; 
META; english/league-1/bradford-v-blackpool; 2017-06-27 22:22:16 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Bradford; 8/13; 4/6; 13/20; 4/6; ; 3/5; 13/20; 8/13; 8/13; 4/6; 4/6; 4/6; 8/13; 8/13; 8/13; ; 11/18; 8/13; 4/7; 11/18; 67/100; ; 3/5; ; 3/5; ; 1/50; ; 
Draw; 14/5; 29/10; 14/5; 13/5; ; 14/5; 29/10; 12/5; 14/5; 5/2; 5/2; 13/5; 11/4; 12/5; 11/4; ; 27/10; 11/4; 11/4; 27/10; 149/50; ; 11/4; ; 11/4; ; 21/10; ; 
Blackpool; 9/2; 4; 17/4; 7/2; ; 9/2; 22/5; 4; 9/2; 7/2; 7/2; 9/2; 17/4; 4; 9/2; ; 21/5; 17/4; 21/5; 21/5; 47/10; ; 43/10; ; 43/10; ; 1/50; ; 
META; english/league-1/bradford-v-blackpool; 2017-06-28 02:22:02 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Bradford; 8/13; 4/6; 13/20; 4/6; ; 3/5; 13/20; 8/13; 8/13; 4/6; 4/6; 4/6; 8/13; 8/13; 8/13; ; 11/18; 8/13; 4/7; 11/18; 67/100; ; 3/5; ; 3/5; ; 1/50; ; 
Draw; 14/5; 29/10; 14/5; 13/5; ; 14/5; 29/10; 12/5; 14/5; 5/2; 5/2; 13/5; 11/4; 12/5; 11/4; ; 27/10; 11/4; 11/4; 27/10; 149/50; ; 11/4; ; 11/4; ; 21/10; ; 
Blackpool; 9/2; 4; 17/4; 7/2; ; 9/2; 9/2; 4; 9/2; 7/2; 7/2; 9/2; 17/4; 4; 9/2; ; 54/13; 17/4; 21/5; 54/13; 47/10; ; 43/10; ; 43/10; ; 1/50; ; 
META; english/league-1/bradford-v-blackpool; 2017-06-28 10:22:01 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Bradford; 8/13; 4/6; 13/20; 4/6; ; 3/5; 13/20; 8/13; 8/13; 4/6; 4/6; 8/13; 8/13; 8/13; 8/13; ; 11/18; 8/13; 4/7; 11/18; 67/100; ; 3/5; ; 3/5; ; 1/50; ; 
Draw; 14/5; 29/10; 14/5; 13/5; ; 14/5; 29/10; 12/5; 14/5; 5/2; 5/2; 11/4; 14/5; 12/5; 11/4; ; 27/10; 11/4; 11/4; 27/10; 149/50; ; 11/4; ; 11/4; ; 21/10; ; 
Blackpool; 9/2; 4; 17/4; 7/2; ; 9/2; 9/2; 4; 9/2; 7/2; 7/2; 9/2; 17/4; 4; 9/2; ; 21/5; 17/4; 21/5; 21/5; 47/10; ; 43/10; ; 43/10; ; 1/50; ; 
META; english/league-1/bradford-v-blackpool; 2017-06-28 14:22:28 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Bradford; 8/13; 4/6; 13/20; 4/6; ; 3/5; 13/20; 8/13; 8/13; 4/6; 4/6; 8/13; 8/13; 8/13; 8/13; ; 11/18; 8/13; 4/7; 11/18; 67/100; ; 3/5; ; 3/5; ; 1/50; ; 
Draw; 14/5; 29/10; 14/5; 13/5; ; 14/5; 29/10; 12/5; 14/5; 5/2; 5/2; 11/4; 14/5; 12/5; 11/4; ; 27/10; 11/4; 11/4; 27/10; 149/50; ; 11/4; ; 11/4; ; 21/10; ; 
Blackpool; 9/2; 4; 17/4; 7/2; ; 9/2; 9/2; 4; 9/2; 7/2; 7/2; 9/2; 17/4; 4; 9/2; ; 21/5; 17/4; 21/5; 21/5; 47/10; ; 43/10; ; 43/10; ; 1/50; ; 
META; english/league-1/bradford-v-blackpool; 2017-06-28 18:20:02 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Bradford; 8/13; 4/6; 13/20; 4/6; ; 3/5; 13/20; 8/13; 8/13; 4/6; 4/6; 8/13; 8/13; 8/13; 8/13; ; 11/18; 8/13; 4/7; 11/18; 67/100; ; 3/5; ; 3/5; ; 1/50; ; 
Draw; 14/5; 29/10; 14/5; 13/5; ; 14/5; 29/10; 12/5; 14/5; 5/2; 5/2; 11/4; 14/5; 12/5; 11/4; ; 27/10; 11/4; 11/4; 27/10; 149/50; ; 11/4; ; 11/4; ; 21/10; ; 
Blackpool; 9/2; 4; 17/4; 7/2; ; 9/2; 9/2; 4; 9/2; 7/2; 7/2; 9/2; 17/4; 4; 9/2; ; 21/5; 17/4; 21/5; 21/5; 47/10; ; 43/10; ; 43/10; ; 1/50; ; 
META; english/league-1/bradford-v-blackpool; 2017-06-28 22:20:46 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Bradford; 8/13; 4/6; 13/20; 4/6; ; 3/5; 13/20; 8/13; 8/13; 4/6; 4/6; 8/13; 8/13; 8/13; 8/13; ; 11/18; 8/13; 4/7; 11/18; 67/100; ; 3/5; ; 3/5; ; 1/50; ; 
Draw; 14/5; 29/10; 14/5; 13/5; ; 14/5; 29/10; 12/5; 14/5; 5/2; 5/2; 11/4; 14/5; 12/5; 11/4; ; 27/10; 11/4; 11/4; 27/10; 149/50; ; 11/4; ; 11/4; ; 21/10; ; 
Blackpool; 9/2; 4; 17/4; 7/2; ; 9/2; 9/2; 4; 9/2; 7/2; 7/2; 9/2; 17/4; 4; 9/2; ; 21/5; 17/4; 21/5; 21/5; 47/10; ; 43/10; ; 43/10; ; 1/50; ; 
META; english/league-1/bradford-v-blackpool; 2017-06-29 02:20:55 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Bradford; 8/13; 4/6; 13/20; 4/6; ; 3/5; 13/20; 8/13; 8/13; 4/6; 4/6; 8/13; 8/13; 8/13; 8/13; ; 11/18; 8/13; 4/7; 11/18; 67/100; ; 3/5; ; 3/5; ; 1/50; ; 
Draw; 14/5; 29/10; 14/5; 13/5; ; 14/5; 29/10; 12/5; 14/5; 5/2; 5/2; 11/4; 14/5; 12/5; 11/4; ; 27/10; 11/4; 11/4; 27/10; 149/50; ; 11/4; ; 11/4; ; 21/10; ; 
Blackpool; 9/2; 4; 17/4; 7/2; ; 9/2; 9/2; 4; 9/2; 7/2; 7/2; 9/2; 17/4; 4; 9/2; ; 21/5; 17/4; 21/5; 21/5; 47/10; ; 43/10; ; 43/10; ; 1/50; ; 
META; english/league-1/bradford-v-blackpool; 2017-06-29 10:21:46 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Bradford; 8/13; 4/6; 13/20; 4/6; ; 3/5; 13/20; 8/13; 8/13; 4/6; 4/6; 8/13; 8/13; 8/13; 8/13; ; 11/18; 8/13; 4/7; 11/18; 67/100; ; 3/5; ; 3/5; ; 1/50; ; 
Draw; 14/5; 29/10; 14/5; 13/5; ; 14/5; 29/10; 12/5; 14/5; 5/2; 5/2; 11/4; 14/5; 12/5; 11/4; ; 27/10; 11/4; 11/4; 27/10; 149/50; ; 11/4; ; 11/4; ; 21/10; ; 
Blackpool; 9/2; 4; 17/4; 7/2; ; 9/2; 9/2; 4; 9/2; 7/2; 7/2; 9/2; 17/4; 4; 9/2; ; 21/5; 17/4; 21/5; 21/5; 47/10; ; 43/10; ; 43/10; ; 1/50; ; 
META; english/league-1/bradford-v-blackpool; 2017-06-29 14:21:58 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Bradford; 8/13; 4/6; 13/20; 4/6; ; 3/5; 13/20; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 8/13; 8/13; ; 11/18; 8/13; 4/7; 11/18; 67/100; ; 3/5; ; 3/5; ; 1/50; ; 
Draw; 14/5; 29/10; 14/5; 13/5; ; 14/5; 29/10; 12/5; 14/5; 5/2; 5/2; 11/4; 14/5; 12/5; 11/4; ; 27/10; 11/4; 11/4; 27/10; 149/50; ; 11/4; ; 11/4; ; 21/10; ; 
Blackpool; 9/2; 4; 17/4; 7/2; ; 9/2; 9/2; 4; 9/2; 7/2; 7/2; 9/2; 17/4; 4; 9/2; ; 21/5; 17/4; 21/5; 21/5; 47/10; ; 43/10; ; 43/10; ; 1/50; ; 
META; english/league-1/bradford-v-blackpool; 2017-06-29 18:21:23 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Bradford; 8/13; 4/6; 13/20; 4/6; ; 3/5; 13/20; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 8/13; 8/13; ; 11/18; 8/13; 4/7; 11/18; 67/100; ; 3/5; ; 3/5; ; 1/50; ; 
Draw; 14/5; 29/10; 14/5; 13/5; ; 14/5; 29/10; 12/5; 14/5; 5/2; 5/2; 11/4; 14/5; 12/5; 11/4; ; 27/10; 11/4; 11/4; 27/10; 149/50; ; 11/4; ; 11/4; ; 21/10; ; 
Blackpool; 9/2; 4; 17/4; 7/2; ; 9/2; 22/5; 4; 9/2; 7/2; 7/2; 9/2; 17/4; 4; 9/2; ; 21/5; 17/4; 21/5; 21/5; 47/10; ; 43/10; ; 43/10; ; 1/50; ; 
META; english/league-1/bradford-v-blackpool; 2017-06-29 22:20:10 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Bradford; 8/13; 4/6; 13/20; 4/6; ; 3/5; 13/20; 8/13; 8/13; 4/6; 4/6; 8/13; 13/20; 8/13; 8/13; ; 11/18; 8/13; 4/7; 11/18; 67/100; ; 3/5; 8/13; 3/5; ; 1/50; ; 
