META; english/league-1/bristol-rovers-v-wigan; 2018-02-24 22:19:59 GMT+2; 2018-02-27 19:45; Nothing; Xlenovo
Wigan; 5/6; 5/6; ; 4/5; ; ; 5/6; 8/11; ; ; 5/6; ; ; ; ; 5/6; 5/6; ; ; ; ; 4/5; 4/5; 5/6; ; 4/7; ; 
Draw; 11/4; 13/5; ; 5/2; ; ; 13/5; 13/5; ; ; 11/4; ; ; ; ; 13/5; 27/10; ; ; ; ; 11/4; 11/4; 11/4; ; 23/10; ; 
Bristol Rovers; 3; 16/5; ; 3; ; ; 3; 10/3; ; ; 16/5; ; ; ; ; 3; 3; ; ; ; ; 10/3; 3; 3; ; 13/5; ; 
META; english/league-1/bristol-rovers-v-wigan; 2018-02-25 02:19:33 GMT+2; 2018-02-27 19:45; Nothing; Xlenovo
Wigan; 5/6; 5/6; ; 4/5; ; ; 5/6; 8/11; ; ; 5/6; 5/6; ; ; ; 5/6; 5/6; ; ; ; ; 4/5; 4/5; 5/6; ; 8/13; ; 
Draw; 11/4; 13/5; ; 5/2; ; ; 13/5; 13/5; ; ; 11/4; 13/5; ; ; ; 13/5; 27/10; ; ; ; ; 11/4; 11/4; 11/4; ; 12/5; ; 
Bristol Rovers; 3; 16/5; ; 3; ; ; 3; 10/3; ; ; 16/5; 10/3; ; ; ; 16/5; 3; ; ; ; ; 10/3; 3; 58/19; ; 13/5; ; 
META; english/league-1/bristol-rovers-v-wigan; 2018-02-25 10:19:38 GMT+2; 2018-02-27 19:45; Nothing; Xlenovo
Wigan; 5/6; 5/6; ; 4/5; ; ; 5/6; 4/5; 9/11; ; 5/6; 5/6; ; ; ; 5/6; 5/6; ; ; 9/11; ; 5/6; 4/5; 5/6; ; 8/13; ; 
Draw; 11/4; 13/5; ; 5/2; ; ; 13/5; 13/5; 45/17; ; 11/4; 13/5; ; ; ; 13/5; 27/10; ; ; 45/17; ; 11/4; 11/4; 11/4; ; 13/5; ; 
Bristol Rovers; 3; 16/5; ; 3; ; ; 3; 3; 31/10; ; 16/5; 10/3; ; ; ; 16/5; 58/19; ; ; 31/10; ; 16/5; 3; 3; ; 2; ; 
META; english/league-1/bristol-rovers-v-wigan; 2018-02-25 14:20:09 GMT+2; 2018-02-27 19:45; Nothing; Xlenovo
Wigan; 8/11; 3/4; ; 4/5; 81/100; ; 4/5; 8/11; 9/11; ; 3/4; 4/5; ; 4/5; 4/5; 8/11; 4/5; 5/6; ; 9/11; 4/5; 3/4; 3/4; 4/5; ; 4/6; ; 
Draw; 14/5; 13/5; ; 5/2; 14/5; ; 13/5; 13/5; 45/17; ; 11/4; 13/5; ; 13/5; 11/4; 13/5; 28/11; 27/10; ; 45/17; 14/5; 14/5; 53/20; 13/5; ; 11/5; ; 
Bristol Rovers; 7/2; 18/5; ; 3; 15/4; ; 10/3; 10/3; 31/10; ; 7/2; 7/2; ; 7/2; 16/5; 7/2; 17/5; 3; ; 31/10; 7/2; 7/2; 7/2; 38/11; ; 14/5; ; 
META; english/league-1/bristol-rovers-v-wigan; 2018-02-25 18:20:08 GMT+2; 2018-02-27 19:45; Nothing; Xlenovo
Wigan; 4/5; 17/20; ; 4/5; 89/100; 20/23; 5/6; 4/5; 9/11; ; 17/20; 20/23; 17/20; 17/20; 10/11; 5/6; 5/6; 5/6; 5/6; 9/11; 5/6; 17/20; 17/20; 5/6; ; 4/5; ; 5/6
Draw; 14/5; 13/5; ; 5/2; 68/25; 11/4; 5/2; 13/5; 45/17; ; 13/5; 12/5; 5/2; 5/2; 5/2; 13/5; 28/11; 27/10; 13/5; 45/17; 13/5; 11/4; 53/20; 13/5; ; 5/2; ; 9/4
Bristol Rovers; 16/5; 16/5; ; 3; 17/5; 7/2; 16/5; 16/5; 31/10; ; 16/5; 10/3; 16/5; 16/5; 3; 16/5; 16/5; 3; 29/10; 31/10; 100/30; 31/10; 16/5; 13/4; ; 3; ; 3
META; english/league-1/bristol-rovers-v-wigan; 2018-02-25 22:20:07 GMT+2; 2018-02-27 19:45; Nothing; Xlenovo
Wigan; 4/5; 17/20; ; 5/6; 17/20; 20/23; 4/5; 4/5; 9/11; ; 5/6; 5/6; 10/11; 4/5; 17/20; 5/6; 4/5; 5/6; 5/6; 9/11; 5/6; 5/6; 4/5; 5/6; ; 4/5; 4/5; 5/6
Draw; 14/5; 13/5; ; 13/5; 69/25; 11/4; 13/5; 13/5; 45/17; ; 13/5; 13/5; 5/2; 5/2; 5/2; 13/5; 28/11; 27/10; 13/5; 45/17; 13/5; 13/5; 27/10; 13/5; ; 5/2; 5/2; 12/5
Bristol Rovers; 16/5; 16/5; ; 16/5; 71/20; 7/2; 16/5; 16/5; 31/10; ; 10/3; 10/3; 14/5; 7/2; 100/30; 16/5; 33/10; 3; 29/10; 31/10; 7/2; 17/5; 10/3; 57/17; ; 3; 10/3; 3
META; english/league-1/bristol-rovers-v-wigan; 2018-02-26 02:19:45 GMT+2; 2018-02-27 19:45; Nothing; Xlenovo
Wigan; 17/20; 17/20; ; 5/6; 17/20; 20/23; 4/5; 4/5; 9/11; ; 5/6; 5/6; 10/11; 4/5; 17/20; 5/6; 4/5; 5/6; 5/6; 9/11; 5/6; 5/6; 4/5; 4/5; ; 4/5; 8/11; 5/6
Draw; 14/5; 13/5; ; 13/5; 69/25; 11/4; 5/2; 13/5; 45/17; ; 13/5; 13/5; 5/2; 13/5; 5/2; 13/5; 13/5; 27/10; 13/5; 45/17; 13/5; 11/4; 27/10; 13/5; ; 13/5; 5/2; 12/5
Bristol Rovers; 7/2; 16/5; ; 16/5; 71/20; 7/2; 16/5; 16/5; 31/10; ; 10/3; 10/3; 14/5; 17/5; 100/30; 16/5; 33/10; 3; 29/10; 31/10; 7/2; 16/5; 10/3; 57/17; ; 3; 3; 3
META; english/league-1/bristol-rovers-v-wigan; 2018-02-26 10:19:46 GMT+2; 2018-02-27 19:45; Nothing; Xlenovo
Wigan; 17/20; 4/5; ; 5/6; 17/20; 20/23; 4/5; 8/11; 9/11; ; 5/6; 5/6; 10/11; 4/5; 17/20; 4/5; 4/5; 5/6; 5/6; 9/11; 5/6; 4/5; 4/5; 5/6; ; 4/5; 8/11; 5/6
Draw; 14/5; 5/2; ; 13/5; 69/25; 11/4; 5/2; 13/5; 45/17; ; 13/5; 13/5; 5/2; 5/2; 5/2; 13/5; 28/11; 27/10; 13/5; 45/17; 13/5; 11/4; 27/10; 13/5; ; 27/10; 13/5; 12/5
Bristol Rovers; 7/2; 10/3; ; 16/5; 71/20; 7/2; 10/3; 10/3; 31/10; ; 10/3; 10/3; 14/5; 17/5; 100/30; 10/3; 57/17; 3; 29/10; 31/10; 7/2; 33/10; 10/3; 57/17; ; 3; 3; 3
META; english/league-1/bristol-rovers-v-wigan; 2018-02-26 14:20:24 GMT+2; 2018-02-27 19:45; Nothing; Xlenovo
Wigan; 17/20; 4/5; 5/6; 5/6; 17/20; ; 4/5; 4/5; 4/5; 5/6; 5/6; 4/5; 10/11; 4/5; 17/20; 4/5; 4/5; 5/6; 11/13; 4/5; 5/6; 4/5; 4/5; ; 4/5; 5/6; 5/6
Draw; 14/5; 5/2; 5/2; 13/5; 67/25; ; 5/2; 13/5; 28/11; 5/2; 13/5; 13/5; 5/2; 5/2; 5/2; 13/5; 5/2; 27/10; 13/5; 28/11; 13/5; 13/5; 28/11; ; 27/10; 27/10; 13/5
Bristol Rovers; 7/2; 10/3; 17/5; 16/5; 37/10; ; 10/3; 10/3; 7/2; 17/5; 10/3; 10/3; 14/5; 7/2; 100/30; 10/3; 38/11; 3; 29/10; 7/2; 17/5; 7/2; 7/2; ; 10/3; 10/3; 7/2
META; english/league-1/bristol-rovers-v-wigan; 2018-02-26 18:20:19 GMT+2; 2018-02-27 19:45; Nothing; Xlenovo
Wigan; 17/20; 4/5; 5/6; 5/6; 17/20; ; 4/5; 4/5; 4/5; 5/6; 5/6; 4/5; 10/11; 4/5; 17/20; 4/5; 4/5; 5/6; 11/13; 4/5; 17/20; 4/5; 4/5; ; 4/5; 5/6; 5/6
Draw; 14/5; 5/2; 5/2; 5/2; 67/25; 14/5; 5/2; 13/5; 28/11; 5/2; 13/5; 13/5; 5/2; 5/2; 5/2; 13/5; 5/2; 27/10; 13/5; 28/11; 13/5; 13/5; 28/11; ; 5/2; 13/5; 13/5
Bristol Rovers; 7/2; 10/3; 10/3; 10/3; 37/10; ; 10/3; 10/3; 7/2; 17/5; 10/3; 10/3; 14/5; 7/2; 100/30; 10/3; 38/11; 3; 29/10; 7/2; 7/2; 7/2; 7/2; ; 3; 7/2; 7/2
META; english/league-1/bristol-rovers-v-wigan; 2018-02-26 22:20:17 GMT+2; 2018-02-27 19:45; Nothing; Xlenovo
Wigan; 17/20; 4/5; 5/6; 5/6; 17/20; ; 5/6; 4/5; 4/5; 5/6; 5/6; 4/5; 10/11; 4/5; 17/20; 4/5; 4/5; 5/6; 11/13; 4/5; 17/20; 4/5; 4/5; ; 5/6; 5/6; 5/6
Draw; 14/5; 5/2; 5/2; 5/2; 67/25; 14/5; 5/2; 13/5; 28/11; 5/2; 13/5; 13/5; 5/2; 5/2; 5/2; 13/5; 5/2; 27/10; 13/5; 28/11; 13/5; 13/5; 28/11; ; 13/5; 27/10; 13/5
Bristol Rovers; 7/2; 10/3; 10/3; 10/3; 37/10; ; 10/3; 10/3; 7/2; 17/5; 10/3; 10/3; 14/5; 7/2; 100/30; 10/3; 38/11; 3; 29/10; 7/2; 7/2; 7/2; 7/2; ; 10/3; 10/3; 7/2
META; english/league-1/bristol-rovers-v-wigan; 2018-02-27 02:20:13 GMT+2; 2018-02-27 19:45; Nothing; Xlenovo
Wigan; 17/20; 4/5; 11/13; 5/6; 87/100; 20/23; 17/20; 4/5; 4/5; 17/20; 17/20; 20/23; 10/11; 17/20; 5/6; 5/6; 5/6; 5/6; 11/13; 4/5; 20/23; 5/6; 5/6; ; 5/6; 5/6; 5/6
Draw; 14/5; 5/2; 12/5; 5/2; 131/50; 27/10; 5/2; 5/2; 28/11; 5/2; 5/2; 12/5; 5/2; 49/20; 5/2; 5/2; 5/2; 27/10; 13/5; 28/11; 13/5; 13/5; 5/2; ; 13/5; 13/5; 13/5
Bristol Rovers; 7/2; 10/3; 10/3; 10/3; 73/20; 18/5; 10/3; 10/3; 7/2; 10/3; 10/3; 10/3; 14/5; 10/3; 100/30; 10/3; 33/10; 3; 29/10; 7/2; 17/5; 10/3; 57/17; ; 3; 3; 7/2
META; english/league-1/bristol-rovers-v-wigan; 2018-02-27 10:20:13 GMT+2; 2018-02-27 19:45; Nothing; Xlenovo
Wigan; 17/20; 4/5; 11/13; 5/6; 89/100; 20/23; 17/20; 4/5; 5/6; 20/23; 17/20; 20/23; 17/20; 17/20; 5/6; 5/6; 5/6; 5/6; 7/8; 5/6; 20/23; 5/6; 5/6; ; 5/6; 5/6; 5/6
Draw; 14/5; 5/2; 12/5; 5/2; 53/20; 27/10; 5/2; 5/2; 5/2; 5/2; 5/2; 12/5; 5/2; 49/20; 5/2; 5/2; 5/2; 27/10; 13/5; 5/2; 13/5; 13/5; 5/2; ; 27/10; 5/2; 13/5
Bristol Rovers; 7/2; 10/3; 13/4; 10/3; 7/2; 18/5; 10/3; 10/3; 13/4; 13/4; 10/3; 10/3; 16/5; 10/3; 100/30; 10/3; 33/10; 3; 37/13; 13/4; 17/5; 10/3; 57/17; ; 3; 10/3; 7/2
META; english/league-1/bristol-rovers-v-wigan; 2018-02-27 14:21:07 GMT+2; 2018-02-27 19:45; Nothing; Xlenovo
Wigan; 17/20; 17/20; 11/13; 5/6; 89/100; 20/23; 17/20; 4/5; 5/6; 20/23; 17/20; 20/23; 17/20; 17/20; 5/6; 17/20; 5/6; 5/6; 6/7; 5/6; 17/20; 5/6; 5/6; ; 5/6; 5/6; 5/6
Draw; 14/5; 5/2; 12/5; 5/2; 53/20; 27/10; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 49/20; 5/2; 5/2; 5/2; 27/10; 13/5; 5/2; 11/4; 13/5; 28/11; ; 13/5; 13/5; 13/5
Bristol Rovers; 7/2; 10/3; 13/4; 10/3; 7/2; 18/5; 10/3; 10/3; 13/4; 13/4; 10/3; 16/5; 16/5; 16/5; 100/30; 10/3; 33/10; 3; 29/10; 13/4; 33/10; 10/3; 33/10; ; 3; 10/3; 10/3
META; english/league-1/bristol-rovers-v-wigan; 2018-02-27 18:20:17 GMT+2; 2018-02-27 19:45; Nothing; Xlenovo
Wigan; ; ; 4/5; ; ; ; ; 8/11; ; 4/5; ; ; ; ; ; ; 14/19; ; ; ; ; 5/6; 14/19; ; 5/6; ; 
Draw; ; ; 13/5; ; ; ; ; 5/2; ; 13/5; ; ; ; ; ; ; 45/17; ; ; ; ; 13/5; 45/17; ; 13/5; ; 
Bristol Rovers; ; ; 7/2; ; ; ; ; 7/2; ; 7/2; ; ; ; ; ; ; 15/4; ; ; ; ; 10/3; 19/5; ; 27/10; ; 
META; english/league-1/bristol-rovers-v-wigan; 2018-04-21 22:20:23 GMT+3; 2018-04-24 19:45; Nothing; Xlenovo
Wigan; 8/11; 4/5; 4/6; 3/4; 4/5; 3/4; 8/15; 8/11
Draw; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 2; 13/5
Bristol Rovers; 15/4; 10/3; 7/2; 19/5; 7/2; 4; 13/5; 3
META; english/league-1/bristol-rovers-v-wigan; 2018-04-22 02:20:34 GMT+3; 2018-04-24 19:45; Nothing; Xlenovo
Wigan; 8/11; 4/5; 4/6; 3/4; 3/4; 4/5; 3/4; 4/7; 8/11
Draw; 13/5; 13/5; 13/5; 13/5; 11/4; 13/5; 13/5; 19/10; 13/5
Bristol Rovers; 15/4; 10/3; 7/2; 19/5; 7/2; 7/2; 4; 11/4; 3
META; english/league-1/bristol-rovers-v-wigan; 2018-04-22 10:20:34 GMT+3; 2018-04-24 19:45; Nothing; Xlenovo
Wigan; 4/7; 4/5; 8/13; 8/13; 7/10; 8/13; 7/10; 8/13; 4/6; 8/11; 8/13; 8/13; 4/6; 11/17; 7/10; 8/13; 11/17; 8/13; 4/7
