META; english/league-1/southend-v-bradford; 2017-12-10 02:20:49 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Southend; ; 3/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Bradford; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-1/southend-v-bradford; 2017-12-10 10:20:51 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Southend; ; 3/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Bradford; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-1/southend-v-bradford; 2017-12-10 14:23:39 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Southend; 8/5; 3/2; ; ; ; ; 8/5; 6/4; ; ; ; ; ; ; ; 6/4; ; ; 17/10; ; ; ; ; 31/20; ; ; 5/6; ; 
Bradford; 2; 15/8; ; ; 19/10; 15/8; 15/8; 9/5; 37/19; 15/8; 19/10; 15/8; 15/8; 15/8; 15/8; 19/10; 19/10; 24/13; 199/100; 17/10; 37/19; 15/8; 15/8; 15/8; 19/10; ; 7/4; 17/10; 
Draw; 9/4; 9/4; ; ; 11/5; 23/10; 11/5; 23/10; 9/4; 21/10; 9/4; 11/5; 23/10; ; 11/5; 9/4; 11/5; 11/5; 117/50; 9/4; 9/4; 9/4; 23/10; 11/5; 11/5; ; ; 2; 
META; english/league-1/southend-v-bradford; 2017-12-11 22:21:35 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Southend; 11/8; 7/5; ; ; 7/5; 6/4; 7/5; 7/5; 11/8; 29/20; 29/20; 29/20; 13/10; 29/20; 6/4; 7/5; 7/5; 7/5; 77/50; 23/17; 11/8; 6/4; 6/4; 29/20; 7/5; ; 23/20; 13/10; 6/4
Bradford; 2; 9/5; ; ; 19/10; 19/10; 15/8; 15/8; 37/19; 9/5; 19/10; 15/8; 15/8; 37/20; 9/5; 19/10; 19/10; 24/13; 49/25; 17/10; 37/19; 15/8; 15/8; 9/5; 24/13; ; 7/4; 13/8; 19/10
Draw; 9/4; 23/10; 9/4; ; 11/5; 23/10; 9/4; 9/4; 9/4; 9/4; 9/4; 23/10; 23/10; 23/10; 23/10; 23/10; 11/5; 9/4; 12/5; 9/4; 9/4; 23/10; 23/10; 9/4; 9/4; ; ; 21/10; 12/5
META; english/league-1/southend-v-bradford; 2017-12-12 02:21:24 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Southend; 11/8; 7/5; ; ; 7/5; 6/4; 29/20; 7/5; 11/8; 29/20; 29/20; 29/20; 13/10; 29/20; 6/4; 7/5; 7/5; 7/5; 77/50; 23/17; 11/8; 6/4; 6/4; 29/20; 7/5; ; 23/20; 13/10; 6/4
Bradford; 2; 9/5; ; ; 19/10; 19/10; 15/8; 15/8; 37/19; 9/5; 19/10; 9/5; 15/8; 37/20; 9/5; 19/10; 19/10; 24/13; 49/25; 17/10; 37/19; 15/8; 15/8; 9/5; 24/13; ; 7/4; 13/8; 19/10
Draw; 9/4; 23/10; 9/4; ; 11/5; 23/10; 9/4; 9/4; 9/4; 9/4; 9/4; 12/5; 23/10; 23/10; 23/10; 23/10; 11/5; 9/4; 12/5; 9/4; 9/4; 23/10; 23/10; 9/4; 9/4; ; ; 21/10; 12/5
META; english/league-1/southend-v-bradford; 2017-12-12 10:21:44 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Southend; 11/8; 7/5; ; ; 7/5; 6/4; 29/20; 7/5; 11/8; 29/20; 29/20; 29/20; 13/10; 6/4; 6/4; 7/5; 7/5; 7/5; 77/50; 23/17; 11/8; 6/4; 29/20; 29/20; 7/5; ; 6/5; 13/10; 
Bradford; 2; 15/8; ; ; 19/10; 19/10; 15/8; 15/8; 37/19; 9/5; 19/10; 9/5; 15/8; 37/20; 9/5; 19/10; 19/10; 24/13; 49/25; 17/10; 37/19; 15/8; 15/8; 9/5; 24/13; ; 13/8; 13/8; 
Draw; 9/4; 12/5; 9/4; ; 11/5; 23/10; 9/4; 23/10; 9/4; 9/4; 23/10; 12/5; 23/10; 9/4; 23/10; 23/10; 11/5; 9/4; 12/5; 9/4; 9/4; 23/10; 12/5; 9/4; 9/4; ; 21/10; 21/10; 
META; english/league-1/southend-v-bradford; 2017-12-12 14:22:22 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Southend; 11/8; 7/5; ; ; 7/5; 6/4; 29/20; 7/5; 11/8; 29/20; 29/20; 29/20; 13/10; 6/4; 6/4; 7/5; 7/5; 7/5; 77/50; 23/17; 11/8; 6/4; 29/20; 29/20; 7/5; ; 6/5; 13/10; 6/4
Bradford; 2; 15/8; ; ; 19/10; 19/10; 15/8; 15/8; 37/19; 9/5; 19/10; 9/5; 15/8; 37/20; 9/5; 19/10; 19/10; 24/13; 49/25; 17/10; 37/19; 15/8; 15/8; 9/5; 24/13; ; 17/10; 13/8; 19/10
Draw; 9/4; 12/5; 9/4; ; 11/5; 23/10; 9/4; 23/10; 9/4; 9/4; 23/10; 12/5; 23/10; 9/4; 23/10; 23/10; 11/5; 9/4; 12/5; 9/4; 9/4; 23/10; 12/5; 9/4; 9/4; ; 21/10; 21/10; 12/5
META; english/league-1/southend-v-bradford; 2017-12-12 18:23:22 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Southend; 11/8; 7/5; ; ; 7/5; 6/4; 29/20; 7/5; 11/8; 29/20; 29/20; 29/20; 13/10; 6/4; 6/4; 7/5; 7/5; 7/5; 31/20; 23/17; 11/8; 6/4; 29/20; 29/20; 7/5; ; 6/5; 13/10; 6/4
Bradford; 2; 15/8; ; ; 19/10; 19/10; 15/8; 15/8; 37/19; 9/5; 19/10; 15/8; 15/8; 37/20; 9/5; 19/10; 19/10; 24/13; 39/20; 17/10; 37/19; 15/8; 15/8; 9/5; 24/13; ; 17/10; 13/8; 19/10
Draw; 9/4; 12/5; 9/4; ; 11/5; 23/10; 9/4; 23/10; 9/4; 9/4; 23/10; 23/10; 23/10; 9/4; 23/10; 23/10; 11/5; 9/4; 12/5; 9/4; 9/4; 23/10; 12/5; 9/4; 9/4; ; 21/10; 21/10; 12/5
META; english/league-1/southend-v-bradford; 2017-12-12 22:23:48 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Southend; 11/8; 7/5; ; 29/20; 7/5; 6/4; 29/20; 7/5; 11/8; 29/20; 29/20; 29/20; 13/10; 6/4; 6/4; 7/5; 7/5; 7/5; 31/20; 23/17; 11/8; 6/4; 29/20; 29/20; 7/5; ; 7/5; 27/20; 6/4
Bradford; 2; 15/8; ; 19/10; 19/10; 19/10; 15/8; 15/8; 37/19; 9/5; 19/10; 9/5; 15/8; 37/20; 9/5; 19/10; 19/10; 24/13; 49/25; 17/10; 37/19; 15/8; 15/8; 9/5; 24/13; ; 7/4; 17/10; 19/10
Draw; 9/4; 12/5; 9/4; 9/4; 11/5; 23/10; 9/4; 23/10; 9/4; 9/4; 23/10; 12/5; 23/10; 9/4; 23/10; 23/10; 11/5; 9/4; 119/ 50; 9/4; 9/4; 23/10; 12/5; 9/4; 9/4; ; 21/10; 21/10; 12/5
META; english/league-1/southend-v-bradford; 2017-12-13 02:21:29 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Southend; 11/8; 7/5; ; 29/20; 7/5; 6/4; 29/20; 7/5; 11/8; 29/20; 29/20; 29/20; 13/10; 6/4; 6/4; 7/5; 7/5; 7/5; 77/50; 23/17; 11/8; 6/4; 29/20; 29/20; 7/5; ; 7/5; 27/20; 6/4
Bradford; 2; 15/8; ; 19/10; 19/10; 19/10; 15/8; 15/8; 37/19; 9/5; 19/10; 9/5; 15/8; 37/20; 9/5; 19/10; 19/10; 24/13; 49/25; 17/10; 37/19; 15/8; 15/8; 9/5; 24/13; ; 9/5; 7/4; 19/10
Draw; 9/4; 12/5; 9/4; 9/4; 11/5; 23/10; 9/4; 23/10; 9/4; 9/4; 23/10; 12/5; 23/10; 9/4; 23/10; 23/10; 11/5; 9/4; 12/5; 9/4; 9/4; 23/10; 12/5; 9/4; 9/4; ; 11/5; 21/10; 12/5
META; english/league-1/southend-v-bradford; 2017-12-13 10:21:30 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Southend; 11/8; 7/5; ; 29/20; 7/5; 6/4; 29/20; 7/5; 31/21; ; 29/20; 29/20; 13/10; 6/4; 6/4; 7/5; 7/5; 7/5; 77/50; 7/5; 31/21; 6/4; 29/20; 29/20; 7/5; ; 7/5; ; 6/4
Bradford; 2; 15/8; ; 19/10; 19/10; 19/10; 15/8; 15/8; 24/13; ; 19/10; 9/5; 15/8; 37/20; 9/5; 19/10; 19/10; 24/13; 49/25; 7/4; 24/13; 15/8; 15/8; 9/5; 24/13; ; 8/5; ; 19/10
Draw; 9/4; 12/5; 9/4; 9/4; 11/5; 23/10; 9/4; 23/10; 9/4; ; 9/4; 12/5; 23/10; 9/4; 23/10; 23/10; 11/5; 9/4; 12/5; 12/5; 9/4; 23/10; 12/5; 9/4; 9/4; ; 21/10; ; 12/5
META; english/league-1/southend-v-bradford; 2017-12-13 14:21:39 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Southend; 11/8; 7/5; ; 29/20; 7/5; 6/4; 29/20; 7/5; 31/21; ; 29/20; 29/20; 13/10; 6/4; 6/4; 7/5; 7/5; 7/5; 77/50; 7/5; 31/21; 6/4; 29/20; 29/20; 7/5; ; 7/5; 13/10; 6/4
Bradford; 2; 15/8; ; 19/10; 19/10; 19/10; 15/8; 15/8; 24/13; ; 19/10; 9/5; 15/8; 37/20; 9/5; 19/10; 19/10; 24/13; 49/25; 7/4; 24/13; 15/8; 15/8; 9/5; 24/13; ; 17/10; 13/8; 19/10
Draw; 9/4; 12/5; 9/4; 9/4; 11/5; 23/10; 9/4; 23/10; 9/4; ; 23/10; 12/5; 23/10; 9/4; 23/10; 23/10; 11/5; 9/4; 12/5; 12/5; 9/4; 23/10; 12/5; 9/4; 9/4; ; 21/10; 21/10; 12/5
META; english/league-1/southend-v-bradford; 2017-12-13 18:21:44 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Southend; 11/8; 7/5; ; 29/20; 7/5; 6/4; 29/20; 7/5; 31/21; ; 29/20; 29/20; 13/10; 6/4; 6/4; 7/5; 7/5; 7/5; 77/50; 7/5; 31/21; 6/4; 29/20; 29/20; 7/5; ; 11/8; 13/10; 6/4
Bradford; 2; 15/8; ; 19/10; 19/10; 19/10; 15/8; 15/8; 24/13; ; 19/10; 9/5; 15/8; 37/20; 9/5; 19/10; 19/10; 24/13; 49/25; 7/4; 24/13; 15/8; 15/8; 9/5; 24/13; ; 17/10; 13/8; 19/10
Draw; 9/4; 12/5; 9/4; 9/4; 11/5; 23/10; 9/4; 23/10; 9/4; ; 23/10; 12/5; 23/10; 9/4; 23/10; 23/10; 11/5; 9/4; 12/5; 12/5; 9/4; 23/10; 12/5; 9/4; 9/4; ; 21/10; 21/10; 12/5
META; english/league-1/southend-v-bradford; 2017-12-13 22:22:00 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Southend; 11/8; 7/5; ; 29/20; 7/5; 6/4; 29/20; 7/5; 31/21; ; 29/20; 29/20; 13/10; 6/4; 6/4; 7/5; 7/5; 7/5; 77/50; 7/5; 31/21; 6/4; 29/20; 29/20; 7/5; ; 7/5; 13/10; 6/4
Bradford; 2; 15/8; ; 19/10; 19/10; 19/10; 15/8; 15/8; 24/13; ; 19/10; 9/5; 15/8; 37/20; 9/5; 19/10; 19/10; 24/13; 49/25; 7/4; 24/13; 15/8; 15/8; 9/5; 24/13; ; 17/10; 13/8; 19/10
Draw; 9/4; 12/5; 9/4; 9/4; 11/5; 23/10; 9/4; 23/10; 9/4; ; 23/10; 12/5; 23/10; 9/4; 23/10; 23/10; 11/5; 9/4; 12/5; 12/5; 9/4; 23/10; 12/5; 9/4; 9/4; ; 21/10; 21/10; 12/5
META; english/league-1/southend-v-bradford; 2017-12-14 02:21:36 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Southend; 11/8; 7/5; ; 29/20; 7/5; 6/4; 29/20; 7/5; 31/21; ; 29/20; 29/20; 13/10; 6/4; 6/4; 7/5; 7/5; 7/5; 77/50; 7/5; 31/21; 6/4; 29/20; 29/20; 7/5; ; 11/8; 13/10; 6/4
