META; english/league-1/wigan-v-gillingham; 2018-01-28 14:22:10 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Wigan; 2/5; 4/11; ; ; 23/50; 2/5; 4/11; ; ; ; ; ; ; ; ; 2/5; ; 7/19; ; ; ; ; 2/5; 4/11; 7/19; ; 1/4; ; 
Draw; 7/2; 7/2; ; ; 73/20; 4; 7/2; ; ; ; ; ; ; ; ; 7/2; ; 17/5; ; ; ; ; 7/2; 7/2; 38/11; ; 23/10; ; 
Gillingham; 7; 8; ; ; 7; 17/2; 7; ; ; ; ; ; ; ; ; 15/2; ; 13/2; ; ; ; ; 17/2; 8; 27/4; ; 24/5; ; 
META; english/league-1/wigan-v-gillingham; 2018-01-28 18:21:29 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Wigan; 2/5; 4/11; 2/5; 4/11; 11/25; 4/11; ; ; 2/5; 2/5; 2/5; 2/5; ; ; ; 2/5; ; 3/8; ; ; 2/5; 2/5; 2/5; 2/5; 3/8; ; 1/3; ; 
Draw; 7/2; 7/2; 7/2; 15/4; 37/10; 4; ; ; 57/17; 17/5; 18/5; 10/3; ; ; ; 7/2; ; 57/17; ; ; 57/17; 19/5; 15/4; 7/2; 38/11; ; 3; ; 
Gillingham; 7; 8; 15/2; 15/2; 15/2; 17/2; 15/2; ; 15/2; 7; 7; 15/2; ; ; ; 15/2; ; 7; ; ; 15/2; 13/2; 7; 13/2; 7; ; 28/5; ; 
META; english/league-1/wigan-v-gillingham; 2018-01-28 22:23:57 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Wigan; 2/5; 4/11; 4/11; 4/11; 43/ 100; 4/11; ; ; 2/5; 4/11; 4/11; 4/11; ; ; ; 4/11; ; 7/19; ; ; 2/5; 2/5; 4/11; 4/11; 3/8; ; 1/4; ; 
Draw; 7/2; 7/2; 7/2; 15/4; 18/5; 4; 7/2; ; 57/17; 7/2; 18/5; 7/2; ; ; ; 7/2; ; 38/11; ; ; 57/17; 19/5; 18/5; 7/2; 38/11; ; 3; ; 
Gillingham; 7; 8; 8; 15/2; 81/10; 17/2; 15/2; ; 15/2; 8; 8; 8; ; ; ; 8; ; 29/4; ; ; 15/2; 15/2; 17/2; 8; 29/4; ; 31/5; ; 
META; english/league-1/wigan-v-gillingham; 2018-01-29 02:20:49 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Wigan; 2/5; 4/11; 4/11; 4/11; 43/ 100; 4/11; ; ; 2/5; 4/11; 4/11; 4/11; ; ; ; 4/11; ; 7/19; ; ; 2/5; 2/5; 4/11; 4/11; 7/19; ; 1/4; ; 
Draw; 7/2; 7/2; 7/2; 15/4; 18/5; 4; 7/2; ; 57/17; 7/2; 18/5; 7/2; ; ; ; 7/2; ; 38/11; ; ; 57/17; 19/5; 18/5; 7/2; 7/2; ; 3; ; 
Gillingham; 7; 8; 8; 15/2; 81/10; 17/2; 15/2; ; 15/2; 8; 8; 8; ; ; ; 8; ; 29/4; ; ; 15/2; 15/2; 17/2; 8; 29/4; ; 31/5; ; 
META; english/league-1/wigan-v-gillingham; 2018-01-29 10:20:47 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Wigan; 4/11; 4/11; 4/11; 4/11; 41/ 100; 4/11; 7/20; ; 2/5; 4/11; 4/11; 4/11; ; ; 2/5; 4/11; 2/5; 4/11; 2/5; 4/11; 2/5; 2/5; 4/11; 4/11; 4/11; ; 3/10; ; 
Draw; 15/4; 7/2; 18/5; 15/4; 15/4; 15/4; 7/2; ; 57/17; 18/5; 18/5; 7/2; ; ; 7/2; 15/4; 7/2; 39/11; 7/2; 7/2; 57/17; 19/5; 15/4; 7/2; 39/11; ; 14/5; ; 
Gillingham; 15/2; 8; 8; 15/2; 42/5; 17/2; 8; ; 15/2; 15/2; 8; 8; ; ; 7; 8; 27/4; 29/4; 27/4; 6; 15/2; 15/2; 17/2; 8; 15/2; ; 36/5; ; 
META; english/league-1/wigan-v-gillingham; 2018-01-29 14:21:27 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Wigan; 4/11; 4/11; 4/11; 4/11; 2/5; 4/11; 7/20; ; 2/5; 4/11; 4/11; 4/11; ; ; 2/5; 4/11; 2/5; 10/29; 2/5; 7/19; 2/5; 2/5; 4/11; 4/11; 10/29; ; 1/3; ; 
