META; english/league-1/bradford-v-rotherham; 2017-09-10 14:22:59 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Bradford; 1; 11/10; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Rotherham; 11/4; 23/10; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/bradford-v-rotherham; 2017-09-10 18:22:46 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Bradford; 1; 11/10; ; ; 21/20; ; 21/20; 1; ; ; ; ; 1; ; ; 21/20; ; ; 1; ; ; ; ; ; 1; ; ; ; 
META; english/league-1/bradford-v-rotherham; 2017-09-11 10:22:42 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Bradford; 1; 11/10; ; ; 1; ; 1; 10/11; ; ; ; 1; 1; ; ; 1; 19/20; ; 1; ; ; ; ; ; 1; ; ; ; 
Draw; 12/5; 23/10; ; ; 13/5; ; 5/2; 5/2; ; ; ; 5/2; 12/5; ; ; 5/2; 12/5; ; 40/17; ; ; ; ; ; 12/5; ; ; ; 
Rotherham; 11/4; 23/10; ; ; 11/4; ; 27/10; 13/5; ; ; ; 13/5; 11/4; ; ; 13/5; 11/4; ; 45/17; ; ; ; ; ; 11/4; ; ; ; 
META; english/league-1/bradford-v-rotherham; 2017-09-11 14:22:49 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Bradford; 1; 11/10; ; ; 1; 19/20; 1; 10/11; 1; ; ; 21/20; 1; ; 1; 21/20; 19/20; ; 1; ; ; 1; ; ; 1; ; ; ; 
Draw; 12/5; 23/10; ; ; 13/5; 23/10; 5/2; 5/2; 27/11; ; ; 12/5; 12/5; ; 23/10; 12/5; 12/5; ; 12/5; ; ; 27/11; ; ; 12/5; ; ; ; 
Rotherham; 11/4; 23/10; ; ; 11/4; 27/10; 11/4; 13/5; 27/10; ; ; 13/5; 11/4; ; 13/5; 13/5; 11/4; ; 45/17; ; ; 27/10; ; ; 11/4; ; ; ; 
META; english/league-1/bradford-v-rotherham; 2017-09-11 18:22:56 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Bradford; 1; 11/10; ; ; 1; 19/20; 1; 10/11; 1; ; ; 21/20; 1; ; 1; 1; 19/20; ; 1; ; ; 1; ; 21/20; 1; ; ; ; 
Draw; 12/5; 12/5; ; ; 13/5; 23/10; 5/2; 5/2; 27/11; ; ; 12/5; 12/5; ; 23/10; 12/5; 12/5; ; 12/5; ; ; 27/11; ; 5/2; 12/5; ; ; ; 
Rotherham; 11/4; 5/2; ; ; 11/4; 27/10; 14/5; 13/5; 27/10; ; ; 13/5; 11/4; ; 13/5; 27/10; 11/4; ; 45/17; ; ; 27/10; ; 14/5; 11/4; ; ; ; 
META; english/league-1/bradford-v-rotherham; 2017-09-11 22:22:48 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Bradford; 1; 11/10; ; ; 1; 19/20; 1; 10/11; 1; ; ; 21/20; 1; ; 1; 1; 19/20; ; 1; ; ; 1; ; 21/20; 1; ; ; ; 
Draw; 12/5; 12/5; ; ; 13/5; 23/10; 5/2; 5/2; 27/11; ; ; 12/5; 12/5; ; 23/10; 12/5; 12/5; ; 12/5; ; ; 27/11; ; 5/2; 12/5; ; ; ; 
Rotherham; 11/4; 5/2; ; ; 11/4; 27/10; 14/5; 13/5; 27/10; ; ; 13/5; 11/4; ; 13/5; 27/10; 11/4; ; 45/17; ; ; 27/10; ; 14/5; 11/4; ; ; ; 
META; english/league-1/bradford-v-rotherham; 2017-09-12 02:22:40 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Bradford; 1; 11/10; ; ; 21/20; 19/20; 1; 10/11; 1; ; ; 1; 1; 1; 1; 1; 19/20; ; 1; ; ; 1; ; 21/20; 1; ; 10/11; ; 
Draw; 12/5; 12/5; ; ; 5/2; 23/10; 5/2; 5/2; 27/11; ; ; 12/5; 12/5; 13/5; 23/10; 12/5; 12/5; ; 12/5; ; ; 27/11; ; 5/2; 12/5; ; 23/10; ; 
Rotherham; 11/4; 5/2; ; ; 11/4; 27/10; 11/4; 13/5; 27/10; ; ; 13/5; 11/4; 11/4; 13/5; 27/10; 11/4; ; 27/10; ; ; 27/10; ; 14/5; 11/4; ; 5/2; ; 
META; english/league-1/bradford-v-rotherham; 2017-09-12 10:22:41 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Bradford; 1; 11/10; ; ; 1; 19/20; 1; 10/11; 1; ; ; 1; 1; 1; 1; 1; 19/20; ; 1; ; ; 1; ; 21/20; 1; ; 10/11; ; 
Draw; 12/5; 12/5; ; ; 13/5; 23/10; 5/2; 5/2; 27/11; ; ; 12/5; 12/5; 13/5; 23/10; 12/5; 12/5; ; 12/5; ; ; 27/11; ; 5/2; 12/5; ; 23/10; ; 
Rotherham; 11/4; 5/2; ; ; 11/4; 27/10; 14/5; 13/5; 27/10; ; ; 13/5; 11/4; 11/4; 13/5; 27/10; 11/4; ; 27/10; ; ; 27/10; ; 14/5; 11/4; ; 5/2; ; 
META; english/league-1/bradford-v-rotherham; 2017-09-12 14:22:50 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Bradford; 21/20; 11/10; ; ; 11/10; 19/20; 11/10; 1; 1; 11/10; 11/10; 21/20; 21/20; 11/10; 11/10; 11/10; 19/20; ; 1; ; 21/20; 1; ; 11/10; 1; ; 1; ; 
Draw; 12/5; 12/5; ; ; 5/2; 23/10; 5/2; 12/5; 27/11; 23/10; 23/10; 5/2; 12/5; 13/5; 12/5; 12/5; 12/5; ; 12/5; ; 5/2; 27/11; ; 5/2; 12/5; ; 23/10; ; 
Rotherham; 5/2; 5/2; ; ; 13/5; 27/10; 12/5; 5/2; 27/10; 12/5; 12/5; 12/5; 5/2; 11/4; 12/5; 5/2; 11/4; ; 27/10; ; 9/4; 27/10; ; 5/2; 5/2; ; 5/2; ; 
META; english/league-1/bradford-v-rotherham; 2017-09-12 18:22:59 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Bradford; 21/20; 11/10; 11/10; 23/20; 11/10; 19/20; 11/10; 1; 1; 11/10; 11/10; 11/10; 21/20; 11/10; 11/10; 11/10; 19/20; ; 1; ; 21/20; 1; ; 11/10; 1; ; 1; ; 
Draw; 12/5; 12/5; 47/20; 23/10; 5/2; 23/10; 5/2; 12/5; 27/11; 23/10; 12/5; 5/2; 12/5; 13/5; 12/5; 12/5; 12/5; ; 12/5; ; 5/2; 27/11; ; 5/2; 12/5; ; 23/10; ; 
