META; english/league-1/bristol-rovers-v-shrewsbury; 2018-01-28 14:21:39 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Bristol Rovers; 11/8; 11/8; ; ; 36/25; 29/20; 11/8; ; ; ; ; ; ; ; ; 7/5; ; 13/10; ; ; ; ; 7/5; 11/8; 23/17; ; 5/6; ; 
Shrewsbury; 15/8; 15/8; ; ; 101/ 50; 2; 15/8; ; ; ; ; ; ; ; ; 15/8; ; 9/5; ; ; ; ; 19/10; 37/20; 24/13; ; 5/4; ; 
Draw; 12/5; 12/5; ; ; 63/25; 5/2; 23/10; ; ; ; ; ; ; ; ; 12/5; ; 23/10; ; ; ; ; 12/5; 47/20; 40/17; ; 21/10; ; 
META; english/league-1/bristol-rovers-v-shrewsbury; 2018-01-28 18:21:00 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Bristol Rovers; 11/8; 11/8; 16/11; 6/4; 37/25; 7/5; 11/8; ; 11/8; 7/5; 11/8; 29/20; ; ; ; 7/5; ; 7/5; ; ; 11/8; 7/5; 29/20; 11/8; 7/5; ; 6/5; ; 
Shrewsbury; 15/8; 15/8; 2; 19/10; 49/25; 21/10; 15/8; ; 24/13; 2; 19/10; 19/10; ; ; ; 19/10; ; 9/5; ; ; 24/13; 2; 19/10; 19/10; 24/13; ; 27/20; ; 
Draw; 12/5; 12/5; 21/10; 11/5; 63/25; 5/2; 23/10; ; 27/11; 21/10; 23/10; 11/5; ; ; ; 23/10; ; 23/10; ; ; 27/11; 23/10; 12/5; 23/10; 40/17; ; 19/10; ; 
META; english/league-1/bristol-rovers-v-shrewsbury; 2018-01-28 22:23:26 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Bristol Rovers; 11/8; 11/8; 16/11; 6/4; 77/50; 6/4; 7/5; ; 11/8; 29/20; 7/5; 29/20; ; ; ; 7/5; ; 7/5; ; ; 11/8; 6/4; 29/20; 7/5; 7/5; ; 13/10; ; 
Shrewsbury; 15/8; 15/8; 19/10; 19/10; 39/20; 2; 15/8; ; 24/13; 19/10; 15/8; 19/10; ; ; ; 19/10; ; 24/13; ; ; 24/13; 2; 19/10; 39/20; 24/13; ; 11/8; ; 
Draw; 12/5; 12/5; 21/10; 11/5; 121/ 50; 12/5; 9/4; ; 27/11; 21/10; 23/10; 11/5; ; ; ; 23/10; ; 9/4; ; ; 27/11; 9/4; 12/5; 11/5; 23/10; ; 19/10; ; 
META; english/league-1/bristol-rovers-v-shrewsbury; 2018-01-29 02:20:22 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Bristol Rovers; 11/8; 11/8; 16/11; 6/4; 77/50; 6/4; 7/5; ; 11/8; 29/20; 7/5; 29/20; ; ; ; 7/5; ; 7/5; ; ; 11/8; 6/4; 29/20; 7/5; 7/5; ; 10/9; ; 
Shrewsbury; 15/8; 15/8; 19/10; 19/10; 39/20; 2; 15/8; ; 24/13; 19/10; 15/8; 19/10; ; ; ; 19/10; ; 24/13; ; ; 24/13; 2; 19/10; 39/20; 24/13; ; 11/8; ; 
Draw; 12/5; 12/5; 21/10; 11/5; 121/ 50; 12/5; 9/4; ; 27/11; 21/10; 23/10; 11/5; ; ; ; 23/10; ; 9/4; ; ; 27/11; 9/4; 12/5; 11/5; 9/4; ; 19/10; ; 
META; english/league-1/bristol-rovers-v-shrewsbury; 2018-01-29 10:20:19 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Bristol Rovers; 13/10; 11/8; 7/5; 6/4; 29/20; 7/5; 11/8; ; 11/8; 11/8; 13/10; 7/5; ; ; 13/10; 7/5; 23/17; 23/17; 23/17; 9/7; 11/8; 7/5; 11/8; 7/5; 7/5; ; 21/20; ; 
Shrewsbury; 2; 15/8; 2; 19/10; 52/25; 2; 19/10; ; 24/13; 2; 2; 11/5; ; ; 21/10; 19/10; 24/13; 19/10; 24/13; 9/5; 24/13; 2; 2; 39/20; 24/13; ; 7/5; ; 
