META; english/league-1/plymouth-v-blackburn; 2018-01-28 14:21:57 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Blackburn; 8/11; 2/3; ; ; 79/ 100; 3/4; 7/10; ; ; ; ; ; ; ; ; 7/10; ; 9/13; ; ; ; ; 7/10; 7/10; 5/7; ; 8/15; ; 
Draw; 14/5; 11/4; ; ; 74/25; 29/10; 14/5; ; ; ; ; ; ; ; ; 14/5; ; 27/10; ; ; ; ; 14/5; 14/5; 11/4; ; 21/10; ; 
Plymouth; 7/2; 4; ; ; 73/20; 4; 7/2; ; ; ; ; ; ; ; ; 15/4; ; 17/5; ; ; ; ; 4; 7/2; 17/5; ; 13/5; ; 
META; english/league-1/plymouth-v-blackburn; 2018-01-28 18:21:19 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Blackburn; 3/4; 2/3; 4/5; 5/6; 81/ 100; 4/5; 8/11; ; 5/7; 4/5; 3/4; 3/4; ; ; ; 8/11; ; 10/13; ; ; 5/7; 4/5; 4/5; 10/13; 10/13; ; 4/7; ; 
Draw; 14/5; 11/4; 5/2; 13/5; 59/20; 29/10; ; ; 14/5; 12/5; 11/4; 13/5; ; ; ; 13/5; ; 45/17; ; ; 14/5; 13/5; 11/4; 51/20; 27/10; ; 5/2; ; 
Plymouth; 10/3; 4; 7/2; 16/5; 71/20; 15/4; ; ; 18/5; 10/3; 10/3; 7/2; ; ; ; 7/2; ; 33/10; ; ; 18/5; 7/2; 17/5; 7/2; 33/10; ; 23/10; ; 
META; english/league-1/plymouth-v-blackburn; 2018-01-28 22:23:46 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Blackburn; 3/4; 2/3; 5/6; 5/6; 21/25; 4/5; 4/5; ; 5/7; 5/6; 3/4; 5/6; ; ; ; 4/5; ; 4/5; ; ; 5/7; 4/5; 4/5; 4/5; 4/5; ; 4/7; ; 
Draw; 14/5; 11/4; 12/5; 13/5; 68/25; 14/5; 5/2; ; 14/5; 23/10; 11/4; 12/5; ; ; ; 13/5; ; 5/2; ; ; 14/5; 13/5; 27/10; 49/20; 28/11; ; 19/10; ; 
Plymouth; 10/3; 4; 7/2; 16/5; 37/10; 15/4; 10/3; ; 18/5; 7/2; 10/3; 7/2; ; ; ; 7/2; ; 33/10; ; ; 18/5; 7/2; 7/2; 7/2; 57/17; ; 4; ; 
META; english/league-1/plymouth-v-blackburn; 2018-01-29 02:20:39 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Blackburn; 3/4; 2/3; 5/6; 5/6; 21/25; 4/5; 4/5; ; 5/7; 5/6; 3/4; 5/6; ; ; ; 4/5; ; 4/5; ; ; 5/7; 4/5; 4/5; 4/5; 4/5; ; 4/6; ; 
Draw; 14/5; 11/4; 12/5; 13/5; 68/25; 14/5; 13/5; ; 14/5; 12/5; 11/4; 12/5; ; ; ; 13/5; ; 5/2; ; ; 14/5; 13/5; 27/10; 49/20; 28/11; ; 19/10; ; 
Plymouth; 10/3; 4; 7/2; 16/5; 37/10; 15/4; 10/3; ; 18/5; 17/5; 10/3; 7/2; ; ; ; 7/2; ; 33/10; ; ; 18/5; 7/2; 7/2; 7/2; 57/17; ; 9/4; ; 
META; english/league-1/plymouth-v-blackburn; 2018-01-29 10:20:37 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Blackburn; 3/4; 2/3; 5/6; 5/6; 21/25; 3/4; 4/5; ; 5/7; 5/6; 3/4; 5/6; ; ; 5/6; 4/5; 3/4; 4/5; 3/4; 13/16; 5/7; 4/5; 4/5; 4/5; 4/5; ; 8/11; ; 
Draw; 14/5; 11/4; 12/5; 13/5; 68/25; 11/4; 13/5; ; 14/5; 12/5; 11/4; 12/5; ; ; 5/2; 13/5; 11/4; 28/11; 11/4; 40/17; 14/5; 13/5; 27/10; 49/20; 28/11; ; 2; ; 
Plymouth; 10/3; 4; 7/2; 16/5; 37/10; 18/5; 10/3; ; 18/5; 17/5; 10/3; 7/2; ; ; 100/ 30; 7/2; 10/3; 33/10; 10/3; 56/19; 18/5; 7/2; 17/5; 7/2; 57/17; ; 23/10; ; 
