META; english/league-1/doncaster-v-wigan; 2018-04-29 18:20:06 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Wigan; 4/6; 8/11; 8/11; 4/6; 8/13; 4/6; 7/10; 11/17; 4/6; 11/17; 4/7; 4/6
Draw; 14/5; 11/4; 71/25; 11/4; 13/5; 5/2; 11/4; 27/10; 14/5; 27/10; 5/2; 27/10
Doncaster; 4; 7/2; 79/20; 4; 7/2; 19/5; 4; 50/13; 17/4; 39/10; 12/5; 7/2
META; english/league-1/doncaster-v-wigan; 2018-04-29 22:19:54 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Wigan; 4/6; 8/11; 8/11; 4/6; 8/13; 8/13; 7/10; 11/17; 4/6; 11/17; 4/7; 4/6
Draw; 14/5; 11/4; 71/25; 11/4; 13/5; 5/2; 11/4; 27/10; 14/5; 27/10; 19/10; 27/10
Doncaster; 4; 7/2; 79/20; 4; 4; 50/13; 17/4; 39/10; 7/2; 7/2; ; 
META; english/league-1/doncaster-v-wigan; 2018-04-30 02:19:38 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Wigan; 4/6; 8/11; 8/11; 4/6; 8/13; 8/13; 4/6; 7/10; 11/17; 4/6; 11/17; 4/7; 4/6
Draw; 14/5; 11/4; 71/25; 11/4; 13/5; 5/2; 11/4; 11/4; 27/10; 14/5; 27/10; 19/10; 27/10
Doncaster; 4; 7/2; 79/20; 4; 4; 4; 50/13; 17/4; 39/10; 7/2; 7/2; ; 
META; english/league-1/doncaster-v-wigan; 2018-04-30 10:19:44 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Wigan; 4/6; 8/11; 8/11; 4/6; 4/6; 8/13; 11/17; 8/13; 4/6; 7/10; 11/17; 4/6; 11/17; 4/6; 11/17; 4/7; 4/6
Draw; 14/5; 11/4; 71/25; 14/5; 11/4; 13/5; 27/10; 5/2; 11/4; 11/4; 45/17; 11/4; 27/10; 14/5; 27/10; 5/2; 27/10
Doncaster; 4; 7/2; 79/20; 9/2; 4; 43/10; 4; 4; 75/19; 4; 43/10; 17/4; 4; 7/2; ; ; 
META; english/league-1/doncaster-v-wigan; 2018-04-30 14:20:22 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Wigan; 4/6; 8/11; 8/11; 4/6; 4/6; 8/13; 11/17; 8/13; 4/6; 7/10; 4/6; 11/17; 4/6; 11/17; 4/6; 11/17; 4/7; 4/6
Draw; 14/5; 11/4; 71/25; 14/5; 11/4; 13/5; 27/10; 13/5; 11/4; 14/5; 14/5; 45/17; 11/4; 27/10; 14/5; 27/10; 13/5; 27/10
Doncaster; 4; 7/2; 79/20; 9/2; 4; 43/10; 4; 15/4; 4; 75/19; 4; 43/10; 17/4; 4; 7/2; ; ; 
META; english/league-1/doncaster-v-wigan; 2018-04-30 18:20:22 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Wigan; 4/6; 8/11; 8/11; 4/6; 4/6; 8/13; 11/17; 8/13; 4/6; 7/10; 7/10; 11/17; 4/6; 11/17; 4/6; 11/17; 4/7; 4/6
Draw; 14/5; 11/4; 71/25; 14/5; 11/4; 13/5; 27/10; 5/2; 11/4; 14/5; 11/4; 45/17; 11/4; 27/10; 14/5; 27/10; 13/5; 27/10
Doncaster; 4; 7/2; 79/20; 9/2; 4; 43/10; 4; 15/4; 4; 75/19; 4; 43/10; 17/4; 4; 7/2; ; ; 
META; english/league-1/doncaster-v-wigan; 2018-04-30 22:20:20 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Wigan; 4/6; 8/11; 8/11; 4/6; 4/6; 8/13; 11/17; 8/13; 4/6; 7/10; 7/10; 11/17; 4/6; 11/17; 4/6; 11/17; 4/7; 4/6
Draw; 14/5; 11/4; 71/25; 14/5; 11/4; 13/5; 27/10; 5/2; 11/4; 14/5; 11/4; 45/17; 11/4; 27/10; 14/5; 27/10; 13/5; 27/10
Doncaster; 4; 7/2; 79/20; 9/2; 4; 43/10; 4; 15/4; 4; 75/19; 4; 43/10; 17/4; 4; 7/2; ; ; 
META; english/league-1/doncaster-v-wigan; 2018-05-01 02:20:10 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
