META; english/league-1/fleetwood-v-rotherham; 2017-06-23 22:18:07 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Fleetwood; 13/10; 6/5; ; 5/4; ; 13/10; 13/10; 6/5; 7/5; 5/4; 5/4; 5/4; 5/4; 6/5; 5/4; ; 5/4; ; 5/4; 5/4; 11/8; ; 5/4; ; 5/4; ; ; ; 
Rotherham; 2; 9/4; ; 15/8; ; 2; 85/40; 19/10; 2; 15/8; 15/8; 2; 21/10; 19/10; 9/4; ; 37/19; ; 19/10; 37/19; 107/50; ; 37/19; ; 37/19; ; ; ; 
Draw; 12/5; 12/5; ; 23/10; ; 23/10; 12/5; 21/10; 12/5; 9/4; 9/4; 5/2; 12/5; 21/10; 9/4; ; 23/10; ; 23/10; 23/10; 5/2; ; 23/10; ; 23/10; ; ; ; 
META; english/league-1/fleetwood-v-rotherham; 2017-06-24 02:18:03 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Fleetwood; 13/10; 6/5; ; 5/4; ; 13/10; 13/10; 6/5; 7/5; 5/4; 5/4; 5/4; 5/4; 6/5; 5/4; ; 5/4; ; 5/4; 5/4; 11/8; ; 5/4; ; 5/4; ; ; ; 
Rotherham; 2; 9/4; ; 15/8; ; 2; 85/40; 19/10; 2; 15/8; 15/8; 2; 21/10; 19/10; 9/4; ; 37/19; ; 19/10; 37/19; 107/50; ; 37/19; ; 37/19; ; ; ; 
Draw; 12/5; 12/5; ; 23/10; ; 23/10; 12/5; 21/10; 12/5; 9/4; 9/4; 5/2; 12/5; 21/10; 9/4; ; 23/10; ; 23/10; 23/10; 5/2; ; 23/10; ; 23/10; ; ; ; 
META; english/league-1/fleetwood-v-rotherham; 2017-06-24 10:18:09 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Fleetwood; 13/10; 6/5; ; 5/4; ; 13/10; 13/10; 6/5; 7/5; 5/4; 5/4; 5/4; 5/4; 6/5; 5/4; ; 5/4; ; 5/4; 5/4; 11/8; ; 5/4; ; 5/4; ; ; ; 
Rotherham; 2; 9/4; ; 15/8; ; 2; 85/40; 19/10; 2; 15/8; 15/8; 2; 21/10; 19/10; 9/4; ; 37/19; ; 19/10; 37/19; 107/50; ; 37/19; ; 37/19; ; ; ; 
Draw; 12/5; 12/5; ; 23/10; ; 23/10; 12/5; 21/10; 12/5; 9/4; 9/4; 5/2; 12/5; 21/10; 9/4; ; 23/10; ; 23/10; 23/10; 5/2; ; 23/10; ; 23/10; ; ; ; 
