META; english/league-1/bradford-v-southend; 2018-04-22 14:21:09 GMT+3; 2018-04-28 15:00; Nothing; Xlenovo
Bradford; 6/5; 13/10; 5/4; 5/4; 11/10; 5/4; 15/13; 5/4; 15/13; 10/9; 1/3
Southend; 21/10; 9/5; 23/10; 2; 21/10; 2; 39/19; 85/40; 39/19; 2; 1/6
Draw; 5/2; 12/5; 12/5; 12/5; 11/5; 5/2; 12/5; 5/2; 12/5; 11/5; 1/7
META; english/league-1/bradford-v-southend; 2018-04-22 18:20:40 GMT+3; 2018-04-28 15:00; Nothing; Xlenovo
Bradford; 6/5; 13/10; 127/00; 5/4; 6/5; 11/10; 6/5; 6/5; 15/13; 6/5; 15/13; 10/9; 6/5
Southend; 21/10; 9/5; 56/25; 23/10; 21/10; 21/10; 11/5; 2; 39/19; 11/5; 39/19; 2; 21/10
Draw; 5/2; 12/5; 131/0; 12/5; 11/5; 5/2; 5/2; 12/5; 5/2; 12/5; 21/10; 12/5; 
META; english/league-1/bradford-v-southend; 2018-04-22 22:20:08 GMT+3; 2018-04-28 15:00; Nothing; Xlenovo
Bradford; 6/5; 13/10; 127/00; 6/5; 6/5; 11/10; 6/5; 6/5; 5/4; 6/5; 15/13; 6/5; 15/13; 10/9; 6/5
Southend; 21/10; 9/5; 56/25; 9/4; 2; 21/10; 11/5; 21/10; 21/10; 2; 39/19; 11/5; 39/19; 2; 21/10
Draw; 5/2; 12/5; 131/0; 5/2; 23/10; 5/2; 13/5; 12/5; 5/2; 12/5; 5/2; 12/5; 23/10; 5/2; 
META; english/league-1/bradford-v-southend; 2018-04-23 02:20:29 GMT+3; 2018-04-28 15:00; Nothing; Xlenovo
Bradford; 6/5; 13/10; 127/00; 6/5; 6/5; 11/10; 6/5; 6/5; 5/4; 6/5; 15/13; 6/5; 15/13; 10/9; 6/5
Southend; 21/10; 9/5; 56/25; 9/4; 2; 21/10; 11/5; 21/10; 11/5; 2; 39/19; 11/5; 39/19; 2; 21/10
Draw; 5/2; 12/5; 131/0; 5/2; 23/10; 5/2; 13/5; 5/2; 5/2; 12/5; 5/2; 12/5; 9/4; 5/2; 
META; english/league-1/bradford-v-southend; 2018-04-23 10:20:27 GMT+3; 2018-04-28 15:00; Nothing; Xlenovo
Bradford; 6/5; 13/10; 127/00; 6/5; 6/5; 11/10; 6/5; 6/5; 6/5; 5/4; 6/5; 15/13; 6/5; 6/5; 15/13; 10/9; 6/5
Southend; 21/10; 9/5; 56/25; 9/4; 2; 21/10; 28/13; 11/5; 21/10; 11/5; 2; 39/19; 28/13; 11/5; 39/19; 2; 21/10
Draw; 5/2; 12/5; 131/0; 5/2; 23/10; 27/11; 5/2; 13/5; 5/2; 5/2; 12/5; 27/11; 5/2; 12/5; 23/10; 5/2; 
META; english/league-1/bradford-v-southend; 2018-04-23 14:20:47 GMT+3; 2018-04-28 15:00; Nothing; Xlenovo
