META; english/league-1/rochdale-v-southend; 2018-01-14 18:21:21 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Rochdale; 5/4; 11/8; ; 11/8; 133/100; 7/5; 13/10; 11/8; ; ; 13/10; ; ; ; ; 5/4; ; 5/4; ; ; ; ; 13/10; 5/4; 5/4; ; 1; ; 
Southend; 2; 19/10; ; 13/8; 85/40; 21/10; 2; 2; ; ; 21/10; ; ; ; ; 19/10; ; 37/19; ; ; ; ; 2; 39/20; 2; ; 6/5; ; 
Draw; 5/2; 23/10; ; 23/10; 131/50; 5/2; 12/5; 12/5; ; ; 5/2; ; ; ; ; 12/5; ; 27/11; ; ; ; ; 5/2; 5/2; 27/11; ; 19/10; ; 
META; english/league-1/rochdale-v-southend; 2018-01-14 22:21:14 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Rochdale; 23/20; 11/8; 6/5; 6/5; 129/100; 6/5; 5/4; 11/10; 13/10; 6/5; 5/4; 6/5; ; ; ; 6/5; ; 6/5; ; 7/6; 13/10; ; 6/5; 6/5; 6/5; ; 5/6; ; 
Southend; 21/10; 19/10; 23/10; 23/10; 113/50; 12/5; 21/10; 23/10; 2; 9/4; 9/4; 9/4; ; ; ; 21/10; ; 39/19; ; 21/10; 2; ; 23/10; 11/5; 21/10; ; 13/8; ; 
Draw; 13/5; 23/10; 11/5; 23/10; 127/50; 12/5; 23/10; 12/5; 40/17; 11/5; 5/2; 12/5; ; ; ; 23/10; ; 40/17; ; 27/11; 40/17; ; 12/5; 23/10; 12/5; ; 19/10; ; 
META; english/league-1/rochdale-v-southend; 2018-01-15 02:21:08 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Rochdale; 23/20; 11/8; 6/5; 6/5; 129/100; 6/5; 6/5; 11/10; 13/10; 6/5; 6/5; 6/5; ; ; ; 6/5; ; 6/5; ; 7/6; 13/10; ; 6/5; 6/5; 6/5; ; 10/11; ; 
Southend; 21/10; 19/10; 23/10; 23/10; 113/50; 12/5; 21/10; 23/10; 2; 9/4; 23/10; 9/4; ; ; ; 21/10; ; 21/10; ; 21/10; 2; ; 23/10; 11/5; 28/13; ; 9/5; ; 
Draw; 13/5; 23/10; 11/5; 23/10; 127/50; 12/5; 23/10; 12/5; 40/17; 11/5; 5/2; 12/5; ; ; ; 23/10; ; 40/17; ; 27/11; 40/17; ; 12/5; 23/10; 40/17; ; 21/10; ; 
META; english/league-1/rochdale-v-southend; 2018-01-15 10:21:15 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Rochdale; 23/20; 11/8; 6/5; 6/5; 127/100; 6/5; 6/5; 11/10; 13/10; 6/5; 6/5; 6/5; ; ; 6/5; 6/5; 15/13; 6/5; 15/13; 7/6; 13/10; ; 6/5; 23/20; 6/5; ; 10/11; ; 
Southend; 21/10; 19/10; 23/10; 23/10; 57/25; 12/5; 21/10; 23/10; 2; 9/4; 23/10; 9/4; ; ; 11/5; 21/10; 21/10; 21/10; 21/10; 21/10; 2; ; 9/4; 23/10; 21/10; ; 9/5; ; 
