META; english/league-1/oxford-v-shrewsbury; 2017-08-20 02:20:59 GMT+3; 2017-08-26 15:00; Nothing; Xlenovo
Oxford; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Shrewsbury; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/oxford-v-shrewsbury; 2017-08-20 10:21:04 GMT+3; 2017-08-26 15:00; Nothing; Xlenovo
Oxford; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Shrewsbury; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/oxford-v-shrewsbury; 2017-08-21 02:20:46 GMT+3; 2017-08-26 15:00; Nothing; Xlenovo
Oxford; 19/20; 19/20; 19/20; 4/5; 19/20; 8/11; 20/21; 10/11; 24/23; 19/20; 10/11; 1; 10/11; 20/21; 5/6; 19/20; ; 24/23; 1; 26/25; ; 24/23; ; 10/11; 10/11; ; 10/11; ; 
Draw; 13/5; 12/5; 47/20; 12/5; 5/2; 5/2; 13/5; 12/5; 27/11; 9/4; 11/5; 9/4; 49/20; ; 23/10; 12/5; ; ; 12/5; 67/25; ; 27/11; ; 5/2; 12/5; ; 23/10; ; 
Shrewsbury; 13/5; 3; 29/10; 16/5; 3; 16/5; 14/5; 3; 28/11; 11/4; 27/10; 3; 3; 3; 7/2; 29/10; ; 28/11; 13/5; 14/5; ; 28/11; ; 3; 3; ; 14/5; ; 
META; english/league-1/oxford-v-shrewsbury; 2017-08-21 10:20:43 GMT+3; 2017-08-26 15:00; Nothing; Xlenovo
Oxford; 19/20; 19/20; 19/20; 10/11; 19/20; ; 10/11; 10/11; 8/9; 13/15; 17/20; 10/11; 9/10; 20/21; 10/11; 19/20; 19/20; 8/9; 19/20; 26/25; ; 8/9; ; 10/11; 10/11; ; 5/6; ; 
Draw; 13/5; 12/5; 12/5; 5/2; 5/2; ; 13/5; 12/5; 27/11; 23/10; 9/4; 13/5; 49/20; ; 5/2; 5/2; 12/5; ; 12/5; 67/25; ; 27/11; ; 5/2; 12/5; ; 23/10; ; 
Shrewsbury; 13/5; 3; 3; 3; 3; ; 3; 3; 31/10; 3; 29/10; 14/5; 3; 3; 3; 29/10; 14/5; 31/10; 11/4; 14/5; ; 31/10; ; 3; 3; ; 3; ; 
META; english/league-1/oxford-v-shrewsbury; 2017-08-21 14:21:06 GMT+3; 2017-08-26 15:00; Nothing; Xlenovo
Oxford; 19/20; 10/11; 10/11; 10/11; 10/11; 17/20; 10/11; 10/11; 8/9; 13/15; 17/20; ; 9/10; 20/21; 10/11; 19/20; 19/20; 8/9; 19/20; 19/20; ; 8/9; ; 10/11; 10/11; ; 5/6; 5/6; 
Draw; 13/5; 5/2; 12/5; 5/2; 5/2; 12/5; 13/5; 12/5; 27/11; 23/10; 9/4; ; 49/20; ; 5/2; 5/2; 12/5; ; 12/5; 14/5; ; 27/11; ; 5/2; 12/5; ; 23/10; 23/10; 
Shrewsbury; 13/5; 3; 31/10; 3; 16/5; 14/5; 3; 3; 31/10; 3; 29/10; ; 3; 3; 3; 29/10; 14/5; 31/10; 14/5; 3; ; 31/10; ; 3; 3; ; 3; 3; 
META; english/league-1/oxford-v-shrewsbury; 2017-08-21 18:20:53 GMT+3; 2017-08-26 15:00; Nothing; Xlenovo
Oxford; 19/20; 10/11; 10/11; 10/11; 10/11; 17/20; 9/10; 5/6; 8/9; 10/11; 20/23; ; 9/10; 10/11; 10/11; 19/20; 19/20; 8/9; 19/20; 19/20; 13/15; 8/9; ; 10/11; 10/11; ; 5/6; 5/6; 
Draw; 13/5; 5/2; 12/5; 5/2; 5/2; 12/5; 13/5; 5/2; 27/11; 23/10; 9/4; ; 49/20; 13/5; 5/2; 5/2; 12/5; ; 27/11; 14/5; 12/5; 27/11; ; 5/2; 5/2; ; 23/10; 23/10; 
Shrewsbury; 13/5; 3; 31/10; 3; 16/5; 14/5; 31/10; 3; 31/10; 29/10; 14/5; ; 3; 16/5; 3; 29/10; 14/5; 31/10; 11/4; 3; 27/10; 31/10; ; 3; 11/4; ; 3; 3; 
META; english/league-1/oxford-v-shrewsbury; 2017-08-21 22:20:56 GMT+3; 2017-08-26 15:00; Nothing; Xlenovo
Oxford; 19/20; 10/11; 10/11; 10/11; 10/11; 17/20; 9/10; 5/6; 8/9; 10/11; 20/23; 10/11; 9/10; 10/11; 10/11; 19/20; 10/11; 8/9; 19/20; 19/20; 13/15; 8/9; 3/4; 10/11; 10/11; ; 9/10; 5/6; 
Draw; 13/5; 5/2; 12/5; 5/2; 5/2; 12/5; 13/5; 5/2; 27/11; 23/10; 9/4; 13/5; 49/20; 13/5; 5/2; 5/2; 12/5; ; 27/11; 69/25; 12/5; 27/11; 5/2; 5/2; 5/2; ; 23/10; 23/10; 
Shrewsbury; 13/5; 3; 31/10; 3; 16/5; 14/5; 31/10; 3; 31/10; 29/10; 14/5; 14/5; 3; 16/5; 3; 29/10; 3; 31/10; 11/4; 61/20; 27/10; 31/10; 15/4; 3; 11/4; ; 3; 3; 
META; english/league-1/oxford-v-shrewsbury; 2017-08-22 02:20:43 GMT+3; 2017-08-26 15:00; Nothing; Xlenovo
Oxford; 10/11; 10/11; 10/11; 10/11; 10/11; 17/20; 9/10; 5/6; 8/9; 10/11; 20/23; 10/11; 9/10; 10/11; 10/11; 10/11; 10/11; 8/9; 10/11; 20/21; 13/15; 8/9; 3/4; 10/11; 10/11; ; 5/6; 5/6; 
Draw; 13/5; 5/2; 12/5; 5/2; 5/2; 12/5; 13/5; 5/2; 27/11; 23/10; 9/4; 13/5; 49/20; 13/5; 5/2; 5/2; 12/5; ; 27/11; 11/4; 12/5; 27/11; 5/2; 5/2; 5/2; ; 23/10; 23/10; 
Shrewsbury; 11/4; 3; 31/10; 3; 16/5; 14/5; 31/10; 3; 31/10; 29/10; 14/5; 14/5; 3; 16/5; 3; 3; 3; 31/10; 37/13; 61/20; 27/10; 31/10; 15/4; 3; 3; ; 3; 3; 
META; english/league-1/oxford-v-shrewsbury; 2017-08-22 10:20:46 GMT+3; 2017-08-26 15:00; Nothing; Xlenovo
Oxford; 10/11; 10/11; 10/11; 10/11; 10/11; 17/20; 9/10; 5/6; 8/9; 10/11; 20/23; 10/11; ; 10/11; 10/11; 10/11; 10/11; 8/9; 10/11; 20/21; 13/15; 8/9; 3/4; 10/11; 10/11; ; 5/6; 5/6; 
Draw; 13/5; 5/2; 12/5; 5/2; 5/2; 12/5; 13/5; 5/2; 27/11; 23/10; 9/4; 13/5; ; 13/5; 5/2; 5/2; 12/5; ; 27/11; 11/4; 12/5; 27/11; 5/2; 5/2; 5/2; ; 23/10; 23/10; 
Shrewsbury; 11/4; 3; 31/10; 3; 16/5; 14/5; 31/10; 3; 31/10; 29/10; 14/5; 14/5; ; 16/5; 3; 3; 3; 31/10; 37/13; 61/20; 27/10; 31/10; 15/4; 3; 3; ; 14/5; 3; 
META; english/league-1/oxford-v-shrewsbury; 2017-08-22 14:20:56 GMT+3; 2017-08-26 15:00; Nothing; Xlenovo
Oxford; 10/11; 10/11; 10/11; 10/11; 10/11; 17/20; 9/10; 5/6; 8/9; ; 20/23; 10/11; ; ; 10/11; 10/11; 10/11; 5/6; 10/11; 20/21; 13/15; 8/9; 3/4; 10/11; 10/11; ; 5/6; 5/6; 
Draw; 13/5; 5/2; 12/5; 5/2; 5/2; 12/5; 13/5; 5/2; 27/11; ; 9/4; 13/5; ; ; 5/2; 5/2; 12/5; 12/5; 27/11; 11/4; 12/5; 27/11; 5/2; 5/2; 5/2; ; 23/10; 11/5; 
Shrewsbury; 11/4; 3; 31/10; 3; 16/5; 14/5; 31/10; 3; 31/10; ; 14/5; 14/5; ; ; 3; 3; 3; 3; 37/13; 61/20; 27/10; 31/10; 15/4; 3; 3; ; 3; 5/2; 
META; english/league-1/oxford-v-shrewsbury; 2017-08-22 18:24:22 GMT+3; 2017-08-26 15:00; Nothing; Xlenovo
Oxford; 10/11; 10/11; 19/20; 10/11; 19/20; 17/20; 10/11; 5/6; 8/9; ; 19/20; 10/11; 9/10; ; 10/11; 19/20; 10/11; ; 10/11; 49/50; 10/11; 8/9; 3/4; 10/11; 10/11; ; 10/11; 10/11; 
Draw; 13/5; 5/2; 12/5; 5/2; 5/2; 12/5; 13/5; 5/2; 27/11; ; 12/5; 13/5; 49/20; ; 5/2; 5/2; 12/5; ; 27/11; 137/50; 12/5; 27/11; 5/2; 5/2; 5/2; ; 5/2; 23/10; 
Shrewsbury; 11/4; 3; 3; 3; 3; 11/4; 3; 3; 31/10; ; 3; 14/5; 3; ; 3; 29/10; 3; ; 14/5; 59/20; 28/11; 31/10; 15/4; 3; 11/4; ; 14/5; 3; 
META; english/league-1/oxford-v-shrewsbury; 2017-08-22 22:25:23 GMT+3; 2017-08-26 15:00; Nothing; Xlenovo
Oxford; 10/11; 10/11; 19/20; 10/11; 19/20; 17/20; 10/11; 5/6; 8/9; 19/20; 19/20; 10/11; 9/10; ; 10/11; 19/20; 10/11; ; 10/11; 49/50; 10/11; 8/9; 3/4; 10/11; 10/11; ; 9/10; 10/11; 
Draw; 13/5; 5/2; 12/5; 5/2; 5/2; 12/5; 13/5; 5/2; 27/11; 12/5; 12/5; 13/5; 49/20; ; 5/2; 5/2; 12/5; ; 27/11; 137/50; 12/5; 27/11; 5/2; 5/2; 5/2; ; 12/5; 23/10; 
Shrewsbury; 11/4; 3; 3; 3; 3; 11/4; 3; 3; 31/10; 29/10; 3; 14/5; 3; ; 3; 29/10; 3; ; 14/5; 59/20; 28/11; 31/10; 15/4; 3; 11/4; ; 14/5; 3; 
META; english/league-1/oxford-v-shrewsbury; 2017-08-23 02:23:33 GMT+3; 2017-08-26 15:00; Nothing; Xlenovo
Oxford; 10/11; 10/11; 19/20; 10/11; 19/20; 17/20; 10/11; 10/11; 8/9; 19/20; 19/20; 10/11; 9/10; ; 10/11; 19/20; 10/11; ; 10/11; 103/100; 10/11; 8/9; 3/4; 10/11; 10/11; ; 9/10; 5/6; 
Draw; 13/5; 5/2; 12/5; 5/2; 5/2; 12/5; 13/5; 12/5; 27/11; 12/5; 12/5; 13/5; 49/20; ; 5/2; 5/2; 12/5; ; 27/11; 53/20; 12/5; 27/11; 5/2; 5/2; 5/2; ; 12/5; 11/5; 
Shrewsbury; 11/4; 3; 3; 3; 3; 11/4; 3; 3; 31/10; 29/10; 3; 14/5; 3; ; 3; 29/10; 3; ; 14/5; 143/50; 28/11; 31/10; 15/4; 3; 11/4; ; 14/5; 5/2; 
META; english/league-1/oxford-v-shrewsbury; 2017-08-23 10:23:15 GMT+3; 2017-08-26 15:00; Nothing; Xlenovo
Oxford; 10/11; 10/11; 19/20; 10/11; 19/20; 17/20; 10/11; 10/11; 8/9; 10/11; 10/11; 10/11; 9/10; ; 10/11; 19/20; 10/11; ; 10/11; 103/100; 10/11; 8/9; 3/4; 10/11; 10/11; ; 9/10; 10/11; 10/11
Draw; 13/5; 5/2; 12/5; 5/2; 5/2; 12/5; 13/5; 12/5; 27/11; 23/10; 9/4; 13/5; 49/20; ; 5/2; 5/2; 12/5; ; 27/11; 53/20; 12/5; 27/11; 5/2; 5/2; 5/2; ; 12/5; 23/10; 23/10
Shrewsbury; 11/4; 3; 3; 3; 3; 11/4; 3; 3; 31/10; 14/5; 11/4; 14/5; 3; ; 3; 29/10; 3; ; 14/5; 143/50; 28/11; 31/10; 15/4; 3; 11/4; ; 14/5; 3; 3
META; english/league-1/oxford-v-shrewsbury; 2017-08-23 14:24:35 GMT+3; 2017-08-26 15:00; Nothing; Xlenovo
Oxford; 10/11; 10/11; 19/20; 10/11; 19/20; 17/20; 10/11; 10/11; 8/9; 10/11; 10/11; 10/11; 9/10; ; 10/11; 19/20; 10/11; ; 10/11; 51/50; 10/11; 8/9; 3/4; 10/11; 10/11; ; 9/10; 10/11; 20/21
Draw; 13/5; 5/2; 12/5; 5/2; 5/2; 12/5; 13/5; 12/5; 27/11; 23/10; 9/4; 13/5; 49/20; ; 5/2; 5/2; 12/5; ; 27/11; 53/20; 12/5; 27/11; 5/2; 5/2; 5/2; ; 12/5; 23/10; 5/2
Shrewsbury; 11/4; 3; 3; 3; 3; 11/4; 3; 3; 31/10; 14/5; 11/4; 14/5; 3; ; 3; 29/10; 3; ; 14/5; 29/10; 28/11; 31/10; 15/4; 3; 11/4; ; 14/5; 3; 3
META; english/league-1/oxford-v-shrewsbury; 2017-08-23 18:24:47 GMT+3; 2017-08-26 15:00; Nothing; Xlenovo
Oxford; 10/11; 10/11; 19/20; 10/11; 19/20; 17/20; 10/11; 10/11; 8/9; 10/11; 10/11; 10/11; 9/10; 20/21; 10/11; 19/20; 10/11; ; 19/20; 51/50; 10/11; 8/9; 3/4; 10/11; 10/11; ; 9/10; 5/6; 20/21
Draw; 13/5; 5/2; 12/5; 5/2; 5/2; 12/5; 13/5; 12/5; 27/11; 23/10; 9/4; 13/5; 49/20; 5/2; 5/2; 5/2; 12/5; ; 27/11; 53/20; 12/5; 27/11; 5/2; 5/2; 5/2; ; 12/5; 11/5; 5/2
Shrewsbury; 11/4; 3; 3; 3; 3; 11/4; 3; 3; 31/10; 14/5; 11/4; 14/5; 3; 3; 3; 29/10; 3; ; 37/13; 29/10; 28/11; 31/10; 15/4; 3; 11/4; ; 14/5; 5/2; 3
META; english/league-1/oxford-v-shrewsbury; 2017-08-23 22:24:48 GMT+3; 2017-08-26 15:00; Nothing; Xlenovo
Oxford; 10/11; 10/11; 19/20; 10/11; 19/20; 17/20; 10/11; 10/11; 8/9; 10/11; 10/11; 10/11; 9/10; 20/21; 10/11; 19/20; 10/11; ; 19/20; 51/50; 10/11; 8/9; 3/4; 10/11; 10/11; ; 10/11; 10/11; 20/21
Draw; 13/5; 5/2; 12/5; 5/2; 5/2; 12/5; 13/5; 12/5; 27/11; 23/10; 9/4; 13/5; 49/20; 5/2; 5/2; 5/2; 12/5; ; 27/11; 53/20; 12/5; 27/11; 5/2; 5/2; 5/2; ; 12/5; 23/10; 5/2
Shrewsbury; 11/4; 3; 3; 3; 3; 11/4; 3; 3; 31/10; 14/5; 11/4; 14/5; 3; 3; 3; 29/10; 3; ; 37/13; 29/10; 28/11; 31/10; 15/4; 3; 11/4; ; 14/5; 3; 3
META; english/league-1/oxford-v-shrewsbury; 2017-08-24 02:24:08 GMT+3; 2017-08-26 15:00; Nothing; Xlenovo
Oxford; 10/11; 10/11; 19/20; 10/11; 19/20; 17/20; 10/11; 10/11; 8/9; 10/11; 10/11; 10/11; 9/10; 20/21; 10/11; 19/20; 10/11; ; 19/20; 51/50; 10/11; 8/9; 3/4; 10/11; 10/11; ; 9/10; 5/6; 20/21
Draw; 13/5; 5/2; 12/5; 5/2; 5/2; 12/5; 13/5; 12/5; 27/11; 23/10; 9/4; 13/5; 49/20; 5/2; 5/2; 5/2; 12/5; ; 27/11; 53/20; 12/5; 27/11; 5/2; 5/2; 5/2; ; 12/5; 11/5; 5/2
Shrewsbury; 11/4; 3; 3; 3; 3; 11/4; 3; 3; 31/10; 14/5; 11/4; 14/5; 3; 3; 3; 29/10; 3; ; 37/13; 29/10; 28/11; 31/10; 15/4; 3; 11/4; ; 14/5; 5/2; 3
