META; english/league-1/blackburn-v-walsall; 2018-01-27 14:23:11 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Blackburn; 1/2; ; ; 4/9; ; 1/2; ; ; ; ; 1/2; 1/2; ; ; ; 1/2; ; 1/2; ; ; ; ; 1/2; 12/25; 18/35; ; 4/11; ; 
Draw; 10/3; ; ; 10/3; ; 18/5; ; ; ; ; 7/2; 7/2; ; ; ; 10/3; ; 33/10; ; ; ; ; 7/2; 10/3; 57/17; ; 27/10; ; 
Walsall; 5; ; ; 5; ; 11/2; ; ; ; ; 11/2; 5; ; ; ; 5; ; 5; ; ; ; ; 11/2; 21/4; 96/19; ; 4; ; 
META; english/league-1/blackburn-v-walsall; 2018-01-27 18:22:06 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Blackburn; 1/2; ; ; 4/9; ; 1/2; ; ; ; ; 9/20; 4/9; ; ; ; 4/9; ; 1/2; ; ; ; ; 9/20; 12/25; 1/2; ; ; ; 
Draw; 10/3; ; ; 10/3; ; 18/5; ; ; ; ; 10/3; 7/2; ; ; ; 7/2; ; 57/17; ; ; ; ; 7/2; 10/3; 17/5; ; 2; ; 
Walsall; 5; ; ; 5; ; 11/2; ; ; ; ; 11/2; 11/2; ; ; ; 11/2; ; 5; ; ; ; ; 6; 21/4; ; ; 7/2; ; 
META; english/league-1/blackburn-v-walsall; 2018-01-27 22:21:01 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Blackburn; 1/2; 1/2; ; 4/9; ; 1/2; ; ; ; ; 9/20; 4/9; ; ; ; 1/2; ; 1/2; ; ; ; ; 9/20; 12/25; 1/2; ; ; ; 
Draw; 10/3; 10/3; ; 10/3; ; 18/5; ; ; ; ; 10/3; 7/2; ; ; ; 7/2; ; 57/17; ; ; ; ; 7/2; 10/3; 57/17; ; 23/10; ; 
Walsall; 5; 5; ; 5; ; 11/2; ; ; ; ; 11/2; 11/2; ; ; ; 5; ; 5; ; ; ; ; 6; 21/4; ; ; 7/2; ; 
META; english/league-1/blackburn-v-walsall; 2018-01-28 02:21:14 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Blackburn; 1/2; 1/2; ; 4/9; ; 1/2; ; ; ; ; 9/20; 4/9; ; ; ; 1/2; ; 1/2; ; ; ; ; 9/20; 12/25; 1/2; ; ; ; 
Draw; 10/3; 10/3; ; 10/3; ; 18/5; ; ; ; ; 10/3; 7/2; ; ; ; 7/2; ; 57/17; ; ; ; ; 7/2; 10/3; 57/17; ; 23/10; ; 
Walsall; 5; 5; ; 5; ; 11/2; ; ; ; ; 11/2; 11/2; ; ; ; 5; ; 96/19; ; ; ; ; 6; 21/4; 51/10; ; 7/2; ; 
META; english/league-1/blackburn-v-walsall; 2018-01-28 10:21:06 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Blackburn; 1/2; 1/2; ; 4/9; 14/25; 1/2; ; ; 1/2; ; 9/20; 4/9; ; ; ; 1/2; ; 1/2; ; ; 1/2; ; 9/20; 12/25; 18/35; ; ; ; 
Draw; 10/3; 10/3; ; 10/3; 7/2; 18/5; ; ; 33/10; ; 10/3; 7/2; ; ; ; 10/3; ; 57/17; ; ; 33/10; ; 7/2; 10/3; 57/17; ; 12/5; ; 
Walsall; 5; 5; ; 5; 26/5; 11/2; ; ; 19/4; ; 11/2; 11/2; ; ; ; 5; ; 5; ; ; 19/4; ; 6; 21/4; 96/19; ; 7/2; ; 
META; english/league-1/blackburn-v-walsall; 2018-01-28 14:21:33 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Blackburn; 1/2; 1/2; 8/15; 11/20; 4/7; 11/20; ; ; 1/2; 8/15; 1/2; 11/20; ; 11/20; 11/20; 8/15; 1/2; 8/15; 1/2; ; 1/2; ; 1/2; 11/20; 5/9; ; 2/5; ; 
Draw; 10/3; 16/5; 3; 3; 33/10; 7/2; ; ; 33/10; 3; 16/5; 14/5; ; 3; 3; 3; 16/5; 31/10; 16/5; ; 33/10; ; 10/3; 3; 31/10; ; 5/2; ; 
Walsall; 5; 11/2; 5; 5; 27/5; 11/2; ; ; 19/4; 5; 5; 5; ; 5; 5; 5; 5; 63/13; 5; ; 19/4; ; 11/2; 21/4; 49/10; ; 7/2; ; 
META; english/league-1/blackburn-v-walsall; 2018-01-28 18:20:55 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Blackburn; 1/2; 1/2; 8/15; 11/20; 14/25; 11/20; ; ; 1/2; 8/15; 1/2; 11/20; ; 11/20; 11/20; 8/15; 1/2; 8/15; 1/2; 18/35; 1/2; 8/15; 1/2; 11/20; 8/15; ; 4/9; ; 8/15
Draw; 10/3; 16/5; 3; 3; 13/4; 7/2; ; ; 33/10; 3; 16/5; 14/5; ; 3; 3; 3; 16/5; 31/10; 16/5; 58/19; 33/10; 3; 10/3; 3; 41/13; ; 14/5; ; 3
Walsall; 5; 11/2; 11/2; 5; 57/10; 11/2; ; ; 19/4; 11/2; 5; 5; ; 5; 5; 5; 5; 67/13; 5; 21/5; 19/4; 5; 11/2; 21/4; 26/5; ; 5; ; 28/5
META; english/league-1/blackburn-v-walsall; 2018-01-28 22:23:21 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
Blackburn; 1/2; 1/2; 8/15; 11/20; 14/25; 11/20; ; ; 1/2; 8/15; 1/2; 11/20; ; 11/20; 11/20; 8/15; 1/2; 18/35; 1/2; 1/2; 1/2; 8/15; 1/2; 11/20; 8/15; ; 1/2; ; 8/15
Draw; 10/3; 16/5; 29/10; 3; 16/5; 10/3; ; ; 33/10; 3; 16/5; 14/5; ; 29/10; 3; 3; 16/5; 58/19; 16/5; 58/19; 33/10; 3; 10/3; 3; 31/10; ; 14/5; ; 3
Walsall; 5; 11/2; 11/2; 5; 29/5; 11/2; ; ; 19/4; 11/2; 11/2; 5; ; 11/2; 5; 5; 5; 21/4; 5; 43/10; 19/4; 5; 11/2; 21/4; 53/10; ; 11/2; ; 29/5
