META; english/league-1/charlton-v-scunthorpe; 2018-04-08 14:22:47 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Charlton; 10/11; 6/5; 1; 20/21; 10/11; 19/20; 21/20; 13/15; 1; 10/11; 4/6; 20/21
Draw; 12/5; 9/4; 63/25; 23/10; 23/10; 12/5; 12/5; 40/17; 12/5; 40/17; 9/5; 23/10
Scunthorpe; 3; 21/10; 63/20; 11/4; 11/4; 3; 13/5; 29/10; 3; 56/19; 19/10; 14/5
META; english/league-1/charlton-v-scunthorpe; 2018-04-08 18:22:19 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Charlton; 10/11; 11/10; 1; 20/21; 10/11; 19/20; 1; 10/11; 20/21; 10/11; 4/5; 20/21
Draw; 12/5; 9/4; 63/25; 23/10; 23/10; 5/2; 12/5; 23/10; 12/5; 40/17; 9/5; 23/10
Scunthorpe; 3; 12/5; 63/20; 14/5; 11/4; 14/5; 14/5; 29/10; 3; 29/10; 9/5; 14/5
META; english/league-1/charlton-v-scunthorpe; 2018-04-08 22:22:30 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Charlton; 10/11; 11/10; 1; 20/21; 10/11; 19/20; 19/20; 1; 10/11; 20/21; 10/11; 20/21; 20/21
Draw; 12/5; 9/4; 63/25; 23/10; 23/10; 12/5; 5/2; 12/5; 40/17; 12/5; 40/17; 9/5; 23/10
Scunthorpe; 3; 12/5; 63/20; 14/5; 11/4; 3; 14/5; 14/5; 29/10; 3; 56/19; 20/21; 14/5
META; english/league-1/charlton-v-scunthorpe; 2018-04-09 02:22:23 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Charlton; 10/11; 11/10; 1; 20/21; 10/11; 19/20; 19/20; 1; 10/11; 1; 10/11; 20/21; 20/21
Draw; 12/5; 9/4; 63/25; 23/10; 23/10; 12/5; 5/2; 12/5; 40/17; 12/5; 40/17; 9/5; 23/10
Scunthorpe; 3; 12/5; 63/20; 14/5; 11/4; 3; 14/5; 14/5; 29/10; 3; 56/19; 8/5; 14/5
META; english/league-1/charlton-v-scunthorpe; 2018-04-09 10:22:28 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Charlton; 10/11; 10/11; 1; 10/11; 5/6; 8/9; 10/11; 20/21; 10/11; 19/20; 13/15; 10/11; 8/9; 37/40; 13/15; 20/21; 20/21
Draw; 12/5; 9/4; 63/25; 12/5; 12/5; 27/11; 5/2; 12/5; 5/2; 12/5; 40/17; 12/5; 27/11; 12/5; 12/5; 9/5; 23/10
Scunthorpe; 3; 63/20; 3; 11/4; 31/10; 3; 14/5; 3; 29/10; 3; 31/10; 16/5; 56/19; 3/10; 14/5; ; 
META; english/league-1/charlton-v-scunthorpe; 2018-04-09 14:22:41 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Charlton; 10/11; 10/11; 10/11; 1; 10/11; 5/6; 8/9; 10/11; 20/21; 10/11; 19/20; 13/15; 10/11; 8/9; 10/11; 13/15; 20/21; 10/11
Draw; 12/5; 9/4; 23/10; 63/25; 12/5; 12/5; 27/11; 12/5; 12/5; 5/2; 12/5; 40/17; 12/5; 27/11; 12/5; 12/5; 9/5; 23/10
Scunthorpe; 3; 14/5; 63/20; 3; 11/4; 31/10; 16/5; 14/5; 3; 29/10; 3; 31/10; 33/10; 56/19; 23/10; 14/5; ; 
META; english/league-1/charlton-v-scunthorpe; 2018-04-09 18:22:32 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Charlton; 10/11; 10/11; 1; 10/11; 26/25; 19/20; 20/21; 10/11; 19/20; 19/20; 19/20; 1; 1; 19/20; 19/20; 10/11; 66/67; 19/20; 1; 19/20; 5/6; 1; 
Draw; 12/5; 9/4; 12/5; 23/10; 64/25; 5/2; 12/5; 23/10; 40/17; 12/5; 5/2; 12/5; 12/5; 12/5; 12/5; 23/10; 12/5; 5/2; 40/17; 5/2; 40/17; 9/5; 5/2
Scunthorpe; 3; 11/4; 11/4; 73/25; 3; 11/4; 11/4; 29/10; 11/4; 3; 14/5; 14/5; 11/4; 3; 45/17; 3; 12/5; 29/10; 14/5; 27/10; 3; 14/5; 
META; english/league-1/charlton-v-scunthorpe; 2018-04-09 22:22:35 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Charlton; 10/11; 10/11; 1; 10/11; 26/25; 19/20; 20/21; 10/11; 19/20; 19/20; 19/20; 1; 1; 19/20; 19/20; 10/11; 66/67; 19/20; 1; 19/20; 5/6; 1; ; 
Draw; 12/5; 5/2; 12/5; 23/10; 64/25; 5/2; 12/5; 23/10; 40/17; 12/5; 5/2; 12/5; 5/2; 12/5; 12/5; 12/5; 23/10; 12/5; 5/2; 40/17; 5/2; 40/17; 9/5; 12/5
Scunthorpe; 3; 11/4; 11/4; 73/25; 3; 11/4; 11/4; 29/10; 11/4; 3; 14/5; 13/5; 14/5; 11/4; 14/5; 45/17; 3; 12/5; 29/10; 14/5; 27/10; 1/50; 13/5; 
META; english/league-1/charlton-v-scunthorpe; 2018-04-10 02:22:17 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Charlton; 10/11; 19/20; 1; 10/11; 26/25; 19/20; 20/21; 10/11; 19/20; 19/20; 19/20; 1; 1; 19/20; 19/20; 10/11; 66/67; 19/20; 1; 19/20; 20/21; 1; ; 
Draw; 12/5; 5/2; 12/5; 23/10; 64/25; 5/2; 12/5; 23/10; 40/17; 12/5; 5/2; 12/5; 5/2; 12/5; 12/5; 12/5; 23/10; 12/5; 5/2; 40/17; 5/2; 40/17; 11/5; 12/5
Scunthorpe; 3; 14/5; 11/4; 11/4; 73/25; 3; 11/4; 11/4; 29/10; 11/4; 3; 14/5; 13/5; 14/5; 11/4; 14/5; 45/17; 3; 12/5; 29/10; 14/5; 27/10; 12/5; 13/5
META; english/league-1/charlton-v-scunthorpe; 2018-04-10 10:22:25 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Charlton; 10/11; 19/20; 1; 10/11; 1; 19/20; 20/21; 10/11; 19/20; 19/20; 19/20; 1; 1; 10/11; 19/20; 19/20; 10/11; 66/67; 19/20; 1; 19/20; 20/21; 1; 
Draw; 12/5; 5/2; 12/5; 23/10; 131/50; 5/2; 12/5; 23/10; 40/17; 12/5; 5/2; 12/5; 5/2; 12/5; 11/5; 12/5; 23/10; 12/5; 5/2; 40/17; 5/2; 40/17; 11/5; 12/5
Scunthorpe; 3; 14/5; 11/4; 11/4; 3; 11/4; 11/4; 29/10; 11/4; 3; 14/5; 13/5; 14/5; 5/2; 14/5; 45/17; 3; 12/5; 29/10; 14/5; 27/10; 12/5; 13/5; 
META; english/league-1/charlton-v-scunthorpe; 2018-04-10 14:22:44 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Charlton; 10/11; 19/20; 1; 10/11; 26/25; 19/20; 20/21; 10/11; 19/20; 19/20; 19/20; 1; 1; 10/11; 19/20; 19/20; 10/11; 66/67; 19/20; 1; 19/20; 20/21; 1; 
Draw; 12/5; 5/2; 12/5; 23/10; 64/25; 5/2; 12/5; 23/10; 40/17; 12/5; 5/2; 12/5; 5/2; 12/5; 11/5; 12/5; 23/10; 12/5; 5/2; 40/17; 5/2; 40/17; 9/4; 5/2
Scunthorpe; 3; 14/5; 11/4; 11/4; 73/25; 3; 11/4; 11/4; 29/10; 11/4; 3; 14/5; 13/5; 14/5; 5/2; 14/5; 45/17; 3; 12/5; 29/10; 14/5; 27/10; 11/4; 14/5
META; english/league-1/charlton-v-scunthorpe; 2018-04-10 18:22:43 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Charlton; 10/11; 19/20; 1; 10/11; 21/20; 19/20; 20/21; 10/11; 19/20; 1; 19/20; 1; 1; 10/11; 19/20; 19/20; 10/11; 66/67; 19/20; 1; 20/21; 1; ; 
Draw; 12/5; 5/2; 12/5; 23/10; 129/50; 5/2; 12/5; 23/10; 40/17; 12/5; 5/2; 12/5; 5/2; 12/5; 11/5; 12/5; 40/17; 12/5; 5/2; 40/17; 5/2; 12/5; 9/4; 5/2
Scunthorpe; 3; 14/5; 11/4; 11/4; 72/25; 3; 11/4; 11/4; 29/10; 14/5; 3; 14/5; 13/5; 14/5; 5/2; 14/5; 27/10; 3; 12/5; 29/10; 14/5; 11/4; 11/4; 14/5
META; english/league-1/charlton-v-scunthorpe; 2018-04-10 22:22:37 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Charlton; 10/11; 19/20; 1; 10/11; 21/20; 19/20; 20/21; 10/11; 19/20; 1; 19/20; 1; 1; 10/11; 19/20; 19/20; 10/11; 66/67; 19/20; 1; 10/11; 1; ; 
Draw; 12/5; 5/2; 12/5; 23/10; 51/20; 5/2; 12/5; 23/10; 40/17; 12/5; 5/2; 12/5; 5/2; 12/5; 11/5; 12/5; 40/17; 12/5; 5/2; 40/17; 5/2; 12/5; 9/4; 12/5
