META; english/league-1/charlton-v-oxford; 2018-01-28 14:21:44 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Charlton; 4/5; 10/11; ; ; 43/50; 17/20; 4/5; ; ; ; ; ; ; ; ; 5/6; ; 10/13; ; ; ; ; 17/20; 4/5; 10/13; ; 8/15; ; 
Draw; 5/2; 5/2; ; ; 66/25; 11/4; 5/2; ; ; ; ; ; ; ; ; 5/2; ; 12/5; ; ; ; ; 5/2; 5/2; 12/5; ; 19/10; ; 
Oxford; 7/2; 3; ; ; 37/10; 15/4; 10/3; ; ; ; ; ; ; ; ; 10/3; ; 57/17; ; ; ; ; 7/2; 10/3; 17/5; ; 11/5; ; 
META; english/league-1/charlton-v-oxford; 2018-01-28 18:21:06 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Charlton; 4/5; 10/11; 13/15; 10/11; 87/ 100; 20/23; 4/5; ; 4/5; 5/6; 5/6; 20/23; ; ; ; 17/20; ; 5/6; ; ; 4/5; 5/6; 9/10; 17/20; 5/6; ; 4/7; ; 
Draw; 5/2; 5/2; 5/2; 5/2; 131/ 50; 14/5; 5/2; ; 13/5; 5/2; 13/5; 5/2; ; ; ; 5/2; ; 27/11; ; ; 13/5; 13/5; 13/5; 51/20; 27/11; ; 9/4; ; 
Oxford; 7/2; 3; 3; 3; 73/20; 7/2; 10/3; ; 17/5; 16/5; 16/5; 3; ; ; ; 16/5; ; 13/4; ; ; 17/5; 100/ 30; 31/10; 3; 13/4; ; 13/5; ; 
META; english/league-1/charlton-v-oxford; 2018-01-28 22:23:32 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Charlton; 5/6; 10/11; 13/15; 10/11; 10/11; 20/23; 20/23; ; 4/5; 20/23; 17/20; 20/23; ; ; ; 10/11; ; 13/15; ; ; 4/5; 9/10; 9/10; 17/20; 13/15; ; 4/6; ; 
Draw; 5/2; 5/2; 12/5; 5/2; 63/25; 29/10; 12/5; ; 13/5; 12/5; 13/5; 5/2; ; ; ; 5/2; ; 40/17; ; ; 13/5; 5/2; 13/5; 49/20; 12/5; ; 23/10; ; 
Oxford; 10/3; 3; 16/5; 3; 18/5; 10/3; 16/5; ; 17/5; 3; 3; 3; ; ; ; 3; ; 41/13; ; ; 17/5; 100/ 30; 31/10; 3; 16/5; ; 11/4; ; 
META; english/league-1/charlton-v-oxford; 2018-01-29 02:20:27 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Charlton; 5/6; 10/11; 13/15; 10/11; 9/10; 20/23; 20/23; ; 4/5; 20/23; 5/6; 20/23; ; ; ; 17/20; ; 13/15; ; ; 4/5; 9/10; 20/23; 17/20; 13/15; ; 8/11; ; 
Draw; 5/2; 5/2; 5/2; 5/2; 129/ 50; 29/10; 12/5; ; 13/5; 5/2; 13/5; 12/5; ; ; ; 5/2; ; 12/5; ; ; 13/5; 5/2; 13/5; 49/20; 12/5; ; 9/5; ; 
Oxford; 10/3; 3; 3; 3; 71/20; 10/3; 16/5; ; 17/5; 3; 16/5; 16/5; ; ; ; 16/5; ; 41/13; ; ; 17/5; 100/ 30; 16/5; 3; 41/13; ; 11/4; ; 
