META; english/league-1/bristol-rovers-v-rochdale; 2018-02-10 22:19:35 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Bristol Rovers; 10/11; 11/10; ; 5/6; ; ; 20/21; ; ; ; ; ; ; ; ; 19/20; ; ; ; ; ; 1; 9/10; ; ; 4/7; ; 
Draw; 13/5; 12/5; ; 12/5; ; ; 5/2; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; 13/5; 13/5; ; ; 19/10; ; 
Rochdale; 11/4; 12/5; ; 13/5; ; ; 13/5; ; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; 27/10; 11/4; ; ; 7/4; ; 
META; english/league-1/bristol-rovers-v-rochdale; 2018-02-11 02:19:34 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Bristol Rovers; 10/11; 11/10; ; 5/6; ; ; 20/21; ; ; ; 19/20; ; ; ; ; 19/20; ; ; ; ; ; 1; 9/10; ; ; 4/7; ; 
Draw; 13/5; 12/5; ; 12/5; ; ; 5/2; ; ; ; 13/5; ; ; ; ; 5/2; ; ; ; ; ; 13/5; 13/5; ; ; 19/10; ; 
Rochdale; 11/4; 12/5; ; 13/5; ; ; 13/5; ; ; ; 11/4; ; ; ; ; 13/5; ; ; ; ; ; 27/10; 11/4; ; ; 19/10; ; 
META; english/league-1/bristol-rovers-v-rochdale; 2018-02-11 10:19:39 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Bristol Rovers; 10/11; 11/10; ; 5/6; 99/100; ; 20/21; 10/11; 19/20; ; 19/20; ; ; ; ; 19/20; 19/20; ; ; 19/20; ; 20/21; 9/10; 19/20; ; 8/11; ; 
Draw; 13/5; 12/5; ; 12/5; 11/4; ; 5/2; 13/5; 28/11; ; 13/5; ; ; ; ; 5/2; 13/5; ; ; 28/11; ; 13/5; 13/5; 13/5; ; 19/10; ; 
Rochdale; 11/4; 12/5; ; 13/5; 29/10; ; 13/5; 11/4; 11/4; ; 11/4; ; ; ; ; 13/5; 11/4; ; ; 11/4; ; 14/5; 11/4; 14/5; ; 5/2; ; 
META; english/league-1/bristol-rovers-v-rochdale; 2018-02-11 14:20:30 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Bristol Rovers; 21/20; 11/10; 11/10; 5/6; 23/20; 21/20; 21/20; 1; 19/20; 11/10; 21/20; 11/10; ; 11/10; 23/20; 21/20; 21/20; 21/20; ; 19/20; ; 11/10; 21/20; 11/10; ; 20/21; ; 
Draw; 5/2; 12/5; 23/10; 12/5; 127/50; 13/5; 12/5; 5/2; 28/11; 12/5; 5/2; 23/10; ; 47/20; 23/10; 12/5; 27/11; 5/2; ; 28/11; ; 5/2; 49/20; 27/11; ; 23/10; ; 
Rochdale; 12/5; 5/2; 12/5; 13/5; 13/5; 13/5; 12/5; 5/2; 11/4; 5/2; 5/2; 5/2; ; 49/20; 12/5; 5/2; 12/5; 12/5; ; 11/4; ; 5/2; 12/5; 27/11; ; 23/10; ; 
META; english/league-1/bristol-rovers-v-rochdale; 2018-02-11 18:20:11 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Bristol Rovers; 21/20; 11/10; 11/10; 5/6; 23/20; 21/20; 11/10; 1; 19/20; 11/10; 21/20; 11/10; 11/10; 11/10; 23/20; 21/20; 21/20; 21/20; 17/16; 19/20; 11/10; 11/10; 21/20; 11/10; ; 20/21; ; 
Draw; 5/2; 12/5; 23/10; 12/5; 127/50; 13/5; 12/5; 5/2; 28/11; 12/5; 5/2; 23/10; 12/5; 47/20; 23/10; 12/5; 27/11; 5/2; 28/11; 28/11; 5/2; 5/2; 49/20; 27/11; ; 23/10; ; 
Rochdale; 12/5; 5/2; 12/5; 13/5; 13/5; 13/5; 12/5; 5/2; 11/4; 5/2; 5/2; 5/2; 12/5; 49/20; 12/5; 5/2; 12/5; 12/5; 9/4; 11/4; 5/2; 5/2; 12/5; 27/11; ; 23/10; ; 
META; english/league-1/bristol-rovers-v-rochdale; 2018-02-11 22:19:57 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Bristol Rovers; 21/20; 11/10; 11/10; 23/20; 113/100; 21/20; 11/10; 1; 19/20; 11/10; 21/20; 11/10; 11/10; 11/10; 23/20; 11/10; 21/20; 21/20; 17/16; 19/20; 11/10; 11/10; 21/20; 11/10; ; 11/10; 1; 10/9
Draw; 5/2; 12/5; 23/10; 23/10; 129/50; 13/5; 12/5; 5/2; 28/11; 12/5; 5/2; 23/10; 12/5; 47/20; 23/10; 12/5; 12/5; 5/2; 28/11; 28/11; 5/2; 5/2; 49/20; 27/11; ; 23/10; 21/10; 5/2
Rochdale; 12/5; 5/2; 5/2; 12/5; 131/50; 13/5; 12/5; 5/2; 11/4; 5/2; 5/2; 5/2; 12/5; 49/20; 12/5; 12/5; 27/11; 12/5; 9/4; 11/4; 5/2; 5/2; 12/5; 27/11; ; 12/5; 12/5; 13/5
META; english/league-1/bristol-rovers-v-rochdale; 2018-02-12 02:19:50 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Bristol Rovers; 21/20; 11/10; 11/10; 23/20; 113/100; 11/10; 11/10; 1; 19/20; 11/10; 11/10; 11/10; 11/10; 11/10; 23/20; 11/10; 21/20; 21/20; 17/16; 19/20; 11/10; 11/10; 21/20; 11/10; ; 10/9; 1; 10/9
Draw; 5/2; 12/5; 23/10; 23/10; 129/50; 5/2; 12/5; 12/5; 28/11; 12/5; 12/5; 23/10; 12/5; 47/20; 23/10; 12/5; 12/5; 5/2; 28/11; 28/11; 5/2; 5/2; 49/20; 27/11; ; 23/10; 21/10; 5/2
Rochdale; 12/5; 5/2; 5/2; 12/5; 131/50; 13/5; 12/5; 5/2; 11/4; 5/2; 5/2; 5/2; 12/5; 49/20; 12/5; 12/5; 27/11; 12/5; 9/4; 11/4; 5/2; 5/2; 12/5; 27/11; ; 5/2; 12/5; 13/5
META; english/league-1/bristol-rovers-v-rochdale; 2018-02-12 10:20:10 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Bristol Rovers; 11/10; 11/10; 11/10; 23/20; 113/100; 11/10; 11/10; 1; 13/12; 11/10; 11/10; 11/10; 11/10; 11/10; 23/20; 11/10; 21/20; 21/20; 17/16; 13/12; 11/10; 11/10; 21/20; 11/10; ; 11/10; 1; 10/9
Draw; 5/2; 12/5; 23/10; 23/10; 129/50; 5/2; 12/5; 12/5; 27/11; 23/10; 12/5; 23/10; 12/5; 47/20; 23/10; 23/10; 12/5; 5/2; 28/11; 27/11; 5/2; 5/2; 49/20; 12/5; ; 23/10; 21/10; 5/2
Rochdale; 11/4; 5/2; 5/2; 12/5; 131/50; 13/5; 12/5; 5/2; 27/11; 12/5; 5/2; 5/2; 12/5; 49/20; 12/5; 5/2; 27/11; 12/5; 9/4; 27/11; 5/2; 5/2; 12/5; 27/11; ; 5/2; 12/5; 13/5
META; english/league-1/bristol-rovers-v-rochdale; 2018-02-12 14:20:26 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Bristol Rovers; 11/10; 11/10; 15/13; 11/10; 121/100; 11/10; 11/10; 11/10; 13/12; 23/20; 23/20; 23/20; 1; 6/5; 23/20; 11/10; 11/10; 21/20; 8/7; 13/12; 6/5; 23/20; 23/20; 11/10; ; 10/9; 10/9; 6/5
Draw; 5/2; 12/5; 23/10; 23/10; 127/50; 5/2; 23/10; 12/5; 27/11; 23/10; 12/5; 12/5; ; 23/10; 12/5; 12/5; 12/5; 5/2; 5/2; 27/11; 12/5; 5/2; 49/20; 12/5; ; 23/10; 11/5; 5/2
Rochdale; 11/4; 5/2; 23/10; 5/2; 61/25; 12/5; 23/10; 12/5; 27/11; 23/10; 12/5; 23/10; 13/5; 23/10; 23/10; 12/5; 40/17; 12/5; 28/13; 27/11; 23/10; 23/10; 47/20; 40/17; ; 12/5; 9/4; 12/5
META; english/league-1/bristol-rovers-v-rochdale; 2018-02-12 18:20:24 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Bristol Rovers; 6/5; 23/20; 15/13; 11/10; 59/50; 11/10; 11/10; 11/10; 8/7; 23/20; 23/20; 23/20; 1; 6/5; 23/20; 11/10; 11/10; 21/20; 8/7; 8/7; 11/10; 6/5; 23/20; 15/13; ; 10/9; 10/9; 23/20
Draw; 12/5; 12/5; 23/10; 23/10; 127/50; 5/2; 23/10; 12/5; 27/11; 23/10; 12/5; 12/5; 12/5; 23/10; 12/5; 23/10; 12/5; 5/2; 5/2; 27/11; 5/2; 5/2; 49/20; 12/5; ; 23/10; 12/5; 5/2
Rochdale; 13/5; 23/10; 12/5; 5/2; 63/25; 12/5; 23/10; 12/5; 23/10; 23/10; 12/5; 23/10; 13/5; 9/4; 23/10; 12/5; 40/17; 12/5; 28/13; 23/10; 12/5; 23/10; 12/5; 40/17; ; 12/5; 5/2; 5/2
META; english/league-1/bristol-rovers-v-rochdale; 2018-02-12 22:20:26 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Bristol Rovers; 6/5; 23/20; 15/13; 11/10; 59/50; 11/10; 11/10; 11/10; 8/7; 23/20; 23/20; 23/20; 1; 6/5; 23/20; 11/10; 11/10; 21/20; 8/7; 8/7; 11/10; 6/5; 23/20; 15/13; ; 10/9; 23/20; 23/20
Draw; 12/5; 12/5; 23/10; 23/10; 127/50; 5/2; 12/5; 12/5; 27/11; 23/10; 12/5; 12/5; 12/5; 23/10; 12/5; 23/10; 12/5; 5/2; 5/2; 27/11; 5/2; 5/2; 49/20; 12/5; ; 23/10; 12/5; 5/2
Rochdale; 13/5; 23/10; 12/5; 5/2; 63/25; 12/5; 12/5; 12/5; 23/10; 23/10; 12/5; 23/10; 13/5; 9/4; 23/10; 12/5; 40/17; 12/5; 28/13; 23/10; 12/5; 23/10; 12/5; 40/17; ; 5/2; 13/5; 5/2
META; english/league-1/bristol-rovers-v-rochdale; 2018-02-13 02:20:17 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Bristol Rovers; 6/5; 23/20; 15/13; 11/10; 59/50; 11/10; 11/10; 11/10; 8/7; 23/20; 23/20; 23/20; 1; 6/5; 23/20; 11/10; 11/10; 21/20; 8/7; 8/7; 11/10; 6/5; 23/20; 15/13; ; 10/9; 10/9; 23/20
Draw; 12/5; 12/5; 23/10; 23/10; 51/20; 5/2; 12/5; 12/5; 27/11; 23/10; 12/5; 12/5; 12/5; 23/10; 12/5; 23/10; 12/5; 5/2; 5/2; 27/11; 5/2; 5/2; 49/20; 12/5; ; 23/10; 12/5; 5/2
Rochdale; 13/5; 23/10; 23/10; 5/2; 5/2; 12/5; 23/10; 12/5; 23/10; 23/10; 12/5; 23/10; 13/5; 23/10; 23/10; 12/5; 40/17; 12/5; 28/13; 23/10; 12/5; 23/10; 12/5; 40/17; ; 5/2; 5/2; 12/5
META; english/league-1/bristol-rovers-v-rochdale; 2018-02-13 10:20:29 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Bristol Rovers; 6/5; 23/20; 15/13; 11/10; 59/50; 11/10; 11/10; 11/10; 13/12; 23/20; 23/20; 23/20; 1; 6/5; 23/20; 11/10; 11/10; 21/20; 7/6; 13/12; 11/10; 6/5; 23/20; 15/13; ; 23/20; 23/20; 23/20
Draw; 12/5; 12/5; 23/10; 23/10; 127/50; 5/2; 12/5; 12/5; 27/11; 23/10; 12/5; 23/10; 12/5; 47/20; 12/5; 23/10; 12/5; 5/2; 40/17; 27/11; 5/2; 12/5; 49/20; 12/5; ; 12/5; 5/2; 12/5
Rochdale; 13/5; 23/10; 23/10; 5/2; 127/50; 12/5; 12/5; 12/5; 27/11; 9/4; 12/5; 23/10; 13/5; 23/10; 23/10; 12/5; 40/17; 12/5; 11/5; 27/11; 12/5; 12/5; 12/5; 12/5; ; 12/5; 5/2; 5/2
META; english/league-1/bristol-rovers-v-rochdale; 2018-02-13 14:20:25 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Bristol Rovers; 6/5; 11/10; 11/10; 11/10; 23/20; 11/10; 11/10; 11/10; 13/12; 11/10; 23/20; 11/10; 1; 11/10; 11/10; 11/10; 11/10; 21/20; 10/9; 13/12; 11/10; 23/20; 11/10; 11/10; ; 23/20; 23/20; 10/9
Draw; 12/5; 23/10; 9/4; 23/10; 49/20; 12/5; 23/10; 12/5; 27/11; 11/5; 23/10; 23/10; 12/5; 23/10; 23/10; 23/10; 40/17; 5/2; 23/10; 27/11; 12/5; 12/5; 12/5; 40/17; ; 23/10; 12/5; 12/5
Rochdale; 13/5; 13/5; 5/2; 5/2; 27/10; 13/5; 5/2; 5/2; 27/11; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 12/5; 27/11; 27/11; 13/5; 13/5; 51/20; 28/11; ; 5/2; 13/5; 13/5
META; english/league-1/bristol-rovers-v-rochdale; 2018-02-13 18:20:22 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Bristol Rovers; 23/20; 11/10; 15/13; 11/10; 121/100; 23/20; 6/5; 11/10; 13/12; 23/20; 23/20; 23/20; 23/20; 23/20; 11/10; 11/10; 11/10; 21/20; 9/8; 13/12; 11/10; ; 23/20; 15/13; ; 10/9; 23/20; 23/20
