META; english/league-1/portsmouth-v-mk-dons; 2017-10-08 02:22:25 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Portsmouth; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
MK Dons; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-1/portsmouth-v-mk-dons; 2017-10-08 10:23:07 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Portsmouth; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
MK Dons; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-1/portsmouth-v-mk-dons; 2017-10-08 14:23:23 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Portsmouth; 19/20; 11/10; ; ; 1; ; 21/20; 1; ; ; ; ; ; ; ; 21/20; ; 19/20; 27/25; ; ; ; 21/20; 1; ; 4/7; ; 
Draw; 5/2; 23/10; ; ; 5/2; ; 12/5; 12/5; ; ; ; ; ; ; ; 5/2; ; 12/5; 13/5; ; ; ; 5/2; 49/20; ; 21/10; ; 
MK Dons; 14/5; 23/10; ; ; 13/5; ; 5/2; 13/5; ; ; ; ; ; ; ; 5/2; ; 5/2; 137/50; ; ; ; 13/5; 51/20; ; 11/8; ; 
META; english/league-1/portsmouth-v-mk-dons; 2017-10-08 18:23:01 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Portsmouth; 19/20; 11/10; 19/20; ; 19/20; ; 1; 10/11; 1; 19/20; ; ; 19/20; 1; 19/20; 1; ; 19/20; 101/100; 19/20; 1; 10/11; 1; 9/10; ; 8/11; ; 
Draw; 5/2; 23/10; 9/4; ; 5/2; ; 12/5; 12/5; 23/10; 9/4; ; ; 12/5; 13/5; 5/2; 12/5; ; 40/17; 64/25; 12/5; 23/10; 5/2; 5/2; 47/20; ; 21/10; ; 
MK Dons; 14/5; 23/10; 3; ; 11/4; ; 14/5; 3; 14/5; 3; ; ; 14/5; 16/5; 14/5; 14/5; ; 14/5; 61/20; 45/17; 14/5; 3; 14/5; 3; ; 9/4; ; 
META; english/league-1/portsmouth-v-mk-dons; 2017-10-08 22:22:53 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Portsmouth; 19/20; 11/10; 19/20; ; 19/20; ; 1; 10/11; 1; 19/20; 20/21; ; 19/20; 1; 19/20; 19/20; ; 19/20; 101/100; 19/20; 1; 10/11; 20/21; 9/10; ; 5/6; ; 
Draw; 5/2; 23/10; 9/4; ; 12/5; ; 12/5; 12/5; 23/10; 9/4; 9/4; ; 12/5; 13/5; 5/2; 12/5; ; 40/17; 64/25; 12/5; 23/10; 5/2; 12/5; 47/20; ; 21/10; ; 
MK Dons; 14/5; 23/10; 3; ; 3; ; 14/5; 3; 14/5; 3; 16/5; ; 14/5; 16/5; 14/5; 14/5; ; 14/5; 61/20; 45/17; 14/5; 3; 31/10; 3; ; 12/5; ; 
META; english/league-1/portsmouth-v-mk-dons; 2017-10-09 02:22:07 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Portsmouth; 19/20; 11/10; 19/20; 19/20; 19/20; ; 20/21; 10/11; 1; 10/11; 20/21; ; 19/20; 1; 19/20; 19/20; ; 10/11; 19/20; 10/11; 1; 10/11; 37/40; 9/10; ; 5/6; ; 
Draw; 5/2; 23/10; 23/10; 12/5; 12/5; ; 12/5; 12/5; 23/10; 23/10; 9/4; ; 12/5; 13/5; 5/2; 12/5; ; 12/5; 64/25; 12/5; 23/10; 5/2; 5/2; 47/20; ; 11/5; ; 
MK Dons; 14/5; 23/10; 3; 3; 3; ; 29/10; 3; 14/5; 3; 16/5; ; 14/5; 16/5; 14/5; 3; ; 56/19; 33/10; 11/4; 14/5; 3; 31/10; 3; ; 3; ; 
META; english/league-1/portsmouth-v-mk-dons; 2017-10-09 10:22:21 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Portsmouth; 19/20; 1; 19/20; 19/20; 19/20; 7/8; 20/21; 10/11; 1; 10/11; 20/21; ; 19/20; 1; 19/20; 19/20; 9/10; 10/11; 19/20; 10/11; 1; 10/11; 37/40; 9/10; ; 5/6; ; 
Draw; 5/2; 23/10; 23/10; 12/5; 12/5; 12/5; 12/5; 12/5; 23/10; 23/10; 9/4; ; 12/5; 13/5; 5/2; 12/5; 5/2; 40/17; 64/25; 12/5; 23/10; 5/2; 5/2; 47/20; ; 11/5; ; 
MK Dons; 14/5; 5/2; 3; 3; 3; 11/4; 29/10; 3; 14/5; 3; 16/5; ; 14/5; 16/5; 14/5; 3; 29/10; 29/10; 33/10; 11/4; 14/5; 3; 31/10; 3; ; 3; ; 
META; english/league-1/portsmouth-v-mk-dons; 2017-10-09 14:22:28 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Portsmouth; 19/20; 10/11; 19/20; 19/20; 19/20; 7/8; 20/21; 10/11; 1; 10/11; 20/21; 19/20; 10/11; 19/20; 19/20; 19/20; 9/10; 10/11; 20/21; 10/11; 1; 10/11; 19/20; 9/10; ; 5/6; 10/11; 
Draw; 5/2; 12/5; 23/10; 12/5; 12/5; 12/5; 12/5; 12/5; 23/10; 23/10; 9/4; 23/10; 12/5; 5/2; 5/2; 12/5; 5/2; 40/17; 64/25; 12/5; 23/10; 5/2; 12/5; 47/20; ; 11/5; 9/4; 
MK Dons; 14/5; 16/5; 3; 3; 3; 11/4; 29/10; 3; 14/5; 3; 16/5; 31/10; 14/5; 31/10; 14/5; 3; 29/10; 29/10; 33/10; 11/4; 14/5; 3; 31/10; 3; ; 3; 3; 
META; english/league-1/portsmouth-v-mk-dons; 2017-10-09 18:23:07 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Portsmouth; 19/20; 10/11; 19/20; 19/20; 10/11; 7/8; 20/21; 10/11; 8/9; 10/11; 20/21; 19/20; 10/11; 19/20; 19/20; 19/20; 9/10; 10/11; 20/21; 10/11; 8/9; 10/11; 37/40; 9/10; ; 5/6; 10/11; 
