META; english/league-1/shrewsbury-v-walsall; 2018-03-04 18:22:27 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Shrewsbury; 10/11; 17/20; 20/23; 9/10; 4/5; 9/10; 10/11; 13/15; 20/23; 9/10; 13/15; 4/5
Draw; 5/2; 12/5; 5/2; 12/5; 23/10; 5/2; 5/2; 12/5; 5/2; 49/20; 12/5; 9/4
Walsall; 3; 7/2; 3; 16/5; 16/5; 3; 29/10; 33/10; 59/20; 56/19; 3; 
META; english/league-1/shrewsbury-v-walsall; 2018-03-04 22:22:08 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Shrewsbury; 10/11; 17/20; 20/23; 9/10; 4/5; 9/10; 10/11; 10/11; 13/15; 9/10; 13/15; 4/5
Draw; 5/2; 12/5; 5/2; 12/5; 23/10; 5/2; 9/4; 12/5; 12/5; 49/20; 12/5; 9/4
Walsall; 3; 7/2; 3; 16/5; 16/5; 10/3; 16/5; 29/10; 10/3; 59/20; 56/19; 3
META; english/league-1/shrewsbury-v-walsall; 2018-03-05 02:22:17 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Shrewsbury; 10/11; 17/20; 20/23; 9/10; 4/5; 9/10; 10/11; 10/11; 13/15; 9/10; 13/15; 4/5
Draw; 5/2; 12/5; 5/2; 12/5; 23/10; 5/2; 9/4; 12/5; 12/5; 49/20; 12/5; 9/4
Walsall; 3; 7/2; 3; 16/5; 16/5; 10/3; 16/5; 29/10; 10/3; 59/20; 56/19; 3
META; english/league-1/shrewsbury-v-walsall; 2018-03-05 10:22:15 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Shrewsbury; 4/5; 17/20; 17/20; 20/23; 9/10; 4/5; 8/9; 5/6; 5/6; 10/11; 5/6; 17/20; 5/6; 9/10; 8/9; 5/6; 5/6; 5/6; 4/5
Draw; 13/5; 12/5; 12/5; 5/2; 12/5; 23/10; 27/11; 23/10; 13/5; 9/4; 13/5; 5/2; 12/5; 5/2; 27/11; 13/5; 49/20; 27/11; 23/10
Walsall; 10/3; 3; 17/5; 7/2; 3; 16/5; 31/10; 17/5; 10/3; 10/3; 16/5; 10/3; 31/10; 29/10; 31/10; 17/5; 10/3; 31/10; 3
META; english/league-1/shrewsbury-v-walsall; 2018-03-05 14:22:37 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Shrewsbury; 4/5; 17/20; 10/11; 19/20; 20/23; 9/10; 4/5; 8/9; 10/11; 17/20; 10/11; 5/6; 10/11; 17/20; 5/6; 9/10; 13/15; 8/9; 20/23; 4/5; 13/15; 4/5
Draw; 13/5; 23/10; 9/4; 9/4; 5/2; 12/5; 23/10; 27/11; 11/5; 5/2; 9/4; 12/5; 5/2; 12/5; 23/10; 5/2; 40/17; 27/11; 5/2; 5/2; 23/10; 9/4
Walsall; 10/3; 10/3; 10/3; 16/5; 7/2; 3; 16/5; 31/10; 13/4; 10/3; 10/3; 7/2; 3; 10/3; 41/13; 29/10; 3; 31/10; 10/3; 10/3; 41/13; 3
META; english/league-1/shrewsbury-v-walsall; 2018-03-05 18:22:39 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Shrewsbury; 4/5; 17/20; 5/6; 17/20; 20/23; 9/10; 4/5; 8/9; 5/6; 5/6; 5/6; 7/10; 17/20; 10/11; 5/6; 4/5; 5/6; 11/14; 8/9; 5/6; 4/5; 4/5; 4/5; 5/6
Draw; 13/5; 23/10; 23/10; 23/10; 5/2; 12/5; 23/10; 27/11; 23/10; 5/2; 23/10; 5/2; 23/10; 5/2; 12/5; 40/17; 5/2; 12/5; 27/11; 5/2; 12/5; 40/17; 9/4; 5/2
Walsall; 10/3; 10/3; 18/5; 18/5; 7/2; 3; 16/5; 31/10; 18/5; 7/2; 7/2; 4; 18/5; 3; 7/2; 57/17; 16/5; 17/5; 31/10; 18/5; 7/2; 57/17; 3; 7/2
META; english/league-1/shrewsbury-v-walsall; 2018-03-05 22:22:42 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
