META; english/league-1/gillingham-v-rotherham; 2018-02-25 14:20:24 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Rotherham; 6/5; 11/10; ; ; 32/25; ; 6/5; 11/10; ; ; 6/5; ; ; ; 6/5; 6/5; ; ; ; ; 5/4; 23/20; 23/20; ; ; 4/6; ; 
Gillingham; 11/5; 12/5; ; ; 23/10; ; 11/5; 11/5; ; ; 23/10; ; ; ; 11/5; 9/4; ; ; ; ; 23/10; 12/5; 11/5; ; ; 23/20; ; 
Draw; 12/5; 12/5; ; ; 63/25; ; 12/5; 9/4; ; ; 12/5; ; ; ; 12/5; 12/5; ; ; ; ; 12/5; 12/5; 12/5; ; ; 9/5; ; 
META; english/league-1/gillingham-v-rotherham; 2018-02-25 18:20:23 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Rotherham; 23/20; 11/10; 6/5; ; 63/50; ; 6/5; 11/10; ; 6/5; 6/5; ; 5/4; ; 6/5; 11/10; 15/13; ; ; ; 5/4; 5/4; 23/20; 15/13; ; 1; ; 
Gillingham; 23/10; 12/5; 11/5; ; 117/50; ; 11/5; 21/10; ; 11/5; 9/4; ; 11/5; ; 11/5; 23/10; 28/13; ; ; ; 23/10; 11/5; 11/5; 28/13; ; 9/5; ; 
Draw; 12/5; 12/5; 23/10; ; 63/25; ; 23/10; 9/4; ; 9/4; 12/5; ; 23/10; ; 12/5; 12/5; 9/4; ; ; ; 12/5; 12/5; 12/5; 23/10; ; 9/5; ; 
META; english/league-1/gillingham-v-rotherham; 2018-02-25 22:20:23 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Rotherham; 21/20; 11/10; 11/10; ; 6/5; ; 11/10; 1; ; 11/10; 11/10; ; 5/4; ; 23/20; 11/10; 21/20; ; 13/12; ; 11/10; 23/20; 11/10; 21/20; ; 4/6; ; 
Draw; 12/5; 12/5; 12/5; ; 123/50; ; 23/10; 23/10; ; 12/5; 12/5; ; 23/10; ; 12/5; 12/5; 23/10; ; 27/11; ; 5/2; 12/5; 12/5; 40/17; ; 9/5; ; 
Gillingham; 5/2; 12/5; 12/5; ; 127/50; ; 12/5; 23/10; ; 23/10; 5/2; ; 11/5; ; 23/10; 5/2; 40/17; ; 39/19; ; 12/5; 5/2; 47/20; 40/17; ; 7/5; ; 
META; english/league-1/gillingham-v-rotherham; 2018-02-26 02:19:59 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Rotherham; 21/20; 11/10; 11/10; ; 6/5; ; 11/10; 1; ; 11/10; 11/10; 11/10; 5/4; ; 23/20; 11/10; 21/20; ; 13/12; ; 11/10; 23/20; 11/10; 21/20; ; 4/6; ; 
Draw; 12/5; 12/5; 12/5; ; 123/50; ; 23/10; 23/10; ; 12/5; 12/5; 23/10; 23/10; ; 12/5; 12/5; 23/10; ; 27/11; ; 5/2; 12/5; 12/5; 40/17; ; 9/5; ; 
Gillingham; 5/2; 12/5; 12/5; ; 127/50; ; 12/5; 23/10; ; 23/10; 5/2; 5/2; 11/5; ; 23/10; 5/2; 40/17; ; 39/19; ; 12/5; 5/2; 47/20; 40/17; ; 7/5; ; 
META; english/league-1/gillingham-v-rotherham; 2018-02-26 10:20:01 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Rotherham; 21/20; 11/10; 11/10; 23/20; 6/5; ; 11/10; 1; 24/23; 11/10; 11/10; 11/10; 5/4; ; 23/20; 11/10; 21/20; 21/20; 13/12; 24/23; 11/10; 23/20; 11/10; 21/20; ; 8/11; ; 
Gillingham; 5/2; 12/5; 12/5; 23/10; 127/50; ; 12/5; 23/10; 27/11; 23/10; 5/2; 5/2; 11/5; ; 23/10; 12/5; 40/17; 5/2; 39/19; 27/11; 12/5; 5/2; 47/20; 40/17; ; 13/8; ; 
Draw; 12/5; 12/5; 12/5; 12/5; 123/50; ; 23/10; 23/10; 28/11; 12/5; 12/5; 23/10; 23/10; ; 12/5; 12/5; 40/17; 12/5; 27/11; 28/11; 5/2; 12/5; 12/5; 40/17; ; 21/10; ; 
META; english/league-1/gillingham-v-rotherham; 2018-02-26 14:20:38 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Rotherham; 21/20; 11/10; 11/10; 23/20; 121/100; ; 11/10; 1; 24/23; 11/10; 21/20; 11/10; 5/4; ; 23/20; 11/10; 21/20; 21/20; 13/12; 24/23; 11/10; 11/10; 21/20; ; 8/11; ; 
Draw; 12/5; 5/2; 23/10; 12/5; 12/5; ; 23/10; 12/5; 28/11; 23/10; 5/2; 23/10; 23/10; ; 23/10; 12/5; 23/10; 12/5; 12/5; 28/11; 5/2; 12/5; 23/10; ; 19/10; ; 
Gillingham; 5/2; 12/5; 12/5; 23/10; 129/50; ; 12/5; 23/10; 27/11; 12/5; 5/2; 5/2; 11/5; ; 12/5; 5/2; 40/17; 5/2; 21/10; 27/11; 5/2; 12/5; 12/5; ; 11/5; ; 
META; english/league-1/gillingham-v-rotherham; 2018-02-26 18:20:34 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Rotherham; 21/20; ; 11/10; 23/20; 29/25; 11/10; 11/10; 1; 11/10; 11/10; 11/10; 11/10; ; 11/10; 23/20; 11/10; 21/20; 21/20; 13/12; 11/10; 23/20; 11/10; 21/20; ; 1; 21/20; 
Gillingham; 5/2; 5/2; 12/5; 23/10; 13/5; 5/2; 12/5; 5/2; 5/2; 12/5; 5/2; 12/5; ; 49/20; 12/5; 5/2; 12/5; 5/2; 21/10; 5/2; 5/2; 12/5; 12/5; ; 9/4; 9/4; 
Draw; 12/5; 12/5; 23/10; 12/5; 5/2; 13/5; 23/10; 12/5; 40/17; 23/10; 12/5; 12/5; ; 47/20; 23/10; 12/5; 9/4; 12/5; 12/5; 40/17; 12/5; 12/5; 23/10; ; 23/10; 2; 
META; english/league-1/gillingham-v-rotherham; 2018-02-26 22:20:31 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Rotherham; 21/20; ; 11/10; 23/20; 29/25; 11/10; 11/10; 1; 11/10; 11/10; 11/10; 11/10; ; 11/10; 23/20; 11/10; 21/20; 21/20; 13/12; 11/10; 23/20; 11/10; 21/20; ; 1; 21/20; 
Draw; 12/5; 12/5; 23/10; 12/5; 5/2; 5/2; 23/10; 12/5; 40/17; 23/10; 12/5; 12/5; ; 47/20; 23/10; 12/5; 9/4; 12/5; 12/5; 40/17; 12/5; 12/5; 23/10; ; 9/4; 2; 
Gillingham; 5/2; 5/2; 12/5; 23/10; 13/5; 13/5; 12/5; 5/2; 5/2; 12/5; 5/2; 12/5; ; 49/20; 12/5; 5/2; 12/5; 5/2; 21/10; 5/2; 5/2; 12/5; 12/5; ; 23/10; 9/4; 
META; english/league-1/gillingham-v-rotherham; 2018-02-27 02:20:27 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Rotherham; 21/20; ; 11/10; 23/20; 121/100; 11/10; 11/10; 1; 11/10; 11/10; 11/10; 11/10; ; 11/10; 23/20; 11/10; 21/20; 21/20; 13/12; 11/10; 23/20; 11/10; 21/20; ; 1; 21/20; 
Draw; 12/5; 12/5; 23/10; 12/5; 12/5; 5/2; 23/10; 12/5; 40/17; 23/10; 12/5; 12/5; ; 47/20; 23/10; 12/5; 9/4; 12/5; 12/5; 40/17; 12/5; 12/5; 23/10; ; 9/4; 2; 
Gillingham; 5/2; 5/2; 12/5; 23/10; 129/50; 13/5; 12/5; 5/2; 5/2; 12/5; 5/2; 12/5; ; 49/20; 12/5; 5/2; 40/17; 5/2; 21/10; 5/2; 5/2; 12/5; 12/5; ; 23/10; 9/4; 
META; english/league-1/gillingham-v-rotherham; 2018-02-27 10:20:28 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Rotherham; 21/20; ; 11/10; 23/20; 29/25; 11/10; 11/10; 1; 11/10; 11/10; 11/10; 11/10; ; 11/10; 23/20; 11/10; 21/20; 21/20; 13/12; 11/10; 23/20; 11/10; 21/20; ; 1; 21/20; 
Draw; 12/5; 12/5; 23/10; 12/5; 5/2; 5/2; 23/10; 12/5; 40/17; 23/10; 12/5; 12/5; ; 47/20; 23/10; 12/5; 9/4; 12/5; 12/5; 40/17; 12/5; 12/5; 23/10; ; 9/4; 2; 
Gillingham; 5/2; 5/2; 12/5; 23/10; 13/5; 13/5; 12/5; 5/2; 5/2; 12/5; 5/2; 12/5; ; 49/20; 12/5; 5/2; 40/17; 5/2; 21/10; 5/2; 5/2; 12/5; 12/5; ; 23/10; 9/4; 
META; english/league-1/gillingham-v-rotherham; 2018-02-27 14:21:25 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
