META; english/league-1/bury-v-northampton; 2018-04-08 14:22:44 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Bury; 11/8; 11/10; 36/25; 13/10; 13/10; 11/8; 5/4; 23/17; 11/8; 23/17; 5/6; 7/5
Northampton; 15/8; 23/10; 101/50; 19/10; 15/8; 19/10; 21/10; 9/5; 2; 24/13; 5/4; 19/10
Draw; 12/5; 23/10; 63/25; 23/10; 11/5; 12/5; 12/5; 23/10; 12/5; 23/10; 19/10; 12/5
META; english/league-1/bury-v-northampton; 2018-04-08 18:22:16 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Bury; 11/8; 5/4; 36/25; 11/8; 5/4; 11/8; 11/8; 11/8; 13/10; 11/8; 23/17; 1; 7/5
Northampton; 15/8; 2; 101/50; 19/10; 15/8; 19/10; 19/10; 19/10; 9/5; 2; 24/13; 6/5; 19/10
Draw; 12/5; 23/10; 63/25; 23/10; 23/10; 12/5; 12/5; 12/5; 23/10; 12/5; 23/10; 9/5; 12/5
META; english/league-1/bury-v-northampton; 2018-04-08 22:22:27 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Bury; 11/8; 5/4; 36/25; 11/8; 5/4; 11/8; 11/8; 11/8; 13/10; 11/8; 23/17; 10/9; 7/5
Northampton; 15/8; 2; 101/50; 19/10; 15/8; 19/10; 19/10; 19/10; 9/5; 2; 24/13; 6/5; 19/10
Draw; 12/5; 23/10; 63/25; 23/10; 23/10; 12/5; 12/5; 12/5; 23/10; 12/5; 23/10; 9/5; 12/5
META; english/league-1/bury-v-northampton; 2018-04-09 02:22:20 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Bury; 11/8; 5/4; 36/25; 11/8; 5/4; 11/8; 11/8; 11/8; 13/10; 11/8; 23/17; 10/11; 7/5
Northampton; 15/8; 2; 101/50; 19/10; 15/8; 19/10; 19/10; 19/10; 9/5; 2; 24/13; 6/5; 19/10
Draw; 12/5; 23/10; 63/25; 23/10; 23/10; 12/5; 12/5; 12/5; 23/10; 12/5; 23/10; 9/5; 12/5
META; english/league-1/bury-v-northampton; 2018-04-09 10:22:24 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Bury; 11/8; 5/4; 36/25; 11/8; 5/4; 23/18; 11/8; 11/8; 11/8; 11/8; 13/10; 23/17; 23/18; 11/8; 13/10; 13/10; 7/5
Northampton; 15/8; 2; 101/50; 19/10; 15/8; 39/19; 19/10; 19/10; 19/10; 19/10; 19/10; 24/13; 39/19; 2; 19/10; 4/11; 19/10
Draw; 12/5; 23/10; 63/25; 23/10; 23/10; 40/17; 12/5; 12/5; 12/5; 12/5; 23/10; 12/5; 40/17; 12/5; 23/10; 9/5; 12/5
META; english/league-1/bury-v-northampton; 2018-04-09 14:22:37 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Bury; 11/8; 5/4; 13/10; 36/25; 11/8; 5/4; 11/8; 11/8; 11/8; 11/8; 11/8; 13/10; 23/17; 11/8; 11/8; 23/17; 13/10; 7/5
Northampton; 15/8; 2; 9/5; 101/50; 15/8; 15/8; 24/13; 19/10; 19/10; 19/10; 19/10; 9/5; 24/13; 24/13; 2; 24/13; 7/5; 19/10
Draw; 12/5; 23/10; 23/10; 63/25; 23/10; 23/10; 12/5; 12/5; 12/5; 12/5; 12/5; 23/10; 12/5; 12/5; 12/5; 40/17; 9/5; 12/5
META; english/league-1/bury-v-northampton; 2018-04-09 18:22:29 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Bury; 23/20; 5/4; 6/5; 23/20; 123/100; 6/5; 6/5; 11/10; 6/5; 6/5; 6/5; 23/20; 6/5; 23/20; 6/5; 15/13; 5/4; 19/16; 6/5; 6/5; 15/13; 10/9; 6/5
Northampton; 11/5; 2; 23/10; 11/5; 62/25; 23/10; 9/4; 11/5; 28/13; 23/10; 23/10; 23/10; 12/5; 23/10; 9/4; 9/4; 2; 21/10; 28/13; 23/10; 9/4; 11/5; 5/2
Draw; 5/2; 23/10; 11/5; 11/5; 49/20; 12/5; 23/10; 23/10; 27/11; 21/10; 12/5; 23/10; 11/5; 12/5; 12/5; 9/4; 12/5; 40/17; 27/11; 12/5; 9/4; 12/5; 12/5
META; english/league-1/bury-v-northampton; 2018-04-09 22:22:32 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Bury; 23/20; 5/4; 6/5; 23/20; 61/50; 6/5; 6/5; 11/10; 6/5; 6/5; 6/5; 23/20; 5/4; 5/4; 23/20; 6/5; 15/13; 5/4; 8/7; 6/5; 23/20; 15/13; 10/9; 6/5
Draw; 5/2; 9/4; 11/5; 11/5; 61/25; 12/5; 23/10; 23/10; 27/11; 11/5; 12/5; 23/10; 23/10; 11/5; 12/5; 23/10; 9/4; 12/5; 40/17; 27/11; 12/5; 9/4; 12/5; 12/5
Northampton; 11/5; 23/10; 12/5; 11/5; 63/25; 23/10; 9/4; 11/5; 28/13; 23/10; 23/10; 23/10; 11/5; 47/20; 23/10; 23/10; 11/5; 2; 11/5; 28/13; 12/5; 9/4; 11/5; 5/2
META; english/league-1/bury-v-northampton; 2018-04-10 02:22:14 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Bury; 23/20; 6/5; 6/5; 23/20; 61/50; 6/5; 6/5; 11/10; 6/5; 6/5; 6/5; 23/20; 5/4; 5/4; 23/20; 6/5; 15/13; 5/4; 8/7; 6/5; 23/20; 15/13; 10/9; 6/5
Draw; 5/2; 9/4; 11/5; 11/5; 61/25; 12/5; 23/10; 23/10; 27/11; 11/5; 12/5; 23/10; 23/10; 11/5; 12/5; 23/10; 9/4; 12/5; 40/17; 27/11; 12/5; 9/4; 12/5; 12/5
