META; english/league-1/fleetwood-v-scunthorpe; 2018-01-28 14:21:46 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Scunthorpe; 6/4; 17/10; ; ; 8/5; 13/8; 6/4; ; ; ; ; ; ; ; ; 6/4; ; 16/11; ; ; ; ; 8/5; 6/4; 16/11; ; 20/21; ; 
Fleetwood; 17/10; 8/5; ; ; 9/5; 9/5; 17/10; ; ; ; ; ; ; ; ; 17/10; ; ; ; ; ; ; 17/10; 17/10; 28/17; ; 10/9; ; 
Draw; 12/5; 9/4; ; ; 63/25; 12/5; 23/10; ; ; ; ; ; ; ; ; 12/5; ; 23/10; ; ; ; ; 12/5; 47/20; 40/17; ; 9/5; ; 
META; english/league-1/fleetwood-v-scunthorpe; 2018-01-28 18:21:08 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Scunthorpe; 7/5; 17/10; 16/11; 6/4; 149/ 100; 31/20; 7/5; ; 31/21; 29/20; 7/5; 6/4; ; ; ; 6/4; ; 7/5; ; ; 31/21; 7/5; 29/20; 7/5; 16/11; ; 1; ; 
Fleetwood; 9/5; 8/5; 2; 19/10; 193/ 100; 19/10; 9/5; ; 7/4; 19/10; 9/5; 2; ; ; ; 15/8; ; 7/4; ; ; 7/4; 15/8; 19/10; 19/10; 9/5; ; 13/10; ; 
Draw; 12/5; 9/4; 21/10; 11/5; 127/ 50; 5/2; ; ; 12/5; 21/10; 12/5; 21/10; ; ; ; 9/4; ; 23/10; ; ; 12/5; 12/5; 12/5; 11/5; 23/10; ; 9/5; ; 
META; english/league-1/fleetwood-v-scunthorpe; 2018-01-28 22:23:35 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Scunthorpe; 7/5; 17/10; 17/11; 6/4; 13/8; 6/4; 6/4; ; 31/21; 31/20; 29/20; 31/20; ; ; ; 6/4; ; 16/11; ; ; 31/21; 6/4; 6/4; 6/4; 16/11; ; 10/9; ; 
Fleetwood; 9/5; 8/5; 9/5; 19/10; 46/25; 15/8; 7/4; ; 7/4; 9/5; 9/5; 9/5; ; ; ; 9/5; ; 7/4; ; ; 7/4; 15/8; 9/5; 9/5; 7/4; ; 7/5; ; 
Draw; 12/5; 9/4; 21/10; 11/5; 121/ 50; 12/5; 9/4; ; 12/5; 21/10; 23/10; 11/5; ; ; ; 9/4; ; 23/10; ; ; 12/5; 23/10; 12/5; 11/5; 23/10; ; 9/5; ; 
META; english/league-1/fleetwood-v-scunthorpe; 2018-01-29 02:20:29 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Scunthorpe; 6/4; 17/10; 8/5; 6/4; 33/20; 31/20; 8/5; ; 31/21; 31/20; 6/4; 31/20; ; ; ; 6/4; ; 6/4; ; ; 31/21; 6/4; 31/20; 6/4; 17/11; ; 6/5; ; 
Fleetwood; 17/10; 8/5; 7/4; 19/10; 181/ 100; 9/5; 17/10; ; 7/4; 7/4; 7/4; 9/5; ; ; ; 7/4; ; 28/17; ; ; 7/4; 15/8; 7/4; 9/5; 17/10; ; 7/5; ; 
Draw; 12/5; 9/4; 21/10; 11/5; 121/ 50; 23/10; 9/4; ; 12/5; 21/10; 23/10; 11/5; ; ; ; 23/10; ; 9/4; ; ; 12/5; 23/10; 12/5; 11/5; 23/10; ; 9/5; ; 
META; english/league-1/fleetwood-v-scunthorpe; 2018-01-29 10:20:27 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Scunthorpe; 6/4; 17/10; 17/11; 6/4; 33/20; 31/20; 8/5; ; 31/21; 31/20; 6/4; 31/20; ; ; 6/4; 6/4; 6/4; 17/11; 6/4; 25/18; 31/21; 6/4; 31/20; 6/4; 17/11; ; 6/5; ; 
Fleetwood; 17/10; 8/5; 9/5; 19/10; 181/ 100; 9/5; 17/10; ; 7/4; 9/5; 7/4; 9/5; ; ; 17/10; 7/4; 17/10; 28/17; 17/10; 18/11; 7/4; 15/8; 7/4; 9/5; 17/10; ; 7/5; ; 
Draw; 12/5; 9/4; 21/10; 11/5; 121/ 50; 23/10; 9/4; ; 12/5; 21/10; 23/10; 11/5; ; ; 12/5; 9/4; 23/10; 9/4; 23/10; 23/10; 12/5; 23/10; 12/5; 11/5; 23/10; ; 9/5; ; 
META; english/league-1/fleetwood-v-scunthorpe; 2018-01-29 14:21:07 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Scunthorpe; 6/4; 17/10; 17/11; 6/4; 79/50; 31/20; 6/4; ; 31/21; 31/20; 6/4; 31/20; ; ; 6/4; 6/4; 6/4; 6/4; 6/4; 52/35; 31/21; 6/4; 31/20; 6/4; 6/4; ; 6/5; ; 
Fleetwood; 17/10; 8/5; 9/5; 19/10; 97/50; 9/5; 7/4; ; 7/4; 9/5; 7/4; 9/5; ; ; 17/10; 9/5; 17/10; 7/4; 17/10; 30/17; 7/4; 15/8; 7/4; 9/5; 7/4; ; 7/5; ; 
Draw; 12/5; 9/4; 21/10; 11/5; 59/25; 23/10; 11/5; ; 12/5; 21/10; 23/10; 11/5; ; ; 12/5; 9/4; 23/10; 9/4; 23/10; 9/4; 12/5; 23/10; 12/5; 11/5; 9/4; ; 9/5; ; 
META; english/league-1/fleetwood-v-scunthorpe; 2018-01-29 18:20:51 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
