META; english/league-1/scunthorpe-v-doncaster; 2018-01-21 14:21:32 GMT+2; 2018-01-23 19:45; Nothing; Xlenovo
Scunthorpe; 13/10; 11/8; ; 11/10; 73/50; 11/8; 11/8; 13/10; 7/5; ; 7/5; 11/8; ; 7/5; 11/8; 11/8; 6/5; 23/17; 6/5; 23/18; 7/5; 7/5; 11/8; 27/20; 23/17; 11/8; 13/10; 7/5
Doncaster; 2; 2; ; 21/10; 101/ 50; 21/10; 2; 21/10; 24/13; ; 2; 2; ; 41/20; 2; 2; 21/10; 37/19; 21/10; 17/9; 24/13; 2; 2; 2; 37/19; 2; 7/4; 9/5
Draw; 12/5; 23/10; ; 12/5; 123/ 50; 23/10; 9/4; 9/4; 40/17; ; 12/5; 9/4; ; 11/5; 9/4; 23/10; 12/5; 23/10; 12/5; 12/5; 40/17; 23/10; 12/5; 9/4; 40/17; 11/5; 2; 11/5
META; english/league-1/scunthorpe-v-doncaster; 2018-01-21 18:20:58 GMT+2; 2018-01-23 19:45; Nothing; Xlenovo
Scunthorpe; 13/10; 13/10; ; 11/10; 141/ 100; 11/8; 13/10; 13/10; 4/3; ; 7/5; 11/8; 11/8; 7/5; 11/8; 13/10; 6/5; 23/17; 6/5; 23/18; 4/3; 7/5; 11/8; 27/20; 23/17; 11/8; 13/10; 11/8
Doncaster; 2; 21/10; ; 21/10; 109/ 50; 21/10; 2; 21/10; 39/19; ; 2; 2; 2; 41/20; 2; 2; 11/5; 39/19; 11/5; 17/9; 39/19; 2; 2; 2; 39/19; 19/10; 7/4; 21/10
Draw; 12/5; 23/10; ; 12/5; 119/ 50; 23/10; 9/4; 9/4; 9/4; ; 12/5; 23/10; 23/10; 11/5; 9/4; 23/10; 23/10; 9/4; 23/10; 12/5; 9/4; 23/10; 12/5; 9/4; 9/4; 9/4; 2; 23/10
META; english/league-1/scunthorpe-v-doncaster; 2018-01-21 22:20:38 GMT+2; 2018-01-23 19:45; Nothing; Xlenovo
Scunthorpe; 13/10; 13/10; 26/19; 11/10; 141/ 100; 11/8; 13/10; 13/10; 4/3; 7/5; 7/5; 11/8; 11/8; 7/5; 11/8; 13/10; 13/10; 23/17; 13/10; 23/18; 4/3; 7/5; 11/8; 27/20; 23/17; 11/8; 13/10; 7/5
Doncaster; 2; 21/10; 2; 21/10; 109/ 50; 21/10; 2; 21/10; 39/19; 21/10; 2; 2; 2; 41/20; 2; 2; 2; 39/19; 2; 17/9; 39/19; 2; 2; 2; 39/19; 2; 2; 21/10
Draw; 12/5; 23/10; 11/5; 12/5; 119/ 50; 23/10; 9/4; 9/4; 9/4; 11/5; 12/5; 23/10; 23/10; 11/5; 9/4; 23/10; 23/10; 9/4; 23/10; 12/5; 9/4; 23/10; 12/5; 9/4; 9/4; 9/4; 21/10; 23/10
META; english/league-1/scunthorpe-v-doncaster; 2018-01-22 02:20:34 GMT+2; 2018-01-23 19:45; Nothing; Xlenovo
Scunthorpe; 13/10; 13/10; 7/5; 11/10; 143/ 100; 7/5; 11/8; 11/8; 4/3; 7/5; 29/20; 13/10; 11/8; 29/20; 11/8; 13/10; 13/10; 23/17; 13/10; 23/18; 4/3; 7/5; 7/5; 27/20; 23/17; 11/8; 7/5; 7/5
Doncaster; 2; 21/10; 21/10; 21/10; 111/ 50; 2; 2; 2; 39/19; 21/10; 2; 21/10; 2; 41/20; 2; 21/10; 21/10; 39/19; 2; 17/9; 39/19; 85/40; 2; 2; 21/10; 2; 2; 11/5
Draw; 12/5; 23/10; 21/10; 12/5; 23/10; 23/10; 11/5; 23/10; 9/4; 21/10; 23/10; 9/4; 12/5; 21/10; 9/4; 9/4; 9/4; 11/5; 23/10; 12/5; 9/4; 9/4; 23/10; 11/5; 11/5; 9/4; 2; 9/4
META; english/league-1/scunthorpe-v-doncaster; 2018-01-22 10:20:54 GMT+2; 2018-01-23 19:45; Nothing; Xlenovo
Scunthorpe; 7/5; 13/10; 16/11; 11/10; 36/25; 7/5; 11/8; 11/8; 4/3; 29/20; 29/20; 13/10; 11/8; 29/20; 7/5; 13/10; 13/10; 23/17; 13/10; 23/18; 4/3; 7/5; 29/20; 27/20; 23/17; 11/8; 7/5; 7/5
Doncaster; 11/5; 21/10; 2; 21/10; 111/ 50; 2; 2; 2; 21/10; 2; 2; 21/10; 2; 41/20; 21/10; 21/10; 21/10; 39/19; 21/10; 17/9; 21/10; 85/40; 19/10; 2; 21/10; 2; 17/10; 11/5
Draw; 12/5; 23/10; 21/10; 12/5; 57/25; 23/10; 11/5; 23/10; 11/5; 21/10; 23/10; 9/4; 12/5; 21/10; 21/10; 9/4; 9/4; 11/5; 9/4; 12/5; 11/5; 9/4; 12/5; 11/5; 11/5; 9/4; 19/10; 9/4
META; english/league-1/scunthorpe-v-doncaster; 2018-01-22 14:20:46 GMT+2; 2018-01-23 19:45; Nothing; Xlenovo
Scunthorpe; 7/5; 7/5; 16/11; 7/5; 29/20; 7/5; 11/8; 11/8; 4/3; 29/20; 29/20; 13/10; 7/5; 29/20; 7/5; 11/8; 13/10; 23/17; 13/10; 23/18; 4/3; 7/5; 29/20; 27/20; 23/17; 11/8; 7/5; 7/5
Doncaster; 11/5; 2; 2; 2; 109/ 50; 2; 2; 2; 21/10; 2; 2; 21/10; 2; 41/20; 21/10; 2; 21/10; 39/19; 21/10; 37/19; 21/10; 85/40; 19/10; 2; 21/10; 2; 2; 21/10
Draw; 12/5; 9/4; 21/10; 11/5; 23/10; 23/10; 11/5; 23/10; 11/5; 21/10; 23/10; 9/4; 9/4; 21/10; 21/10; 11/5; 9/4; 11/5; 9/4; 23/10; 11/5; 9/4; 12/5; 11/5; 11/5; 9/4; 2; 9/4
META; english/league-1/scunthorpe-v-doncaster; 2018-01-22 18:20:47 GMT+2; 2018-01-23 19:45; Nothing; Xlenovo
Scunthorpe; 7/5; 7/5; 7/5; 7/5; 36/25; 7/5; 11/8; 11/8; 4/3; 7/5; 7/5; 7/5; 7/5; 7/5; 7/5; 11/8; 13/10; 23/17; 13/10; 16/11; 4/3; 7/5; 7/5; 27/20; 23/17; 11/8; 7/5; 7/5
Doncaster; 11/5; 2; 21/10; 2; 109/ 50; 21/10; 2; 21/10; 21/10; 21/10; 21/10; 2; 2; 21/10; 21/10; 2; 21/10; 39/19; 21/10; 24/13; 21/10; 85/40; 2; 2; 39/19; 2; 2; 21/10
