Peterborough; 6/4; 13/8; ; ; ; 31/20; 6/4; 6/4; 6/4; ; 6/4; 31/20; ; ; 6/4; 6/4; 16/11; 6/4; ; 6/4; 6/4; 31/20; 6/4; 16/11; ; 7/5; ; 
Blackpool; 8/5; 6/4; ; ; ; 17/10; 8/5; 13/8; 8/5; ; 13/8; 13/8; ; ; 17/10; 8/5; 17/11; 8/5; ; 8/5; 13/8; 13/8; 31/20; 17/11; ; 6/4; ; 
Draw; 13/5; 13/5; ; ; ; 13/5; 5/2; 5/2; 28/11; ; 13/5; 12/5; ; ; 23/10; 5/2; 5/2; 5/2; ; 28/11; 13/5; 13/5; 13/5; 5/2; ; 23/10; ; 
META; english/league-1/blackpool-v-peterborough; 2018-02-13 14:21:16 GMT+2; 2018-02-18 15:00; Nothing; Xlenovo
Blackpool; 6/4; 7/5; 7/5; 13/8; ; 31/20; 6/4; 6/4; 8/5; 7/5; 6/4; 31/20; ; ; 6/4; 6/4; 16/11; 16/11; ; 8/5; 6/4; 29/20; 7/5; 16/11; ; 7/5; ; 
Peterborough; 13/8; 9/5; 9/5; 8/5; ; 7/4; 7/4; 17/10; 6/4; 9/5; 17/10; 17/10; ; ; 9/5; 17/10; 17/10; 28/17; ; 6/4; 9/5; 9/5; 9/5; 17/10; ; 13/8; ; 
Draw; 5/2; 5/2; 12/5; 12/5; ; 12/5; 23/10; 12/5; 28/11; 23/10; 5/2; 12/5; ; ; 23/10; 5/2; 9/4; 5/2; ; 28/11; 12/5; 5/2; 12/5; 23/10; ; 21/10; ; 
META; english/league-1/blackpool-v-peterborough; 2018-02-13 18:21:11 GMT+2; 2018-02-18 15:00; Nothing; Xlenovo
Blackpool; 6/4; 7/5; 16/11; 13/8; ; 31/20; 6/4; 6/4; 8/5; 29/20; 6/4; 29/20; ; ; 6/4; 6/4; 16/11; 16/11; 15/11; 8/5; 6/4; 29/20; 7/5; 16/11; ; 7/5; ; 
Peterborough; 13/8; 9/5; 7/4; 8/5; ; 7/4; 7/4; 17/10; 6/4; 7/4; 17/10; 7/4; ; ; 9/5; 17/10; 28/17; 28/17; 28/17; 6/4; 9/5; 7/4; 9/5; 17/10; ; 13/8; ; 
Draw; 5/2; 5/2; 12/5; 12/5; ; 12/5; 23/10; 12/5; 28/11; 23/10; 5/2; 5/2; ; ; 23/10; 5/2; 9/4; 5/2; 13/5; 28/11; 12/5; 13/5; 12/5; 23/10; ; 21/10; ; 
META; english/league-1/blackpool-v-peterborough; 2018-02-13 22:21:05 GMT+2; 2018-02-18 15:00; Nothing; Xlenovo
Blackpool; 6/4; 7/5; 16/11; 13/8; ; 6/4; 6/4; 7/5; 8/5; 29/20; 6/4; 29/20; ; ; 6/4; 6/4; 16/11; 16/11; 15/11; 8/5; 6/4; 29/20; 7/5; 16/11; ; 7/5; ; 
Peterborough; 13/8; 9/5; 7/4; 8/5; ; 9/5; 7/4; 7/4; 6/4; 7/4; 17/10; 7/4; ; ; 9/5; 17/10; 28/17; 28/17; 28/17; 6/4; 9/5; 7/4; 9/5; 17/10; ; 13/8; ; 
Draw; 5/2; 5/2; 12/5; 12/5; ; 5/2; 23/10; 12/5; 28/11; 23/10; 5/2; 5/2; ; ; 23/10; 5/2; 9/4; 5/2; 13/5; 28/11; 12/5; 13/5; 12/5; 23/10; ; 23/10; ; 
META; english/league-1/blackpool-v-peterborough; 2018-02-14 02:20:25 GMT+2; 2018-02-18 15:00; Nothing; Xlenovo
Blackpool; 6/4; 7/5; 16/11; 7/5; ; 6/4; 6/4; 7/5; 6/4; 29/20; 6/4; 29/20; ; ; 6/4; 7/5; 16/11; 16/11; 15/11; 6/4; 6/4; 29/20; 7/5; 16/11; ; 11/8; ; 
Peterborough; 13/8; 9/5; 7/4; 9/5; ; 9/5; 7/4; 7/4; 8/5; 7/4; 17/10; 7/4; ; ; 9/5; 7/4; 28/17; 28/17; 28/17; 8/5; 9/5; 7/4; 9/5; 17/10; ; 17/10; ; 
Draw; 5/2; 5/2; 12/5; 5/2; ; 5/2; 23/10; 12/5; 28/11; 23/10; 5/2; 5/2; ; ; 23/10; 5/2; 9/4; 5/2; 13/5; 28/11; 12/5; 13/5; 12/5; 23/10; ; 9/4; ; 
META; english/league-1/blackpool-v-peterborough; 2018-02-14 10:20:27 GMT+2; 2018-02-18 15:00; Nothing; Xlenovo
Blackpool; 6/4; 7/5; 16/11; 7/5; ; 6/4; 6/4; 7/5; 6/4; 29/20; 6/4; 29/20; ; ; 6/4; 7/5; 16/11; 16/11; 15/11; 6/4; 6/4; 29/20; 7/5; 16/11; ; 11/8; ; 
Peterborough; 13/8; 9/5; 7/4; 9/5; ; 9/5; 7/4; 7/4; 8/5; 7/4; 17/10; 7/4; ; ; 9/5; 7/4; 28/17; 28/17; 28/17; 8/5; 9/5; 7/4; 9/5; 17/10; ; 13/8; ; 
Draw; 5/2; 5/2; 12/5; 5/2; ; 5/2; 23/10; 12/5; 28/11; 23/10; 5/2; 5/2; ; ; 23/10; 5/2; 9/4; 5/2; 13/5; 28/11; 12/5; 13/5; 12/5; 23/10; ; 23/10; ; 
META; english/league-1/blackpool-v-peterborough; 2018-02-14 14:20:32 GMT+2; 2018-02-18 15:00; Nothing; Xlenovo
Blackpool; 6/4; 7/5; 16/11; 7/5; 157/100; 6/4; 6/4; 7/5; 6/4; 29/20; 6/4; 29/20; ; 29/20; 6/4; 7/5; 16/11; 16/11; 15/11; 6/4; 6/4; 29/20; 7/5; 16/11; ; 11/8; ; 
Peterborough; 13/8; 9/5; 7/4; 9/5; 47/25; 9/5; 7/4; 7/4; 8/5; 7/4; 17/10; 7/4; ; 9/5; 9/5; 7/4; 28/17; 28/17; 28/17; 8/5; 9/5; 7/4; 9/5; 17/10; ; 13/8; ; 
Draw; 5/2; 5/2; 12/5; 5/2; 49/20; 5/2; 23/10; 12/5; 28/11; 23/10; 5/2; 5/2; ; 12/5; 23/10; 5/2; 9/4; 5/2; 13/5; 28/11; 12/5; 13/5; 12/5; 23/10; ; 23/10; ; 
META; english/league-1/blackpool-v-peterborough; 2018-02-14 18:20:32 GMT+2; 2018-02-18 15:00; Nothing; Xlenovo
Blackpool; 6/4; 7/5; 16/11; 7/5; 157/100; 6/4; 6/4; 7/5; 6/4; 29/20; 29/20; 29/20; 31/20; 29/20; 6/4; 7/5; 16/11; 16/11; 7/5; 6/4; 6/4; 29/20; 7/5; 16/11; ; 11/8; ; 
Peterborough; 13/8; 9/5; 7/4; 9/5; 47/25; 9/5; 7/4; 7/4; 8/5; 7/4; 7/4; 7/4; 31/20; 9/5; 9/5; 7/4; 28/17; 28/17; 17/10; 8/5; 9/5; 9/5; 9/5; 17/10; ; 17/10; ; 
Draw; 5/2; 5/2; 12/5; 5/2; 49/20; 5/2; 23/10; 12/5; 28/11; 23/10; 5/2; 5/2; 23/10; 12/5; 23/10; 5/2; 9/4; 5/2; 5/2; 28/11; 12/5; 5/2; 12/5; 23/10; ; 23/10; ; 
META; english/league-1/blackpool-v-peterborough; 2018-02-14 22:20:32 GMT+2; 2018-02-18 15:00; Nothing; Xlenovo
Blackpool; 6/4; 7/5; 16/11; 7/5; 157/100; 7/5; 6/4; 7/5; 6/4; 29/20; 29/20; 29/20; 31/20; 29/20; 6/4; 7/5; 16/11; 16/11; 7/5; 6/4; 6/4; 29/20; 7/5; 16/11; ; 13/10; 7/5; 
Peterborough; 13/8; 9/5; 7/4; 9/5; 47/25; 17/10; 7/4; 13/8; 8/5; 7/4; 7/4; 7/4; 31/20; 9/5; 9/5; 7/4; 28/17; 28/17; 17/10; 8/5; 9/5; 9/5; 9/5; 17/10; ; 17/10; 17/10; 
Draw; 5/2; 5/2; 12/5; 5/2; 49/20; 12/5; 23/10; 23/10; 28/11; 23/10; 5/2; 5/2; 23/10; 12/5; 23/10; 5/2; 9/4; 5/2; 5/2; 28/11; 12/5; 5/2; 12/5; 23/10; ; 11/5; 2; 
META; english/league-1/blackpool-v-peterborough; 2018-02-15 02:20:42 GMT+2; 2018-02-18 15:00; Nothing; Xlenovo
Blackpool; 6/4; 7/5; 16/11; 7/5; 157/100; 7/5; 6/4; 7/5; 6/4; 29/20; 29/20; 29/20; 31/20; 29/20; 6/4; 7/5; 16/11; 16/11; 7/5; 6/4; 6/4; 29/20; 7/5; 16/11; ; 5/4; 7/5; 
Peterborough; 13/8; 9/5; 7/4; 9/5; 47/25; 17/10; 7/4; 13/8; 8/5; 7/4; 7/4; 7/4; 31/20; 9/5; 9/5; 7/4; 17/10; 28/17; 17/10; 8/5; 9/5; 9/5; 9/5; 7/4; ; 13/8; 17/10; 
Draw; 5/2; 5/2; 12/5; 5/2; 49/20; 12/5; 23/10; 23/10; 28/11; 23/10; 5/2; 5/2; 23/10; 12/5; 23/10; 5/2; 23/10; 5/2; 5/2; 28/11; 12/5; 5/2; 12/5; 23/10; ; 23/10; 2; 
META; english/league-1/blackpool-v-peterborough; 2018-02-15 10:20:29 GMT+2; 2018-02-18 15:00; Nothing; Xlenovo
Blackpool; 6/4; 7/5; 16/11; 7/5; 157/100; 7/5; 6/4; 7/5; 6/4; ; 6/4; 29/20; 31/20; 29/20; 6/4; 7/5; ; 16/11; 7/5; 6/4; 6/4; 29/20; 7/5; 16/11; ; 5/4; 7/5; 
Peterborough; 13/8; 9/5; 7/4; 9/5; 47/25; 17/10; 7/4; 13/8; 8/5; ; 17/10; 7/4; 31/20; 9/5; 9/5; 7/4; 17/10; 28/17; 17/10; 8/5; 9/5; 9/5; 9/5; 7/4; ; 13/8; 17/10; 
Draw; 5/2; 5/2; 12/5; 5/2; 49/20; 12/5; 23/10; 23/10; 28/11; ; 5/2; 5/2; 23/10; 12/5; 23/10; 5/2; 23/10; 5/2; 5/2; 28/11; 12/5; 5/2; 12/5; 23/10; ; 23/10; 2; 
META; english/league-1/blackpool-v-peterborough; 2018-02-15 14:20:46 GMT+2; 2018-02-18 15:00; Nothing; Xlenovo
