META; english/league-1/southend-v-rochdale; 2017-08-27 02:27:31 GMT+3; 2017-09-02 15:00; Nothing; Xlenovo
Southend; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/13; ; 
Rochdale; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-1/southend-v-rochdale; 2017-08-27 10:27:21 GMT+3; 2017-09-02 15:00; Nothing; Xlenovo
Southend; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
Rochdale; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
META; english/league-1/southend-v-rochdale; 2017-08-27 14:27:40 GMT+3; 2017-09-02 15:00; Nothing; Xlenovo
Southend; 11/10; 5/4; ; ; 23/20; ; 23/20; ; 8/7; ; ; ; 11/10; ; ; 15/13; ; 10/9; 11/10; ; ; 8/7; ; ; 11/10; ; 4/6; ; 
Southend; 11/10; 11/10; 11/10; 23/20; 11/10; 21/20; 11/10; 1; 8/7; 11/10; 23/20; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 10/9; 11/10; 29/25; 21/20; 8/7; 1; 11/10; 11/10; ; 21/20; 10/9; 23/20
Draw; 5/2; 5/2; 12/5; 12/5; 5/2; 12/5; 5/2; 5/2; 27/11; 12/5; 12/5; 12/5; 49/20; 13/5; 5/2; 5/2; 5/2; 12/5; 12/5; 64/25; 28/11; 27/11; 9/4; 13/5; 12/5; ; 12/5; 23/10; 5/2
Rochdale; 23/10; 12/5; 12/5; 23/10; 5/2; 11/5; 5/2; 12/5; 23/10; 23/10; 12/5; 5/2; 47/20; 5/2; 23/10; 12/5; 9/4; 23/10; 23/10; 64/25; 11/5; 23/10; 11/4; 12/5; 12/5; ; 23/10; 23/10; 5/2
META; english/league-1/southend-v-rochdale; 2017-08-30 14:24:52 GMT+3; 2017-09-02 15:00; Nothing; Xlenovo
Southend; 11/10; 11/10; 11/10; 23/20; 11/10; 21/20; 11/10; 1; 8/7; 11/10; 23/20; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 10/9; 11/10; 29/25; 21/20; 8/7; 1; 11/10; 11/10; ; 21/20; 10/9; 23/20
Draw; 5/2; 5/2; 12/5; 12/5; 5/2; 12/5; 5/2; 5/2; 27/11; 12/5; 12/5; 12/5; 49/20; 13/5; 5/2; 5/2; 5/2; 12/5; 12/5; 64/25; 28/11; 27/11; 9/4; 13/5; 12/5; ; 12/5; 23/10; 5/2
Rochdale; 23/10; 12/5; 12/5; 23/10; 5/2; 11/5; 5/2; 12/5; 23/10; 23/10; 12/5; 5/2; 47/20; 5/2; 23/10; 12/5; 9/4; 23/10; 23/10; 64/25; 11/5; 23/10; 11/4; 12/5; 12/5; ; 23/10; 23/10; 5/2
META; english/league-1/southend-v-rochdale; 2017-08-30 18:24:42 GMT+3; 2017-09-02 15:00; Nothing; Xlenovo
Southend; 11/10; 11/10; 11/10; 23/20; 11/10; 21/20; 11/10; 1; 8/7; 11/10; 23/20; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 10/9; 11/10; 23/20; 21/20; 8/7; 1; 11/10; 11/10; ; 21/20; 10/9; 23/20
Draw; 5/2; 5/2; 12/5; 12/5; 5/2; 12/5; 5/2; 5/2; 27/11; 12/5; 12/5; 12/5; 49/20; 13/5; 5/2; 5/2; 5/2; 12/5; 27/11; 129/50; 28/11; 27/11; 9/4; 13/5; 12/5; ; 12/5; 23/10; 5/2
