META; english/league-1/southend-v-walsall; 2018-02-25 14:20:39 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Southend; 1; 11/10; ; ; 27/25; ; 21/20; 10/11; ; ; 1; ; ; ; 1; 1; ; ; ; ; 21/20; 1; 1; ; ; 4/7; ; 
Draw; 5/2; 12/5; ; ; 13/5; ; 12/5; 12/5; ; ; 5/2; ; ; ; 5/2; 5/2; ; ; ; ; 13/5; 5/2; 5/2; ; ; 2; ; 
Walsall; 13/5; 12/5; ; ; 137/50; ; 5/2; 13/5; ; ; 11/4; ; ; ; 13/5; 13/5; ; ; ; ; 13/5; 14/5; 13/5; ; ; 7/5; ; 
META; english/league-1/southend-v-walsall; 2018-02-25 18:20:39 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Southend; 21/20; 11/10; 11/10; ; 57/50; ; 11/10; 1; ; 11/10; 11/10; ; 23/20; ; 23/20; ; 21/20; ; ; ; 11/10; 23/20; 21/20; 21/20; ; 4/5; ; 
Walsall; 12/5; 12/5; 12/5; ; 63/25; ; 23/10; 12/5; ; 12/5; 12/5; ; 12/5; ; 23/10; 12/5; 23/10; ; ; ; 5/2; 12/5; 12/5; 23/10; ; 11/5; ; 
Draw; 5/2; 12/5; 23/10; ; 53/20; ; 12/5; 23/10; ; 23/10; 5/2; ; 12/5; ; 12/5; 5/2; 40/17; ; ; ; 5/2; 5/2; 5/2; 40/17; ; 19/10; ; 
META; english/league-1/southend-v-walsall; 2018-02-25 22:20:39 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Southend; 21/20; 11/10; 11/10; ; 29/25; ; 11/10; 1; ; 11/10; 21/20; ; 23/20; ; 23/20; ; 21/20; ; 15/14; ; 11/10; 11/10; 11/10; 11/10; ; 5/6; ; 
Draw; 5/2; 12/5; 23/10; ; 63/25; ; 23/10; 9/4; ; 9/4; 5/2; ; 12/5; ; 12/5; 12/5; 23/10; ; 40/17; ; 5/2; 5/2; 12/5; 23/10; ; 19/10; ; 
Walsall; 12/5; 12/5; 5/2; ; 129/50; ; 12/5; 12/5; ; 12/5; 5/2; ; 12/5; ; 23/10; 5/2; 23/10; ; 28/13; ; 5/2; 5/2; 12/5; 40/17; ; 9/4; ; 
META; english/league-1/southend-v-walsall; 2018-02-26 02:20:14 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Southend; 21/20; 11/10; 11/10; ; 29/25; ; 11/10; 1; ; 11/10; 21/20; 11/10; 23/20; ; 23/20; ; 21/20; ; 15/14; ; 11/10; 11/10; 11/10; 11/10; ; 5/6; ; 
Draw; 5/2; 12/5; 23/10; ; 63/25; ; 23/10; 9/4; ; 9/4; 5/2; 23/10; 12/5; ; 12/5; 12/5; 23/10; ; 40/17; ; 5/2; 5/2; 12/5; 23/10; ; 19/10; ; 
Walsall; 12/5; 12/5; 5/2; ; 129/50; ; 12/5; 12/5; ; 12/5; 5/2; 12/5; 12/5; ; 23/10; 5/2; 23/10; ; 28/13; ; 5/2; 5/2; 12/5; 40/17; ; 9/4; ; 
META; english/league-1/southend-v-walsall; 2018-02-26 10:20:16 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Southend; 21/20; 11/10; 11/10; 23/20; 29/25; ; 11/10; 1; 13/12; 11/10; 21/20; 11/10; 23/20; ; 23/20; ; 21/20; 21/20; 15/14; 13/12; 11/10; 11/10; 11/10; 11/10; ; 8/11; ; 
Draw; 5/2; 12/5; 23/10; 23/10; 63/25; ; 12/5; 23/10; 27/11; 9/4; 5/2; 23/10; 12/5; ; 12/5; 12/5; 23/10; 5/2; 40/17; 27/11; 5/2; 5/2; 12/5; 23/10; ; 19/10; ; 
Walsall; 12/5; 12/5; 5/2; 12/5; 129/50; ; 12/5; 23/10; 27/11; 12/5; 5/2; 12/5; 12/5; ; 23/10; 5/2; 23/10; 12/5; 28/13; 27/11; 5/2; 5/2; 12/5; 40/17; ; 9/5; ; 
META; english/league-1/southend-v-walsall; 2018-02-26 14:20:53 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Southend; 21/20; 11/10; 11/10; 23/20; 23/20; ; 11/10; 1; 13/12; 11/10; 21/20; 11/10; 23/20; ; 23/20; ; 21/20; 21/20; 15/14; 13/12; 11/10; 11/10; 11/10; ; 8/11; ; 
Draw; 5/2; 12/5; 9/4; 23/10; 127/50; ; 12/5; 23/10; 27/11; 11/5; 5/2; 23/10; 12/5; ; 12/5; 12/5; 23/10; 5/2; 40/17; 27/11; 12/5; 47/20; 23/10; ; 19/10; ; 
Walsall; 12/5; 5/2; 5/2; 12/5; 13/5; ; 12/5; 23/10; 27/11; 5/2; 5/2; 12/5; 12/5; ; 23/10; 5/2; 23/10; 12/5; 28/13; 27/11; 13/5; 12/5; 40/17; ; 9/5; ; 
META; english/league-1/southend-v-walsall; 2018-02-26 18:20:49 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Southend; 21/20; 11/10; 11/10; 23/20; 57/50; 11/10; ; 1; 13/12; 11/10; 11/10; 11/10; 10/11; 23/20; 23/20; ; 21/20; 21/20; 15/14; 13/12; 11/10; 11/10; 21/20; ; 1; 21/20; 
Draw; 5/2; 12/5; 9/4; 23/10; 62/25; 12/5; ; 9/4; 40/17; 11/5; 12/5; 23/10; 12/5; 23/10; 12/5; 12/5; 9/4; 5/2; 40/17; 40/17; 12/5; 47/20; 23/10; ; 21/10; 11/5; 
Walsall; 12/5; 5/2; 5/2; 12/5; 27/10; 13/5; 12/5; 12/5; 5/2; 5/2; 5/2; 12/5; 3; 5/2; 23/10; 5/2; 12/5; 12/5; 28/13; 5/2; 13/5; 12/5; 27/11; ; 12/5; 9/4; 
META; english/league-1/southend-v-walsall; 2018-02-26 22:20:46 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Southend; 21/20; 11/10; 11/10; 23/20; 57/50; 11/10; ; 1; 13/12; 11/10; 11/10; 11/10; 10/11; 23/20; 23/20; ; 21/20; 21/20; 15/14; 13/12; 11/10; 11/10; 21/20; ; 1; 21/20; 
Draw; 5/2; 12/5; 9/4; 23/10; 62/25; 12/5; ; 9/4; 40/17; 11/5; 12/5; 23/10; 12/5; 23/10; 12/5; 12/5; 9/4; 5/2; 40/17; 40/17; 12/5; 47/20; 23/10; ; 21/10; 21/10; 
Walsall; 12/5; 5/2; 5/2; 12/5; 27/10; 13/5; 12/5; 12/5; 5/2; 5/2; 5/2; 12/5; 3; 5/2; 23/10; 5/2; 12/5; 12/5; 28/13; 5/2; 13/5; 12/5; 27/11; ; 12/5; 11/5; 
META; english/league-1/southend-v-walsall; 2018-02-27 02:20:42 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Southend; 21/20; 11/10; 11/10; 23/20; 29/25; 11/10; ; 1; 13/12; 11/10; 11/10; 11/10; 10/11; 23/20; 23/20; ; 21/20; 21/20; 15/14; 13/12; 11/10; 11/10; 21/20; ; 1; 21/20; 
Draw; 5/2; 12/5; 9/4; 23/10; 63/25; 12/5; ; 9/4; 40/17; 11/5; 12/5; 23/10; 12/5; 23/10; 12/5; 12/5; 9/4; 5/2; 40/17; 40/17; 12/5; 47/20; 23/10; ; 21/10; 21/10; 
Walsall; 12/5; 5/2; 5/2; 12/5; 129/50; 13/5; 12/5; 12/5; 5/2; 5/2; 5/2; 12/5; 3; 5/2; 23/10; 5/2; 12/5; 12/5; 28/13; 5/2; 13/5; 12/5; 27/11; ; 12/5; 11/5; 
META; english/league-1/southend-v-walsall; 2018-02-27 10:20:43 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Southend; 21/20; 11/10; 11/10; 23/20; 57/50; 11/10; ; 1; 13/12; 11/10; 11/10; 11/10; 10/11; 23/20; 23/20; ; 21/20; 21/20; 15/14; 13/12; 11/10; 11/10; 21/20; ; 1; 21/20; 
Draw; 5/2; 12/5; 9/4; 23/10; 62/25; 12/5; ; 9/4; 40/17; 11/5; 12/5; 23/10; 12/5; 23/10; 12/5; 12/5; 9/4; 5/2; 40/17; 40/17; 12/5; 47/20; 9/4; ; 21/10; 21/10; 
Walsall; 12/5; 5/2; 5/2; 12/5; 27/10; 13/5; 12/5; 12/5; 5/2; 5/2; 5/2; 12/5; 3; 5/2; 23/10; 5/2; 12/5; 12/5; 28/13; 5/2; 13/5; 12/5; 27/11; ; 12/5; 11/5; 
META; english/league-1/southend-v-walsall; 2018-02-27 14:21:45 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Southend; 21/20; 11/10; 11/10; 23/20; 57/50; 11/10; ; 1; 13/12; 11/10; 11/10; 11/10; 10/11; 23/20; 23/20; ; 21/20; 21/20; 15/14; 13/12; 11/10; 11/10; 21/20; ; 1; 21/20; 
Draw; 5/2; 12/5; 9/4; 23/10; 62/25; 12/5; ; 9/4; 40/17; 11/5; 12/5; 23/10; 12/5; 23/10; 12/5; 12/5; 9/4; 5/2; 40/17; 40/17; 5/2; 47/20; 9/4; ; 21/10; 21/10; 
Walsall; 12/5; 5/2; 5/2; 12/5; 27/10; 13/5; 12/5; 12/5; 5/2; 5/2; 5/2; 12/5; 3; 5/2; 23/10; 5/2; 12/5; 12/5; 28/13; 5/2; 5/2; 12/5; 27/11; ; 23/10; 11/5; 
META; english/league-1/southend-v-walsall; 2018-02-27 18:20:48 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Southend; 21/20; 11/10; 11/10; 23/20; 23/20; 11/10; ; 1; 13/12; 23/20; 11/10; 11/10; 10/11; 23/20; 23/20; ; 21/20; 21/20; 15/14; 13/12; 11/10; 11/10; 11/10; ; 1; 21/20; 
Draw; 5/2; 12/5; 9/4; 23/10; 49/20; 12/5; ; 9/4; 40/17; 9/4; 12/5; 23/10; 12/5; 23/10; 12/5; 12/5; 23/10; 5/2; 40/17; 40/17; 5/2; 47/20; 23/10; ; 21/10; 21/10; 
Walsall; 12/5; 5/2; 5/2; 12/5; 27/10; 13/5; 12/5; 12/5; 5/2; 5/2; 5/2; 12/5; 3; 5/2; 23/10; 5/2; 27/11; 12/5; 28/13; 5/2; 5/2; 12/5; 27/11; ; 12/5; 11/5; 
META; english/league-1/southend-v-walsall; 2018-03-02 17:44:52 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Southend; 21/20; 21/20; 21/20; 21/20; 53/50; 11/10; 1; 1; 21/20; 21/20; 20/21; 10/11; 11/10; 1; 1; 1; 11/10; 21/20; 1; 21/20; 21/20; 1; ; ; ; 
Draw; 5/2; 12/5; 9/4; 12/5; 5/2; 5/2; 23/10; 12/5; 40/17; 23/10; 12/5; 23/10; 12/5; 23/10; 12/5; 12/5; 40/17; 5/2; 21/10; 40/17; 5/2; 47/20; 40/17; 23/10; 23/10; 12/5
Walsall; 3; 13/5; 13/5; 13/5; 73/25; 29/10; 13/5; 11/4; 14/5; 27/10; 13/5; 3; 5/2; 11/4; 11/4; 11/4; 5/2; 3; 14/5; 13/5; 14/5; 11/4; 14/5; 14/5; 14/5; 
META; english/league-1/southend-v-walsall; 2018-03-02 22:22:28 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Southend; 21/20; 21/20; 1; 21/20; 51/50; 11/10; 21/20; 1; 1; 21/20; 20/21; 10/11; 1; 1; 1; 68/67; 1; 21/20; 1; 1; 20/21; ; ; ; 
Draw; 5/2; 12/5; 12/5; 63/25; 5/2; 12/5; 12/5; 40/17; 23/10; 12/5; 12/5; 12/5; 47/20; 12/5; 12/5; 40/17; 5/2; 12/5; 40/17; 5/2; 47/20; 12/5; 12/5; 5/2; 12/5
Walsall; 3; 13/5; 13/5; 61/20; 29/10; 11/4; 11/4; 14/5; 14/5; 13/5; 14/5; 3; 14/5; 14/5; 11/4; 14/5; 5/2; 13/5; 14/5; 11/4; 59/20; 37/13; 14/5; 14/5; 3
META; english/league-1/southend-v-walsall; 2018-03-03 02:22:10 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Southend; 21/20; 1; 21/20; 51/50; 11/10; 21/20; 1; 1; 20/21; 10/11; 1; 1; 1; 68/67; 1; 21/20; 1; 1; 20/21; ; ; ; ; ; 
Draw; 5/2; 12/5; 12/5; 63/25; 5/2; 12/5; 12/5; 40/17; 23/10; 12/5; 12/5; 12/5; 47/20; 12/5; 12/5; 40/17; 5/2; 12/5; 40/17; 5/2; 47/20; 12/5; 12/5; 5/2; 12/5
Walsall; 3; 14/5; 13/5; 61/20; 29/10; 11/4; 11/4; 14/5; 14/5; 11/4; 14/5; 3; 14/5; 14/5; 14/5; 14/5; 5/2; 13/5; 14/5; 11/4; 59/20; 37/13; 14/5; 14/5; 3
META; english/league-1/southend-v-walsall; 2018-03-03 10:22:41 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Southend; 21/20; 21/20; 1; 21/20; 103/00; 11/10; 1; 15/16; 1; 20/21; 21/20; 21/20; 1; 1; 68/67; 15/16; 21/20; 1; 1; 21/20; 1; ; ; ; 
Draw; 5/2; 12/5; 12/5; 5/2; 5/2; 12/5; 12/5; 27/11; 23/10; 12/5; 12/5; 12/5; 47/20; 12/5; 12/5; 40/17; 5/2; 12/5; 27/11; 5/2; 47/20; 12/5; 23/10; 23/10; 12/5
Walsall; 3; 13/5; 13/5; 61/20; 29/10; 11/4; 11/4; 29/10; 14/5; 11/4; 14/5; 13/5; 27/10; 14/5; 11/4; 14/5; 5/2; 13/5; 29/10; 11/4; 59/20; 14/5; 14/5; 14/5; 14/5
META; english/league-1/southend-v-walsall; 2018-03-03 14:21:42 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Southend; 19/20; 17/20; 20/23; 19/20; 23/25; 19/20; 10/11; 5/6; 16/19; 20/23; 9/10; 5/6; 10/11; 9/10; 17/20; 10/11; 9/10; 8/9; 16/19; 20/23; 9/10; 10/11; 10/11; 10/11; 9/10; 
Draw; 5/2; 5/2; 12/5; 5/2; 129/0; 13/5; 5/2; 12/5; 5/2; 12/5; 5/2; 5/2; 5/2; 49/20; 5/2; 12/5; 12/5; 12/5; 27/11; 5/2; 13/5; 49/20; 27/11; 12/5; 5/2; 5/2
Walsall; 7/2; 10/3; 16/5; 14/5; 69/20; 10/3; 16/5; 16/5; 33/10; 16/5; 16/5; 10/3; 3; 16/5; 16/5; 16/5; 58/19; 3; 56/19; 33/10; 33/10; 16/5; 31/10; 3; 10/3; 10/3
META; english/league-1/southend-v-walsall; 2018-03-03 18:22:12 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Draw; 12/5; 5/2; 23/10; 5/2; 67/50; 12/5; 5/2; 23/10; 42/41; 12/5; 11/5; 21/10; 47/20; 9/4; 1; 23/10; 28/13; 49/20; 1; 5/2; 12/5
Walsall; 1/2; 1/2; 1/2; 4/9; 15/4; 8/15; 1/2; 4/9; 39/10; 4/7; 8/15; 1/2; 8/15; 1/2; 77/19; 5/11; 6/11; 1/2; 77/19; 4/7; 4/11
Southend; 17/2; 10; 9; 29/20; 17/2; 19/2; 9; 17/11; 8; 13/2; 15/2; 15/2; 15/2; 28/17; 8; 61/10; 17/2; 28/17; 41/5; 47/5; 
