META; english/league-1/scunthorpe-v-bradford; 2018-05-02 14:20:42 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Scunthorpe; 5/6; 10/11; 8/11; 87/00; 20/23; 17/20; 5/6; 5/6; 20/23; 9/10; 17/20; 5/6; 4/5; 11/13; 20/23; 13/15; 4/5; 5/6
Draw; 5/2; 12/5; 13/5; 13/5; 13/5; 5/2; 5/2; 23/10; 12/5; 49/20; 5/2; 12/5; 5/2; 28/11; 13/5; 27/11; 12/5; 5/2
Bradford; 10/3; 3; 16/5; 67/20; 10/3; 16/5; 16/5; 3; 10/3; 29/10; 10/3; 41/13; 10/3; 37/13; 16/5; 41/13; 3; 
META; english/league-1/scunthorpe-v-bradford; 2018-05-02 18:21:06 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Scunthorpe; 5/6; 17/20; 8/11; 22/25; 20/23; 5/6; 5/6; 5/6; 20/23; 10/11; 9/10; 10/11; 17/20; 5/6; 4/5; 11/13; 20/23; 5/6; 4/5; 5/6
Draw; 5/2; 5/2; 13/5; 129/0; 13/5; 5/2; 5/2; 23/10; 12/5; 5/2; 49/20; 5/2; 5/2; 27/11; 5/2; 28/11; 13/5; 5/2; 12/5; 13/5
Bradford; 10/3; 16/5; 16/5; 67/20; 10/3; 16/5; 16/5; 3; 10/3; 14/5; 29/10; 3; 10/3; 16/5; 10/3; 37/13; 16/5; 16/5; 3; 10/3
META; english/league-1/scunthorpe-v-bradford; 2018-05-02 22:20:54 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Scunthorpe; 5/6; 17/20; 8/11; 22/25; 20/23; 5/6; 5/6; 6/7; 5/6; 20/23; 10/11; 9/10; 10/11; 17/20; 5/6; 4/5; 11/13; 6/7; 20/23; 13/15; 4/5; 5/6
Draw; 5/2; 5/2; 13/5; 129/0; 13/5; 5/2; 5/2; 28/11; 23/10; 12/5; 5/2; 49/20; 5/2; 5/2; 5/2; 5/2; 28/11; 28/11; 13/5; 28/11; 12/5; 13/5
Bradford; 10/3; 16/5; 16/5; 67/20; 10/3; 16/5; 16/5; 31/10; 3; 10/3; 14/5; 29/10; 3; 10/3; 16/5; 10/3; 37/13; 31/10; 16/5; 13/4; 3; 10/3
META; english/league-1/scunthorpe-v-bradford; 2018-05-03 02:20:47 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Scunthorpe; 5/6; 17/20; 8/11; 22/25; 20/23; 5/6; 5/6; 6/7; 5/6; 20/23; 10/11; 17/20; 10/11; 17/20; 5/6; 4/5; 11/13; 6/7; 20/23; 13/15; 8/11; 5/6
Draw; 5/2; 5/2; 13/5; 129/0; 13/5; 5/2; 5/2; 28/11; 23/10; 12/5; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 28/11; 28/11; 13/5; 28/11; 9/4; 13/5
Bradford; 10/3; 16/5; 16/5; 67/20; 10/3; 16/5; 16/5; 31/10; 3; 10/3; 14/5; 29/10; 3; 10/3; 16/5; 10/3; 37/13; 31/10; 16/5; 13/4; 27/10; 10/3
META; english/league-1/scunthorpe-v-bradford; 2018-05-03 10:20:49 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Scunthorpe; 5/6; 17/20; 8/11; 22/25; 20/23; 5/6; 5/6; 16/19; 5/6; 20/23; 10/11; 9/10; 10/11; 17/20; 13/15; 4/5; 11/13; 16/19; 20/23; 13/15; 8/11
Draw; 5/2; 5/2; 13/5; 129/0; 13/5; 5/2; 5/2; 28/11; 23/10; 12/5; 5/2; 49/20; 13/5; 5/2; 27/11; 5/2; 28/11; 28/11; 13/5; 5/2; 9/4
Bradford; 10/3; 16/5; 16/5; 67/20; 10/3; 16/5; 16/5; 16/5; 3; 10/3; 14/5; 29/10; 16/5; 10/3; 16/5; 10/3; 37/13; 16/5; 16/5; 13/4; 27/10
META; english/league-1/scunthorpe-v-bradford; 2018-05-03 14:21:02 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Scunthorpe; 5/6; 17/20; 20/23; 8/11; 22/25; 9/10; 5/6; 5/6; 16/19; 20/23; 5/6; 20/23; 10/11; 17/20; 10/11; 17/20; 13/15; 4/5; 11/13; 16/19; 20/23; 13/15; 5/6; 5/6
Draw; 5/2; 5/2; 12/5; 13/5; 129/0; 13/5; 5/2; 5/2; 28/11; 5/2; 23/10; 12/5; 5/2; 49/20; 13/5; 5/2; 5/2; 5/2; 28/11; 28/11; 13/5; 5/2; 23/10; 13/5
Bradford; 10/3; 16/5; 16/5; 16/5; 10/3; 17/5; 16/5; 16/5; 16/5; 16/5; 3; 10/3; 14/5; 29/10; 16/5; 10/3; 13/4; 10/3; 37/13; 16/5; 16/5; 13/4; 14/5; 10/3
META; english/league-1/scunthorpe-v-bradford; 2018-05-03 18:21:01 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Scunthorpe; 5/6; 17/20; 20/23; 8/11; 22/25; 9/10; 5/6; 5/6; 16/19; 20/23; 17/20; 20/23; 10/11; 17/20; 10/11; 17/20; 13/15; 4/5; 7/8; 16/19; 20/23; 13/15; 5/6; 5/6; 5/6
Draw; 5/2; 5/2; 12/5; 13/5; 129/0; 13/5; 5/2; 5/2; 28/11; 5/2; 5/2; 12/5; 5/2; 49/20; 13/5; 5/2; 27/11; 5/2; 13/5; 28/11; 13/5; 5/2; 23/10; 13/5; 13/5
Bradford; 10/3; 16/5; 16/5; 16/5; 10/3; 17/5; 16/5; 16/5; 16/5; 16/5; 16/5; 10/3; 14/5; 29/10; 16/5; 10/3; 16/5; 10/3; 16/5; 16/5; 13/4; 14/5; 3; 10/3; 
META; english/league-1/scunthorpe-v-bradford; 2018-05-03 22:20:55 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Scunthorpe; 5/6; 17/20; 20/23; 8/11; 22/25; 9/10; 5/6; 5/6; 16/19; 20/23; 17/20; 20/23; 10/11; 17/20; 10/11; 17/20; 13/15; 4/5; 7/8; 16/19; 20/23; 13/15; 5/6; 5/6; 5/6
Draw; 5/2; 5/2; 12/5; 13/5; 129/0; 13/5; 5/2; 5/2; 28/11; 5/2; 5/2; 12/5; 5/2; 49/20; 13/5; 5/2; 27/11; 5/2; 13/5; 28/11; 13/5; 5/2; 23/10; 13/5; 13/5
Bradford; 10/3; 16/5; 16/5; 16/5; 10/3; 17/5; 16/5; 16/5; 16/5; 16/5; 16/5; 10/3; 14/5; 29/10; 16/5; 10/3; 16/5; 10/3; 16/5; 16/5; 13/4; 3; 10/3; ; 
META; english/league-1/scunthorpe-v-bradford; 2018-05-04 02:20:41 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Scunthorpe; 5/6; 17/20; 20/23; 8/11; 22/25; 9/10; 5/6; 5/6; 16/19; 20/23; 17/20; 20/23; 10/11; 17/20; 10/11; 17/20; 13/15; 4/5; 7/8; 16/19; 20/23; 13/15; 8/11; 5/6; 5/6
Draw; 5/2; 5/2; 12/5; 13/5; 129/0; 13/5; 5/2; 5/2; 28/11; 5/2; 5/2; 12/5; 5/2; 49/20; 13/5; 5/2; 5/2; 5/2; 13/5; 28/11; 13/5; 5/2; 2; 13/5; 13/5
Bradford; 10/3; 16/5; 16/5; 16/5; 10/3; 17/5; 16/5; 16/5; 16/5; 16/5; 16/5; 10/3; 14/5; 29/10; 16/5; 10/3; 16/5; 10/3; 37/13; 16/5; 16/5; 13/4; 13/5; 10/3; 10/3
META; english/league-1/scunthorpe-v-bradford; 2018-05-04 10:20:42 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Scunthorpe; 17/20; 17/20; 20/23; 10/11; 22/25; 9/10; 17/20; 5/6; 16/19; 20/23; 17/20; 20/23; 10/11; 17/20; 10/11; 17/20; 5/6; 4/5; 7/8; 16/19; 20/23; 13/15; 8/11; 5/6; 5/6
Draw; 11/4; 5/2; 12/5; 12/5; 13/5; 13/5; 5/2; 5/2; 28/11; 5/2; 13/5; 12/5; 5/2; 49/20; 13/5; 5/2; 5/2; 5/2; 13/5; 28/11; 27/10; 28/11; 2; 13/5; 13/5
Bradford; 7/2; 16/5; 16/5; 3; 33/10; 17/5; 16/5; 16/5; 16/5; 16/5; 16/5; 10/3; 14/5; 29/10; 16/5; 16/5; 13/4; 10/3; 37/13; 16/5; 31/10; 13/4; 13/5; 10/3; 10/3
META; english/league-1/scunthorpe-v-bradford; 2018-05-04 14:21:01 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Scunthorpe; 17/20; 10/11; 20/23; 10/11; 22/25; 9/10; 17/20; 5/6; 16/19; 20/23; 17/20; 20/23; 10/11; 10/11; 10/11; 17/20; 13/15; 4/5; 7/8; 16/19; 9/10; 13/15; 5/6; 5/6; 5/6; 5/6
Draw; 11/4; 5/2; 12/5; 12/5; 66/25; 13/5; 5/2; 5/2; 28/11; 5/2; 13/5; 12/5; 5/2; 49/20; 13/5; 5/2; 5/2; 5/2; 13/5; 28/11; 11/4; 28/11; 5/2; 12/5; 13/5; 13/5
Bradford; 7/2; 3; 16/5; 3; 13/4; 17/5; 3; 16/5; 16/5; 16/5; 16/5; 10/3; 14/5; 14/5; 16/5; 16/5; 16/5; 10/3; 37/13; 16/5; 31/10; 16/5; 3; 10/3; 7/2; 
META; english/league-1/scunthorpe-v-bradford; 2018-05-04 18:21:08 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Scunthorpe; 17/20; 10/11; 20/23; 10/11; 22/25; 9/10; 17/20; 5/6; 16/19; 20/23; 17/20; 20/23; 10/11; 10/11; 10/11; 17/20; 13/15; 4/5; 7/8; 16/19; 9/10; 13/15; 5/6; 5/6; 5/6; 5/6
Draw; 11/4; 5/2; 12/5; 12/5; 66/25; 13/5; 5/2; 5/2; 28/11; 5/2; 13/5; 12/5; 5/2; 49/20; 13/5; 5/2; 5/2; 5/2; 13/5; 28/11; 11/4; 28/11; 5/2; 5/2; 13/5; 13/5
Bradford; 7/2; 3; 16/5; 3; 13/4; 17/5; 3; 16/5; 16/5; 16/5; 16/5; 10/3; 14/5; 14/5; 16/5; 16/5; 16/5; 10/3; 37/13; 16/5; 31/10; 16/5; 3; 10/3; 7/2; 
META; english/league-1/scunthorpe-v-bradford; 2018-05-04 22:21:00 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Scunthorpe; 17/20; 10/11; 20/23; 10/11; 22/25; 9/10; 17/20; 5/6; 16/19; 20/23; 17/20; 20/23; 10/11; 10/11; 10/11; 17/20; 13/15; 4/5; 7/8; 16/19; 9/10; 13/15; 5/6; 5/6; 5/6; 5/6
Draw; 11/4; 5/2; 12/5; 12/5; 66/25; 13/5; 5/2; 5/2; 28/11; 5/2; 13/5; 12/5; 5/2; 49/20; 13/5; 5/2; 5/2; 5/2; 13/5; 28/11; 11/4; 28/11; 5/2; 12/5; 13/5; 13/5
Bradford; 7/2; 3; 16/5; 3; 13/4; 17/5; 3; 16/5; 16/5; 16/5; 16/5; 10/3; 14/5; 14/5; 16/5; 16/5; 16/5; 10/3; 37/13; 16/5; 31/10; 16/5; 3; 10/3; 10/3; 7/2
META; english/league-1/scunthorpe-v-bradford; 2018-05-05 02:20:49 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Scunthorpe; 17/20; 10/11; 20/23; 10/11; 22/25; 9/10; 20/23; 5/6; 16/19; 20/23; 17/20; 20/23; 10/11; 10/11; 10/11; 17/20; 13/15; 4/5; 7/8; 16/19; 9/10; 13/15; 5/6; 5/6; 5/6; 5/6
Draw; 11/4; 5/2; 12/5; 12/5; 66/25; 13/5; 5/2; 5/2; 28/11; 5/2; 5/2; 12/5; 5/2; 49/20; 13/5; 5/2; 5/2; 5/2; 13/5; 28/11; 11/4; 28/11; 5/2; 12/5; 13/5; 5/2
Bradford; 7/2; 3; 16/5; 3; 13/4; 17/5; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 14/5; 14/5; 16/5; 16/5; 16/5; 10/3; 37/13; 16/5; 31/10; 16/5; 3; 10/3; 10/3; 7/2
META; english/league-1/scunthorpe-v-bradford; 2018-05-05 10:20:53 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Scunthorpe; 17/20; 17/20; 20/23; 10/11; 22/25; 9/10; 20/23; 5/6; 16/19; 20/23; 17/20; 20/23; 10/11; 9/10; 10/11; 17/20; 5/6; 4/5; 7/8; 16/19; 20/23; 13/15; 5/6; 5/6; 5/6; 5/6
Draw; 11/4; 5/2; 12/5; 12/5; 66/25; 13/5; 5/2; 5/2; 28/11; 5/2; 13/5; 12/5; 5/2; 49/20; 13/5; 5/2; 5/2; 5/2; 13/5; 28/11; 11/4; 28/11; 5/2; 5/2; 13/5; 13/5
Bradford; 7/2; 16/5; 16/5; 3; 13/4; 17/5; 16/5; 16/5; 16/5; 16/5; 16/5; 16/5; 14/5; 29/10; 16/5; 16/5; 16/5; 10/3; 37/13; 16/5; 31/10; 13/4; 3; 10/3; 10/3; 7/2
META; english/league-1/scunthorpe-v-bradford; 2018-05-05 14:21:43 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Scunthorpe; 17/20; 17/20; 20/23; 10/11; 87/00; 9/10; 20/23; 5/6; 16/19; 20/23; 20/23; 10/11; 9/10; 10/11; 17/20; 5/6; 4/5; 7/8; 16/19; 20/23; 13/15; 5/6; 5/6; 5/6; 5/6; 
Draw; 11/4; 5/2; 12/5; 12/5; 131/0; 13/5; 5/2; 5/2; 28/11; 5/2; 13/5; 12/5; 5/2; 49/20; 13/5; 5/2; 5/2; 5/2; 13/5; 28/11; 11/4; 28/11; 5/2; 5/2; 13/5; 5/2
Bradford; 7/2; 3; 16/5; 3; 10/3; 17/5; 16/5; 16/5; 16/5; 16/5; 16/5; 3; 14/5; 16/5; 16/5; 16/5; 10/3; 37/13; 16/5; 16/5; 13/4; 3; 7/2; 10/3; 7/2; 
META; english/league-1/scunthorpe-v-bradford; 2018-05-05 18:21:01 GMT+3; 2018-05-05 17:30; Nothing; Xlenovo
Scunthorpe; 17/20; 17/20; 4/5; 5/6; 41/50; 17/20; 5/6; 4/5; 4/5; 4/5; 4/5; 5/6; 5/6; 5/6; 17/20; 4/5; 4/5; 4/5; 9/11; 4/5; 4/5; 4/5; 8/11; 5/6; 4/5; 5/6
Draw; 13/5; 5/2; 13/5; 5/2; 137/0; 13/5; 13/5; 5/2; 28/11; 13/5; 13/5; 5/2; 13/5; 5/2; 13/5; 13/5; 13/5; 5/2; 45/17; 28/11; 11/4; 45/17; 13/5; 13/5; 11/4; 13/5
Bradford; 15/4; 10/3; 17/5; 10/3; 69/20; 18/5; 10/3; 10/3; 17/5; 17/5; 10/3; 16/5; 3; 7/2; 10/3; 57/17; 10/3; 3; 17/5; 7/2; 17/5; 10/3; 7/2; 7/2; 7/2; 
