META; english/league-1/portsmouth-v-oxford; 2018-03-18 18:21:32 GMT+2; 2018-03-25 16:00; Nothing; Xlenovo
Portsmouth; 4/5; 8/11; 17/20; 3/4; 8/11; 3/4; 3/4; 10/13; 3/4; 10/13; 8/15
Draw; 11/4; 11/4; 72/25; 11/4; 13/5; 11/4; 13/5; 13/5; 11/4; 45/17; 2
Oxford; 16/5; 7/2; 17/5; 16/5; 10/3; 7/2; 7/2; 31/10; 15/4; 41/13; 17/10
META; english/league-1/portsmouth-v-oxford; 2018-03-19 02:33:03 GMT+2; 2018-03-25 16:00; Nothing; Xlenovo
Portsmouth; 4/5; 8/11; 20/23; 89/00; 5/6; 4/5; 20/23; 5/6; 20/23; 5/6; 5/6; 8/9; 20/23; 5/6; 5/6; 8/11
Draw; 11/4; 11/4; 5/2; 68/25; 13/5; 12/5; 12/5; 11/4; 5/2; 13/5; 12/5; 28/11; 27/10; 51/20; 27/11; 19/10
Oxford; 16/5; 7/2; 3; 17/5; 16/5; 3; 16/5; 3; 58/19; 27/10; 31/10; 16/5; 58/19; 11/5; ; 
META; english/league-1/portsmouth-v-oxford; 2018-03-19 10:33:10 GMT+2; 2018-03-25 16:00; Nothing; Xlenovo
Portsmouth; 4/5; 8/11; 20/23; 89/00; 5/6; 8/11; 16/19; 20/23; 5/6; 20/23; 10/11; 5/6; 5/6; 7/9; 8/9; 16/19; 20/23; 5/6; 5/6; 4/6; 5/6
Draw; 11/4; 11/4; 5/2; 68/25; 13/5; 5/2; 13/5; 12/5; 11/4; 5/2; 5/2; 13/5; 27/11; 27/10; 28/11; 13/5; 27/10; 51/20; 27/11; 2; 9/4
Oxford; 16/5; 7/2; 3; 17/5; 16/5; 3; 31/10; 3; 16/5; 3; 3; 16/5; 27/10; 31/10; 31/10; 16/5; 58/19; 23/10; 14/5; ; 
META; english/league-1/portsmouth-v-oxford; 2018-03-19 14:33:17 GMT+2; 2018-03-25 16:00; Nothing; Xlenovo
Portsmouth; 4/5; 8/11; 20/23; 10/11; 10/11; 5/6; 8/11; 16/19; 20/23; 5/6; 10/11; 10/11; 10/11; 5/6; 5/6; 7/9; 8/9; 16/19; 20/23; 5/6; 5/6; 8/11; 5/6
Draw; 11/4; 11/4; 12/5; 5/2; 13/5; 5/2; 5/2; 13/5; 12/5; 11/4; 12/5; 12/5; 5/2; 5/2; 27/11; 27/10; 28/11; 13/5; 27/10; 51/20; 27/11; 2; 13/5
Oxford; 16/5; 7/2; 16/5; 3; 69/20; 16/5; 3; 31/10; 16/5; 16/5; 16/5; 3; 16/5; 3; 16/5; 27/10; 31/10; 31/10; 16/5; 58/19; 23/10; 10/3; 
META; english/league-1/portsmouth-v-oxford; 2018-03-19 18:33:18 GMT+2; 2018-03-25 16:00; Nothing; Xlenovo
Portsmouth; 4/5; 3/4; 20/23; 10/11; 10/11; 17/20; 5/6; 8/11; 16/19; 17/20; 5/6; 10/11; 5/6; 17/20; 10/11; 5/6; 5/6; 7/9; 8/9; 16/19; 20/23; 5/6; 5/6; 4/5; 5/6; 5/6
Draw; 11/4; 13/5; 12/5; 5/2; 13/5; 11/4; 5/2; 5/2; 28/11; 12/5; 11/4; 12/5; 5/2; 49/20; 5/2; 5/2; 27/11; 27/10; 28/11; 28/11; 27/10; 51/20; 27/11; 5/2; 21/10; 13/5
Oxford; 16/5; 18/5; 16/5; 3; 69/20; 16/5; 16/5; 3; 16/5; 16/5; 16/5; 16/5; 3; 16/5; 3; 16/5; 3; 16/5; 27/10; 16/5; 31/10; 16/5; 58/19; 14/5; 14/5; 10/3
META; english/league-1/portsmouth-v-oxford; 2018-03-19 22:33:18 GMT+2; 2018-03-25 16:00; Nothing; Xlenovo
Portsmouth; 4/5; 3/4; 20/23; 10/11; 10/11; 17/20; 5/6; 8/11; 16/19; 17/20; 5/6; 10/11; 5/6; 17/20; 10/11; 5/6; 5/6; 7/9; 8/9; 16/19; 20/23; 5/6; 5/6; 8/11; 5/6; 5/6
Draw; 11/4; 13/5; 12/5; 5/2; 13/5; 11/4; 5/2; 5/2; 28/11; 12/5; 11/4; 12/5; 5/2; 49/20; 5/2; 5/2; 27/11; 27/10; 28/11; 28/11; 27/10; 51/20; 27/11; 5/2; 21/10; 13/5
Oxford; 16/5; 18/5; 16/5; 3; 69/20; 16/5; 16/5; 3; 16/5; 16/5; 16/5; 16/5; 3; 16/5; 3; 16/5; 3; 16/5; 27/10; 16/5; 31/10; 16/5; 58/19; 3; 14/5; 10/3
META; english/league-1/portsmouth-v-oxford; 2018-03-20 02:33:24 GMT+2; 2018-03-25 16:00; Nothing; Xlenovo
Portsmouth; 4/5; 17/20; 20/23; 10/11; 10/11; 17/20; 5/6; 8/11; 16/19; 17/20; 5/6; 10/11; 5/6; 17/20; 10/11; 17/20; 5/6; 7/9; 8/9; 16/19; 20/23; 5/6; 5/6; 8/11; 10/11; 5/6
Draw; 11/4; 5/2; 12/5; 5/2; 13/5; 11/4; 5/2; 5/2; 28/11; 12/5; 11/4; 12/5; 5/2; 49/20; 5/2; 5/2; 27/11; 27/10; 28/11; 28/11; 27/10; 51/20; 27/11; 5/2; 13/5; 13/5
Oxford; 16/5; 10/3; 16/5; 3; 69/20; 16/5; 16/5; 3; 16/5; 16/5; 16/5; 16/5; 3; 16/5; 3; 3; 16/5; 27/10; 16/5; 31/10; 16/5; 58/19; 10/3; 7/2; 10/3; 
META; english/league-1/portsmouth-v-oxford; 2018-03-20 10:33:31 GMT+2; 2018-03-25 16:00; Nothing; Xlenovo
Portsmouth; 4/5; 17/20; 20/23; 10/11; 10/11; 17/20; 5/6; 8/11; 16/19; 17/20; 5/6; 10/11; 5/6; 17/20; 4/5; 17/20; 5/6; 7/9; 8/9; 16/19; 20/23; 5/6; 5/6; 8/11; 10/11; 5/6
Draw; 11/4; 5/2; 12/5; 5/2; 13/5; 11/4; 5/2; 5/2; 28/11; 12/5; 11/4; 12/5; 5/2; 49/20; 23/10; 5/2; 27/11; 27/10; 28/11; 28/11; 27/10; 51/20; 27/11; 5/2; 13/5; 13/5
