META; english/league-1/peterborough-v-rochdale; 2018-04-08 14:23:01 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Peterborough; 1; 6/5; 27/25; 21/20; 10/11; 1; 11/10; 19/20; 21/20; 1; 4/6; 21/20
Draw; 12/5; 9/4; 63/25; 23/10; 23/10; 12/5; 12/5; 23/10; 12/5; 23/10; 19/10; 12/5
Rochdale; 11/4; 21/10; 71/25; 5/2; 13/5; 11/4; 5/2; 45/17; 14/5; 45/17; 13/8; 27/10
META; english/league-1/peterborough-v-rochdale; 2018-04-08 18:22:33 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Peterborough; 1; 6/5; 27/25; 21/20; 10/11; 1; 21/20; 19/20; 21/20; 1; 5/6; 1; 
Draw; 12/5; 9/4; 63/25; 23/10; 23/10; 12/5; 12/5; 12/5; 23/10; 12/5; 40/17; 19/10; 12/5
Rochdale; 11/4; 21/10; 71/25; 13/5; 13/5; 11/4; 11/4; 13/5; 13/5; 14/5; 45/17; 12/5; 27/10
META; english/league-1/peterborough-v-rochdale; 2018-04-08 22:22:43 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Peterborough; 1; 6/5; 27/25; 21/20; 10/11; 1; 21/20; 19/20; 21/20; 1; 8/11; 21/20; 
Draw; 12/5; 9/4; 63/25; 23/10; 23/10; 12/5; 12/5; 12/5; 23/10; 12/5; 40/17; 19/10; 12/5
Rochdale; 11/4; 21/10; 71/25; 13/5; 13/5; 11/4; 11/4; 13/5; 13/5; 14/5; 45/17; 7/4; 27/10
META; english/league-1/peterborough-v-rochdale; 2018-04-09 02:22:36 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Peterborough; 1; 6/5; 27/25; 21/20; 10/11; 1; 21/20; 19/20; 21/20; 1; 8/11; 21/20; 
Draw; 12/5; 9/4; 63/25; 23/10; 23/10; 12/5; 12/5; 12/5; 23/10; 12/5; 40/17; 19/10; 12/5
Rochdale; 11/4; 21/10; 71/25; 13/5; 13/5; 11/4; 11/4; 13/5; 13/5; 11/4; 45/17; 7/4; 27/10
META; english/league-1/peterborough-v-rochdale; 2018-04-09 10:22:41 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Peterborough; 1; 27/25; 1; 10/11; 1; 1; 19/20; 1; 19/20; 1; 20/21; 1; 8/11; 21/20; ; ; 
Draw; 12/5; 9/4; 63/25; 23/10; 5/2; 27/11; 5/2; 13/5; 5/2; 5/2; 40/17; 23/10; 27/11; 5/2; 40/17; 11/5; 12/5
Rochdale; 11/4; 11/4; 71/25; 11/4; 13/5; 27/10; 11/4; 5/2; 14/5; 13/5; 13/5; 27/10; 27/10; 29/10; 45/17; 19/10; 27/10
META; english/league-1/peterborough-v-rochdale; 2018-04-09 14:22:54 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Peterborough; 1; 19/20; 27/25; 1; 10/11; 1; 1; 19/20; 1; 19/20; 1; 20/21; 1; 8/11; 1; ; ; 
Draw; 12/5; 9/4; 23/10; 63/25; 23/10; 5/2; 27/11; 5/2; 12/5; 5/2; 12/5; 40/17; 23/10; 27/11; 5/2; 40/17; 11/5; 12/5
Rochdale; 11/4; 11/4; 13/5; 71/25; 11/4; 13/5; 27/10; 11/4; 11/4; 14/5; 11/4; 13/5; 27/10; 27/10; 29/10; 45/17; 2; 27/10
META; english/league-1/peterborough-v-rochdale; 2018-04-09 18:22:46 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Peterborough; 31/20; 11/8; 8/5; 159/100; 31/20; 6/4; 6/4; 17/11; 8/5; 31/20; 8/5; 8/5; 6/4; 6/4; 16/11; 17/12; 17/11; 31/20; 6/4; 1; 6/4
Rochdale; 7/4; 15/8; 8/5; 44/25; 17/10; 17/10; 8/5; 7/4; 17/10; 17/10; 13/8; 13/8; 17/10; 8/5; 9/5; 14/9; 7/4; 13/8; 28/17; 4/11; 17/10
Draw; 9/4; 12/5; 12/5; 13/5; 5/2; 23/10; 12/5; 9/4; 12/5; 12/5; 12/5; 12/5; 12/5; 23/10; 9/4; 13/5; 9/4; 13/5; 23/10; 11/5; 5/2
