META; english/league-1/shrewsbury-v-peterborough; 2018-02-25 14:20:37 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Shrewsbury; 5/4; 6/5; ; ; 27/20; ; 5/4; 11/10; ; ; 5/4; ; ; ; 6/5; 5/4; ; ; ; ; 13/10; 6/5; 6/5; ; ; 8/11; ; 
Peterborough; 11/5; 11/5; ; ; 57/25; ; 11/5; 21/10; ; ; 9/4; ; ; ; 11/5; 11/5; ; ; ; ; 23/10; 23/10; 11/5; ; ; 5/4; ; 
Draw; 9/4; 12/5; ; ; 119/50; ; 9/4; 11/5; ; ; 23/10; ; ; ; 12/5; 23/10; ; ; ; ; 23/10; 12/5; 9/4; ; ; 19/10; ; 
META; english/league-1/shrewsbury-v-peterborough; 2018-02-25 18:20:36 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Shrewsbury; 11/10; 6/5; 6/5; ; 61/50; ; 6/5; 11/10; ; 6/5; 23/20; ; 5/4; ; 6/5; 6/5; 15/13; ; ; ; 6/5; 23/20; 11/10; 15/13; ; 8/11; ; 
Draw; 9/4; 12/5; 21/10; ; 59/25; ; 9/4; 11/5; ; 21/10; 23/10; ; 11/5; ; 23/10; 9/4; 28/13; ; ; ; 23/10; 12/5; 9/4; 28/13; ; 19/10; ; 
Peterborough; 5/2; 11/5; 12/5; ; 13/5; ; 23/10; 9/4; ; 12/5; 5/2; ; 23/10; ; 23/10; 12/5; 23/10; ; ; ; 5/2; 12/5; 5/2; 40/17; ; 19/10; ; 
META; english/league-1/shrewsbury-v-peterborough; 2018-02-25 22:20:36 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Shrewsbury; 11/10; 6/5; 6/5; ; 5/4; ; 6/5; 11/10; ; 23/20; 23/20; ; 5/4; ; 6/5; 11/10; 15/13; ; 9/8; ; 6/5; 23/20; 23/20; 15/13; ; 5/6; ; 
Draw; 9/4; 12/5; 11/5; ; 12/5; ; 9/4; 21/10; ; 21/10; 23/10; ; 11/5; ; 23/10; 23/10; 28/13; ; 9/4; ; 23/10; 12/5; 9/4; 11/5; ; 19/10; ; 
Peterborough; 5/2; 11/5; 12/5; ; 62/25; ; 23/10; 23/10; ; 12/5; 5/2; ; 23/10; ; 23/10; 12/5; 23/10; ; 21/10; ; 5/2; 12/5; 47/20; 23/10; ; 2; ; 
META; english/league-1/shrewsbury-v-peterborough; 2018-02-26 02:20:11 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Shrewsbury; 11/10; 6/5; 6/5; ; 5/4; ; 6/5; 11/10; ; 23/20; 23/20; 6/5; 5/4; ; 6/5; 6/5; 15/13; ; 9/8; ; 6/5; 23/20; 23/20; 15/13; ; 5/6; ; 
Draw; 9/4; 12/5; 11/5; ; 12/5; ; 9/4; 21/10; ; 21/10; 23/10; 11/5; 11/5; ; 23/10; 9/4; 28/13; ; 9/4; ; 23/10; 12/5; 9/4; 11/5; ; 19/10; ; 
Peterborough; 5/2; 11/5; 12/5; ; 62/25; ; 23/10; 23/10; ; 12/5; 5/2; 12/5; 23/10; ; 23/10; 12/5; 23/10; ; 21/10; ; 5/2; 12/5; 47/20; 23/10; ; 2; ; 
META; english/league-1/shrewsbury-v-peterborough; 2018-02-26 10:20:13 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Shrewsbury; 11/10; 6/5; 6/5; 23/20; 5/4; ; 6/5; 11/10; 13/12; 23/20; 23/20; 6/5; 5/4; ; 6/5; 6/5; 11/10; 11/10; 9/8; 13/12; 6/5; 23/20; 23/20; 15/13; ; 5/6; ; 
Draw; 9/4; 12/5; 11/5; 9/4; 12/5; ; 9/4; 21/10; 27/11; 21/10; 23/10; 11/5; 11/5; ; 23/10; 9/4; 11/5; 9/4; 9/4; 27/11; 23/10; 12/5; 9/4; 11/5; ; 19/10; ; 
Peterborough; 5/2; 11/5; 12/5; 5/2; 62/25; ; 23/10; 23/10; 27/11; 12/5; 5/2; 12/5; 23/10; ; 23/10; 12/5; 23/10; 5/2; 21/10; 27/11; 5/2; 12/5; 47/20; 23/10; ; 2; ; 
META; english/league-1/shrewsbury-v-peterborough; 2018-02-26 14:20:51 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Shrewsbury; 11/10; 23/20; 15/13; 23/20; 31/25; ; 11/10; 1; 13/12; 23/20; 23/20; 23/20; 5/4; ; 6/5; 11/10; 11/10; 11/10; 9/8; 13/12; 23/20; 11/10; 11/10; ; 5/6; ; 
Draw; 9/4; 9/4; 11/5; 9/4; 119/50; ; 11/5; 11/5; 27/11; 21/10; 9/4; 23/10; 11/5; ; 23/10; 9/4; 11/5; 9/4; 9/4; 27/11; 9/4; 11/5; 9/4; ; 5/2; ; 
Peterborough; 5/2; 12/5; 5/2; 5/2; 63/25; ; 12/5; 12/5; 27/11; 5/2; 13/5; 12/5; 23/10; ; 23/10; 5/2; 40/17; 5/2; 21/10; 27/11; 13/5; 5/2; 40/17; ; 9/4; ; 
META; english/league-1/shrewsbury-v-peterborough; 2018-02-26 18:20:47 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Shrewsbury; 11/10; 11/10; 15/13; 23/20; 61/50; 11/10; 11/10; 1; 8/7; 23/20; 23/20; 23/20; 19/20; 23/20; 11/10; 11/10; 11/10; 11/10; 9/8; 8/7; 23/20; 11/10; 11/10; ; 1; 21/20; 
Draw; 9/4; 23/10; 11/5; 9/4; 58/25; 12/5; 11/5; 11/5; 11/5; 21/10; 23/10; 23/10; 12/5; 11/5; 9/4; 9/4; 28/13; 9/4; 9/4; 11/5; 23/10; 11/5; 28/13; ; 21/10; 21/10; 
Peterborough; 5/2; 13/5; 5/2; 5/2; 66/25; 13/5; 12/5; 12/5; 28/11; 5/2; 5/2; 12/5; 14/5; 13/5; 13/5; 5/2; 12/5; 5/2; 21/10; 28/11; 13/5; 5/2; 12/5; ; 23/10; 11/5; 
META; english/league-1/shrewsbury-v-peterborough; 2018-02-26 22:20:43 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Shrewsbury; 11/10; 11/10; 15/13; 23/20; 61/50; 11/10; 11/10; 1; 8/7; 23/20; 11/10; 23/20; 19/20; 23/20; 11/10; 11/10; 11/10; 11/10; 9/8; 8/7; 11/10; 11/10; 11/10; ; 1; 21/20; 
Draw; 9/4; 23/10; 21/10; 9/4; 58/25; 12/5; 11/5; 11/5; 11/5; 21/10; 23/10; 11/5; 12/5; 43/20; 9/4; 9/4; 28/13; 9/4; 9/4; 11/5; ; 11/5; 28/13; ; 11/5; 21/10; 
Peterborough; 5/2; 13/5; 13/5; 5/2; 66/25; 13/5; 12/5; 12/5; 28/11; 5/2; 13/5; 13/5; 14/5; 13/5; 13/5; 5/2; 12/5; 5/2; 21/10; 28/11; ; 5/2; 12/5; ; 12/5; 9/4; 
META; english/league-1/shrewsbury-v-peterborough; 2018-02-27 02:20:39 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Shrewsbury; 11/10; 11/10; 15/13; 23/20; 61/50; 11/10; 11/10; 1; 8/7; 23/20; 23/20; 23/20; 19/20; 23/20; 11/10; 11/10; 11/10; 11/10; 9/8; 8/7; 11/10; 11/10; 11/10; ; 11/10; 21/20; 
Draw; 9/4; 23/10; 11/5; 9/4; 12/5; 12/5; 11/5; 11/5; 11/5; 21/10; 23/10; 11/5; 12/5; 11/5; 9/4; 9/4; 28/13; 9/4; 9/4; 11/5; ; 11/5; 28/13; ; 11/5; 21/10; 
Peterborough; 5/2; 13/5; 5/2; 5/2; 64/25; 13/5; 12/5; 12/5; 28/11; 5/2; 5/2; 13/5; 14/5; 13/5; 13/5; 5/2; 12/5; 5/2; 21/10; 28/11; 27/10; 5/2; 12/5; ; 12/5; 11/5; 
META; english/league-1/shrewsbury-v-peterborough; 2018-02-27 10:20:40 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
Shrewsbury; 11/10; 11/10; 15/13; 23/20; 61/50; 11/10; 11/10; 1; 8/7; 23/20; 23/20; 23/20; 19/20; 23/20; 11/10; 11/10; 11/10; 11/10; 9/8; 8/7; 23/20; 11/10; 11/10; ; 21/20; 21/20; 
Draw; 9/4; 23/10; 11/5; 9/4; 58/25; 12/5; 11/5; 11/5; 11/5; 21/10; ; 11/5; 12/5; 11/5; 9/4; 9/4; 28/13; 9/4; 9/4; 11/5; ; 11/5; 28/13; ; 11/5; 21/10; 
Peterborough; 5/2; 13/5; 5/2; 5/2; 66/25; 13/5; 12/5; 12/5; 28/11; 5/2; 5/2; 13/5; 14/5; 13/5; 13/5; 5/2; 12/5; 5/2; 21/10; 28/11; 13/5; 5/2; 12/5; ; 12/5; 11/5; 
META; english/league-1/shrewsbury-v-peterborough; 2018-02-27 14:21:42 GMT+2; 2018-03-03 15:00; Nothing; Xlenovo
