META; english/league-1/shrewsbury-v-bury; 2018-04-15 14:21:44 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Shrewsbury; 4/9; 4/9; 2/11; 1/50
Draw; 16/5; 16/5; 19/10; 6/4
Bury; 6; 20/21; ; 
META; english/league-1/shrewsbury-v-bury; 2018-04-15 18:21:18 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Shrewsbury; 2/5; 2/5; 43/100; 2/5; 4/11; 1/3; 2/5; 2/5; 4/11; 2/5; 7/19; 4/11; 2/5
Draw; 7/2; 7/2; 73/20; 7/2; 7/2; 16/5; 7/2; 7/2; 57/17; 7/2; 17/5; 3; 7/2
Bury; 7; 8; 17/2; 7; 15/2; 15/2; 7; 13/2; 17/2; 13/2; 38/5; 39/5; 
META; english/league-1/shrewsbury-v-bury; 2018-04-15 22:21:26 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Shrewsbury; 2/5; 2/5; 9/20; 2/5; 2/5; 1/3; 2/5; 4/11; 2/5; 4/11; 2/5; 7/19; 4/11; 4/9
Draw; 7/2; 7/2; 73/20; 7/2; 7/2; 16/5; 7/2; 10/3; 7/2; 17/5; 18/5; 17/5; 3; 7/2
Bury; 7; 36/5; 17/2; 7; 15/2; 15/2; 9; 13/2; 8; 13/2; 38/5; 7; ; 
META; english/league-1/shrewsbury-v-bury; 2018-04-16 02:21:08 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Shrewsbury; 2/5; 2/5; 9/20; 2/5; 2/5; 1/3; 2/5; 4/11; 2/5; 4/11; 2/5; 7/19; 4/11; 4/9
Draw; 7/2; 7/2; 73/20; 7/2; 7/2; 16/5; 7/2; 10/3; 10/3; 17/5; 18/5; 17/5; 3; 7/2
Bury; 7; 36/5; 17/2; 7; 15/2; 15/2; 9; 15/2; 13/2; 8; 13/2; 38/5; 7; 
META; english/league-1/shrewsbury-v-bury; 2018-04-16 10:21:10 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Shrewsbury; 2/5; 2/5; 9/20; 2/5; 2/5; 1/3; 2/5; 2/5; 2/5; 2/5; 7/19; 2/5; 2/5; 2/5; 7/19; 4/11; 4/9
Draw; 7/2; 7/2; 73/20; 7/2; 7/2; 16/5; 18/5; 7/2; 10/3; 7/2; 17/5; 7/2; 18/5; 18/5; 38/11; 3; 7/2
Bury; 7; 36/5; 17/2; 7; 15/2; 13/2; 15/2; 15/2; 7; 25/4; 27/4; 13/2; 8; 25/4; 38/5; 7; 
META; english/league-1/shrewsbury-v-bury; 2018-04-16 14:21:47 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Shrewsbury; 2/5; 2/5; 9/20; 2/5; 2/5; 1/3; 2/5; 2/5; 2/5; 2/5; 2/5; 7/19; 2/5; 2/5; 2/5; 7/19; 3/10; 4/9
Draw; 7/2; 7/2; 73/20; 7/2; 7/2; 16/5; 18/5; 7/2; 16/5; 7/2; 10/3; 17/5; 7/2; 18/5; 7/2; 17/5; 11/4; 7/2
Bury; 7; 36/5; 17/2; 7; 15/2; 13/2; 15/2; 17/2; 7; 15/2; 13/2; 27/4; 13/2; 17/2; 13/2; 28/5; 34/5; 
META; english/league-1/shrewsbury-v-bury; 2018-04-16 18:22:01 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Shrewsbury; 2/5; 2/5; 9/20; 2/5; 2/5; 1/3; 2/5; 2/5; 2/5; 2/5; 2/5; 7/19; 2/5; 2/5; 2/5; 7/19; 3/10; 4/9
Draw; 7/2; 7/2; 73/20; 7/2; 7/2; 16/5; 18/5; 7/2; 16/5; 7/2; 10/3; 17/5; 7/2; 18/5; 7/2; 38/11; 14/5; 7/2
Bury; 7; 36/5; 17/2; 7; 15/2; 13/2; 15/2; 17/2; 7; 15/2; 25/4; 27/4; 13/2; 17/2; 13/2; 28/5; 7; 
META; english/league-1/shrewsbury-v-bury; 2018-04-16 22:21:57 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Shrewsbury; 2/5; 4/9; 9/20; 2/5; 2/5; 1/3; 2/5; 2/5; 2/5; 2/5; 2/5; 7/19; 2/5; 2/5; 2/5; 7/19; 4/9; 4/9
Draw; 7/2; 16/5; 73/20; 7/2; 10/3; 16/5; 18/5; 7/2; 16/5; 7/2; 10/3; 17/5; 7/2; 18/5; 18/5; 38/11; 5/2; 3
Bury; 7; 36/5; 17/2; 7; 15/2; 13/2; 15/2; 8; 7; 25/4; 27/4; 13/2; 15/2; 25/4; 11/2; 41/5; ; 
META; english/league-1/shrewsbury-v-bury; 2018-04-17 02:21:51 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Shrewsbury; 2/5; 4/9; 9/20; 2/5; 2/5; 1/3; 2/5; 2/5; 2/5; 2/5; 2/5; 7/19; 2/5; 2/5; 2/5; 7/19; 4/9; 4/9
Draw; 7/2; 16/5; 73/20; 7/2; 10/3; 16/5; 18/5; 7/2; 16/5; 7/2; 10/3; 17/5; 7/2; 18/5; 18/5; 38/11; 13/5; 3
Bury; 7; 36/5; 17/2; 7; 15/2; 13/2; 15/2; 8; 7; 25/4; 27/4; 13/2; 15/2; 13/2; 11/2; 41/5; ; 
META; english/league-1/shrewsbury-v-bury; 2018-04-17 10:21:51 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Shrewsbury; 2/5; 4/9; 4/11; 9/20; 2/5; 2/5; 4/11; 2/5; 2/5; 2/5; 2/5; 2/5; 7/19; 2/5; 2/5; 2/5; 3/8; 4/9; 4/9
Draw; 7/2; 16/5; 10/3; 73/20; 7/2; 7/2; 10/3; 18/5; 7/2; 16/5; 3; 7/2; 17/5; 7/2; 18/5; 18/5; 38/11; 5/2; 3
Bury; 7; 13/2; 36/5; 15/2; 7; 13/2; 15/2; 8; 11/2; 7; 25/4; 27/4; 13/2; 15/2; 25/4; 1/5; 41/5; ; 
META; english/league-1/shrewsbury-v-bury; 2018-04-17 14:22:02 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Shrewsbury; 2/5; 4/9; 2/5; 4/11; 11/25; 2/5; 2/5; 4/11; 2/5; 2/5; 2/5; 4/9; 2/5; 2/5; 2/5; 7/19; 2/5; 2/5; 2/5; 3/8; 4/9; 2/5
