META; english/league-1/bury-v-gillingham; 2018-02-18 14:21:17 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Bury; 13/10; 13/10; ; ; 7/5; ; 13/10; ; ; ; ; ; ; ; 5/4; 13/10; 5/4; ; ; ; ; ; 5/4; 5/4; ; ; ; 
Gillingham; 21/10; 21/10; 21/10; 2; 58/25; 23/10; 21/10; 2; 39/19; 21/10; 11/5; 11/5; 9/4; ; 21/10; 21/10; 21/10; 2; 39/19; 39/19; 9/4; 85/40; 21/10; 21/10; ; 2; ; 
Draw; 12/5; 23/10; 11/5; 11/5; 117/50; 12/5; 11/5; 21/10; 40/17; 21/10; 23/10; 11/5; 9/4; ; 23/10; 9/4; 28/13; 23/10; 9/4; 40/17; 23/10; 12/5; 9/4; 11/5; ; 21/10; ; 
META; english/league-1/bury-v-gillingham; 2018-02-20 10:21:05 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Bury; 5/4; 13/10; 13/10; 5/4; 27/20; 13/10; 13/10; 6/5; 23/18; 13/10; 13/10; 13/10; 6/5; ; 13/10; 13/10; 5/4; 13/10; 25/19; 23/18; 13/10; 13/10; 5/4; 5/4; ; 6/5; ; 
Gillingham; 21/10; 21/10; 21/10; 2; 58/25; 23/10; 21/10; 2; 39/19; 21/10; 11/5; 11/5; 9/4; ; 21/10; 21/10; 21/10; 2; 39/19; 39/19; 9/4; 85/40; 21/10; 21/10; ; 2; ; 
Draw; 12/5; 23/10; 11/5; 11/5; 117/50; 12/5; 11/5; 21/10; 40/17; 21/10; 23/10; 11/5; 9/4; ; 23/10; 9/4; 28/13; 23/10; 9/4; 40/17; 23/10; 12/5; 9/4; 11/5; ; 21/10; ; 
META; english/league-1/bury-v-gillingham; 2018-02-20 14:21:20 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Bury; 5/4; 13/10; 13/10; 5/4; 27/20; 13/10; 13/10; 6/5; 23/18; 13/10; 13/10; 13/10; 6/5; ; 13/10; 13/10; 5/4; 13/10; 25/19; 23/18; 13/10; 13/10; 5/4; 5/4; ; 6/5; ; 
Draw; 12/5; 23/10; 11/5; 11/5; 117/50; 12/5; 11/5; 21/10; 40/17; 21/10; 23/10; 11/5; 9/4; ; 23/10; 9/4; 28/13; 23/10; 9/4; 40/17; 23/10; 12/5; 9/4; 11/5; ; 21/10; ; 
Gillingham; 21/10; 21/10; 21/10; 2; 58/25; 12/5; 21/10; 21/10; 39/19; 21/10; 11/5; 11/5; 9/4; ; 21/10; 21/10; 21/10; 2; 39/19; 39/19; 9/4; 85/40; 21/10; 21/10; ; 21/10; ; 
META; english/league-1/bury-v-gillingham; 2018-02-20 18:21:18 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Bury; 5/4; 13/10; 13/10; 5/4; 27/20; 13/10; 13/10; 6/5; 23/18; 27/20; 13/10; 13/10; 6/5; ; 13/10; 13/10; 5/4; 13/10; 25/19; 23/18; 13/10; 13/10; 5/4; 5/4; ; 6/5; ; 
Draw; 12/5; 23/10; 11/5; 11/5; 117/50; 12/5; 11/5; 21/10; 40/17; 11/5; 23/10; 11/5; 9/4; ; 23/10; 9/4; 11/5; 23/10; 9/4; 40/17; 23/10; 12/5; 9/4; 9/4; ; 21/10; ; 
Gillingham; 21/10; 21/10; 21/10; 2; 58/25; 12/5; 21/10; 21/10; 39/19; 11/5; 11/5; 11/5; 9/4; ; 21/10; 21/10; 21/10; 2; 39/19; 39/19; 9/4; 85/40; 21/10; 28/13; ; 21/10; ; 
META; english/league-1/bury-v-gillingham; 2018-02-20 22:21:07 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Bury; 5/4; 13/10; 13/10; 5/4; 27/20; 13/10; 13/10; 6/5; 23/18; 27/20; 13/10; 13/10; 6/5; ; 13/10; 13/10; 5/4; 13/10; 25/19; 23/18; 13/10; 13/10; 5/4; 5/4; ; 6/5; ; 13/10
Draw; 12/5; 23/10; 11/5; 11/5; 117/50; 12/5; 11/5; 21/10; 40/17; 11/5; 23/10; 11/5; 9/4; ; 23/10; 9/4; 11/5; 23/10; 9/4; 40/17; 23/10; 12/5; 9/4; 9/4; ; 21/10; ; 9/4
Gillingham; 21/10; 21/10; 21/10; 2; 58/25; 12/5; 21/10; 21/10; 39/19; 11/5; 11/5; 11/5; 9/4; ; 21/10; 21/10; 21/10; 2; 39/19; 39/19; 9/4; 85/40; 21/10; 28/13; ; 23/10; ; 23/10
META; english/league-1/bury-v-gillingham; 2018-02-21 02:20:44 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Bury; 5/4; 13/10; 13/10; 5/4; ; 13/10; 13/10; 6/5; 23/18; 27/20; 13/10; 13/10; 6/5; ; 13/10; 13/10; 5/4; 13/10; 25/19; 23/18; 13/10; 13/10; 5/4; 5/4; ; 6/5; ; 13/10
Draw; 12/5; 23/10; 11/5; 11/5; 47/20; 12/5; 11/5; 21/10; 40/17; 11/5; 23/10; 11/5; 9/4; ; 23/10; 9/4; 11/5; 23/10; 9/4; 40/17; 23/10; 12/5; 9/4; 9/4; ; 21/10; ; 9/4
Gillingham; 21/10; 21/10; 21/10; 2; ; 12/5; 21/10; 21/10; 39/19; 11/5; 11/5; 11/5; 9/4; ; 21/10; 21/10; 21/10; 2; 39/19; 39/19; 9/4; 85/40; 21/10; 28/13; ; 11/5; ; 23/10
META; english/league-1/bury-v-gillingham; 2018-02-21 10:20:36 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Bury; 5/4; 13/10; 13/10; 5/4; ; 13/10; 13/10; 6/5; 23/18; 27/20; 13/10; 13/10; 6/5; ; 13/10; 13/10; 5/4; 13/10; 25/19; 23/18; 13/10; 13/10; 5/4; 5/4; ; 6/5; ; 13/10
Draw; 12/5; 23/10; 11/5; 11/5; 47/20; 12/5; 11/5; 21/10; 40/17; 11/5; 23/10; 11/5; 9/4; ; 23/10; 9/4; 11/5; 23/10; 9/4; 40/17; 23/10; 12/5; 9/4; 11/5; ; 21/10; ; 9/4
Gillingham; 21/10; 21/10; 21/10; 2; ; 12/5; 21/10; 21/10; 39/19; 11/5; 11/5; 11/5; 9/4; ; 21/10; 21/10; 21/10; 2; 39/19; 39/19; 9/4; 85/40; 21/10; 21/10; ; 11/5; ; 23/10
META; english/league-1/bury-v-gillingham; 2018-02-21 14:20:41 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Bury; 5/4; 13/10; 13/10; 5/4; ; 13/10; 13/10; 6/5; 23/18; 27/20; 13/10; 13/10; 6/5; ; 13/10; 13/10; 5/4; 13/10; 25/19; 23/18; 13/10; 13/10; 5/4; 5/4; ; 6/5; ; 13/10
Draw; 12/5; 23/10; 11/5; 11/5; 47/20; 12/5; 11/5; 21/10; 40/17; 11/5; 23/10; 11/5; 9/4; ; 23/10; 23/10; 11/5; 23/10; 9/4; 40/17; 23/10; 12/5; 9/4; 11/5; ; 21/10; ; 9/4
Gillingham; 21/10; 21/10; 21/10; 2; ; 12/5; 21/10; 21/10; 39/19; 11/5; 11/5; 11/5; 9/4; ; 21/10; 21/10; 21/10; 2; 39/19; 39/19; 9/4; 85/40; 21/10; 21/10; ; 9/4; ; 23/10
META; english/league-1/bury-v-gillingham; 2018-02-21 18:20:38 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Bury; 5/4; 13/10; 13/10; 5/4; ; 13/10; 13/10; 6/5; 23/18; 27/20; 13/10; 13/10; 6/5; ; 13/10; 13/10; 5/4; 13/10; 25/19; 23/18; 13/10; 13/10; 5/4; 5/4; ; 6/5; ; 13/10
Gillingham; 21/10; 21/10; 21/10; 2; ; 23/10; 21/10; 11/5; 39/19; 11/5; 11/5; 11/5; 9/4; ; 21/10; 21/10; 21/10; 2; 39/19; 39/19; 9/4; 85/40; 21/10; 21/10; ; 2; ; 23/10
Draw; 12/5; 23/10; 11/5; 11/5; 47/20; 23/10; 11/5; 11/5; 40/17; 11/5; 23/10; 11/5; 9/4; ; 23/10; 9/4; 11/5; 23/10; 9/4; 40/17; 23/10; 12/5; 9/4; 11/5; ; 2; ; 9/4
META; english/league-1/bury-v-gillingham; 2018-02-21 22:20:39 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Bury; 5/4; 13/10; 13/10; 5/4; ; 13/10; 13/10; 6/5; 23/18; 27/20; 13/10; 13/10; 6/5; ; 13/10; 13/10; 5/4; 13/10; 25/19; 23/18; 13/10; 13/10; 5/4; 13/10; ; 6/5; 5/4; 13/10
