META; english/non-league/national-league/afc-fylde-v-maidstone; 2017-10-18 12:05:51 GMT+3; 2017-10-21 15:00; e70300-dr003
AFC Fylde; 13/10; 13/10; 13/10; 13/10; 13/10; 11/10; 13/10; 6/5; 23/18; 13/10; 13/10; ; ; 6/5; 11/8; 13/10; 11/10; 13/10; 67/50; 14/11; 23/18; ; 11/8; 27/20; 13/10; ; 11/10; 13/10; 
Maidstone; 15/8; 19/10; 7/4; 17/10; 9/5; 39/20; 9/5; 9/5; 9/5; 7/4; 17/10; ; ; 9/5; 9/5; 9/5; 37/19; 9/5; 101/50; 27/17; 9/5; ; 9/5; 9/5; 9/5; ; 13/8; 7/4; 
Draw; 5/2; 23/10; 12/5; 5/2; 5/2; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; ; ; 12/5; 12/5; 12/5; 12/5; 12/5; 137/50; 45/17; 12/5; ; 13/5; 5/2; 12/5; ; 23/10; 9/4; 
META; english/non-league/national-league/afc-fylde-v-maidstone; 2018-01-22 12:17:21 GMT+2; 2018-01-23 19:45; e70300-dr003
AFC Fylde; 3/4; 17/20; ; 3/4; 41/50; 3/4; ; ; 4/5; ; 4/5; 4/5; ; 4/5; 4/5; 4/5; 4/5; 10/13; 4/5; 9/11; 4/5; ; 4/5; 4/5; 10/13; 4/5; 8/11; 
Draw; 13/5; 11/4; ; 11/4; 149/ 50; 13/5; ; ; 45/17; ; 13/5; 12/5; ; 13/5; 11/4; 13/5; 13/5; 11/4; 13/5; 13/5; 45/17; ; 14/5; 14/5; 14/5; 14/5; 23/10; 
Maidstone; 3; 3; ; 3; 69/20; 3; ; ; 29/10; ; 3; 14/5; ; 29/10; 3; 14/5; 13/5; 31/10; 13/5; 45/17; 29/10; ; 31/10; 3; 41/13; 3; 27/10; 
META; english/non-league/national-league/afc-fylde-v-maidstone; 2018-01-23 02:16:49 GMT+2; 2018-01-23 19:45; e70300-dr003
AFC Fylde; 8/11; 4/5; 3/4; 3/4; 41/50; 3/4; ; ; 4/5; ; 4/5; 3/4; ; 4/5; 3/4; 8/11; 4/5; 4/5; 4/5; 4/5; 4/5; ; 4/5; 10/13; 4/5; 8/11; 8/11; 
Draw; 13/5; 14/5; 27/10; 11/4; 61/20; 13/5; ; ; 45/17; ; 13/5; 12/5; ; 13/5; 3; 13/5; 13/5; 11/4; 13/5; 45/17; 45/17; ; 14/5; 57/20; 14/5; 14/5; 27/10; 
Maidstone; 16/5; 16/5; 3; 3; 67/20; 3; ; ; 29/10; ; 31/10; 3; ; 29/10; 3; 3; 13/5; 56/19; 13/5; 41/13; 29/10; ; 33/10; 3; 3; 3; 14/5; 
META; english/non-league/national-league/afc-fylde-v-maidstone; 2018-01-23 17:23:27 GMT+2; 2018-01-23 19:45; e70300-dr003
AFC Fylde; 8/13; 4/6; 4/6; 4/6; 7/10; 8/13; ; ; 11/17; 4/6; 4/6; 8/13; ; 4/6; 7/10; 8/13; 7/10; 11/17; 7/10; 5/8; 11/17; ; 4/6; 13/20; 4/6; 4/6; 4/6; 
Draw; 11/4; 29/10; 14/5; 14/5; 16/5; 11/4; ; ; 37/13; 14/5; 11/4; 13/5; ; 11/4; 14/5; 11/4; 27/10; 56/19; 27/10; 41/13; 37/13; ; 3; 59/20; 56/19; 3; 3; 
Maidstone; 15/4; 19/5; 18/5; 17/5; 4; 7/2; ; ; 17/5; 18/5; 18/5; 7/2; ; 7/2; 7/2; 7/2; 3; 37/10; 3; 18/5; 17/5; ; 15/4; 15/4; 37/10; 7/2; 7/2; 
