META; english/non-league/national-league/maidstone-v-aldershot; 2017-08-15 20:21:41 GMT+3; 2017-08-15 19:45; e70300-dr003
Aldershot; 13/10; 13/10; 27/20; 6/5; 5/4; 9/10; 13/10; 1; 15/13; 13/10; 13/10; 5/4; 13/10; 11/8; 13/10; 5/4; 11/10; 21/20; 13/10; 139/100; 16/13; 15/13; ; 13/10; 5/4; ; 13/10; 10/9; 
Maidstone; 9/5; 19/10; 15/8; 21/10; 2; 23/10; 2; 12/5; 2; 28/15; 15/8; 7/4; 2; 9/5; 19/10; 19/10; 2; 9/4; 19/10; 41/20; 21/11; 2; ; 2; 2; ; 19/10; 12/5; 
Draw; 13/5; 23/10; 23/10; 23/10; 23/10; 5/2; 5/2; 12/5; 12/5; ; 9/4; 23/10; 12/5; 5/2; 12/5; 23/10; 23/10; 23/10; 40/17; 129/50; 13/5; 12/5; ; 12/5; 12/5; ; 12/5; 5/2; 
