META; english/non-league/national-league/chester-v-hartlepool; 2018-01-22 12:17:24 GMT+2; 2018-01-23 19:45; e70300-dr003
Hartlepool; 6/4; 6/4; 6/4; 29/20; 33/20; 6/4; ; ; 31/21; 6/4; 6/4; 6/4; ; 6/4; 6/4; 7/5; 6/4; 6/4; 6/4; 17/12; 31/21; 8/5; 31/20; 8/5; 17/11; 6/4; 6/4; 
Chester; 17/10; 9/5; 17/10; 17/10; 91/50; 13/8; ; ; 13/8; 17/10; 17/10; 17/10; ; 17/10; 17/10; 17/10; 8/5; 17/10; 8/5; 29/18; 13/8; 7/4; 9/5; 17/10; 17/10; 17/10; 13/8; 
Draw; 12/5; 23/10; 21/10; 11/5; 12/5; 11/5; ; ; 23/10; 21/10; 9/4; 19/10; ; 21/10; 23/10; 21/10; 9/4; 9/4; 9/4; 23/10; 23/10; 11/5; 9/4; 11/5; 23/10; 21/10; 2; 
META; english/non-league/national-league/chester-v-hartlepool; 2018-01-23 02:16:52 GMT+2; 2018-01-23 19:45; e70300-dr003
Chester; 7/5; 6/4; 16/11; 11/8; 31/20; 29/20; ; ; 7/5; 29/20; 6/4; 11/8; ; 29/20; 6/4; 7/5; 13/10; 7/5; 13/10; 7/5; 7/5; 6/4; 29/20; 29/20; 7/5; 6/4; 7/5; 
Hartlepool; 9/5; 9/5; 9/5; 9/5; 199/ 100; 17/10; ; ; 7/4; 9/5; 7/4; 9/5; ; 9/5; 15/8; 7/4; 24/13; 24/13; 24/13; 19/10; 7/4; 9/5; 15/8; 9/5; 24/13; 9/5; 9/5; 
Draw; 12/5; 23/10; 21/10; 11/5; 47/20; 11/5; ; ; 11/5; 21/10; 11/5; 2; ; 41/20; 21/10; 21/10; 9/4; 9/4; 9/4; 9/4; 11/5; 23/10; 9/4; 9/4; 9/4; 21/10; 2; 
META; english/non-league/national-league/chester-v-hartlepool; 2018-01-23 17:23:29 GMT+2; 2018-01-23 19:45; e70300-dr003
Chester; 7/5; 6/4; 6/4; 11/8; 13/8; 29/20; ; ; 7/5; 6/4; 6/4; 7/5; ; 6/4; 6/4; 7/5; 13/10; 16/11; 13/10; 19/13; 7/5; 6/4; 31/20; 6/4; 16/11; 6/4; 6/4; 
Hartlepool; 9/5; 9/5; 9/5; 9/5; 193/ 100; 17/10; ; ; 7/4; 9/5; 9/5; 17/10; ; 9/5; 15/8; 7/4; 24/13; 9/5; 24/13; 9/5; 7/4; 9/5; 9/5; 15/8; 24/13; 9/5; 9/5; 
Draw; 12/5; 23/10; 2; 11/5; 23/10; 21/10; ; ; 11/5; 2; 21/10; 21/10; ; 2; 21/10; 21/10; 9/4; 11/5; 9/4; 23/10; 11/5; 85/40; 11/5; 21/10; 11/5; 21/10; 21/10; 
