META; english/non-league/national-league/dagenham-redbridge-v-boreham-wood; 2018-01-07 12:17:04 GMT+2; 2018-01-09 19:45; e70300-dr003
Dagenham & Redbridge; 10/11; 21/20; ; 1; 21/20; ; ; ; 1; ; 1; 1; ; ; ; 19/20; 1; 1; 1; 42/41; ; ; 21/20; 1; 1; ; 1/50; ; 
Draw; 13/5; 12/5; ; 23/10; 131/50; ; ; ; 23/10; ; 12/5; 21/10; ; ; ; 23/10; 23/10; 27/11; 23/10; 40/17; ; ; 12/5; 49/20; 5/2; ; 1/50; ; 
Boreham Wood; 14/5; 13/5; ; 5/2; 141/50; ; ; ; 5/2; ; 5/2; 5/2; ; ; ; 5/2; 5/2; 5/2; 5/2; 9/4; ; ; 13/5; 13/5; 5/2; ; 1/50; ; 
