META; english/non-league/national-league/barrow-v-sutton; 2018-01-22 12:17:29 GMT+2; 2018-01-27 15:00; e70300-dr003
Sutton; 1; 11/10; 21/20; ; 11/10; 1; 1; ; ; 21/20; 21/20; 21/20; ; ; ; 1; 21/20; 1; 21/20; ; ; 21/20; 1; 1; 1; ; ; 
Barrow; 5/2; 23/10; 23/10; ; 51/20; 23/10; 23/10; ; ; 23/10; 12/5; 11/5; ; ; ; 23/10; 11/5; 23/10; 11/5; ; ; 12/5; 5/2; 49/20; 23/10; ; ; 
Draw; 13/5; 23/10; 12/5; ; 137/ 50; 12/5; 12/5; ; ; 12/5; 12/5; 9/4; ; ; ; 12/5; 12/5; 12/5; 12/5; ; ; 5/2; 13/5; 5/2; 12/5; ; ; 
META; english/non-league/national-league/barrow-v-sutton; 2018-01-23 02:16:57 GMT+2; 2018-01-27 15:00; e70300-dr003
Sutton; 1; 11/10; 11/10; 21/20; 117/ 100; 1; 21/20; ; 11/10; 11/10; 21/20; 21/20; ; 21/20; 11/10; 1; 21/20; 21/20; 21/20; 21/20; 11/10; 11/10; 21/20; 11/10; 21/20; 21/20; 21/20; 
Barrow; 5/2; 5/2; 23/10; 9/4; 5/2; 23/10; 23/10; ; 9/4; 23/10; 12/5; 9/4; ; 47/20; 23/10; 23/10; 11/5; 23/10; 11/5; 23/10; 9/4; 12/5; 5/2; 12/5; 40/17; 23/10; 21/10; 
Draw; 13/5; 12/5; 9/4; 12/5; 129/ 50; 23/10; 12/5; ; 40/17; 9/4; 12/5; 11/5; ; 9/4; 12/5; 23/10; 12/5; 12/5; 12/5; 28/11; 40/17; 12/5; 5/2; 12/5; 12/5; 23/10; 2; 
META; english/non-league/national-league/barrow-v-sutton; 2018-01-23 17:23:35 GMT+2; 2018-01-27 15:00; e70300-dr003
Sutton; 1; 11/10; 11/10; 21/20; 117/ 100; 1; 21/20; ; 11/10; 11/10; 21/20; 21/20; ; 21/20; 11/10; 1; 21/20; 21/20; 21/20; 21/20; 11/10; 11/10; 21/20; 11/10; 21/20; 10/11; 21/20; 
Barrow; 5/2; 5/2; 23/10; 9/4; 5/2; 23/10; 23/10; ; 9/4; 23/10; 12/5; 9/4; ; 12/5; 23/10; 23/10; 11/5; 23/10; 11/5; 23/10; 9/4; 12/5; 5/2; 12/5; 40/17; 2; 21/10; 
Draw; 13/5; 12/5; 9/4; 12/5; 129/ 50; 23/10; 23/10; ; 40/17; 9/4; 12/5; 11/5; ; 9/4; 12/5; 23/10; 12/5; 12/5; 12/5; 28/11; 40/17; 12/5; 5/2; 12/5; 12/5; 21/10; 2; 
META; english/non-league/national-league/barrow-v-sutton; 2018-01-24 12:18:44 GMT+2; 2018-01-27 15:00; e70300-dr003
Sutton; 1; 11/10; 11/10; 21/20; 117/ 100; 1; 21/20; ; 11/10; 11/10; 21/20; 21/20; ; 21/20; 11/10; 1; 21/20; 21/20; 21/20; 21/20; 11/10; 11/10; 21/20; 11/10; 21/20; ; 21/20; 21/20; 
Barrow; 5/2; 5/2; 23/10; 9/4; 5/2; 23/10; 23/10; ; 9/4; 23/10; 12/5; 9/4; ; 12/5; 23/10; 23/10; 11/5; 23/10; 11/5; 23/10; 9/4; 12/5; 5/2; 12/5; 40/17; ; 23/10; 21/10; 
Draw; 13/5; 12/5; 9/4; 12/5; 129/ 50; 23/10; 12/5; ; 40/17; 9/4; 12/5; 11/5; ; 9/4; 12/5; 23/10; 12/5; 12/5; 12/5; 28/11; 40/17; 12/5; 5/2; 12/5; 12/5; ; 23/10; 2; 
