META; english/non-league/national-league/guiseley-v-wrexham; 2018-01-30 12:20:52 GMT+2; 2018-02-03 15:00; e70300-dr003
Wrexham; 21/20; 23/20; 15/13; ; 59/50; 1; 11/10; ; 1; 23/20; 11/10; 21/20; ; 23/20; ; 21/20; 21/20; 11/10; 21/20; 12/11; 1; 11/10; 23/20; 11/10; 11/10; ; ; 10/9; 
Draw; 5/2; 23/10; 21/10; ; 63/25; 11/5; 9/4; ; 28/13; 21/10; 11/5; 21/10; ; 43/20; ; 11/5; 21/10; 9/4; 21/10; 12/5; 28/13; 23/10; 23/10; 47/20; 23/10; ; ; 2; 
Guiseley; 5/2; 12/5; 23/10; ; 127/ 50; 13/5; 23/10; ; 45/17; 23/10; 5/2; 23/10; ; 23/10; ; 23/10; 13/5; 23/10; 13/5; 40/17; 45/17; 12/5; 12/5; 12/5; 23/10; ; ; 15/8; 
