META; english/non-league/national-league/maidstone-v-hartlepool; 2018-03-26 12:21:42 GMT+3; 2018-03-30 15:00; e70300-dr003
Maidstone; 1; 27/25; 20/21; 1; 20/21; 20/21; 19/20; 19/20; 19/20; 1; 1; 19/20; 8/11; 21/20; ; 
Draw; 12/5; 12/5; 63/25; 23/10; 9/4; 23/10; 9/4; 9/4; 9/4; 23/10; 9/4; 12/5; 47/20; 9/4; 9/5; 12/5
Hartlepool; 11/4; 5/2; 71/25; 13/5; 13/5; 11/4; 5/2; 13/5; 13/5; 13/5; 13/5; 14/5; 11/4; 13/5; 21/10; 27/10
META; english/non-league/national-league/maidstone-v-hartlepool; 2018-03-27 08:21:26 GMT+3; 2018-03-30 15:00; e70300-dr003
Maidstone; 1; 10/11; 27/25; 9/10; 20/21; 1; 20/21; 20/21; 1; 19/20; 19/20; 19/20; 1; 20/21; 1; 8/11; 21/20; ; ; 
Draw; 12/5; 13/5; 11/5; 63/25; 11/5; 23/10; 9/4; 23/10; 9/4; 47/20; 12/5; 23/10; 23/10; 23/10; 9/4; 5/2; 47/20; 23/10; 9/5; 12/5
Hartlepool; 11/4; 13/5; 5/2; 71/25; 11/4; 13/5; 13/5; 11/4; 12/5; 5/2; 13/5; 5/2; 45/17; 13/5; 13/5; 14/5; 11/4; 45/17; 2; 27/10
META; english/non-league/national-league/maidstone-v-hartlepool; 2018-03-28 08:22:08 GMT+3; 2018-03-30 15:00; e70300-dr003
Maidstone; 1; 19/20; 27/25; 9/10; 1; 20/21; 20/21; 19/20; 10/11; 19/20; 19/20; 1; 20/21; 1; 5/6; 21/20; ; ; ; 
Draw; 12/5; 13/5; 9/4; 63/25; 23/10; 23/10; 9/4; 23/10; 9/4; 47/20; 11/5; 23/10; 40/17; 23/10; 9/4; 5/2; 47/20; 40/17; 2; 12/5
Hartlepool; 11/4; 13/5; 13/5; 71/25; 11/4; 13/5; 13/5; 11/4; 12/5; 5/2; 5/2; 5/2; 27/10; 13/5; 13/5; 14/5; 11/4; 27/10; 5/2; 27/10
META; english/non-league/national-league/maidstone-v-hartlepool; 2018-03-29 08:21:52 GMT+3; 2018-03-30 15:00; e70300-dr003
Maidstone; 1; 19/20; 19/20; 27/25; 19/20; 1; 19/20; 1; 20/21; 19/20; 10/11; 19/20; 19/20; 1; 20/21; 1; 20/21; 20/21; ; ; ; 
Draw; 12/5; 13/5; 5/2; 9/4; 63/25; 23/10; 23/10; 9/4; 5/2; 23/10; 12/5; 47/20; 11/5; 23/10; 40/17; 23/10; 9/4; 13/5; 47/20; 40/17; 11/5; 23/10
Hartlepool; 11/4; 13/5; 12/5; 13/5; 71/25; 13/5; 13/5; 13/5; 12/5; 13/5; 12/5; 5/2; 5/2; 5/2; 45/17; 13/5; 13/5; 11/4; 27/10; 23/10; 9/4; 
