META; english/non-league/national-league/maidstone-v-torquay; 2018-03-05 20:21:05 GMT+2; 2018-03-10 15:00; e70300-dr003
Maidstone; 11/10; 11/10; 1; 21/20; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; 11/10; 11/10; 21/20; 8/11; 
Draw; 12/5; 12/5; 11/5; 23/10; 9/4; 23/10; 21/10; 9/4; 23/10; 9/4; 12/5; 12/5; 23/10; 7/4; 
Torquay; 12/5; 21/10; 23/10; 23/10; 40/17; 23/10; 9/4; 11/5; 23/10; 23/10; 40/17; 5/2; 47/20; 23/10; 7/4
META; english/non-league/national-league/maidstone-v-torquay; 2018-03-06 15:07:17 GMT+2; 2018-03-10 15:00; e70300-dr003
Maidstone; 11/10; 11/10; 6/5; 1; 11/10; 11/10; 11/10; 21/20; 11/10; 21/20; 21/20; 11/10; 11/10; 21/20; 4/5
Torquay; 12/5; 21/10; 62/25; 23/10; 23/10; 40/17; 23/10; 11/5; 11/5; 23/10; 23/10; 40/17; 47/20; 23/10; 9/5
Draw; 12/5; 12/5; 63/25; 11/5; 23/10; 9/4; 23/10; 11/5; 9/4; 9/4; 23/10; 9/4; 12/5; 23/10; 7/4
META; english/non-league/national-league/maidstone-v-torquay; 2018-03-08 10:17:54 GMT+2; 2018-03-10 15:00; e70300-dr003
Maidstone; 6/5; 6/5; 5/4; 11/10; 13/10; 11/10; 6/5; 13/11; 5/4; 6/5; 11/10; 5/4; 23/20; 11/10; 6/5; 21/20; 5/4; 13/11; 6/5; 6/5; 6/5; 20/21; 5/4
Torquay; 11/5; 9/4; 21/10; 21/10; 117/50; 21/10; 21/10; 11/5; 21/10; 11/5; 21/10; 21/10; 23/10; 21/10; 28/13; 23/10; 24/13; 11/5; 9/4; 11/5; 11/5; 9/5; 23/10
Draw; 12/5; 23/10; 11/5; 12/5; 61/25; 11/5; 9/4; 11/5; 11/5; 11/5; 11/5; 43/20; 23/10; 11/5; 23/10; 23/10; 23/10; 11/5; 12/5; 23/10; 23/10; 21/10; 12/5
META; english/non-league/national-league/maidstone-v-torquay; 2018-03-08 12:21:29 GMT+2; 2018-03-10 15:00; e70300-dr003
Maidstone; 6/5; 6/5; 5/4; 11/10; 13/10; 11/10; 6/5; 13/11; 5/4; 6/5; 11/10; 5/4; 23/20; 11/10; 6/5; 21/20; 5/4; 13/11; 6/5; 6/5; 6/5; 20/21; 6/5; 5/4
Torquay; 11/5; 9/4; 21/10; 21/10; 117/0; 21/10; 21/10; 11/5; 21/10; 21/10; 21/10; 21/10; 23/10; 21/10; 28/13; 23/10; 24/13; 11/5; 9/4; 11/5; 28/13; 9/5; 9/5; 23/10
Draw; 12/5; 23/10; 11/5; 12/5; 61/25; 11/5; 9/4; 11/5; 11/5; 9/4; 11/5; 43/20; 23/10; 11/5; 23/10; 23/10; 23/10; 11/5; 12/5; 23/10; 23/10; 21/10; 2; 12/5
META; english/non-league/national-league/maidstone-v-torquay; 2018-03-09 12:20:39 GMT+2; 2018-03-10 15:00; e70300-dr003
Maidstone; 21/20; 11/10; 21/20; 11/10; 57/50; 21/20; 21/20; 13/11; 21/20; 11/10; 1; 21/20; 11/10; 21/20; 6/5; 21/20; 11/10; 13/11; 11/10; 21/20; 1; 10/9
Draw; 12/5; 23/10; 11/5; 12/5; 62/25; 11/5; 23/10; 11/5; 9/4; 21/10; 11/5; 23/10; 11/5; 23/10; 23/10; 12/5; 11/5; 21/10; 21/10; 12/5; ; 
Torquay; 5/2; 13/5; 12/5; 21/10; 27/10; 12/5; 12/5; 11/5; 12/5; 12/5; 12/5; 12/5; 12/5; 23/10; 28/13; 23/10; 23/10; 11/5; 49/20; 23/10; 12/5; 13/5
META; english/non-league/national-league/maidstone-v-torquay; 2018-03-10 12:21:17 GMT+2; 2018-03-10 15:00; e70300-dr003
Maidstone; 21/20; 11/10; 21/20; 11/10; 111/00; 1; 11/10; 21/20; 21/20; 21/20; 21/20; 21/20; 11/10; 1; 6/5; 21/20; 11/10; 21/20; 21/20; 21/20; 6/5; 11/10; 21/20; 10/9
Torquay; 5/2; 23/10; 23/10; 12/5; 13/5; 9/4; 12/5; 12/5; 23/10; 12/5; 11/5; 23/10; 23/10; 23/10; 28/13; 9/4; 23/10; 12/5; 5/2; 47/20; 28/13; 23/10; 5/2; 12/5
Draw; 12/5; 5/2; 23/10; 12/5; 133/0; 12/5; 12/5; 23/10; 23/10; 12/5; 9/4; 23/10; 12/5; 23/10; 23/10; 12/5; 12/5; 23/10; 5/2; 49/20; 23/10; 5/2; 5/2; 5/2
