META; english/non-league/national-league/dagenham-redbridge-v-chester; 2018-02-19 16:22:16 GMT+2; 2018-02-24 15:00; e70300-dr003
Dagenham & Redbridge; 8/11; ; ; ; ; ; 4/6; ; ; ; 4/6; 4/6; ; 7/10; ; 4/6; ; 7/10; ; ; 8/11; 7/10; 7/10; ; ; ; ; 
Draw; 14/5; ; ; ; ; ; 11/4; ; ; ; 11/4; 12/5; ; 13/5; ; 13/5; ; 27/10; ; ; 14/5; 14/5; 14/5; ; ; ; ; 
Chester; 7/2; ; ; ; ; ; 7/2; ; ; ; 18/5; 7/2; ; 7/2; ; 7/2; ; 17/5; ; ; 7/2; 19/5; 7/2; ; ; ; ; 
META; english/non-league/national-league/dagenham-redbridge-v-chester; 2018-02-20 12:21:11 GMT+2; 2018-02-24 15:00; e70300-dr003
Dagenham & Redbridge; 8/11; 8/11; ; 4/6; ; ; 4/6; ; 7/10; ; 4/6; 4/6; ; 7/10; ; 7/10; 9/13; 7/10; ; 7/10; 8/11; 7/10; 7/10; 9/13; ; 1/50; ; 
Draw; 14/5; 11/4; ; 13/5; ; ; 11/4; ; 27/10; ; 11/4; 12/5; ; 13/5; ; 13/5; 45/17; 27/10; ; 27/10; 14/5; 14/5; 14/5; 27/10; ; 1/3; ; 
Chester; 7/2; 18/5; ; 10/3; ; ; 7/2; ; 57/17; ; 18/5; 7/2; ; 7/2; ; 10/3; 57/17; 17/5; ; 57/17; 7/2; 19/5; 7/2; 57/17; ; 1/3; ; 
META; english/non-league/national-league/dagenham-redbridge-v-chester; 2018-02-24 12:19:17 GMT+2; 2018-02-24 15:00; e70300-dr003
Dagenham & Redbridge; 1/2; 8/13; 4/7; 4/7; 63/100; ; 5/9; ; 3/5; 4/7; 4/7; 8/15; ; 8/13; 4/7; 4/7; 5/9; 4/7; 18/35; 3/5; 8/15; 4/7; 4/7; 4/7; ; 4/7; 4/7; 
Draw; 16/5; 3; 14/5; 14/5; 16/5; ; 3; ; 29/10; 14/5; 29/10; 14/5; ; 27/10; 3; 14/5; 3; 14/5; 41/13; 29/10; 3; 31/10; 3; 3; ; 14/5; 3; 
Chester; 11/2; 17/4; 17/4; 9/2; 24/5; ; 9/2; ; 19/5; 17/4; 9/2; 4; ; 4; 9/2; 4; 49/11; 17/4; 49/10; 19/5; 9/2; 9/2; 9/2; 49/11; ; 23/5; 23/5; 
