META; english/non-league/national-league/torquay-v-eastleigh; 2017-12-31 12:18:22 GMT+2; 2018-01-01 15:00; e70300-dr003
Torquay; 23/20; 23/20; 15/13; 21/20; 123/ 100; 11/10; 6/5; ; 11/10; 11/10; 23/20; 21/20; ; 11/10; 23/20; 11/10; 11/10; 15/13; 11/10; 19/17; 11/10; 11/10; 23/20; 11/10; 15/13; ; 21/20; 21/20; 
Draw; 5/2; 23/10; 11/5; 11/5; 49/20; 23/10; 23/10; ; 12/5; 11/5; 23/10; 21/10; ; 11/5; 12/5; 11/5; 11/5; 12/5; 11/5; 40/17; 12/5; 23/10; 12/5; 47/20; 12/5; ; 2; 21/10; 
Eastleigh; 11/5; 12/5; 23/10; 11/4; 62/25; 11/5; 21/10; ; 28/13; 23/10; 11/5; 23/10; ; 23/10; 11/5; 21/10; 21/10; 28/13; 21/10; 23/10; 28/13; 12/5; 12/5; 12/5; 28/13; ; 9/4; 23/10; 
META; english/non-league/national-league/torquay-v-eastleigh; 2018-01-07 12:17:14 GMT+2; 2018-01-13 15:00; e70300-dr003
Torquay; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Eastleigh; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/torquay-v-eastleigh; 2018-01-10 12:23:47 GMT+2; ; e70300-dr003
Torquay; 6/5; 11/10; ; 11/10; 32/25; 11/10; ; ; 8/7; ; 23/20; 11/10; ; 11/10; ; 11/10; 11/10; 15/13; 11/10; ; 8/7; 6/5; 23/20; 23/20; 15/13; ; 10/11; ; 
Eastleigh; 11/5; 23/10; ; 11/5; 23/10; 11/5; ; ; 28/13; ; 11/5; 21/10; ; 11/5; ; 21/10; 9/4; 28/13; 9/4; ; 28/13; 11/5; 23/10; 11/5; 28/13; ; 7/4; ; 
Draw; 12/5; 12/5; ; 23/10; 63/25; 23/10; ; ; 23/10; ; 23/10; 9/4; ; 23/10; ; 9/4; 9/4; 23/10; 9/4; ; 23/10; 12/5; 12/5; 12/5; 40/17; ; 19/10; ; 
META; english/non-league/national-league/torquay-v-eastleigh; 2018-01-10 13:45:12 GMT+2; 2018-01-13 15:00; e70300-dr003
Torquay; 29/20; 11/10; ; 11/10; 77/50; 5/4; ; ; 8/7; ; 7/5; 7/5; ; 29/20; ; 11/10; 16/11; 23/17; 16/11; 16/11; 8/7; 7/5; ; 29/20; 23/17; 20/21; ; 
Eastleigh; 9/5; 9/4; ; 11/5; 193/ 100; 2; ; ; 28/13; ; 19/10; 7/4; ; 7/4; ; 21/10; 17/10; 9/5; 17/10; 12/7; 28/13; 15/8; ; 9/5; 24/13; 7/5; ; 
Draw; 23/10; 12/5; ; 23/10; 61/25; 21/10; ; ; 23/10; ; 11/5; 2; ; 11/5; ; 9/4; 11/5; 23/10; 11/5; 12/5; 23/10; 23/10; ; 23/10; 23/10; 19/10; ; 
